rougher	rails	rails
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
tougher	upper	victim
tough	!align="right	!align="right
toughest	number-one	semifinals
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
gentler	upper	upper
gentle	!align="right	!align="right
gentlest	emotions	emotions
gentle	!align="right	!align="right
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
shorter	upper	shorter
short	short	short
shortest	longest	longest
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	easy	easy
softer	upper	upper
soft	!align="right	!align="right
softest	r&b	r&b
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	!align="right	!align="right
older	upper	older
old	obsolete	obsolete
oldest	older	older
old	containing	containing
older	upper	upper
oldest	youngest	youngest
richer	somehow	somehow
rich	!align="right	!align="right
richest	world's	world's
rich	!align="right	!align="right
richer	!align="right	!align="right
richest	!align="right	!align="right
weaker	mentally	worse
weak	!align="right	!align="right
weakest	league's	league's
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
prettier	you're	you're
pretty	!align="right	!align="right
prettiest	scorer	scorer
pretty	!align="right	!align="right
prettier	!align="right	!align="right
prettiest	!align="right	!align="right
cooler	pleasant	guru
cool	!align="right	!align="right
coolest	world's	world's
cool	!align="right	!align="right
cooler	!align="right	!align="right
coolest	!align="right	!align="right
luckier	you	you
lucky	!align="right	!align="right
luckiest	biggest	scorer
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
lighter	heavier	heavier
light	literally	literally
lightest	largest	largest
light	!align="right	!align="right
lighter	!align="right	!align="right
lightest	largest	largest
shorter	shorter	shorter
short	lengthy	lengthy
shortest	longest	full-length
short	!align="right	!align="right
shorter	!align="right	!align="right
shortest	largest	largest
fewer	handful	handful
few	literally	literally
fewest	handful	handful
few	!align="right	!align="right
fewer	!align="right	!align="right
fewest	largest	largest
sharper	manifold	manifold
sharp	!align="right	!align="right
sharpest	largest	largest
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	!align="right	!align="right
taller	wingspan	wingspan
tall	!align="right	!align="right
tallest	tallest	tallest
tall	rovers	rovers
taller	damaging	65
tallest	!align="right	!align="right
smoother	lighter	lighter
smooth	!align="right	!align="right
smoothest	synthetic	acute
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
nicer	faster	faster
nice	!align="right	!align="right
nicest	boundaries	boundaries
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
broader	broader	broader
broad	large	snail
broadest	capita	inform
broad	!align="right	!align="right
broader	!align="right	!align="right
broadest	foremost	foremost
savvier	!align="right	!align="right
savvy	!align="right	!align="right
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	!align="right	!align="right
greater	greater	greater
great	large	vast
greatest	highest	greatest
great	tremendous	tremendous
greater	great	major
greatest	highest	highest
wilder	ghost	ghost
wild	!align="right	!align="right
wildest	!align="right	!align="right
wild	difficult	difficult
wilder	simpler	simpler
wildest	!align="right	!align="right
smoother	generalized	generalized
smooth	!align="right	!align="right
smoothest	!align="right	!align="right
smooth	difficult	difficult
smoother	simpler	simpler
smoothest	!align="right	!align="right
mightier	oxide	oxide
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	difficult	difficult
mightier	simpler	simpler
mightiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	difficult	difficult
leaner	simpler	simpler
leanest	!align="right	!align="right
cleaner	insufficient	insufficient
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	difficult	difficult
cleaner	simpler	simpler
cleanest	!align="right	!align="right
narrower	smaller	vertical
narrow	!align="right	!align="right
narrowest	broad	medium-sized
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
colder	previous	previous
cold	!align="right	!align="right
coldest	tributary	tributary
cold	!align="right	!align="right
colder	!align="right	!align="right
coldest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
deeper	deeper	deeper
deep	late	autumn
deepest	thick	thick
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	renewable	renewable
taller	inch	inch
tall	!align="right	!align="right
tallest	thick	thick
tall	late	late
taller	later	baba
tallest	!align="right	!align="right
quicker	dose	dose
quick	!align="right	!align="right
quickest	scoring	scoring
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	!align="right	!align="right
narrower	broad	broad
narrow	!align="right	!align="right
narrowest	wide	wide
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	deeper	deeper
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	deep	deep
closer	antiquity	antiquity
close	wish	wish
closest	closest	closest
close	judged	judged
closer	older	older
closest	unlikely	unlikely
taller	caps	caps
tall	!align="right	!align="right
tallest	height	tallest
tall	tall	tall
taller	heavier	heavier
tallest	!align="right	!align="right
kinder	sense	sense
kind	!align="right	!align="right
kindest	sort	sort
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	!align="right	!align="right
heavier	ads	ads
heavy	thick	thick
heaviest	largest	largest
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	largest	largest
mightier	still	harder
mighty	!align="right	!align="right
mightiest	lone	lone
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
smarter	still	still
smart	!align="right	!align="right
smartest	europa	europa
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	!align="right	!align="right
milder	humid	humid
mild	!align="right	!align="right
mildest	highest	tallest
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	!align="right	!align="right
weaker	less	less
weak	!align="right	!align="right
weakest	league's	league's
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
friendlier	less	settle
friendly	!align="right	!align="right
friendliest	highest	highest
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
livelier	!align="right	!align="right
lively	!align="right	!align="right
liveliest	!align="right	!align="right
lively	!align="right	!align="right
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
younger	adults	adults
young	del	del
youngest	highest	headmaster
young	marie	derek
younger	niece	niece
youngest	eldest	eldest
clearer	less	less
clear	!align="right	!align="right
clearest	!align="right	!align="right
clear	several	several
clearer	more	more
clearest	!align="right	!align="right
friendlier	shield	shield
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	several	several
friendlier	more	more
friendliest	!align="right	!align="right
cleaner	blown	blown
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	several	several
cleaner	more	more
cleanest	!align="right	!align="right
stronger	less	less
strong	lot	lot
strongest	!align="right	!align="right
strong	several	several
stronger	biggest	biggest
strongest	!align="right	!align="right
freer	illegal	illegal
free	!align="right	!align="right
freest	!align="right	!align="right
free	several	several
freer	more	more
freest	!align="right	!align="right
tougher	closer	closer
tough	!align="right	!align="right
toughest	worst	disappointed
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
funnier	harder	harder
funny	!align="right	!align="right
funniest	worst	worst
funny	!align="right	!align="right
funnier	!align="right	!align="right
funniest	!align="right	!align="right
nicer	comfortable	comfortable
nice	!align="right	!align="right
nicest	disappointed	disappointed
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
greater	tremendous	tremendous
great	great	great
greatest	greatest	greatest
great	great	great
greater	thrust	thrust
greatest	greatest	greatest
bolder	larger	formula_1
bold	!align="right	!align="right
boldest	worst	worst
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
poorer	mistakes	mistakes
poor	!align="right	!align="right
poorest	competent	finest
poor	!align="right	!align="right
poorer	!align="right	!align="right
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	!align="right	!align="right
longer	heavier	heavier
long	still	always
longest	longest	longest
long	three-year	three-year
longer	ending	ending
longest	still	still
harder	harder	harder
hard	simultaneous	simultaneous
hardest	harder	harder
hard	!align="right	!align="right
harder	!align="right	!align="right
hardest	geometry	geometry
wiser	heavier	heavier
wise	!align="right	!align="right
wisest	oldest	oldest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
earlier	late	late
early	early	early
earliest	earliest	earliest
early	ancient	tickets
earlier	iconic	iconic
earliest	extant	extant
sadder	feel	feel
sad	!align="right	!align="right
saddest	suffix	suffix
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
darker	dots	dots
dark	dorsal	dorsal
darkest	dwelling	dwelling
dark	!align="right	!align="right
darker	!align="right	!align="right
darkest	pale	pale
quicker	harder	harder
quick	!align="right	!align="right
quickest	decision	decision
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	!align="right	!align="right
brighter	insight	insight
bright	!align="right	!align="right
brightest	br	br
bright	!align="right	!align="right
brighter	!align="right	!align="right
brightest	!align="right	!align="right
cheaper	harder	harder
cheap	vegetable	vegetable
cheapest	!align="right	!align="right
cheap	narrow	narrow
cheaper	wider	wider
cheapest	!align="right	!align="right
higher	low	low
high	lower	high
highest	!align="right	!align="right
high	high	high
higher	wider	wider
highest	!align="right	!align="right
fairer	ethical	ethical
fair	!align="right	!align="right
fairest	!align="right	!align="right
fair	narrow	narrow
fairer	wider	wider
fairest	!align="right	!align="right
wiser	king	king
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	narrow	narrow
wiser	wider	wider
wisest	!align="right	!align="right
taller	shrub	shrub
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	planted	planted
taller	larger	larger
tallest	!align="right	!align="right
poorer	comparatively	comparatively
poor	!align="right	!align="right
poorest	!align="right	!align="right
poor	difficult	difficult
poorer	easier	easier
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	difficult	difficult
messier	easier	easier
messiest	!align="right	!align="right
busier	aware	aware
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	difficult	difficult
busier	easier	easier
busiest	!align="right	!align="right
taller	woody	woody
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	harder	harder
taller	heavier	dash
tallest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	difficult	difficult
trickier	easier	easier
trickiest	!align="right	!align="right
higher	!align="right	!align="right
high	lower	lower
highest	!align="right	!align="right
high	worst	worst
higher	lowest	lowest
highest	lower	lower
slower	!align="right	!align="right
slow	fast	heavy
slowest	!align="right	!align="right
slow	cool	cool
slower	!align="right	!align="right
slowest	faster	faster
smarter	!align="right	!align="right
smart	cool	cool
smartest	!align="right	!align="right
smart	cool	cool
smarter	!align="right	!align="right
smartest	!align="right	!align="right
older	!align="right	!align="right
old	children	children
oldest	!align="right	!align="right
old	finest	finest
older	earliest	earliest
oldest	old	old
stronger	!align="right	!align="right
strong	strong	strong
strongest	!align="right	!align="right
strong	strong	strong
stronger	highest	highest
strongest	heavier	heavier
cheaper	!align="right	!align="right
cheap	cheap	cheap
cheapest	!align="right	!align="right
cheap	comfortable	comfortable
cheaper	!align="right	!align="right
cheapest	easier	easier
classier	!align="right	!align="right
classy	comfortable	comfortable
classiest	!align="right	!align="right
classy	comfortable	comfortable
classier	!align="right	!align="right
classiest	!align="right	!align="right
bloodier	!align="right	!align="right
bloody	comfortable	comfortable
bloodiest	!align="right	!align="right
bloody	comfortable	comfortable
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
wilder	!align="right	!align="right
wild	comfortable	comfortable
wildest	!align="right	!align="right
wild	comfortable	comfortable
wilder	!align="right	!align="right
wildest	!align="right	!align="right
easier	!align="right	!align="right
easy	harder	harder
easiest	!align="right	!align="right
easy	comfortable	comfortable
easier	!align="right	!align="right
easiest	simpler	simpler
rougher	subtle	twentieth
rough	!align="right	!align="right
roughest	!align="right	!align="right
rough	deeper	deeper
rougher	deep	deep
roughest	!align="right	!align="right
fresher	milk	tools
fresh	!align="right	!align="right
freshest	!align="right	!align="right
fresh	deeper	deeper
fresher	deep	deep
freshest	!align="right	!align="right
harsher	wage	wage
harsh	!align="right	!align="right
harshest	!align="right	!align="right
harsh	deeper	deeper
harsher	deep	deep
harshest	!align="right	!align="right
luckier	lonely	lonely
lucky	!align="right	!align="right
luckiest	!align="right	!align="right
lucky	deeper	deeper
luckier	deep	deep
luckiest	!align="right	!align="right
taller	shrub	barn
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	lined	lined
taller	deep	deep
tallest	!align="right	!align="right
fatter	promotional	promotional
fat	!align="right	!align="right
fattest	!align="right	!align="right
fat	wider	wider
fatter	wide	wide
fattest	!align="right	!align="right
smoother	dense	dense
smooth	!align="right	!align="right
smoothest	!align="right	!align="right
smooth	wider	wider
smoother	wide	wide
smoothest	!align="right	!align="right
fresher	deeper	prepared
fresh	!align="right	!align="right
freshest	!align="right	!align="right
fresh	wider	wider
fresher	wide	wide
freshest	!align="right	!align="right
shorter	brief	shorter
short	inch	fold
shortest	!align="right	!align="right
short	wider	wider
shorter	wide	wide
shortest	!align="right	!align="right
cleaner	wish	wish
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	wider	wider
cleaner	wide	wide
cleanest	!align="right	!align="right
fuller	complete	complete
full	lot	lot
fullest	!align="right	!align="right
full	cheaper	cheaper
fuller	easier	easier
fullest	!align="right	!align="right
firmer	company	company
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	cheaper	cheaper
firmer	easier	easier
firmest	!align="right	!align="right
better	better	better
good	good	good
best	!align="right	!align="right
good	worst	good
better	better	better
best	!align="right	!align="right
mightier	nickel	nickel
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	cheaper	cheaper
mightier	easier	easier
mightiest	!align="right	!align="right
longer	longer	occurring
long	voltage	serial
longest	!align="right	!align="right
long	profitable	vintage
longer	profitable	profitable
longest	!align="right	!align="right
greener	transparent	transparent
green	!align="right	!align="right
greenest	red	mr
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
nicer	generic	offered
nice	!align="right	!align="right
nicest	simple	simple
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
slicker	!align="right	!align="right
slick	!align="right	!align="right
slickest	!align="right	!align="right
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
sadder	it's	manila
sad	!align="right	!align="right
saddest	!align="right	!align="right
sad	fast	fast
sadder	faster	faster
saddest	!align="right	!align="right
swifter	miller	miller
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	fast	fast
swifter	faster	faster
swiftest	!align="right	!align="right
nicer	outer	manila
nice	!align="right	!align="right
nicest	!align="right	!align="right
nice	fast	fast
nicer	faster	faster
nicest	!align="right	!align="right
softer	cables	cables
soft	!align="right	!align="right
softest	!align="right	!align="right
soft	fast	fast
softer	faster	faster
softest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	fast	fast
trickier	faster	faster
trickiest	!align="right	!align="right
greener	red	cord
green	!align="right	!align="right
greenest	!align="right	!align="right
green	york	york
greener	turbine	turbine
greenest	!align="right	!align="right
clearer	obvious	obvious
clear	!align="right	!align="right
clearest	!align="right	!align="right
clear	york	york
clearer	turbine	turbine
clearest	!align="right	!align="right
healthier	symptoms	symptoms
healthy	!align="right	!align="right
healthiest	!align="right	!align="right
healthy	york	york
healthier	turbine	turbine
healthiest	!align="right	!align="right
faster	slower	slower
fastest	subway	subway
fast	!align="right	!align="right
fastest	flexible	flexible
faster	slower	slower
fast	!align="right	!align="right
freer	nerve	nerve
free	!align="right	!align="right
freest	!align="right	!align="right
free	york	york
freer	turbine	turbine
freest	!align="right	!align="right
meaner	temperature	desirable
mean	!align="right	!align="right
meanest	!align="right	!align="right
mean	long	long
meaner	faster	faster
meanest	!align="right	!align="right
firmer	company	investment
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	long	long
firmer	faster	faster
firmest	!align="right	!align="right
bigger	smaller	tommy
big	year's	year's
biggest	!align="right	!align="right
big	major	major
bigger	largest	largest
biggest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	long	long
trickier	faster	faster
trickiest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	long	long
deeper	faster	faster
deepest	!align="right	!align="right
gentler	refined	unstable
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	heavy	heavy
gentler	heavier	heavier
gentlest	!align="right	!align="right
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	heavy	heavy
costlier	heavier	heavier
costliest	!align="right	!align="right
lower	lower	lower
low	upper	low
lowest	!align="right	!align="right
low	heavy	heavy
lower	heavier	heavier
lowest	!align="right	!align="right
fancier	!align="right	!align="right
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	heavy	heavy
fancier	heavier	heavier
fanciest	!align="right	!align="right
cleaner	insufficient	insufficient
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	heavy	heavy
cleaner	heavier	heavier
cleanest	!align="right	!align="right
steadier	!align="right	!align="right
steady	strong	strong
steadiest	!align="right	!align="right
steady	strong	strong
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
poorer	!align="right	!align="right
poor	strong	strong
poorest	!align="right	!align="right
poor	strong	strong
poorer	!align="right	!align="right
poorest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
cleaner	!align="right	!align="right
clean	strong	strong
cleanest	!align="right	!align="right
clean	strong	strong
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
softer	!align="right	!align="right
soft	strong	strong
softest	!align="right	!align="right
soft	strong	strong
softer	!align="right	!align="right
softest	!align="right	!align="right
richer	!align="right	!align="right
rich	drunk	drunk
richest	!align="right	!align="right
rich	drunk	drunk
richer	!align="right	!align="right
richest	!align="right	!align="right
lighter	!align="right	!align="right
light	thick	thick
lightest	!align="right	!align="right
light	drunk	drunk
lighter	!align="right	!align="right
lightest	heavier	heavier
simpler	!align="right	!align="right
simple	refined	refined
simplest	!align="right	!align="right
simple	drunk	drunk
simpler	!align="right	!align="right
simplest	easier	easier
messier	!align="right	!align="right
messy	drunk	drunk
messiest	!align="right	!align="right
messy	drunk	drunk
messier	!align="right	!align="right
messiest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	drunk	drunk
friendliest	!align="right	!align="right
friendly	drunk	drunk
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
higher	!align="right	!align="right
high	greater	greater
highest	!align="right	!align="right
high	lowest	high
higher	lowest	lowest
highest	lower	lower
stickier	!align="right	!align="right
sticky	administered	administered
stickiest	!align="right	!align="right
sticky	administered	administered
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
pricier	!align="right	!align="right
pricey	administered	administered
priciest	!align="right	!align="right
pricey	administered	administered
pricier	!align="right	!align="right
priciest	!align="right	!align="right
greater	!align="right	!align="right
great	wider	wider
greatest	!align="right	!align="right
great	great	great
greater	biggest	biggest
greatest	higher	higher
busier	!align="right	!align="right
busy	administered	administered
busiest	!align="right	!align="right
busy	administered	administered
busier	!align="right	!align="right
busiest	!align="right	!align="right
tougher	!align="right	!align="right
tough	realistic	realistic
toughest	!align="right	!align="right
tough	realistic	realistic
tougher	!align="right	!align="right
toughest	!align="right	!align="right
stricter	!align="right	!align="right
strict	realistic	realistic
strictest	!align="right	!align="right
strict	realistic	realistic
stricter	!align="right	!align="right
strictest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	realistic	realistic
stiffest	!align="right	!align="right
stiff	realistic	realistic
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
riskier	!align="right	!align="right
risky	realistic	realistic
riskiest	!align="right	!align="right
risky	realistic	realistic
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
stronger	!align="right	!align="right
strong	heavier	strong
strongest	!align="right	!align="right
strong	intense	intense
stronger	highest	highest
strongest	heavier	heavier
classier	!align="right	!align="right
classy	linebacker	linebacker
classiest	!align="right	!align="right
classy	linebacker	linebacker
classier	!align="right	!align="right
classiest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	linebacker	linebacker
gentlest	!align="right	!align="right
gentle	linebacker	linebacker
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
leaner	!align="right	!align="right
lean	linebacker	linebacker
leanest	!align="right	!align="right
lean	linebacker	linebacker
leaner	!align="right	!align="right
leanest	!align="right	!align="right
bigger	!align="right	!align="right
big	larger	linebacker
biggest	!align="right	!align="right
big	huge	huge
bigger	largest	largest
biggest	larger	larger
luckier	!align="right	!align="right
lucky	linebacker	linebacker
luckiest	!align="right	!align="right
lucky	linebacker	linebacker
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
warmer	humid	humid
warm	!align="right	!align="right
warmest	!align="right	!align="right
warm	bright	bright
warmer	easier	easier
warmest	!align="right	!align="right
slimmer	harder	harder
slim	!align="right	!align="right
slimmest	!align="right	!align="right
slim	bright	bright
slimmer	easier	easier
slimmest	!align="right	!align="right
rougher	harder	harder
rough	!align="right	!align="right
roughest	!align="right	!align="right
rough	bright	bright
rougher	easier	easier
roughest	!align="right	!align="right
harder	harder	harder
hard	brilliant	brilliant
hardest	!align="right	!align="right
hard	bright	bright
harder	easier	easier
hardest	!align="right	!align="right
closer	moist	moist
close	bright	bright
closest	!align="right	!align="right
close	bright	wonderful
closer	used	used
closest	!align="right	!align="right
greener	!align="right	!align="right
green	good	good
greenest	!align="right	!align="right
green	good	good
greener	!align="right	!align="right
greenest	!align="right	!align="right
kinder	!align="right	!align="right
kind	good	good
kindest	!align="right	!align="right
kind	good	good
kinder	!align="right	!align="right
kindest	!align="right	!align="right
sadder	!align="right	!align="right
sad	good	good
saddest	!align="right	!align="right
sad	good	good
sadder	!align="right	!align="right
saddest	!align="right	!align="right
quicker	!align="right	!align="right
quick	good	good
quickest	!align="right	!align="right
quick	good	good
quicker	!align="right	!align="right
quickest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	good	good
stiffest	!align="right	!align="right
stiff	good	good
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
weaker	!align="right	!align="right
weak	cleared	cleared
weakest	!align="right	!align="right
weak	cleared	cleared
weaker	!align="right	!align="right
weakest	!align="right	!align="right
slicker	!align="right	!align="right
slick	cleared	cleared
slickest	!align="right	!align="right
slick	cleared	cleared
slicker	!align="right	!align="right
slickest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
older	!align="right	!align="right
old	better	better
oldest	!align="right	!align="right
old	flags	flags
older	earliest	earliest
oldest	old	old
wiser	!align="right	!align="right
wise	cleared	cleared
wisest	!align="right	!align="right
wise	cleared	cleared
wiser	!align="right	!align="right
wisest	!align="right	!align="right
cheaper	!align="right	!align="right
cheap	faster	faster
cheapest	!align="right	!align="right
cheap	slow	slow
cheaper	!align="right	!align="right
cheapest	easier	easier
simpler	!align="right	!align="right
simple	more	more
simplest	!align="right	!align="right
simple	slow	slow
simpler	!align="right	!align="right
simplest	easier	easier
fresher	!align="right	!align="right
fresh	slow	slow
freshest	!align="right	!align="right
fresh	slow	slow
fresher	!align="right	!align="right
freshest	!align="right	!align="right
bolder	!align="right	!align="right
bold	slow	slow
boldest	!align="right	!align="right
bold	slow	slow
bolder	!align="right	!align="right
boldest	!align="right	!align="right
cleaner	!align="right	!align="right
clean	slow	slow
cleanest	!align="right	!align="right
clean	slow	slow
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
poorer	higher	higher
poor	!align="right	!align="right
poorest	!align="right	!align="right
poor	light	light
poorer	lighter	lighter
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	light	light
messier	lighter	lighter
messiest	!align="right	!align="right
narrower	wider	wider
narrow	!align="right	!align="right
narrowest	!align="right	!align="right
narrow	light	light
narrower	lighter	lighter
narrowest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	light	light
noisier	lighter	lighter
noisiest	!align="right	!align="right
riskier	!align="right	!align="right
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	light	light
riskier	lighter	lighter
riskiest	!align="right	!align="right
steadier	!align="right	!align="right
steady	wonderful	wonderful
steadiest	!align="right	!align="right
steady	wonderful	wonderful
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
swifter	!align="right	!align="right
swift	wonderful	wonderful
swiftest	!align="right	!align="right
swift	wonderful	wonderful
