rougher	easier	quick
savvy	!align="right	!align="right
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	!align="right	!align="right
greater	tremendous	greater
great	large	considerable
greatest	greatest	greatest
great	large	significant
greater	larger	larger
greatest	considerable	considerable
wilder	deer	deer
wild	!align="right	!align="right
wildest	!align="right	!align="right
wild	difficult	difficult
wilder	harder	harder
wildest	!align="right	!align="right
smoother	darker	darker
smooth	!align="right	!align="right
smoothest	!align="right	!align="right
smooth	difficult	difficult
smoother	harder	harder
smoothest	!align="right	!align="right
mightier	lower	lower
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	difficult	difficult
mightier	harder	harder
mightiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	difficult	difficult
leaner	harder	harder
leanest	!align="right	!align="right
cleaner	darker	darker
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	difficult	difficult
cleaner	harder	harder
cleanest	!align="right	!align="right
narrower	wide	wide
narrow	!align="right	!align="right
narrowest	broad	broad
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
colder	warm	warm
cold	!align="right	!align="right
coldest	winters	winters
cold	!align="right	!align="right
colder	!align="right	!align="right
coldest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
deeper	shallow	depth
deep	late	mid
deepest	oldest	dug
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	oldest	oldest
taller	erect	erect
tall	!align="right	!align="right
tallest	erect	erect
tall	late	late
taller	next	next
tallest	!align="right	!align="right
quicker	faster	faster
quick	!align="right	!align="right
quickest	oldest	oldest
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	!align="right	!align="right
narrower	wide	wide
narrow	!align="right	!align="right
narrowest	broad	longest
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	shallow
deepest	deeper	deeper
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	deep	deep
closer	lifelong	lifelong
close	girl	girl
closest	lifelong	lifelong
close	nearest	nearest
closer	nearest	nearest
closest	fastest	fastest
taller	erect	erect
tall	!align="right	!align="right
tallest	erect	erect
tall	tall	tall
taller	older	tall
tallest	!align="right	!align="right
kinder	still	somewhere
kind	!align="right	!align="right
kindest	ever	ever
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	!align="right	!align="right
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	biggest	biggest
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	biggest	biggest
mightier	evil	lesser
mighty	!align="right	!align="right
mightiest	oldest	youngest
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
smarter	still	still
smart	!align="right	!align="right
smartest	first	oldest
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	!align="right	!align="right
milder	humid	humid
mild	!align="right	!align="right
mildest	winters	winters
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	!align="right	!align="right
weaker	closer	closer
weak	!align="right	!align="right
weakest	best	best
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
friendlier	closer	closer
friendly	!align="right	!align="right
friendliest	best	best
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
livelier	!align="right	!align="right
lively	!align="right	!align="right
liveliest	!align="right	!align="right
lively	!align="right	!align="right
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
younger	children	woman
young	eldest	eldest
youngest	best	best
young	kidnapped	kidnapped
younger	tired	alexandra
youngest	eldest	cousin
clearer	births	births
clear	!align="right	!align="right
clearest	!align="right	!align="right
clear	several	several
clearer	fined	fined
clearest	!align="right	!align="right
friendlier	births	births
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	several	several
friendlier	fined	fined
friendliest	!align="right	!align="right
cleaner	seats	seats
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	several	several
cleaner	fined	fined
cleanest	!align="right	!align="right
stronger	stronger	weakened
strong	several	several
strongest	!align="right	!align="right
strong	several	several
stronger	biggest	biggest
strongest	!align="right	!align="right
freer	watts	watts
free	!align="right	!align="right
freest	!align="right	!align="right
free	several	several
freer	fined	fined
freest	!align="right	!align="right
tougher	closer	closer
tough	!align="right	!align="right
toughest	comfortable	comfortable
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
funnier	closer	closer
funny	!align="right	!align="right
funniest	greatest	web
funny	!align="right	!align="right
funnier	!align="right	!align="right
funniest	!align="right	!align="right
nicer	closer	closer
nice	!align="right	!align="right
nicest	largest	largest
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
greater	greater	greater
great	great	great
greatest	greatest	greatest
great	great	great
greater	greater	greater
greatest	greatest	greatest
bolder	closer	closer
bold	!align="right	!align="right
boldest	largest	fastest
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
poorer	improving	improving
poor	!align="right	!align="right
poorest	finest	finest
poor	!align="right	!align="right
poorer	!align="right	!align="right
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	!align="right	!align="right
longer	shorter	shorter
long	long	long
longest	short	entire
long	long	long
longer	longer	longer
longest	still	not
harder	harder	easier
hard	locks	locks
hardest	finest	finest
hard	!align="right	!align="right
harder	!align="right	!align="right
hardest	major	major
wiser	harder	harder
wise	!align="right	!align="right
wisest	finest	finest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	late	late
early	neolithic	neolithic
earlier	neolithic	neolithic
earliest	last	last
sadder	feeling	feeling
sad	!align="right	!align="right
saddest	feeling	pronounced
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
darker	hindwings	hindwings
dark	pale	pale
darkest	hindwings	hindwings
dark	!align="right	!align="right
darker	!align="right	!align="right
darkest	pale	pale
quicker	faster	faster
quick	!align="right	!align="right
quickest	thrust	thrust
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	!align="right	!align="right
brighter	coloured	coloured
bright	!align="right	!align="right
brightest	pale	flowers
bright	!align="right	!align="right
brighter	!align="right	!align="right
brightest	!align="right	!align="right
cheaper	cheaper	cheaper
cheap	narrow	skilled
cheapest	!align="right	!align="right
cheap	wide	wide
cheaper	wider	wider
cheapest	!align="right	!align="right
higher	school	school
high	lower	low
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	lowest
highest	!align="right	!align="right
fairer	ethical	ethical
fair	!align="right	!align="right
fairest	!align="right	!align="right
fair	wide	wide
fairer	wider	wider
fairest	!align="right	!align="right
wiser	gods	gods
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	wide	wide
wiser	wider	wider
wisest	!align="right	!align="right
taller	cm	cm
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	slender	slender
taller	wider	wider
tallest	!align="right	!align="right
poorer	faster	encouraging
poor	!align="right	!align="right
poorest	!align="right	!align="right
poor	difficult	difficult
poorer	easier	easier
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	difficult	difficult
messier	easier	easier
messiest	!align="right	!align="right
busier	faster	faster
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	difficult	difficult
busier	easier	easier
busiest	!align="right	!align="right
taller	erect	erect
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	oldest	strongest
taller	faster	faster
tallest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	difficult	difficult
trickier	easier	easier
trickiest	!align="right	!align="right
higher	!align="right	!align="right
high	high	high
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
slower	!align="right	!align="right
slow	faster	faster
slowest	!align="right	!align="right
slow	proud	proud
slower	!align="right	!align="right
slowest	faster	faster
smarter	!align="right	!align="right
smart	proud	proud
smartest	!align="right	!align="right
smart	proud	proud
smarter	!align="right	!align="right
smartest	!align="right	!align="right
older	!align="right	!align="right
old	younger	twin
oldest	!align="right	!align="right
old	preserved	preserved
older	earliest	earliest
oldest	younger	younger
stronger	!align="right	!align="right
strong	strong	strong
strongest	!align="right	!align="right
strong	strong	strong
stronger	biggest	biggest
strongest	bigger	bigger
cheaper	!align="right	!align="right
cheap	cheap	cheap
cheapest	!align="right	!align="right
cheap	clean	clean
cheaper	!align="right	!align="right
cheapest	easier	easier
classier	!align="right	!align="right
classy	clean	clean
classiest	!align="right	!align="right
classy	clean	clean
classier	!align="right	!align="right
classiest	!align="right	!align="right
bloodier	!align="right	!align="right
bloody	clean	clean
bloodiest	!align="right	!align="right
bloody	clean	clean
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
wilder	!align="right	!align="right
wild	clean	clean
wildest	!align="right	!align="right
wild	clean	clean
wilder	!align="right	!align="right
wildest	!align="right	!align="right
easier	!align="right	!align="right
easy	easy	easy
easiest	!align="right	!align="right
easy	clean	clean
easier	!align="right	!align="right
easiest	harder	harder
rougher	farther	riding
rough	!align="right	!align="right
roughest	!align="right	!align="right
rough	shallow	shallow
rougher	deep	deep
roughest	!align="right	!align="right
fresher	frozen	slower
fresh	!align="right	!align="right
freshest	!align="right	!align="right
fresh	shallow	shallow
fresher	deep	deep
freshest	!align="right	!align="right
harsher	brutal	brutal
harsh	!align="right	!align="right
harshest	!align="right	!align="right
harsh	shallow	shallow
harsher	deep	deep
harshest	!align="right	!align="right
luckier	bigger	bigger
lucky	!align="right	!align="right
luckiest	!align="right	!align="right
lucky	shallow	shallow
luckier	deep	deep
luckiest	!align="right	!align="right
taller	shrub	shrub
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	deeper	deeper
taller	atop	atop
tallest	!align="right	!align="right
fatter	broader	bigger
fat	!align="right	!align="right
fattest	!align="right	!align="right
fat	broad	broad
fatter	broader	broader
fattest	!align="right	!align="right
smoother	consistency	consistency
smooth	!align="right	!align="right
smoothest	!align="right	!align="right
smooth	broad	broad
smoother	broader	broader
smoothest	!align="right	!align="right
fresher	frozen	frozen
fresh	!align="right	!align="right
freshest	!align="right	!align="right
fresh	broad	broad
fresher	broader	broader
freshest	!align="right	!align="right
shorter	shorter	shorter
short	long	long
shortest	!align="right	!align="right
short	broad	broad
shorter	broader	broader
shortest	!align="right	!align="right
cleaner	safe	continuity
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	broad	broad
cleaner	broader	broader
cleanest	!align="right	!align="right
fuller	faster	faster
full	barrett	barrett
fullest	!align="right	!align="right
full	affordable	affordable
fuller	easier	easier
fullest	!align="right	!align="right
firmer	firms	firms
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	affordable	affordable
firmer	easier	easier
firmest	!align="right	!align="right
better	excellent	lighter
good	good	good
best	!align="right	!align="right
good	top	top
better	easier	easier
best	!align="right	!align="right
mightier	faster	faster
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	affordable	affordable
mightier	easier	easier
mightiest	!align="right	!align="right
longer	shorter	shorter
long	not	not
longest	!align="right	!align="right
long	first	first
longer	shorter	shorter
longest	!align="right	!align="right
greener	yellow	lighter
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
nicer	lighter	lighter
nice	!align="right	!align="right
nicest	badly	badly
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
slicker	!align="right	!align="right
slick	!align="right	!align="right
slickest	!align="right	!align="right
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
sadder	lighter	lighter
sad	!align="right	!align="right
saddest	!align="right	!align="right
sad	fast	fast
sadder	faster	faster
saddest	!align="right	!align="right
swifter	lighter	than
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	fast	fast
swifter	faster	faster
swiftest	!align="right	!align="right
nicer	wonderful	wonderful
nice	!align="right	!align="right
nicest	!align="right	!align="right
nice	fast	fast
nicer	faster	faster
nicest	!align="right	!align="right
softer	lighter	lighter
soft	!align="right	!align="right
softest	!align="right	!align="right
soft	fast	fast
softer	faster	faster
softest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	fast	fast
trickier	faster	faster
trickiest	!align="right	!align="right
greener	yellow	yellow
green	!align="right	!align="right
greenest	!align="right	!align="right
green	york	york
greener	older	older
greenest	!align="right	!align="right
clearer	correct	correct
clear	!align="right	!align="right
clearest	!align="right	!align="right
clear	york	york
clearer	older	older
clearest	!align="right	!align="right
healthier	meals	compatible
healthy	!align="right	!align="right
healthiest	!align="right	!align="right
healthy	york	york
healthier	older	older
healthiest	!align="right	!align="right
faster	finish	slower
fastest	york	york
fast	!align="right	!align="right
fastest	york	york
faster	slower	slower
fast	!align="right	!align="right
freer	xbox	xbox
free	!align="right	!align="right
freest	!align="right	!align="right
free	york	york
freer	older	older
freest	!align="right	!align="right
meaner	lighter	deeper
mean	!align="right	!align="right
meanest	!align="right	!align="right
mean	long	long
meaner	longer	longer
meanest	!align="right	!align="right
firmer	consulting	consulting
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	long	long
firmer	longer	longer
firmest	!align="right	!align="right
bigger	lighter	lighter
big	brief	brief
biggest	!align="right	!align="right
big	longest	longest
bigger	largest	largest
biggest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	long	long
trickier	longer	longer
trickiest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	long	long
deeper	longer	longer
deepest	!align="right	!align="right
gentler	comfortable	comfortable
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	armoured	armoured
gentler	heavier	heavier
gentlest	!align="right	!align="right
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	armoured	armoured
costlier	heavier	heavier
costliest	!align="right	!align="right
lower	lower	lower
low	low	low
lowest	!align="right	!align="right
low	highest	low
lower	highest	higher
lowest	!align="right	!align="right
fancier	!align="right	!align="right
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	armoured	armoured
fancier	heavier	heavier
fanciest	!align="right	!align="right
cleaner	comfortable	comfortable
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	armoured	armoured
cleaner	heavier	heavier
cleanest	!align="right	!align="right
steadier	!align="right	!align="right
steady	strong	strong
steadiest	!align="right	!align="right
steady	strong	strong
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
poorer	!align="right	!align="right
poor	strong	strong
poorest	!align="right	!align="right
poor	strong	strong
poorer	!align="right	!align="right
poorest	!align="right	!align="right
faster	!align="right	!align="right
fastest	slower	slower
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
cleaner	!align="right	!align="right
clean	strong	strong
cleanest	!align="right	!align="right
clean	strong	strong
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
softer	!align="right	!align="right
soft	strong	strong
softest	!align="right	!align="right
soft	strong	strong
softer	!align="right	!align="right
softest	!align="right	!align="right
richer	!align="right	!align="right
rich	safe	safe
richest	!align="right	!align="right
rich	safe	safe
richer	!align="right	!align="right
richest	!align="right	!align="right
lighter	!align="right	!align="right
light	darker	shorter
lightest	!align="right	!align="right
light	safe	safe
lighter	!align="right	!align="right
lightest	heavier	heavier
simpler	!align="right	!align="right
simple	easier	easier
simplest	!align="right	!align="right
simple	safe	safe
simpler	!align="right	!align="right
simplest	easier	easier
messier	!align="right	!align="right
messy	safe	safe
messiest	!align="right	!align="right
messy	safe	safe
messier	!align="right	!align="right
messiest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	safe	safe
friendliest	!align="right	!align="right
friendly	safe	safe
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
higher	!align="right	!align="right
high	high	high
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
stickier	!align="right	!align="right
sticky	regulations	regulations
stickiest	!align="right	!align="right
sticky	regulations	regulations
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
pricier	!align="right	!align="right
pricey	regulations	regulations
priciest	!align="right	!align="right
pricey	regulations	regulations
pricier	!align="right	!align="right
priciest	!align="right	!align="right
greater	!align="right	!align="right
great	monetary	monetary
greatest	!align="right	!align="right
great	biggest	applicable
greater	biggest	biggest
greatest	higher	higher
busier	!align="right	!align="right
busy	regulations	regulations
busiest	!align="right	!align="right
busy	regulations	regulations
busier	!align="right	!align="right
busiest	!align="right	!align="right
tougher	!align="right	!align="right
tough	cold	cold
toughest	!align="right	!align="right
tough	cold	cold
tougher	!align="right	!align="right
toughest	!align="right	!align="right
stricter	!align="right	!align="right
strict	cold	cold
strictest	!align="right	!align="right
strict	cold	cold
stricter	!align="right	!align="right
strictest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	cold	cold
stiffest	!align="right	!align="right
stiff	cold	cold
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
riskier	!align="right	!align="right
risky	cold	cold
riskiest	!align="right	!align="right
risky	cold	cold
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
stronger	!align="right	!align="right
strong	bitter	bitter
strongest	!align="right	!align="right
strong	severe	severe
stronger	biggest	biggest
strongest	bigger	bigger
classier	!align="right	!align="right
classy	leather	leather
classiest	!align="right	!align="right
classy	leather	leather
classier	!align="right	!align="right
classiest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	leather	leather
gentlest	!align="right	!align="right
gentle	leather	leather
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
leaner	!align="right	!align="right
lean	leather	leather
leanest	!align="right	!align="right
lean	leather	leather
leaner	!align="right	!align="right
leanest	!align="right	!align="right
bigger	!align="right	!align="right
big	closer	closer
biggest	!align="right	!align="right
big	largest	largest
bigger	largest	largest
biggest	larger	larger
luckier	!align="right	!align="right
lucky	leather	leather
luckiest	!align="right	!align="right
lucky	leather	leather
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
warmer	humid	humid
warm	!align="right	!align="right
warmest	!align="right	!align="right
warm	modest	modest
warmer	easier	easier
warmest	!align="right	!align="right
slimmer	cheaper	desirable
slim	!align="right	!align="right
slimmest	!align="right	!align="right
slim	modest	modest
slimmer	easier	easier
slimmest	!align="right	!align="right
rougher	easier	easier
rough	!align="right	!align="right
roughest	!align="right	!align="right
rough	modest	modest
rougher	easier	easier
roughest	!align="right	!align="right
harder	easier	easier
hard	loud	loud
hardest	!align="right	!align="right
hard	modest	modest
harder	easier	easier
hardest	!align="right	!align="right
closer	closer	closer
close	direct	direct
closest	!align="right	!align="right
close	friends	friends
closer	newer	newer
closest	!align="right	!align="right
greener	!align="right	!align="right
green	good	good
greenest	!align="right	!align="right
green	good	good
greener	!align="right	!align="right
greenest	!align="right	!align="right
kinder	!align="right	!align="right
kind	good	good
kindest	!align="right	!align="right
kind	good	good
kinder	!align="right	!align="right
kindest	!align="right	!align="right
sadder	!align="right	!align="right
sad	good	good
saddest	!align="right	!align="right
sad	good	good
sadder	!align="right	!align="right
saddest	!align="right	!align="right
quicker	!align="right	!align="right
quick	good	good
quickest	!align="right	!align="right
quick	good	good
quicker	!align="right	!align="right
quickest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	good	good
stiffest	!align="right	!align="right
stiff	good	good
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
weaker	!align="right	!align="right
weak	obvious	obvious
weakest	!align="right	!align="right
weak	obvious	obvious
weaker	!align="right	!align="right
weakest	!align="right	!align="right
slicker	!align="right	!align="right
slick	obvious	obvious
slickest	!align="right	!align="right
slick	obvious	obvious
slicker	!align="right	!align="right
slickest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	worse	worse
older	!align="right	!align="right
old	accurate	accurate
oldest	!align="right	!align="right
old	earliest	earliest
older	earliest	earliest
oldest	younger	younger
wiser	!align="right	!align="right
wise	obvious	obvious
wisest	!align="right	!align="right
wise	obvious	obvious
wiser	!align="right	!align="right
wisest	!align="right	!align="right
cheaper	!align="right	!align="right
cheap	faster	faster
cheapest	!align="right	!align="right
cheap	slow	slow
cheaper	!align="right	!align="right
cheapest	easier	easier
simpler	!align="right	!align="right
simple	easier	easier
simplest	!align="right	!align="right
simple	slow	slow
simpler	!align="right	!align="right
simplest	easier	easier
fresher	!align="right	!align="right
fresh	slow	slow
freshest	!align="right	!align="right
fresh	slow	slow
fresher	!align="right	!align="right
freshest	!align="right	!align="right
bolder	!align="right	!align="right
bold	slow	slow
boldest	!align="right	!align="right
bold	slow	slow
bolder	!align="right	!align="right
boldest	!align="right	!align="right
cleaner	!align="right	!align="right
clean	slow	slow
cleanest	!align="right	!align="right
clean	slow	slow
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
poorer	improved	inferior
poor	!align="right	!align="right
poorest	!align="right	!align="right
poor	heavier	heavier
poorer	lighter	lighter
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	heavier	heavier
messier	lighter	lighter
messiest	!align="right	!align="right
narrower	smaller	smaller
narrow	!align="right	!align="right
narrowest	!align="right	!align="right
narrow	heavier	heavier
narrower	lighter	lighter
narrowest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	heavier	heavier
noisier	lighter	lighter
noisiest	!align="right	!align="right
riskier	!align="right	!align="right
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	heavier	heavier
riskier	lighter	lighter
riskiest	!align="right	!align="right
steadier	!align="right	!align="right
steady	wealthy	wealthy
steadiest	!align="right	!align="right
steady	wealthy	wealthy
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
swifter	!align="right	!align="right
swift	wealthy	wealthy
swiftest	!align="right	!align="right
swift	wealthy	wealthy
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
tougher	!align="right	!align="right
tough	wealthy	wealthy
toughest	!align="right	!align="right
tough	wealthy	wealthy
tougher	!align="right	!align="right
toughest	!align="right	!align="right
