rougher	wolves	wolves
nicest	pretty	pretty
nice	!	!
nicer	!	!
nicest	!	!
broader	narrow	narrow
broad	dorsal	dorsal
broadest	wingspan	commentator
broad	!	!
broader	!	!
broadest	definition	progressed
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	depression.	depression.
great	within	within
greatest	depression.	depression.
great	open	open
greater	ranked	dividing
greatest	voivodeship,	voivodeship,
wilder	animal	animal
wild	!	!
wildest	!	!
wild	listening	listening
wilder	applying	applying
wildest	!	!
smoother	schemes	schemes
smooth	!	!
smoothest	!	!
smooth	listening	listening
smoother	applying	applying
smoothest	!	!
mightier	robot	robot
mighty	!	!
mightiest	!	!
mighty	listening	listening
mightier	applying	applying
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	listening	listening
leaner	applying	applying
leanest	!	!
cleaner	wounds	wounds
clean	!	!
cleanest	!	!
clean	listening	listening
cleaner	applying	applying
cleanest	!	!
narrower	gauge	gauge
narrow	!	!
narrowest	long.	long.
narrow	!	!
narrower	!	!
narrowest	!	!
colder	winters	winters
cold	!	!
coldest	summers	summers
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	quoted	quoted
deep	late	1960s
deepest	long.	long.
deep	!	!
deeper	!	!
deepest	chambers	chambers
taller	tall,	tall,
tall	!	!
tallest	long.	long.
tall	late	1960s
taller	towers	towers
tallest	!	!
quicker	eldest	opponent
quick	!	!
quickest	opponent	opponent
quick	!	!
quicker	!	!
quickest	!	!
narrower	sister,	sister,
narrow	!	!
narrowest	gauge	johnston
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	sister,	sister,
deep	pleasant	locks
deepest	red,	red,
deep	!	!
deeper	!	!
deepest	locks	locks
closer	sister,	sister
close	seeks	seeks
closest	north-east	north-east
close	friend	friend
closer	friend	friend
closest	entrepreneur	entrepreneur
taller	granite	granite
tall	!	!
tallest	perennial	wide,
tall	tower	tower
taller	tower	tower
tallest	!	!
kinder	happen	happen
kind	!	!
kindest	streak	tied
kind	!	!
kinder	!	!
kindest	!	!
heavier	guns.	guns.
heavy	wide.	wide.
heaviest	enemy	enemy
heavy	!	!
heavier	!	!
heaviest	armor	armor
mightier	cannot	earlier,
mighty	!	!
mightiest	streak	double
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
smarter	used,	used,
smart	!	!
smartest	streak	streak
smart	!	!
smarter	!	!
smartest	!	!
milder	summers	summers
mild	!	!
mildest	summers	summers
mild	!	!
milder	!	!
mildest	!	!
weaker	remarks	remarks
weak	!	!
weakest	afraid	perhaps
weak	!	!
weaker	!	!
weakest	!	!
friendlier	3–1	3–1
friendly	!	!
friendliest	1–1	1–1
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	!	!
lively	!	!
liveliest	!	!
lively	!	!
livelier	!	!
liveliest	!	!
younger	men	men
young	brother,	brothers
youngest	boy,	perhaps
young	son	son
younger	daughters.	daughters.
youngest	brothers	brothers
clearer	russians	russians
clear	!	!
clearest	!	!
clear	six	six
clearer	than	than
clearest	!	!
friendlier	3–0	3–0
friendly	!	!
friendliest	!	!
friendly	six	six
friendlier	than	than
friendliest	!	!
cleaner	greenhouse	greenhouse
clean	!	!
cleanest	!	!
clean	six	six
cleaner	than	than
cleanest	!	!
stronger	hurricane	hurricane
strong	despite	getting
strongest	!	!
strong	several	several
stronger	faster	faster
strongest	!	!
freer	inhabitants.	inhabitants.
free	!	!
freest	!	!
free	six	six
freer	than	than
freest	!	!
tougher	settling	consciousness
tough	!	!
toughest	charts	charts
tough	!	!
tougher	!	!
toughest	!	!
funnier	!	!
funny	!	!
funniest	!	!
funny	!	!
funnier	!	!
funniest	!	!
nicer	eugene	eugene
nice	!	!
nicest	remarked	remarked
nice	!	!
nicer	!	!
nicest	!	!
greater	remains	remains
great	within	within
greatest	charts	airplay
great	all-time	all-time
greater	hardly	hardly
greatest	poland.	poland.
bolder	towns.	towns.
bold	!	!
boldest	charts	charts
bold	!	!
bolder	!	!
boldest	!	!
poorer	promised	promised
poor	!	!
poorest	financially	spectacular
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	wide.	wide.
long	typically	typically
longest	wide.	wide.
long	bridge,	bridge,
longer	history.	history.
longest	seems	seems
harder	"that	pressed
hard	kick	kick
hardest	courts	courts
hard	!	!
harder	!	!
hardest	solved	solved
wiser	basement	basement
wise	!	!
wisest	u.s.,	u.s.,
wise	!	!
wiser	!	!
wisest	!	!
earlier	late	late
early	within	got
earliest	late	1980s
early	dated	dated
earlier	fragments	fragments
earliest	sometimes	sometimes
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
darker	forewings	forewings
dark	forewings	forewings
darkest	pale	pale
dark	!	!
darker	!	!
darkest	forewings	forewings
quicker	homer	homer
quick	!	!
quickest	results.	results.
quick	!	!
quicker	!	!
quickest	!	!
brighter	red,	red,
bright	!	!
brightest	color	color
bright	!	!
brighter	!	!
brightest	!	!
cheaper	efficient	efficient
cheap	table,	table,
cheapest	!	!
cheap	narrow	narrow
cheaper	wider	wider
cheapest	!	!
higher	school	school
high	education	education
highest	!	!
high	mountain	mountain
higher	awarded	awarded
highest	!	!
fairer	britain's	britain's
fair	!	!
fairest	!	!
fair	narrow	narrow
fairer	wider	wider
fairest	!	!
wiser	man's	teach
wise	!	!
wisest	!	!
wise	narrow	narrow
wiser	wider	wider
wisest	!	!
taller	tallest	tallest
tall	!	!
tallest	!	!
tall	summit	mountains.
taller	towers	towers
tallest	!	!
poorer	drop	drop
poor	!	!
poorest	!	!
poor	disk	disk
poorer	drop	drop
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	disk	disk
messier	drop	drop
messiest	!	!
busier	virtue	virtue
busy	!	!
busiest	!	!
busy	disk	disk
busier	drop	drop
busiest	!	!
taller	weighed	weighed
tall	!	!
tallest	!	!
tall	roller	time,
taller	drop	drop
tallest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	disk	disk
trickier	drop	drop
trickiest	!	!
higher	!	kindergarten
high	schools	schools
highest	!	kindergarten
high	lowest	lowest
higher	peak	peak
highest	education	education
slower	!	!
slow	faster	faster
slowest	!	!
slow	normandy	normandy
slower	!	!
slowest	fastest	fastest
smarter	!	!
smart	normandy	normandy
smartest	!	!
smart	normandy	normandy
smarter	!	!
smartest	!	!
older	!	!
old	younger	younger
oldest	!	!
old	largest	largest
older	surviving	surviving
oldest	younger	younger
stronger	!	!
strong	much	much
strongest	!	!
strong	witnessed	witnessed
stronger	hurricane	hurricane
strongest	much	much
cheaper	!	!
cheap	comparable	comparable
cheapest	!	!
cheap	harm	harm
cheaper	!	!
cheapest	crude	crude
classier	!	!
classy	harm	harm
classiest	!	!
classy	harm	harm
classier	!	!
classiest	!	!
bloodier	!	!
bloody	harm	harm
bloodiest	!	!
bloody	harm	harm
bloodier	!	!
bloodiest	!	!
wilder	!	!
wild	harm	harm
wildest	!	!
wild	harm	harm
wilder	!	!
wildest	!	!
easier	!	!
easy	keep	keep
easiest	!	!
easy	harm	harm
easier	!	!
easiest	applying	applying
rougher	sketches	shortened
rough	!	!
roughest	!	!
rough	meters	meters
rougher	pleasant	shaft
roughest	!	!
fresher	cheese	cheese
fresh	!	!
freshest	!	!
fresh	meters	meters
fresher	pleasant	shaft
freshest	!	!
harsher	cool	cool
harsh	!	!
harshest	!	!
harsh	meters	meters
harsher	pleasant	shaft
harshest	!	!
luckier	we're	we're
lucky	!	!
luckiest	!	!
lucky	meters	meters
luckier	pleasant	shaft
luckiest	!	!
taller	conversation	conversation
tall	!	!
tallest	!	!
tall	meters	roller
taller	roller	roller
tallest	!	!
fatter	meat	meat
fat	!	!
fattest	!	!
fat	variety	variety
fatter	wide	wide
fattest	!	!
smoother	"f"	lie
smooth	!	!
smoothest	!	!
smooth	variety	variety
smoother	wide	wide
smoothest	!	!
fresher	dried	dried
fresh	!	!
freshest	!	!
fresh	variety	variety
fresher	wide	wide
freshest	!	!
shorter	fiction	fiction
short	long	measuring
shortest	!	!
short	variety	variety
shorter	wide	wide
shortest	!	!
cleaner	wounds	wounds
clean	!	!
cleanest	!	!
clean	variety	variety
cleaner	wide	wide
cleanest	!	!
fuller	usually	usually
full	!	!
fullest	!	!
full	tickets	tickets
fuller	crude	crude
fullest	!	!
firmer	partners.	partners.
firm	!	!
firmest	!	!
firm	tickets	tickets
firmer	crude	crude
firmest	!	!
better	our	our
good	even	even
best	!	!
good	award	actor
better	award	award
best	!	!
mightier	chicken	chicken
mighty	!	!
mightiest	!	!
mighty	tickets	tickets
mightier	crude	crude
mightiest	!	!
longer	wide.	wide.
long	valid	obtain
longest	!	!
long	tickets	tickets
longer	streak	streak
longest	!	!
greener	colors	colors
green	!	!
greenest	blue,	blue,
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	speeds	speeds
nice	!	!
nicest	pretty	pretty
nice	!	!
nicer	!	!
nicest	!	!
slicker	!	!
slick	!	!
slickest	!	!
slick	!	!
slicker	!	!
slickest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	!	!
sad	!	!
saddest	!	!
sad	rapid	rapid
sadder	fastest	fastest
saddest	!	!
swifter	inception	inception
swift	!	!
swiftest	!	!
swift	rapid	rapid
swifter	fastest	fastest
swiftest	!	!
nicer	pretty	pretty
nice	!	!
nicest	!	!
nice	rapid	rapid
nicer	fastest	fastest
nicest	!	!
softer	drinks	drinks
soft	!	!
softest	!	!
soft	rapid	rapid
softer	fastest	fastest
softest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	rapid	rapid
trickier	fastest	fastest
trickiest	!	!
greener	blue,	blue,
green	!	!
greenest	!	!
green	york,	york,
greener	compression	compression
greenest	!	!
clearer	compression	foundations
clear	!	!
clearest	!	!
clear	york,	york,
clearer	compression	compression
clearest	!	!
healthier	transitional	transitional
healthy	!	!
healthiest	!	!
healthy	york,	york,
healthier	compression	compression
healthiest	!	!
faster	lap	lap
fastest	york	york
fast	!	!
fastest	york	york
faster	speeds	speeds
fast	!	!
freer	available	available
free	!	!
freest	!	!
free	york,	york,
freer	compression	compression
freest	!	!
meaner	temperature	temperature
mean	!	!
meanest	!	!
mean	stories	stories
meaner	intervals	intervals
meanest	!	!
firmer	firm,	firm,
firm	!	!
firmest	!	!
firm	stories	stories
firmer	intervals	intervals
firmest	!	!
bigger	conference	conference
big	stories	stories
biggest	!	!
big	fiction	fiction
bigger	surprise	surprise
biggest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	stories	stories
trickier	intervals	intervals
trickiest	!	!
deeper	surface	surface
deep	stories	stories
deepest	!	!
deep	stories	stories
deeper	intervals	intervals
deepest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	infantry	infantry
gentler	heavier	heavier
gentlest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	infantry	infantry
costlier	heavier	heavier
costliest	!	!
lower	precipitation	precipitation
low	upper	upper
lowest	!	!
low	above	surface
lower	above	surface
lowest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	infantry	infantry
fancier	heavier	heavier
fanciest	!	!
cleaner	water,	sound.
clean	!	!
cleanest	!	!
clean	infantry	infantry
cleaner	heavier	heavier
cleanest	!	!
steadier	!	!
steady	strong	strong
steadiest	!	!
steady	strong	strong
steadier	!	!
steadiest	!	!
poorer	!	!
poor	strong	strong
poorest	!	!
poor	strong	strong
poorer	!	!
poorest	!	!
faster	!	!
fastest	speeds	speeds
fast	!	!
fastest	very	very
faster	batsman	batsman
fast	speeds	speeds
cleaner	!	!
clean	strong	strong
cleanest	!	!
clean	strong	strong
cleaner	!	!
cleanest	!	!
softer	!	!
soft	strong	strong
softest	!	!
soft	strong	strong
softer	!	!
softest	!	!
richer	!	!
rich	wounds	wounds
richest	!	!
rich	wounds	wounds
richer	!	!
richest	!	!
lighter	!	!
light	heavier	color
lightest	!	!
light	wounds	wounds
lighter	!	!
lightest	heavier	heavier
simpler	!	!
simple	wounds	wounds
simplest	!	!
simple	wounds	wounds
simpler	!	!
simplest	!	!
messier	!	!
messy	wounds	wounds
messiest	!	!
messy	wounds	wounds
messier	!	!
messiest	!	!
friendlier	!	!
friendly	wounds	wounds
friendliest	!	!
friendly	wounds	wounds
friendlier	!	!
friendliest	!	!
higher	!	!
high	maximum	maximum
highest	!	!
high	lowest	lowest
higher	peak	peak
highest	education	education
stickier	!	!
sticky	standards,	standards,
stickiest	!	!
sticky	standards,	standards,
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	standards,	standards,
priciest	!	!
pricey	standards,	standards,
pricier	!	!
priciest	!	!
greater	!	!
great	administrative	administrative
greatest	!	!
great	ranked	ranked
greater	ranked	ranked
greatest	within	within
busier	!	!
busy	standards,	standards,
busiest	!	!
busy	standards,	standards,
busier	!	!
busiest	!	!
tougher	!	!
tough	cold	cold
toughest	!	!
tough	cold	cold
tougher	!	!
toughest	!	!
stricter	!	!
strict	cold	cold
strictest	!	!
strict	cold	cold
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	cold	cold
stiffest	!	!
stiff	cold	cold
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	cold	cold
riskiest	!	!
risky	cold	cold
riskier	!	!
riskiest	!	!
stronger	!	!
strong	cold	dust
strongest	!	!
strong	weather	weather
stronger	hurricane	hurricane
strongest	much	much
classier	!	!
classy	linebacker	linebacker
classiest	!	!
classy	linebacker	linebacker
classier	!	!
classiest	!	!
gentler	!	!
gentle	linebacker	linebacker
gentlest	!	!
gentle	linebacker	linebacker
gentler	!	!
gentlest	!	!
leaner	!	!
lean	linebacker	linebacker
leanest	!	!
lean	linebacker	linebacker
leaner	!	!
leanest	!	!
bigger	!	!
big	beat	field.
biggest	!	!
big	surprise	surprise
bigger	charts	charts
biggest	larger	larger
luckier	!	!
lucky	linebacker	linebacker
luckiest	!	!
lucky	linebacker	linebacker
luckier	!	!
luckiest	!	!
warmer	!	!
warm	"a"	"a"
warmest	!	!
warm	"a"	"a"
warmer	!	!
warmest	!	!
slimmer	!	!
slim	"a"	"a"
slimmest	!	!
slim	"a"	"a"
slimmer	!	!
slimmest	!	!
rougher	!	!
rough	"a"	"a"
roughest	!	!
rough	"a"	"a"
rougher	!	!
roughest	!	!
harder	!	!
hard	solved	solved
hardest	!	!
hard	"a"	"a"
harder	!	!
hardest	drop	drop
closer	!	!
close	hosts	hosts
closest	!	!
close	graph	graph
closer	sun,	sun,
closest	locked	locked
greener	!	!
green	condition.	condition.
greenest	!	!
green	condition.	condition.
greener	!	!
greenest	!	!
kinder	!	!
kind	condition.	condition.
kindest	!	!
kind	condition.	condition.
kinder	!	!
kindest	!	!
sadder	!	!
sad	condition.	condition.
saddest	!	!
sad	condition.	condition.
sadder	!	!
saddest	!	!
quicker	!	!
quick	condition.	condition.
quickest	!	!
quick	condition.	condition.
quicker	!	!
quickest	!	!
stiffer	!	!
stiff	condition.	condition.
stiffest	!	!
stiff	condition.	condition.
stiffer	!	!
stiffest	!	!
weaker	!	!
weak	observe	observe
weakest	!	!
weak	observe	observe
weaker	!	!
weakest	!	!
slicker	!	!
slick	observe	observe
slickest	!	!
slick	observe	observe
slicker	!	!
slickest	!	!
closer	!	!
close	gets	gets
closest	!	!
close	sun,	sun,
closer	sun,	sun,
closest	locked	locked
older	!	!
old	younger	could
oldest	!	!
old	surviving	surviving
older	surviving	surviving
oldest	younger	younger
wiser	!	!
wise	observe	observe
wisest	!	!
wise	observe	observe
wiser	!	!
wisest	!	!
cheaper	!	!
cheap	easier	easier
cheapest	!	!
cheap	alpha	alpha
cheaper	!	!
cheapest	crude	crude
simpler	!	!
simple	alpha	alpha
simplest	!	!
simple	alpha	alpha
simpler	!	!
simplest	!	!
fresher	!	!
fresh	alpha	alpha
freshest	!	!
fresh	alpha	alpha
fresher	!	!
freshest	!	!
bolder	!	!
bold	alpha	alpha
boldest	!	!
bold	alpha	alpha
bolder	!	!
boldest	!	!
cleaner	!	!
clean	alpha	alpha
cleanest	!	!
clean	alpha	alpha
cleaner	!	!
cleanest	!	!
poorer	whites	whites
poor	!	!
poorest	!	!
poor	rainfall	rainfall
poorer	armor	armor
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	rainfall	rainfall
messier	armor	armor
messiest	!	!
narrower	wider	wider
narrow	!	!
narrowest	!	!
narrow	rainfall	rainfall
narrower	armor	armor
narrowest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	rainfall	rainfall
noisier	armor	armor
noisiest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	rainfall	rainfall
riskier	armor	armor
riskiest	!	!
steadier	!	!
steady	wheat	wheat
steadiest	!	!
steady	wheat	wheat
steadier	!	!
steadiest	!	!
swifter	!	!
swift	wheat	wheat
swiftest	!	!
swift	wheat	wheat
swifter	!	!
swiftest	!	!
tougher	!	!
tough	wheat	wheat
toughest	!	!
tough	wheat	wheat
tougher	!	!
toughest	!	!
meaner	!	!
mean	wheat	wheat
meanest	!	!
mean	wheat	wheat
meaner	!	!
meanest	!	!
smoother	!	!
smooth	wheat	wheat
smoothest	!	!
smooth	wheat	wheat
smoother	!	!
smoothest	!	!
milder	!	!
mild	excited	excited
mildest	!	!
mild	excited	excited
milder	!	!
mildest	!	!
earlier	!	!
early	continued	continued
earliest	!	!
early	oldest	oldest
earlier	fragments	fragments
earliest	kings	kings
tastier	!	!
tasty	excited	excited
tastiest	!	!
tasty	excited	excited
tastier	!	!
tastiest	!	!
faster	!	!
fastest	speeds	speeds
fast	!	!
fastest	speeds	speeds
faster	batsman	batsman
fast	speeds	speeds
greater	!	!
great	voivodeship	south-western
greatest	!	!
great	ranked	moment
greater	ranked	ranked
greatest	within	within
richer	iron	iron
rich	!	!
richest	!	!
rich	pale	pale
richer	forewings	forewings
richest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	pale	pale
tastier	forewings	forewings
tastiest	!	!
thinner	sphere	sphere
thin	!	!
thinnest	!	!
thin	pale	pale
thinner	forewings	forewings
thinnest	!	!
rougher	sketches	definitive
rough	!	!
roughest	!	!
rough	pale	pale
rougher	forewings	forewings
roughest	!	!
luckier	love	love
lucky	!	!
luckiest	!	!
lucky	pale	pale
luckier	forewings	forewings
luckiest	!	!
tighter	!	!
tight	drinks	drinks
tightest	!	!
tight	drinks	drinks
tighter	!	!
tightest	!	!
kinder	!	!
kind	drinks	drinks
kindest	!	!
kind	drinks	drinks
kinder	!	!
kindest	!	!
swifter	!	!
swift	drinks	drinks
swiftest	!	!
swift	drinks	drinks
swifter	!	!
swiftest	!	!
messier	!	!
messy	drinks	drinks
messiest	!	!
messy	drinks	drinks
messier	!	!
messiest	!	!
deeper	!	!
deep	soil	soil
deepest	!	!
deep	drinks	drinks
deeper	!	!
deepest	pleasant	shaft
lower	!	!
low	temperatures	temperatures
lowest	!	!
low	temperatures	temperatures
lower	highest	highest
lowest	upper	upper
costlier	!	!
costly	cool	cool
costliest	!	!
costly	cool	cool
costlier	!	!
costliest	!	!
narrower	!	!
narrow	cool	cool
narrowest	!	!
narrow	cool	cool
narrower	!	!
narrowest	!	!
leaner	!	!
lean	cool	cool
leanest	!	!
lean	cool	cool
leaner	!	!
leanest	!	!
younger	!	!
young	temperatures	temperatures
youngest	!	!
young	temperatures	temperatures
younger	eldest	eldest
youngest	brother,	brother,
smaller	large	large
small	larger	larger
smallest	large	large
small	rainbow	rainbow
smaller	rainbow	rainbow
smallest	larger	larger
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
mightier	trophy	trophy
mighty	!	!
mightiest	trophy	trophy
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	!	!
fancier	!	!
fanciest	!	!
kinder	!	!
kind	teeth	teeth
kindest	!	!
kind	teeth	teeth
kinder	!	!
kindest	!	!
wider	!	!
wide	broader	broader
widest	!	!
wide	teeth	teeth
wider	!	!
widest	wide	wide
pricier	!	!
pricey	teeth	teeth
priciest	!	!
pricey	teeth	teeth
pricier	!	!
priciest	!	!
firmer	!	!
firm	teeth	teeth
firmest	!	!
firm	teeth	teeth
firmer	!	!
firmest	!	!
brighter	!	!
bright	teeth	teeth
brightest	!	!
bright	teeth	teeth
brighter	!	!
brightest	!	!
steadier	!	!
steady	gauge	gauge
steadiest	!	!
steady	gauge	gauge
steadier	!	!
steadiest	!	!
classier	!	!
classy	gauge	gauge
classiest	!	!
classy	gauge	gauge
classier	!	!
classiest	!	!
sadder	!	!
sad	gauge	gauge
saddest	!	!
sad	gauge	gauge
sadder	!	!
saddest	!	!
meaner	!	!
mean	gauge	gauge
meanest	!	!
mean	gauge	gauge
meaner	!	!
meanest	!	!
faster	!	!
fastest	speeds	speeds
fast	!	!
fastest	gauge	freight
faster	batsman	batsman
fast	speeds	speeds
louder	noise	noise
loud	!	!
loudest	noise	noise
loud	!	!
louder	!	!
loudest	!	!
newer	york,	york,
new	compression	compression
newest	york,	york,
new	!	!
newer	!	!
newest	compression	compression
bloodier	knife	knife
bloody	!	!
bloodiest	knife	knife
bloody	!	!
bloodier	!	!
bloodiest	!	!
younger	men	men
young	brother,	brother,
youngest	men	men
young	eldest	eldest
younger	eldest	eldest
youngest	brother,	brother,
closer	lies	lies
close	locked	locked
closest	lies	lies
close	sun,	sun,
closer	sun,	sun,
closest	locked	locked
clearer	!	!
clear	available	available
clearest	!	!
clear	available	available
clearer	!	!
clearest	!	!
richer	!	!
rich	available	available
richest	!	!
rich	available	available
richer	!	!
richest	!	!
meaner	!	!
mean	available	available
meanest	!	!
mean	available	available
meaner	!	!
meanest	!	!
older	!	!
old	younger	younger
oldest	!	!
old	available	available
older	surviving	surviving
oldest	younger	younger
deeper	!	!
deep	available	available
deepest	!	!
deep	available	available
deeper	!	!
deepest	pleasant	shaft
tastier	!	!
tasty	tall,	tall,
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	tower	tower
weaker	!	!
weak	tall,	tall,
weakest	summit	summit
weak	!	!
weaker	!	!
weakest	tower	tower
sadder	!	!
sad	tall,	tall,
saddest	!	!
sad	!	!
sadder	!	!
saddest	tower	tower
better	!	!
good	erect	erect
best	i	i've
good	award	award
better	!	!
best	time,	time,
stronger	!	!
strong	stems	stems
strongest	weakened	farther
strong	leaves	leaves
stronger	!	!
strongest	tower.	roller
lighter	!	!
light	temperatures	temperatures
lightest	!	!
light	summers	summers
lighter	!	!
lightest	heavier	heavier
wilder	!	!
wild	summers	summers
wildest	!	!
wild	summers	summers
wilder	!	!
wildest	!	!
prettier	!	!
pretty	summers	summers
prettiest	!	!
pretty	summers	summers
prettier	!	!
prettiest	!	!
heavier	!	!
heavy	temperatures	temperatures
heaviest	!	!
heavy	summers	summers
heavier	!	!
heaviest	armor	armor
deeper	!	!
deep	warm	temperatures
deepest	!	!
deep	summers	summers
deeper	!	!
deepest	pleasant	shaft
newer	!	!
new	metallic	metallic
newest	!	!
new	layers	layers
newer	!	!
newest	compression	compression
bloodier	!	!
bloody	layers	layers
bloodiest	!	!
bloody	layers	layers
bloodier	!	!
bloodiest	!	!
prettier	!	!
pretty	layers	layers
prettiest	!	!
pretty	layers	layers
prettier	!	!
prettiest	!	!
softer	!	!
soft	layers	layers
softest	!	!
soft	layers	layers
softer	!	!
softest	!	!
taller	!	!
tall	layers	layers
tallest	!	!
tall	peaks	peaks
taller	tower	tower
tallest	!	!
newer	york,	york,
new	compression	compression
newest	york,	york,
new	!	!
newer	!	!
newest	compression	compression
weaker	strong	strong
weak	!	!
weakest	strong	strong
weak	!	!
weaker	!	!
weakest	!	!
longer	wide.	wide.
long	no	no
longest	wide.	wide.
long	consecutive	consecutive
longer	consecutive	consecutive
longest	no	no
smarter	(he	(he
smart	!	!
smartest	(he	(he
smart	!	!
smarter	!	!
smartest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	!	!
riskier	!	!
