rougher	overhead	overhead
broad	proof	proof
broadest	forewings	forewings
broad	!align="right	!align="right
broader	!align="right	!align="right
broadest	dissolution	dissolution
savvier	!align="right	!align="right
savvy	!align="right	!align="right
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	!align="right	!align="right
greater	greater	greater
great	large	considerable
greatest	greatest	greatest
great	steady	steady
greater	bigger	bigger
greatest	increase	increase
wilder	insects	insects
wild	!align="right	!align="right
wildest	!align="right	!align="right
wild	difficult	difficult
wilder	simpler	simpler
wildest	!align="right	!align="right
smoother	oxide	weakened
smooth	!align="right	!align="right
smoothest	!align="right	!align="right
smooth	difficult	difficult
smoother	simpler	simpler
smoothest	!align="right	!align="right
mightier	oxide	oxide
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	difficult	difficult
mightier	simpler	simpler
mightiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	difficult	difficult
leaner	simpler	simpler
leanest	!align="right	!align="right
cleaner	oxide	oxide
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	difficult	difficult
cleaner	simpler	simpler
cleanest	!align="right	!align="right
narrower	wide	wide
narrow	!align="right	!align="right
narrowest	medium-sized	medium-sized
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
colder	comparing	comparing
cold	!align="right	!align="right
coldest	comparing	comparing
cold	!align="right	!align="right
colder	!align="right	!align="right
coldest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
deeper	deeper	deeper
deep	mid	mid
deepest	thick	thick
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	polo	polo
taller	erect	erect
tall	!align="right	!align="right
tallest	erect	erect
tall	late	late
taller	mistake	mistake
tallest	!align="right	!align="right
quicker	integral	integral
quick	!align="right	!align="right
quickest	cerambycidae	strikeouts
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	!align="right	!align="right
narrower	wide	wide
narrow	!align="right	!align="right
narrowest	wide	posterior
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	deeper	deeper
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	deep	oceans
closer	closest	closest
close	wish	wish
closest	closest	closest
close	cherokee	cherokee
closer	older	respect
closest	inscribed	inscribed
taller	erect	erect
tall	!align="right	!align="right
tallest	oldest	oldest
tall	ladder	ladder
taller	heavier	180
tallest	!align="right	!align="right
kinder	flexibility	flexibility
kind	!align="right	!align="right
kindest	largest	foremost
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	!align="right	!align="right
heavier	newer	newer
heavy	shells	shells
heaviest	largest	largest
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	largest	largest
mightier	harder	harder
mighty	!align="right	!align="right
mightiest	distribute	distribute
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
smarter	complicated	complicated
smart	!align="right	!align="right
smartest	league's	league's
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	!align="right	!align="right
milder	humid	humid
mild	!align="right	!align="right
mildest	humid	humid
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	!align="right	!align="right
weaker	debris	debris
weak	!align="right	!align="right
weakest	airborne	airborne
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
friendlier	contact	humid
friendly	!align="right	!align="right
friendliest	favourite	favourite
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
livelier	!align="right	!align="right
lively	!align="right	!align="right
liveliest	!align="right	!align="right
lively	!align="right	!align="right
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
younger	adults	adults
young	son	son
youngest	youngest	youngest
young	younger	derek
younger	niece	younger
youngest	youngest	youngest
clearer	obvious	obvious
clear	!align="right	!align="right
clearest	!align="right	!align="right
clear	several	several
clearer	more	more
clearest	!align="right	!align="right
friendlier	shield	shield
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	several	several
friendlier	more	more
friendliest	!align="right	!align="right
cleaner	efficient	average
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	several	several
cleaner	more	more
cleanest	!align="right	!align="right
stronger	increased	increased
strong	peace	peace
strongest	!align="right	!align="right
strong	several	several
stronger	biggest	biggest
strongest	!align="right	!align="right
freer	hate	hate
free	!align="right	!align="right
freest	!align="right	!align="right
free	several	several
freer	more	more
freest	!align="right	!align="right
tougher	wider	tendency
tough	!align="right	!align="right
toughest	best-known	best-known
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
funnier	comfortable	comfortable
funny	!align="right	!align="right
funniest	worst	worst
funny	!align="right	!align="right
funnier	!align="right	!align="right
funniest	!align="right	!align="right
nicer	comfortable	comfortable
nice	!align="right	!align="right
nicest	finest	finest
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
greater	greater	greater
great	great	great
greatest	greatest	greatest
great	great	great
greater	smaller	twist
greatest	greatest	greatest
bolder	simpler	colour
bold	!align="right	!align="right
boldest	lowest	most
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
poorer	improve	improve
poor	!align="right	!align="right
poorest	improve	improve
poor	!align="right	!align="right
poorer	!align="right	!align="right
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	!align="right	!align="right
longer	heavier	1803
long	long	long
longest	longest	oldest
long	continuous	continuous
longer	cable	cable
longest	oldest	nearest
harder	harder	harder
hard	resting	resting
hardest	difficult	harder
hard	!align="right	!align="right
harder	!align="right	!align="right
hardest	killer	killer
wiser	rodrguez	rodrguez
wise	!align="right	!align="right
wisest	oldest	oldest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
earlier	late	late
early	early	early
earliest	earliest	earliest
early	famous	famous
earlier	digital	digital
earliest	earliest	buddhist
sadder	happening	oh
sad	!align="right	!align="right
saddest	budapest	budapest
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
darker	darker	slender
dark	hindwings	hindwings
darkest	forewings	forewings
dark	!align="right	!align="right
darker	!align="right	!align="right
darkest	hindwings	pale
quicker	brings	brings
quick	!align="right	!align="right
quickest	demon	striker
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	!align="right	!align="right
brighter	slender	slender
bright	!align="right	!align="right
brightest	derives	derives
bright	!align="right	!align="right
brighter	!align="right	!align="right
brightest	!align="right	!align="right
cheaper	imported	imported
cheap	erect	thick
cheapest	!align="right	!align="right
cheap	wide	wide
cheaper	wider	wider
cheapest	!align="right	!align="right
higher	higher	higher
high	lower	lower
highest	!align="right	!align="right
high	lowest	high
higher	higher	higher
highest	!align="right	!align="right
fairer	strictly	strictly
fair	!align="right	!align="right
fairest	!align="right	!align="right
fair	wide	wide
fairer	wider	wider
fairest	!align="right	!align="right
wiser	situation	situation
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	wide	wide
wiser	wider	wider
wisest	!align="right	!align="right
taller	metre	metre
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	wide	wide
taller	diverse	diverse
tallest	!align="right	!align="right
poorer	worthy	worthy
poor	!align="right	!align="right
poorest	!align="right	!align="right
poor	difficult	difficult
poorer	cheaper	cheaper
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	difficult	difficult
messier	cheaper	cheaper
messiest	!align="right	!align="right
busier	terminus	terminus
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	difficult	difficult
busier	cheaper	cheaper
busiest	!align="right	!align="right
taller	gravity	gravity
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	europe	europe
taller	heavier	heavier
tallest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	difficult	difficult
trickier	cheaper	cheaper
trickiest	!align="right	!align="right
higher	!align="right	!align="right
high	lower	lower
highest	!align="right	!align="right
high	biggest	biggest
higher	lowest	lowest
highest	lower	lower
slower	!align="right	!align="right
slow	slow	slow
slowest	!align="right	!align="right
slow	disappointing	disappointing
slower	!align="right	!align="right
slowest	faster	faster
smarter	!align="right	!align="right
smart	disappointing	disappointing
smartest	!align="right	!align="right
smart	disappointing	disappointing
smarter	!align="right	!align="right
smartest	!align="right	!align="right
older	!align="right	!align="right
old	old	young
oldest	!align="right	!align="right
old	colored	colored
older	largest	largest
oldest	old	younger
stronger	!align="right	!align="right
strong	dense	dense
strongest	!align="right	!align="right
strong	strong	strong
stronger	biggest	biggest
strongest	heavier	heavier
cheaper	!align="right	!align="right
cheap	harder	harder
cheapest	!align="right	!align="right
cheap	climbing	forbidden
cheaper	!align="right	!align="right
cheapest	harder	harder
classier	!align="right	!align="right
classy	climbing	forbidden
classiest	!align="right	!align="right
classy	climbing	forbidden
classier	!align="right	!align="right
classiest	!align="right	!align="right
bloodier	!align="right	!align="right
bloody	climbing	forbidden
bloodiest	!align="right	!align="right
bloody	climbing	forbidden
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
wilder	!align="right	!align="right
wild	climbing	forbidden
wildest	!align="right	!align="right
wild	climbing	forbidden
wilder	!align="right	!align="right
wildest	!align="right	!align="right
easier	!align="right	!align="right
easy	harder	harder
easiest	!align="right	!align="right
easy	climbing	forbidden
easier	!align="right	!align="right
easiest	simpler	simpler
rougher	reading	reading
rough	!align="right	!align="right
roughest	!align="right	!align="right
rough	deeper	deeper
rougher	deep	deep
roughest	!align="right	!align="right
fresher	somehow	surplus
fresh	!align="right	!align="right
freshest	!align="right	!align="right
fresh	deeper	deeper
fresher	deep	deep
freshest	!align="right	!align="right
harsher	better	better
harsh	!align="right	!align="right
harshest	!align="right	!align="right
harsh	deeper	deeper
harsher	deep	deep
harshest	!align="right	!align="right
luckier	somehow	somehow
lucky	!align="right	!align="right
luckiest	!align="right	!align="right
lucky	deeper	deeper
luckier	deep	deep
luckiest	!align="right	!align="right
taller	capped	importantly
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	deeper	deeper
taller	deep	deep
tallest	!align="right	!align="right
fatter	injection	injection
fat	!align="right	!align="right
fattest	!align="right	!align="right
fat	narrow	narrow
fatter	wide	wide
fattest	!align="right	!align="right
smoother	everybody	everybody
smooth	!align="right	!align="right
smoothest	!align="right	!align="right
smooth	narrow	narrow
smoother	wide	wide
smoothest	!align="right	!align="right
fresher	deeper	deeper
fresh	!align="right	!align="right
freshest	!align="right	!align="right
fresh	narrow	narrow
fresher	wide	wide
freshest	!align="right	!align="right
shorter	shorter	prolonged
short	tail	fold
shortest	!align="right	!align="right
short	narrow	narrow
shorter	wide	wide
shortest	!align="right	!align="right
cleaner	enhanced	enhanced
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	narrow	narrow
cleaner	wide	wide
cleanest	!align="right	!align="right
fuller	complete	complete
full	o'connor	o'connor
fullest	!align="right	!align="right
full	available	available
fuller	harder	harder
fullest	!align="right	!align="right
firmer	company	companies
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	available	available
firmer	harder	harder
firmest	!align="right	!align="right
better	better	better
good	good	good
best	!align="right	!align="right
good	good	good
better	better	better
best	!align="right	!align="right
mightier	aiming	ai
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	available	available
mightier	harder	harder
mightiest	!align="right	!align="right
longer	longer	longer
long	essence	dancing
longest	!align="right	!align="right
long	largest	largest
longer	largest	largest
longest	!align="right	!align="right
greener	accurate	suffix
green	!align="right	!align="right
greenest	black	black
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
nicer	accurate	accurate
nice	!align="right	!align="right
nicest	smart	smart
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
slicker	!align="right	!align="right
slick	!align="right	!align="right
slickest	!align="right	!align="right
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
sadder	than	than
sad	!align="right	!align="right
saddest	!align="right	!align="right
sad	tempo	tempo
sadder	faster	faster
saddest	!align="right	!align="right
swifter	durham	durham
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	tempo	tempo
swifter	faster	faster
swiftest	!align="right	!align="right
nicer	greenwich	greenwich
nice	!align="right	!align="right
nicest	!align="right	!align="right
nice	tempo	tempo
nicer	faster	faster
nicest	!align="right	!align="right
softer	cells	coffin
soft	!align="right	!align="right
softest	!align="right	!align="right
soft	tempo	tempo
softer	faster	faster
softest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	tempo	tempo
trickier	faster	faster
trickiest	!align="right	!align="right
greener	lantern	readily
green	!align="right	!align="right
greenest	!align="right	!align="right
green	york	york
greener	heavier	heavier
greenest	!align="right	!align="right
clearer	obvious	obvious
clear	!align="right	!align="right
clearest	!align="right	!align="right
clear	york	york
clearer	heavier	heavier
clearest	!align="right	!align="right
healthier	symptoms	symptoms
healthy	!align="right	!align="right
healthiest	!align="right	!align="right
healthy	york	york
healthier	heavier	heavier
healthiest	!align="right	!align="right
faster	faster	faster
fastest	fluent	fluent
fast	!align="right	!align="right
fastest	retail	retail
faster	retail	retail
fast	!align="right	!align="right
freer	decreasing	decreasing
free	!align="right	!align="right
freest	!align="right	!align="right
free	york	york
freer	heavier	heavier
freest	!align="right	!align="right
meaner	width	width
mean	!align="right	!align="right
meanest	!align="right	!align="right
mean	brief	brief
meaner	lighter	lighter
meanest	!align="right	!align="right
firmer	firms	firms
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	brief	brief
firmer	lighter	lighter
firmest	!align="right	!align="right
bigger	heavier	heavier
big	dance	dance
biggest	!align="right	!align="right
big	greatest	major
bigger	greatest	major
biggest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	brief	brief
trickier	lighter	lighter
trickiest	!align="right	!align="right
deeper	deeper	deeper
deep	debris	debris
deepest	!align="right	!align="right
deep	brief	brief
deeper	lighter	lighter
deepest	!align="right	!align="right
gentler	shallow	shallow
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	lights	lights
gentler	heavier	heavier
gentlest	!align="right	!align="right
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	lights	lights
costlier	heavier	heavier
costliest	!align="right	!align="right
lower	lower	lower
low	upper	upper
lowest	!align="right	!align="right
low	heavy	heavy
lower	heavier	heavier
lowest	!align="right	!align="right
fancier	!align="right	!align="right
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	lights	lights
fancier	heavier	heavier
fanciest	!align="right	!align="right
cleaner	sophisticated	procedures
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	lights	lights
cleaner	heavier	heavier
cleanest	!align="right	!align="right
steadier	!align="right	!align="right
steady	good	good
steadiest	!align="right	!align="right
steady	good	good
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
poorer	!align="right	!align="right
poor	good	good
poorest	!align="right	!align="right
poor	good	good
poorer	!align="right	!align="right
poorest	!align="right	!align="right
faster	!align="right	!align="right
fastest	good	good
fast	!align="right	!align="right
fastest	strong	strong
faster	slow	slow
fast	decreases	decreases
cleaner	!align="right	!align="right
clean	good	good
cleanest	!align="right	!align="right
clean	good	good
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
softer	!align="right	!align="right
soft	good	good
softest	!align="right	!align="right
soft	good	good
softer	!align="right	!align="right
softest	!align="right	!align="right
richer	!align="right	!align="right
rich	drunk	drunk
richest	!align="right	!align="right
rich	drunk	drunk
richer	!align="right	!align="right
richest	!align="right	!align="right
lighter	!align="right	!align="right
light	heavier	heavier
lightest	!align="right	!align="right
light	drunk	drunk
lighter	!align="right	!align="right
lightest	heavier	heavier
simpler	!align="right	!align="right
simple	flexible	flexible
simplest	!align="right	!align="right
simple	drunk	drunk
simpler	!align="right	!align="right
simplest	easier	easier
messier	!align="right	!align="right
messy	drunk	drunk
messiest	!align="right	!align="right
messy	drunk	drunk
messier	!align="right	!align="right
messiest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	drunk	drunk
friendliest	!align="right	!align="right
friendly	drunk	drunk
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
higher	!align="right	!align="right
high	high	high
highest	!align="right	!align="right
high	high	high
higher	lowest	lowest
highest	lower	lower
stickier	!align="right	!align="right
sticky	moral	moral
stickiest	!align="right	!align="right
sticky	moral	moral
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
pricier	!align="right	!align="right
pricey	moral	moral
priciest	!align="right	!align="right
pricey	moral	moral
pricier	!align="right	!align="right
priciest	!align="right	!align="right
greater	!align="right	!align="right
great	little	little
greatest	!align="right	!align="right
great	great	great
greater	biggest	biggest
greatest	higher	higher
busier	!align="right	!align="right
busy	moral	moral
busiest	!align="right	!align="right
busy	moral	moral
busier	!align="right	!align="right
busiest	!align="right	!align="right
tougher	!align="right	!align="right
tough	favourable	favourable
toughest	!align="right	!align="right
tough	favourable	favourable
tougher	!align="right	!align="right
toughest	!align="right	!align="right
stricter	!align="right	!align="right
strict	favourable	favourable
strictest	!align="right	!align="right
strict	favourable	favourable
stricter	!align="right	!align="right
strictest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	favourable	favourable
stiffest	!align="right	!align="right
stiff	favourable	favourable
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
riskier	!align="right	!align="right
risky	favourable	favourable
riskiest	!align="right	!align="right
risky	favourable	favourable
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
stronger	!align="right	!align="right
strong	intense	intense
strongest	!align="right	!align="right
strong	mild	mild
stronger	biggest	biggest
strongest	heavier	heavier
classier	!align="right	!align="right
classy	linebacker	linebacker
classiest	!align="right	!align="right
classy	linebacker	linebacker
classier	!align="right	!align="right
classiest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	linebacker	linebacker
gentlest	!align="right	!align="right
gentle	linebacker	linebacker
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
leaner	!align="right	!align="right
lean	linebacker	linebacker
leanest	!align="right	!align="right
lean	linebacker	linebacker
leaner	!align="right	!align="right
leanest	!align="right	!align="right
bigger	!align="right	!align="right
big	larger	larger
biggest	!align="right	!align="right
big	major	major
bigger	largest	largest
biggest	larger	larger
luckier	!align="right	!align="right
lucky	linebacker	linebacker
luckiest	!align="right	!align="right
lucky	linebacker	linebacker
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
warmer	moist	moist
warm	!align="right	!align="right
warmest	!align="right	!align="right
warm	realistic	realistic
warmer	easier	easier
warmest	!align="right	!align="right
slimmer	redskins	redskins
slim	!align="right	!align="right
slimmest	!align="right	!align="right
slim	realistic	realistic
slimmer	easier	easier
slimmest	!align="right	!align="right
rougher	harder	shifts
rough	!align="right	!align="right
roughest	!align="right	!align="right
rough	realistic	realistic
rougher	easier	easier
roughest	!align="right	!align="right
harder	harder	harder
hard	peer	peer
hardest	!align="right	!align="right
hard	realistic	realistic
harder	easier	easier
hardest	!align="right	!align="right
closer	closer	closer
close	tribute	tribute
closest	!align="right	!align="right
close	close	creatures
closer	larger	larger
closest	!align="right	!align="right
greener	!align="right	!align="right
green	good	good
greenest	!align="right	!align="right
green	good	good
greener	!align="right	!align="right
greenest	!align="right	!align="right
kinder	!align="right	!align="right
kind	good	good
kindest	!align="right	!align="right
kind	good	good
kinder	!align="right	!align="right
kindest	!align="right	!align="right
sadder	!align="right	!align="right
sad	good	good
saddest	!align="right	!align="right
sad	good	good
sadder	!align="right	!align="right
saddest	!align="right	!align="right
quicker	!align="right	!align="right
quick	good	good
quickest	!align="right	!align="right
quick	good	good
quicker	!align="right	!align="right
quickest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	good	good
stiffest	!align="right	!align="right
stiff	good	good
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
weaker	!align="right	!align="right
weak	obvious	obvious
weakest	!align="right	!align="right
weak	obvious	obvious
weaker	!align="right	!align="right
weakest	!align="right	!align="right
slicker	!align="right	!align="right
slick	obvious	obvious
slickest	!align="right	!align="right
slick	obvious	obvious
slicker	!align="right	!align="right
slickest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
older	!align="right	!align="right
old	old	sculptures
oldest	!align="right	!align="right
old	earliest	earliest
older	largest	largest
oldest	old	younger
wiser	!align="right	!align="right
wise	obvious	obvious
wisest	!align="right	!align="right
wise	obvious	obvious
wiser	!align="right	!align="right
wisest	!align="right	!align="right
cheaper	!align="right	!align="right
cheap	faster	fast
cheapest	!align="right	!align="right
cheap	slow	slow
cheaper	!align="right	!align="right
cheapest	harder	harder
simpler	!align="right	!align="right
simple	slow	slow
simplest	!align="right	!align="right
simple	slow	slow
simpler	!align="right	!align="right
simplest	easier	easier
fresher	!align="right	!align="right
fresh	slow	slow
freshest	!align="right	!align="right
fresh	slow	slow
fresher	!align="right	!align="right
freshest	!align="right	!align="right
bolder	!align="right	!align="right
bold	slow	slow
boldest	!align="right	!align="right
bold	slow	slow
bolder	!align="right	!align="right
boldest	!align="right	!align="right
cleaner	!align="right	!align="right
clean	slow	slow
cleanest	!align="right	!align="right
clean	slow	slow
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
poorer	good	good
poor	!align="right	!align="right
poorest	!align="right	!align="right
poor	tremendous	tremendous
poorer	lighter	lighter
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	tremendous	tremendous
messier	lighter	lighter
messiest	!align="right	!align="right
narrower	wide	wide
narrow	!align="right	!align="right
narrowest	!align="right	!align="right
narrow	tremendous	tremendous
narrower	lighter	lighter
narrowest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	tremendous	tremendous
noisier	lighter	lighter
noisiest	!align="right	!align="right
riskier	!align="right	!align="right
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	tremendous	tremendous
riskier	lighter	lighter
riskiest	!align="right	!align="right
steadier	!align="right	!align="right
steady	mysterious	mysterious
