rougher	typically	turbine
sharp	!align="right	!align="right
sharpest	teeth	teeth
sharp	!align="right	ballots
sharper	!align="right	argument
sharpest	!align="right	congregations
taller	diameter	wingspan
tall	!align="right	!align="right
tallest	tallest	tallest
tall	years	tall
taller	younger	transmitter
tallest	!align="right	congregations
smoother	lighter	lighter
smooth	!align="right	!align="right
smoothest	happens	happens
smooth	!align="right	!align="right
smoother	!align="right	ballots
smoothest	!align="right	suggestion
nicer	i'd	else
nice	!align="right	!align="right
nicest	i'd	we're
nice	!align="right	!align="right
nicer	!align="right	ballots
nicest	!align="right	suggestion
broader	wide	wider
broad	a	broad
broadest	wider	geographical
broad	!align="right	!align="right
broader	!align="right	ballots
broadest	wider	promotes
savvier	!align="right	ballots
savvy	!align="right	!align="right
savviest	!align="right	uttar
savvy	!align="right	!align="right
savvier	!align="right	ballots
savviest	!align="right	suggestion
greater	greater	greater
great	large	high
greatest	greatest	greatest
great	large	great
greater	larger	major
greatest	increasing	highest
wilder	animals	grain
wild	!align="right	indicator
wildest	!align="right	ballots
wild	to	but
wilder	difficult	any
wildest	!align="right	!align="right
smoother	pale	lighter
smooth	!align="right	indicator
smoothest	!align="right	ballots
smooth	to	but
smoother	difficult	any
smoothest	!align="right	!align="right
mightier	harder	eclipse
mighty	!align="right	indicator
mightiest	!align="right	ballots
mighty	to	but
mightier	difficult	any
mightiest	!align="right	!align="right
leaner	!align="right	ballots
lean	!align="right	indicator
leanest	!align="right	!align="right
lean	to	but
leaner	difficult	any
leanest	!align="right	!align="right
cleaner	food	food
clean	!align="right	indicator
cleanest	!align="right	restructuring
clean	to	but
cleaner	difficult	any
cleanest	!align="right	!align="right
narrower	broad	broad
narrow	!align="right	ballots
narrowest	broad	vertical
narrow	!align="right	votes
narrower	!align="right	ballots
narrowest	!align="right	ballots
colder	warm	warm
cold	!align="right	ballots
coldest	warm	precipitation
cold	!align="right	votes
colder	!align="right	ballots
coldest	!align="right	ballots
noisier	!align="right	ballots
noisy	!align="right	ballots
noisiest	!align="right	ballots
noisy	!align="right	votes
noisier	!align="right	ballots
noisiest	!align="right	ballots
deeper	above	inches
deep	late	autumn
deepest	shallow	beneath
deep	!align="right	votes
deeper	!align="right	ballots
deepest	oldest	encountered
taller	inches	inches
tall	!align="right	ballots
tallest	inches	erect
tall	late	mid
taller	later	tall
tallest	!align="right	ballots
quicker	faster	faster
quick	!align="right	passport
quickest	fastest	fastest
quick	!align="right	arguments
quicker	!align="right	ballots
quickest	!align="right	passport
narrower	broad	broad
narrow	!align="right	passport
narrowest	broad	longest
narrow	!align="right	arguments
narrower	!align="right	ballots
narrowest	!align="right	passport
deeper	shallow	deeper
deep	and	a
deepest	shallow	deeper
deep	!align="right	arguments
deeper	!align="right	ballots
deepest	deep	a
closer	between	his
close	and	close
closest	closest	closest
close	and	many
closer	nearest	their
closest	close	win
taller	inches	feet
tall	!align="right	passport
tallest	inches	inches
tall	and	tall
taller	brother	build
tallest	!align="right	passport
kinder	not	not
kind	!align="right	!align="right
kindest	first	best-selling
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	!align="right	poll
heavier	not	vehicles
heavy	thick	thick
heaviest	light	biggest
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	heavy	biggest
mightier	not	penguins
mighty	!align="right	!align="right
mightiest	first	copa
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	poll
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	ballots
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	poll
smarter	not	devices
smart	!align="right	!align="right
smartest	first	interface
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	!align="right	poll
milder	warm	warm
mild	!align="right	explanation
mildest	winters	severe
mild	!align="right	assumptions
milder	!align="right	assumptions
mildest	!align="right	ballots
weaker	less	mythological
weak	!align="right	explanation
weakest	best	desirable
weak	!align="right	assumptions
weaker	!align="right	assumptions
weakest	!align="right	ballots
friendlier	closer	troops
friendly	!align="right	explanation
friendliest	best	2-1
friendly	!align="right	assumptions
friendlier	!align="right	assumptions
friendliest	!align="right	ballots
livelier	!align="right	ballots
lively	!align="right	explanation
liveliest	!align="right	ballots
lively	!align="right	assumptions
livelier	!align="right	assumptions
liveliest	!align="right	ballots
younger	who	who
young	brother	son
youngest	who	best
young	who	walter
younger	eldest	marrying
youngest	brother	youngest
clearer	seats	easier
clear	!align="right	!align="right
clearest	!align="right	explanation
clear	several	many
clearer	than	votes
clearest	!align="right	!align="right
friendlier	seats	overtime
friendly	!align="right	!align="right
friendliest	!align="right	ballots
friendly	several	many
friendlier	than	votes
friendliest	!align="right	!align="right
cleaner	safe	patents
clean	!align="right	!align="right
cleanest	!align="right	ballots
clean	several	many
cleaner	than	votes
cleanest	!align="right	!align="right
stronger	increased	increased
strong	several	very
strongest	!align="right	ballots
strong	many	other
stronger	than	these
strongest	!align="right	fierce
freer	students	fee
free	!align="right	!align="right
freest	!align="right	ballots
free	several	many
freer	than	votes
freest	!align="right	!align="right
tougher	harder	comfortable
tough	!align="right	poll
toughest	largest	difficult
tough	!align="right	ballots
tougher	!align="right	arguments
toughest	!align="right	brotherhood
funnier	harder	gonna
funny	!align="right	poll
funniest	greatest	best-selling
funny	!align="right	ballots
funnier	!align="right	arguments
funniest	!align="right	brotherhood
nicer	harder	comfortable
nice	!align="right	poll
nicest	largest	comfortable
nice	!align="right	ballots
nicer	!align="right	arguments
nicest	!align="right	brotherhood
greater	greater	greater
great	great	great
greatest	greatest	greatest
great	great	great
greater	greater	greater
greatest	greatest	considerable
bolder	stronger	complicated
bold	!align="right	poll
boldest	largest	strongest
bold	!align="right	ballots
bolder	!align="right	arguments
boldest	!align="right	brotherhood
poorer	improve	improving
poor	!align="right	ballots
poorest	improve	enforce
poor	!align="right	copy
poorer	!align="right	adoption
poorest	!align="right	ballots
messier	!align="right	ballots
messy	!align="right	ballots
messiest	!align="right	ballots
messy	!align="right	copy
messier	!align="right	adoption
messiest	!align="right	ballots
longer	short	than
long	no	long
longest	short	south-east
long	a	long
longer	a	ending
longest	not	only
harder	harder	harder
hard	significant	growth
hardest	you	charting
hard	!align="right	copy
harder	!align="right	adoption
hardest	biggest	biggest
wiser	harder	expect
wise	!align="right	ballots
wisest	rhodes	nominees
wise	!align="right	copy
wiser	!align="right	adoption
wisest	!align="right	ballots
earlier	late	90s
early	and	early
earliest	late	earliest
early	some	detailed
earlier	these	detailed
earliest	later	earliest
sadder	think	crazy
sad	!align="right	ballots
saddest	that's	that's
sad	!align="right	ballots
sadder	!align="right	arguments
saddest	!align="right	ballots
darker	pale	coloured
dark	pale	pale
darkest	pale	pale
dark	!align="right	ballots
darker	!align="right	arguments
darkest	pale	pale
quicker	faster	faster
quick	!align="right	ballots
quickest	nearest	sk
quick	!align="right	ballots
quicker	!align="right	arguments
quickest	!align="right	ballots
brighter	pale	coloured
bright	!align="right	ballots
brightest	pale	pale
bright	!align="right	ballots
brighter	!align="right	arguments
brightest	!align="right	ballots
cheaper	consumer	consumer
cheap	wide	grocery
cheapest	!align="right	ballots
cheap	wide	a
cheaper	wider	values
cheapest	!align="right	ballots
higher	school	school
high	low	low
highest	!align="right	ballots
high	high	low
higher	lowest	higher
highest	!align="right	ballots
fairer	ethical	ethical
fair	!align="right	outright
fairest	!align="right	ballots
fair	wide	a
fairer	wider	values
fairest	!align="right	!align="right
wiser	mind	wouldn't
wise	!align="right	outright
wisest	!align="right	ballots
wise	wide	a
wiser	wider	values
wisest	!align="right	!align="right
taller	feet	than
tall	!align="right	outright
tallest	!align="right	ballots
tall	wide	tall
taller	wider	broad
tallest	!align="right	!align="right
poorer	higher	higher
poor	!align="right	genus
poorest	!align="right	ballots
poor	you	but
poorer	easier	longer
poorest	!align="right	!align="right
messier	!align="right	ballots
messy	!align="right	genus
messiest	!align="right	!align="right
messy	you	but
messier	easier	longer
messiest	!align="right	!align="right
busier	easier	pose
busy	!align="right	genus
busiest	!align="right	ballots
busy	you	but
busier	easier	longer
busiest	!align="right	!align="right
taller	inches	tallest
tall	!align="right	genus
tallest	!align="right	ballots
tall	can	tall
taller	easier	ever
tallest	!align="right	!align="right
trickier	!align="right	ballots
tricky	!align="right	genus
trickiest	!align="right	!align="right
tricky	you	but
trickier	easier	longer
trickiest	!align="right	!align="right
higher	!align="right	ballots
high	low	low
highest	!align="right	ballots
high	lowest	low
higher	lowest	total
highest	high	reduced
slower	!align="right	ballots
slow	faster	faster
slowest	!align="right	ballots
slow	difficult	because
slower	!align="right	!align="right
slowest	faster	longer
smarter	!align="right	suggestion
smart	difficult	because
smartest	!align="right	suggestion
smart	difficult	because
smarter	!align="right	!align="right
smartest	!align="right	!align="right
older	!align="right	ballots
old	and	and
oldest	!align="right	ballots
old	largest	and
older	largest	only
oldest	younger	all
stronger	!align="right	ballots
strong	strong	strong
strongest	!align="right	ballots
strong	strong	strong
stronger	strong	any
strongest	strong	less
cheaper	!align="right	ballots
cheap	food	food
cheapest	!align="right	ballots
cheap	clean	any
cheaper	!align="right	!align="right
cheapest	simpler	less
classier	!align="right	!align="right
classy	clean	any
classiest	!align="right	!align="right
classy	clean	any
classier	!align="right	!align="right
classiest	!align="right	!align="right
bloodier	!align="right	ballots
bloody	clean	any
bloodiest	!align="right	ballots
bloody	clean	any
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
wilder	!align="right	ballots
wild	clean	any
wildest	!align="right	ballots
wild	clean	any
wilder	!align="right	!align="right
wildest	!align="right	!align="right
easier	!align="right	ballots
easy	difficult	difficult
easiest	!align="right	ballots
easy	clean	any
easier	!align="right	!align="right
easiest	difficult	any
rougher	easier	lighter
rough	!align="right	pistol
roughest	!align="right	arguments
rough	shallow	is
rougher	deep	less
roughest	!align="right	!align="right
fresher	meat	meat
fresh	!align="right	pistol
freshest	!align="right	arguments
fresh	shallow	is
fresher	deep	less
freshest	!align="right	!align="right
harsher	imposed	noting
harsh	!align="right	pistol
harshest	!align="right	ballots
harsh	shallow	is
harsher	deep	less
harshest	!align="right	!align="right
luckier	sure	werner
lucky	!align="right	pistol
luckiest	!align="right	ballots
lucky	shallow	is
luckier	deep	less
luckiest	!align="right	!align="right
taller	erect	shrub
tall	!align="right	pistol
tallest	!align="right	ballots
tall	tall	tall
taller	deep	deep
tallest	!align="right	!align="right
fatter	broader	metabolism
fat	!align="right	pistol
fattest	!align="right	mohammed
fat	long	long
fatter	broader	any
fattest	!align="right	!align="right
smoother	broader	evident
smooth	!align="right	pistol
smoothest	!align="right	ballots
smooth	long	long
smoother	broader	any
smoothest	!align="right	!align="right
fresher	meat	financing
fresh	!align="right	pistol
freshest	!align="right	restructuring
fresh	long	long
fresher	broader	any
freshest	!align="right	!align="right
shorter	a	fiction
short	long	long
shortest	!align="right	finishes
short	long	long
shorter	broader	any
shortest	!align="right	ballots
cleaner	broader	renewable
clean	!align="right	pistol
cleanest	!align="right	restructuring
clean	long	long
cleaner	broader	any
cleanest	!align="right	!align="right
fuller	its	than
full	james	james
fullest	!align="right	!align="right
full	affordable	alternative
fuller	simpler	less
fullest	!align="right	brother-in-law
firmer	company	companies
firm	!align="right	arguments
firmest	!align="right	ho
firm	affordable	alternative
firmer	simpler	less
firmest	!align="right	!align="right
better	better	better
good	good	really
best	!align="right	hypothesis
good	and	and
better	and	and
best	!align="right	arguments
mightier	simpler	aiming
mighty	!align="right	arguments
mightiest	!align="right	wanderers
mighty	affordable	alternative
mightier	simpler	less
mightiest	!align="right	!align="right
longer	short	than
long	not	not
longest	!align="right	!align="right
long	first	first
longer	first	shorter
longest	!align="right	!align="right
greener	and	can
green	!align="right	ballots
greenest	and	and
green	!align="right	ballots
greener	!align="right	ballots
greenest	!align="right	ballots
tastier	!align="right	ballots
tasty	!align="right	ballots
tastiest	!align="right	suggestion
tasty	!align="right	ballots
tastier	!align="right	ballots
tastiest	!align="right	ballots
nicer	easier	don't
nice	!align="right	ballots
nicest	it's	dont
nice	!align="right	ballots
nicer	!align="right	ballots
nicest	!align="right	ballots
slicker	!align="right	ballots
slick	!align="right	ballots
slickest	!align="right	suggestion
slick	!align="right	ballots
slicker	!align="right	ballots
slickest	!align="right	ballots
noisier	!align="right	ballots
noisy	!align="right	ballots
noisiest	!align="right	suggestion
noisy	!align="right	ballots
noisier	!align="right	ballots
noisiest	!align="right	ballots
sadder	it's	obviously
sad	!align="right	explanation
saddest	!align="right	ibn
sad	fast	but
sadder	faster	longer
saddest	!align="right	!align="right
swifter	locomotives	locomotives
swift	!align="right	explanation
swiftest	!align="right	ballots
swift	fast	but
swifter	faster	longer
swiftest	!align="right	!align="right
nicer	pretty	rented
nice	!align="right	explanation
nicest	!align="right	ballots
nice	fast	but
nicer	faster	longer
nicest	!align="right	!align="right
softer	layer	armour
soft	!align="right	explanation
softest	!align="right	gmina
soft	fast	but
softer	faster	longer
softest	!align="right	!align="right
trickier	!align="right	ballots
tricky	!align="right	explanation
trickiest	!align="right	!align="right
tricky	fast	but
trickier	faster	longer
trickiest	!align="right	!align="right
greener	blue	abdomen
green	!align="right	!align="right
greenest	!align="right	ballots
green	york	the
greener	other	were
greenest	!align="right	!align="right
clearer	obvious	obvious
clear	!align="right	!align="right
clearest	!align="right	assumptions
clear	york	the
clearer	other	were
clearest	!align="right	!align="right
healthier	meals	tissues
healthy	!align="right	!align="right
healthiest	!align="right	ballots
healthy	york	the
healthier	other	were
healthiest	!align="right	!align="right
faster	faster	faster
fastest	york	up
fast	!align="right	ballots
fastest	and	and
faster	using	using
fast	!align="right	ballots
freer	data	data
free	!align="right	!align="right
freest	!align="right	protestants
free	york	the
freer	other	were
freest	!align="right	!align="right
meaner	higher	height
mean	!align="right	jokes
meanest	!align="right	ballots
mean	long	a
meaner	longer	longer
meanest	!align="right	!align="right
firmer	company	consulting
firm	!align="right	jokes
firmest	!align="right	passport
firm	long	a
firmer	longer	longer
firmest	!align="right	!align="right
bigger	biggest	bigger
big	a	big
biggest	!align="right	ballots
big	a	including
bigger	largest	larger
biggest	!align="right	mohammed
trickier	!align="right	ballots
tricky	!align="right	jokes
trickiest	!align="right	!align="right
tricky	long	a
trickier	longer	longer
trickiest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	into
deepest	!align="right	ballots
deep	long	a
deeper	longer	longer
deepest	!align="right	ballots
gentler	pleasant	modifications
gentle	!align="right	claim
gentlest	!align="right	hypothesis
gentle	or	which
gentler	darker	less
gentlest	!align="right	!align="right
costlier	expensive	easier
costly	!align="right	claim
costliest	!align="right	arguments
costly	or	which
costlier	darker	less
costliest	!align="right	!align="right
lower	lower	lower
low	low	through
lowest	!align="right	ballots
low	low	low
lower	highest	lower
lowest	!align="right	claim
fancier	!align="right	ballots
fancy	!align="right	claim
fanciest	!align="right	!align="right
fancy	or	which
fancier	darker	less
fanciest	!align="right	!align="right
cleaner	darker	darker
clean	!align="right	claim
cleanest	!align="right	amendments
clean	or	which
cleaner	darker	less
cleanest	!align="right	!align="right
steadier	!align="right	ballots
steady	strong	but
steadiest	!align="right	ballots
steady	strong	but
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
poorer	!align="right	ballots
poor	strong	but
poorest	!align="right	ballots
poor	strong	but
poorer	!align="right	!align="right
poorest	!align="right	!align="right
faster	!align="right	poll
fastest	slow	slow
fast	!align="right	poll
fastest	strong	strong
faster	slow	if
fast	slower	less
cleaner	!align="right	consent
clean	strong	but
cleanest	!align="right	consent
clean	strong	but
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
softer	!align="right	gmina
soft	strong	but
softest	!align="right	gmina
soft	strong	but
softer	!align="right	!align="right
softest	!align="right	!align="right
richer	!align="right	genus
rich	safe	safe
richest	!align="right	genus
rich	safe	safe
richer	!align="right	!align="right
richest	!align="right	!align="right
lighter	!align="right	ballots
light	darker	darker
lightest	!align="right	ballots
light	safe	safe
lighter	!align="right	!align="right
lightest	darker	less
simpler	!align="right	ballots
simple	easier	materials
simplest	!align="right	ballots
simple	safe	safe
simpler	!align="right	!align="right
simplest	easier	conventional
messier	!align="right	!align="right
messy	safe	safe
messiest	!align="right	!align="right
messy	safe	safe
messier	!align="right	!align="right
messiest	!align="right	!align="right
friendlier	!align="right	ballots
friendly	safe	safe
friendliest	!align="right	ballots
friendly	safe	safe
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
higher	!align="right	pistol
high	high	high
highest	!align="right	pistol
high	high	high
higher	lowest	total
highest	high	reduced
stickier	!align="right	!align="right
sticky	regulations	any
stickiest	!align="right	!align="right
sticky	regulations	any
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
pricier	!align="right	!align="right
pricey	regulations	any
priciest	!align="right	!align="right
pricey	regulations	any
pricier	!align="right	!align="right
priciest	!align="right	!align="right
greater	!align="right	overwhelming
great	increased	social
greatest	!align="right	overwhelming
great	great	great
greater	great	hits
greatest	increased	any
busier	!align="right	ballots
busy	regulations	any
busiest	!align="right	ballots
busy	regulations	any
busier	!align="right	!align="right
busiest	!align="right	!align="right
tougher	!align="right	worthy
tough	severe	repeated
toughest	!align="right	worthy
tough	severe	repeated
tougher	!align="right	!align="right
toughest	!align="right	!align="right
stricter	!align="right	ballots
strict	severe	repeated
strictest	!align="right	ballots
strict	severe	repeated
stricter	!align="right	!align="right
strictest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	severe	repeated
stiffest	!align="right	!align="right
stiff	severe	repeated
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
riskier	!align="right	!align="right
risky	severe	repeated
riskiest	!align="right	!align="right
risky	severe	repeated
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
stronger	!align="right	ballots
strong	strong	strong
strongest	!align="right	ballots
strong	strong	strong
stronger	strong	any
strongest	strong	less
classier	!align="right	!align="right
classy	quarterback	defensive
classiest	!align="right	!align="right
classy	quarterback	defensive
classier	!align="right	!align="right
classiest	!align="right	!align="right
gentler	!align="right	ignored
gentle	quarterback	defensive
gentlest	!align="right	ignored
gentle	quarterback	defensive
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
leaner	!align="right	!align="right
lean	quarterback	defensive
leanest	!align="right	!align="right
lean	quarterback	defensive
leaner	!align="right	!align="right
leanest	!align="right	!align="right
bigger	!align="right	ballots
big	larger	larger
biggest	!align="right	ballots
big	largest	big
bigger	largest	largest
biggest	larger	longer
luckier	!align="right	ballots
lucky	quarterback	defensive
luckiest	!align="right	ballots
lucky	quarterback	defensive
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
warmer	humid	humid
warm	!align="right	ballots
warmest	!align="right	blow
warm	using	a
warmer	easier	conventional
warmest	!align="right	!align="right
slimmer	cheaper	pirates
slim	!align="right	ballots
slimmest	!align="right	brother-in-law
slim	using	a
slimmer	easier	conventional
slimmest	!align="right	!align="right
rougher	cheaper	slightly
rough	!align="right	ballots
roughest	!align="right	johns
rough	using	a
rougher	easier	conventional
roughest	!align="right	!align="right
harder	harder	harder
hard	a	surface
hardest	!align="right	suggestion
hard	using	a
harder	easier	conventional
hardest	!align="right	passport
closer	between	stronger
close	a	into
closest	!align="right	ballots
close	using	or
closer	nearest	possible
closest	!align="right	pistol
greener	!align="right	mohammed
green	good	for
greenest	!align="right	mohammed
green	good	for
greener	!align="right	!align="right
greenest	!align="right	!align="right
kinder	!align="right	!align="right
kind	good	for
kindest	!align="right	!align="right
kind	good	for
kinder	!align="right	!align="right
kindest	!align="right	!align="right
sadder	!align="right	ballots
sad	good	for
saddest	!align="right	ballots
sad	good	for
sadder	!align="right	!align="right
saddest	!align="right	!align="right
quicker	!align="right	ballots
quick	good	for
quickest	!align="right	ballots
quick	good	for
quicker	!align="right	!align="right
quickest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	good	for
stiffest	!align="right	!align="right
stiff	good	for
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
weaker	!align="right	ballots
weak	this	any
weakest	!align="right	ballots
weak	this	any
weaker	!align="right	!align="right
weakest	!align="right	!align="right
slicker	!align="right	!align="right
slick	this	any
slickest	!align="right	!align="right
slick	this	any
slicker	!align="right	!align="right
slickest	!align="right	!align="right
closer	!align="right	ballots
close	that	that
closest	!align="right	ballots
close	this	close
closer	nearest	only
closest	close	further
older	!align="right	!align="right
old	and	and
oldest	!align="right	!align="right
old	of	and
older	largest	only
oldest	younger	all
wiser	!align="right	ballots
wise	this	any
wisest	!align="right	ballots
wise	this	any
wiser	!align="right	!align="right
wisest	!align="right	!align="right
cheaper	!align="right	ballots
cheap	to	to
cheapest	!align="right	ballots
cheap	slow	but
cheaper	!align="right	!align="right
cheapest	simpler	less
simpler	!align="right	ballots
simple	easier	easy
simplest	!align="right	ballots
simple	slow	but
simpler	!align="right	!align="right
simplest	easier	conventional
fresher	!align="right	arguments
fresh	slow	but
freshest	!align="right	arguments
fresh	slow	but
fresher	!align="right	!align="right
freshest	!align="right	!align="right
bolder	!align="right	ballots
bold	slow	but
boldest	!align="right	ballots
bold	slow	but
bolder	!align="right	!align="right
boldest	!align="right	!align="right
cleaner	!align="right	hypothesis
clean	slow	but
cleanest	!align="right	hypothesis
clean	slow	but
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
poorer	improved	improved
poor	!align="right	ballots
poorest	!align="right	hypothesis
poor	light	were
poorer	heavy	less
poorest	!align="right	!align="right
messier	!align="right	finishes
messy	!align="right	ballots
messiest	!align="right	!align="right
messy	light	were
messier	heavy	less
messiest	!align="right	!align="right
narrower	broad	winding
narrow	!align="right	ballots
narrowest	!align="right	hypothesis
narrow	light	were
narrower	heavy	less
narrowest	!align="right	!align="right
noisier	!align="right	finishes
noisy	!align="right	ballots
noisiest	!align="right	!align="right
noisy	light	were
noisier	heavy	less
noisiest	!align="right	!align="right
riskier	!align="right	finishes
risky	!align="right	ballots
riskiest	!align="right	!align="right
risky	light	were
riskier	heavy	less
riskiest	!align="right	!align="right
steadier	!align="right	ballots
steady	and	unique
steadiest	!align="right	ballots
steady	and	unique
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
swifter	!align="right	ballots
swift	and	unique
swiftest	!align="right	ballots
swift	and	unique
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
tougher	!align="right	infants
tough	and	unique
toughest	!align="right	infants
tough	and	unique
tougher	!align="right	!align="right
toughest	!align="right	!align="right
meaner	!align="right	ballots
mean	and	unique
meanest	!align="right	ballots
mean	and	unique
meaner	!align="right	!align="right
meanest	!align="right	!align="right
smoother	!align="right	ballots
smooth	and	unique
smoothest	!align="right	ballots
smooth	and	unique
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
milder	!align="right	ballots
mild	you	but
mildest	!align="right	ballots
mild	you	but
milder	!align="right	!align="right
mildest	!align="right	!align="right
earlier	!align="right	senate
early	that	that
earliest	!align="right	senate
early	some	and
earlier	many	many
earliest	later	were
tastier	!align="right	!align="right
tasty	you	but
tastiest	!align="right	!align="right
tasty	you	but
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
faster	!align="right	ballots
fastest	you	would
fast	!align="right	ballots
fastest	you	i
faster	slow	if
fast	slower	less
greater	!align="right	hypothesis
great	and	and
greatest	!align="right	hypothesis
great	you	my
greater	great	hits
greatest	increased	any
richer	unique	precious
rich	!align="right	ballots
richest	!align="right	admiralty
rich	pale	are
richer	pale	longer
richest	!align="right	!align="right
tastier	!align="right	ballots
tasty	!align="right	ballots
tastiest	!align="right	!align="right
tasty	pale	are
tastier	pale	longer
tastiest	!align="right	!align="right
thinner	skin	triangular
thin	!align="right	ballots
thinnest	!align="right	ballots
thin	pale	are
thinner	pale	longer
thinnest	!align="right	!align="right
rougher	deeper	deeper
rough	!align="right	ballots
roughest	!align="right	amendments
rough	pale	are
rougher	pale	longer
roughest	!align="right	!align="right
luckier	loved	aware
lucky	!align="right	ballots
luckiest	!align="right	ballots
lucky	pale	are
luckier	pale	longer
luckiest	!align="right	!align="right
tighter	!align="right	arguments
tight	or	is
tightest	!align="right	arguments
tight	or	is
