rougher	rails	rails
broadest	upper	upper
broad	!align="right	!align="right
broader	!align="right	!align="right
broadest	capita	capita
savvier	!align="right	!align="right
savvy	!align="right	!align="right
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	!align="right	!align="right
greater	greater	greater
great	large	large
greatest	wisdom	wisdom
great	great	great
greater	great	great
greatest	capita	capita
wilder	enclosed	enclosed
wild	!align="right	!align="right
wildest	!align="right	!align="right
wild	listening	listening
wilder	simpler	simpler
wildest	!align="right	!align="right
smoother	rigid	rigid
smooth	!align="right	!align="right
smoothest	!align="right	!align="right
smooth	listening	listening
smoother	simpler	simpler
smoothest	!align="right	!align="right
mightier	ai	ai
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	listening	listening
mightier	simpler	simpler
mightiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	listening	listening
leaner	simpler	simpler
leanest	!align="right	!align="right
cleaner	worse	worse
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	listening	listening
cleaner	simpler	simpler
cleanest	!align="right	!align="right
narrower	curved	curved
narrow	!align="right	!align="right
narrowest	medium-sized	medium-sized
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
colder	depth	depth
cold	!align="right	!align="right
coldest	meat	masses
cold	!align="right	!align="right
colder	!align="right	!align="right
coldest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
deeper	deeper	depth
deep	late	mid
deepest	oldest	thick
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	strongest	strongest
taller	erect	wooden
tall	!align="right	!align="right
tallest	oldest	oldest
tall	late	late
taller	baba	baba
tallest	!align="right	!align="right
quicker	intercepted	altogether
quick	!align="right	!align="right
quickest	oldest	payment
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	!align="right	!align="right
narrower	wide	wide
narrow	!align="right	!align="right
narrowest	dorsal	dorsal
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	shallow
deepest	deeper	deeper
deep	!align="right	!align="right
deeper	!align="right	!align="right
deepest	fastest	fastest
closer	closest	closest
close	brian	brian
closest	closest	closest
close	gifted	gifted
closer	nearest	nearest
closest	elevation	elevation
taller	height	height
tall	!align="right	!align="right
tallest	oldest	oldest
tall	waiting	waiting
taller	waiting	waiting
tallest	!align="right	!align="right
kinder	inherent	reluctant
kind	!align="right	!align="right
kindest	smallest	smallest
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	!align="right	!align="right
heavier	lighter	lighter
heavy	curved	curved
heaviest	largest	largest
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	largest	hectares
mightier	ai	ai
mighty	!align="right	!align="right
mightiest	copa	copa
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
smarter	harder	harder
smart	!align="right	!align="right
smartest	villain	villain
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	!align="right	!align="right
milder	less	less
mild	!align="right	!align="right
mildest	administered	tallest
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	!align="right	!align="right
weaker	mentally	mentally
weak	!align="right	!align="right
weakest	best	best
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	!align="right	!align="right
friendlier	less	replay
friendly	!align="right	!align="right
friendliest	best	best
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
livelier	!align="right	!align="right
lively	!align="right	!align="right
liveliest	!align="right	!align="right
lively	!align="right	!align="right
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
younger	challenges	challenges
young	del	del
youngest	invites	invites
young	deceased	deceased
younger	daughter	consciousness
youngest	youngest	youngest
clearer	less	less
clear	!align="right	!align="right
clearest	!align="right	!align="right
clear	several	several
clearer	more	more
clearest	!align="right	!align="right
friendlier	mortality	mortality
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	several	several
friendlier	more	more
friendliest	!align="right	!align="right
cleaner	blown	blown
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	several	several
cleaner	more	more
cleanest	!align="right	!align="right
stronger	less	less
strong	several	villain
strongest	!align="right	!align="right
strong	several	several
stronger	strong	strong
strongest	!align="right	!align="right
freer	blown	blown
free	!align="right	!align="right
freest	!align="right	!align="right
free	several	several
freer	more	more
freest	!align="right	!align="right
tougher	comfortable	comfortable
tough	!align="right	!align="right
toughest	worst	worst
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
funnier	comfortable	comfortable
funny	!align="right	!align="right
funniest	worst	worst
funny	!align="right	!align="right
funnier	!align="right	!align="right
funniest	!align="right	!align="right
nicer	comfortable	comfortable
nice	!align="right	!align="right
nicest	strongest	strongest
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
greater	significant	significant
great	great	great
greatest	greatest	greatest
great	great	great
greater	deeper	deeper
greatest	greatest	greatest
bolder	mantle	mantle
bold	!align="right	!align="right
boldest	most	most
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
poorer	better	better
poor	!align="right	!align="right
poorest	most	most
poor	!align="right	!align="right
poorer	!align="right	!align="right
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	!align="right	!align="right
longer	heavier	legislative
long	day-to-day	day-to-day
longest	longest	longest
long	short	short
longer	6,000	6,000
longest	day-to-day	day-to-day
harder	going	going
hard	stability	stability
hardest	difficult	difficult
hard	!align="right	!align="right
harder	!align="right	!align="right
hardest	biggest	biggest
wiser	celebrities	celebrities
wise	!align="right	!align="right
wisest	celebrities	celebrities
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
earlier	late	late
early	early	early
earliest	earliest	earliest
early	famous	famous
earlier	artifacts	artifacts
earliest	extant	extant
sadder	agrees	agrees
sad	!align="right	!align="right
saddest	afraid	indeed
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
darker	dots	dots
dark	hindwings	hindwings
darkest	perennial	perennial
dark	!align="right	!align="right
darker	!align="right	!align="right
darkest	hindwings	hindwings
quicker	right-handed	right-handed
quick	!align="right	!align="right
quickest	requiring	requiring
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	!align="right	!align="right
brighter	beautiful	beautiful
bright	!align="right	!align="right
brightest	snakes	snakes
bright	!align="right	!align="right
brighter	!align="right	!align="right
brightest	!align="right	!align="right
cheaper	imported	imported
cheap	thick	thick
cheapest	!align="right	!align="right
cheap	narrow	narrow
cheaper	wider	wider
cheapest	!align="right	!align="right
higher	low	low
high	lower	lower
highest	!align="right	!align="right
high	high	high
higher	higher	higher
highest	!align="right	!align="right
fairer	ethical	ruined
fair	!align="right	!align="right
fairest	!align="right	!align="right
fair	narrow	narrow
fairer	wider	wider
fairest	!align="right	!align="right
wiser	king	king
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	narrow	narrow
wiser	wider	wider
wisest	!align="right	!align="right
taller	metre	metre
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	wide	deep
taller	larger	larger
tallest	!align="right	!align="right
poorer	worse	worse
poor	!align="right	!align="right
poorest	!align="right	!align="right
poor	difficult	difficult
poorer	simpler	simpler
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	difficult	difficult
messier	simpler	simpler
messiest	!align="right	!align="right
busier	easier	easier
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	difficult	difficult
busier	simpler	simpler
busiest	!align="right	!align="right
taller	woody	woody
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	pulp	employed
taller	fastest	fastest
tallest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	difficult	difficult
trickier	simpler	simpler
trickiest	!align="right	!align="right
higher	!align="right	!align="right
high	greater	greater
highest	!align="right	!align="right
high	biggest	biggest
higher	lowest	lowest
highest	lower	lower
slower	!align="right	!align="right
slow	closer	closer
slowest	!align="right	!align="right
slow	cool	cool
slower	!align="right	!align="right
slowest	faster	faster
smarter	!align="right	!align="right
smart	cool	cool
smartest	!align="right	!align="right
smart	cool	cool
smarter	!align="right	!align="right
smartest	!align="right	!align="right
older	!align="right	!align="right
old	younger	younger
oldest	!align="right	!align="right
old	largest	rough
older	largest	largest
oldest	younger	younger
stronger	!align="right	!align="right
strong	closer	closer
strongest	!align="right	!align="right
strong	strong	strong
stronger	biggest	biggest
strongest	heavier	heavier
cheaper	!align="right	!align="right
cheap	cheap	cheap
cheapest	!align="right	!align="right
cheap	forbidden	forbidden
cheaper	!align="right	!align="right
cheapest	simpler	simpler
classier	!align="right	!align="right
classy	forbidden	forbidden
classiest	!align="right	!align="right
classy	forbidden	forbidden
classier	!align="right	!align="right
classiest	!align="right	!align="right
bloodier	!align="right	!align="right
bloody	forbidden	forbidden
bloodiest	!align="right	!align="right
bloody	forbidden	forbidden
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
wilder	!align="right	!align="right
wild	forbidden	forbidden
wildest	!align="right	!align="right
wild	forbidden	forbidden
wilder	!align="right	!align="right
wildest	!align="right	!align="right
easier	!align="right	!align="right
easy	hollow	hollow
easiest	!align="right	!align="right
easy	forbidden	forbidden
easier	!align="right	!align="right
easiest	simpler	simpler
rougher	twentieth	twentieth
rough	!align="right	!align="right
roughest	!align="right	!align="right
rough	shallow	shallow
rougher	deep	deep
roughest	!align="right	!align="right
fresher	importantly	importantly
fresh	!align="right	!align="right
freshest	!align="right	!align="right
fresh	shallow	shallow
fresher	deep	deep
freshest	!align="right	!align="right
harsher	imposed	rational
harsh	!align="right	!align="right
harshest	!align="right	!align="right
harsh	shallow	shallow
harsher	deep	deep
harshest	!align="right	!align="right
luckier	ain't	importantly
lucky	!align="right	!align="right
luckiest	!align="right	!align="right
lucky	shallow	shallow
luckier	deep	deep
luckiest	!align="right	!align="right
taller	neolithic	neolithic
tall	!align="right	!align="right
tallest	!align="right	!align="right
tall	lined	lined
taller	deep	deep
tallest	!align="right	!align="right
fatter	substantially	substantially
fat	!align="right	!align="right
fattest	!align="right	!align="right
fat	narrow	narrow
fatter	broader	broader
fattest	!align="right	!align="right
smoother	strictly	strictly
smooth	!align="right	!align="right
smoothest	!align="right	!align="right
smooth	narrow	narrow
smoother	broader	broader
smoothest	!align="right	!align="right
fresher	cool	cool
fresh	!align="right	!align="right
freshest	!align="right	!align="right
fresh	narrow	narrow
fresher	broader	broader
freshest	!align="right	!align="right
shorter	brief	brief
short	inch	sacks
shortest	!align="right	!align="right
short	narrow	narrow
shorter	broader	broader
shortest	!align="right	!align="right
cleaner	wish	wish
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	narrow	narrow
cleaner	broader	broader
cleanest	!align="right	!align="right
fuller	complete	three-year
full	barry	barry
fullest	!align="right	!align="right
full	desktop	desktop
fuller	simpler	simpler
fullest	!align="right	!align="right
firmer	company	company
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	desktop	desktop
firmer	simpler	simpler
firmest	!align="right	!align="right
better	better	better
good	good	lot
best	!align="right	!align="right
good	perfect	perfect
better	better	better
best	!align="right	!align="right
mightier	ai	ai
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	desktop	desktop
mightier	simpler	simpler
mightiest	!align="right	!align="right
longer	longer	longer
long	always	always
longest	!align="right	!align="right
long	fastest	fastest
longer	profitable	profitable
longest	!align="right	!align="right
greener	accurate	accurate
green	!align="right	!align="right
greenest	black	black
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
nicer	accurate	accurate
nice	!align="right	!align="right
nicest	good	good
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
slicker	!align="right	!align="right
slick	!align="right	!align="right
slickest	!align="right	!align="right
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
sadder	it's	constituency
sad	!align="right	!align="right
saddest	!align="right	!align="right
sad	quick	quick
sadder	faster	faster
saddest	!align="right	!align="right
swifter	foster	foster
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	quick	quick
swifter	faster	faster
swiftest	!align="right	!align="right
nicer	bulgaria	bulgaria
nice	!align="right	!align="right
nicest	!align="right	!align="right
nice	quick	quick
nicer	faster	faster
nicest	!align="right	!align="right
softer	flour	flour
soft	!align="right	!align="right
softest	!align="right	!align="right
soft	quick	quick
softer	faster	faster
softest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	quick	quick
trickier	faster	faster
trickiest	!align="right	!align="right
greener	red	symptoms
green	!align="right	!align="right
greenest	!align="right	!align="right
green	york	york
greener	numerical	numerical
greenest	!align="right	!align="right
clearer	symptoms	symptoms
clear	!align="right	!align="right
clearest	!align="right	!align="right
clear	york	york
clearer	numerical	numerical
clearest	!align="right	!align="right
healthier	symptoms	symptoms
healthy	!align="right	!align="right
healthiest	!align="right	!align="right
healthy	york	york
healthier	numerical	numerical
healthiest	!align="right	!align="right
faster	faster	decreases
fastest	performer	performer
fast	!align="right	!align="right
fastest	viking	viking
faster	laser	laser
fast	!align="right	!align="right
freer	constant	absorption
free	!align="right	!align="right
freest	!align="right	!align="right
free	york	york
freer	numerical	numerical
freest	!align="right	!align="right
meaner	temperature	temperature
mean	!align="right	!align="right
meanest	!align="right	!align="right
mean	brief	brief
meaner	length	length
meanest	!align="right	!align="right
firmer	company	investment
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	brief	brief
firmer	length	length
firmest	!align="right	!align="right
bigger	lighter	lighter
big	instructions	instructions
biggest	!align="right	!align="right
big	major	major
bigger	major	major
biggest	!align="right	!align="right
trickier	!align="right	!align="right
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	brief	brief
trickier	length	length
trickiest	!align="right	!align="right
deeper	deeper	deeper
deep	mud	mud
deepest	!align="right	!align="right
deep	brief	brief
deeper	length	length
deepest	!align="right	!align="right
gentler	slightly	deeply
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	dark	dark
gentler	darker	darker
gentlest	!align="right	!align="right
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	dark	dark
costlier	darker	darker
costliest	!align="right	!align="right
lower	lower	lower
low	upper	upper
lowest	!align="right	!align="right
low	low	low
lower	low	low
lowest	!align="right	!align="right
fancier	!align="right	!align="right
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	dark	dark
fancier	darker	darker
fanciest	!align="right	!align="right
cleaner	lower	lower
clean	!align="right	!align="right
cleanest	!align="right	!align="right
clean	dark	dark
cleaner	darker	darker
cleanest	!align="right	!align="right
steadier	!align="right	!align="right
steady	nervous	nervous
steadiest	!align="right	!align="right
steady	nervous	nervous
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
poorer	!align="right	!align="right
poor	nervous	nervous
poorest	!align="right	!align="right
poor	nervous	nervous
poorer	!align="right	!align="right
poorest	!align="right	!align="right
faster	!align="right	!align="right
fastest	mortality	mortality
fast	!align="right	!align="right
fastest	slow	slow
faster	slow	slow
fast	slower	slower
cleaner	!align="right	!align="right
clean	nervous	nervous
cleanest	!align="right	!align="right
clean	nervous	nervous
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
softer	!align="right	!align="right
soft	nervous	nervous
softest	!align="right	!align="right
soft	nervous	nervous
softer	!align="right	!align="right
softest	!align="right	!align="right
richer	!align="right	!align="right
rich	parks	parks
richest	!align="right	!align="right
rich	parks	parks
richer	!align="right	!align="right
richest	!align="right	!align="right
lighter	!align="right	!align="right
light	dark	dark
lightest	!align="right	!align="right
light	parks	parks
lighter	!align="right	!align="right
lightest	darker	darker
simpler	!align="right	!align="right
simple	harder	harder
simplest	!align="right	!align="right
simple	parks	parks
simpler	!align="right	!align="right
simplest	easier	easier
messier	!align="right	!align="right
messy	parks	parks
messiest	!align="right	!align="right
messy	parks	parks
messier	!align="right	!align="right
messiest	!align="right	!align="right
friendlier	!align="right	!align="right
friendly	parks	parks
friendliest	!align="right	!align="right
friendly	parks	parks
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
higher	!align="right	!align="right
high	greater	tremendous
highest	!align="right	!align="right
high	lowest	tremendous
higher	lowest	lowest
highest	lower	lower
stickier	!align="right	!align="right
sticky	logical	logical
stickiest	!align="right	!align="right
sticky	logical	logical
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
pricier	!align="right	!align="right
pricey	logical	logical
priciest	!align="right	!align="right
pricey	logical	logical
pricier	!align="right	!align="right
priciest	!align="right	!align="right
greater	!align="right	!align="right
great	tremendous	tremendous
greatest	!align="right	!align="right
great	tremendous	tremendous
greater	biggest	biggest
greatest	higher	higher
busier	!align="right	!align="right
busy	logical	logical
busiest	!align="right	!align="right
busy	logical	logical
busier	!align="right	!align="right
busiest	!align="right	!align="right
tougher	!align="right	!align="right
tough	imposed	imposed
toughest	!align="right	!align="right
tough	imposed	imposed
tougher	!align="right	!align="right
toughest	!align="right	!align="right
stricter	!align="right	!align="right
strict	imposed	imposed
strictest	!align="right	!align="right
strict	imposed	imposed
stricter	!align="right	!align="right
strictest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	imposed	imposed
stiffest	!align="right	!align="right
stiff	imposed	imposed
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
riskier	!align="right	!align="right
risky	imposed	imposed
riskiest	!align="right	!align="right
risky	imposed	imposed
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
stronger	!align="right	!align="right
strong	brutal	tremendous
strongest	!align="right	!align="right
strong	strong	strong
stronger	biggest	biggest
strongest	heavier	heavier
classier	!align="right	!align="right
classy	linebacker	linebacker
classiest	!align="right	!align="right
classy	linebacker	linebacker
classier	!align="right	!align="right
classiest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	linebacker	linebacker
gentlest	!align="right	!align="right
gentle	linebacker	linebacker
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
leaner	!align="right	!align="right
lean	linebacker	linebacker
leanest	!align="right	!align="right
lean	linebacker	linebacker
leaner	!align="right	!align="right
leanest	!align="right	!align="right
bigger	!align="right	!align="right
big	larger	larger
biggest	!align="right	!align="right
big	major	major
bigger	highest	highest
biggest	larger	larger
luckier	!align="right	!align="right
lucky	linebacker	linebacker
luckiest	!align="right	!align="right
lucky	linebacker	linebacker
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
warmer	humid	humid
warm	!align="right	!align="right
warmest	!align="right	!align="right
warm	finite	finite
warmer	easier	easier
warmest	!align="right	!align="right
slimmer	harder	pirates
slim	!align="right	!align="right
slimmest	!align="right	!align="right
slim	finite	finite
slimmer	easier	easier
slimmest	!align="right	!align="right
rougher	harder	harder
rough	!align="right	!align="right
roughest	!align="right	!align="right
rough	finite	finite
rougher	easier	easier
roughest	!align="right	!align="right
harder	harder	harder
hard	knee	knee
hardest	!align="right	!align="right
hard	finite	finite
harder	easier	easier
hardest	!align="right	!align="right
closer	spotted	spotted
close	tough	tough
closest	!align="right	!align="right
close	bright	bright
closer	used	used
closest	!align="right	!align="right
greener	!align="right	!align="right
green	favourable	favourable
greenest	!align="right	!align="right
green	favourable	favourable
greener	!align="right	!align="right
greenest	!align="right	!align="right
kinder	!align="right	!align="right
kind	favourable	favourable
kindest	!align="right	!align="right
kind	favourable	favourable
kinder	!align="right	!align="right
kindest	!align="right	!align="right
sadder	!align="right	!align="right
sad	favourable	favourable
saddest	!align="right	!align="right
sad	favourable	favourable
sadder	!align="right	!align="right
saddest	!align="right	!align="right
quicker	!align="right	!align="right
quick	favourable	favourable
quickest	!align="right	!align="right
quick	favourable	favourable
quicker	!align="right	!align="right
quickest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	favourable	favourable
stiffest	!align="right	!align="right
stiff	favourable	favourable
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
weaker	!align="right	!align="right
weak	possible	possible
weakest	!align="right	!align="right
weak	possible	possible
weaker	!align="right	!align="right
weakest	!align="right	!align="right
slicker	!align="right	!align="right
slick	possible	possible
slickest	!align="right	!align="right
slick	possible	possible
slicker	!align="right	!align="right
slickest	!align="right	!align="right
closer	!align="right	!align="right
close	close	close
closest	!align="right	!align="right
close	close	close
closer	nearest	nearest
closest	close	close
older	!align="right	!align="right
old	old	sleep
oldest	!align="right	!align="right
old	across	across
older	largest	largest
oldest	younger	younger
wiser	!align="right	!align="right
wise	possible	possible
wisest	!align="right	!align="right
wise	possible	possible
wiser	!align="right	!align="right
wisest	!align="right	!align="right
cheaper	!align="right	!align="right
cheap	fast	machines
cheapest	!align="right	!align="right
cheap	slow	slow
cheaper	!align="right	!align="right
cheapest	simpler	simpler
simpler	!align="right	!align="right
simple	harder	harder
simplest	!align="right	!align="right
simple	slow	slow
simpler	!align="right	!align="right
simplest	easier	easier
fresher	!align="right	!align="right
fresh	slow	slow
freshest	!align="right	!align="right
fresh	slow	slow
fresher	!align="right	!align="right
freshest	!align="right	!align="right
bolder	!align="right	!align="right
bold	slow	slow
boldest	!align="right	!align="right
bold	slow	slow
bolder	!align="right	!align="right
boldest	!align="right	!align="right
cleaner	!align="right	!align="right
clean	slow	slow
cleanest	!align="right	!align="right
clean	slow	slow
cleaner	!align="right	!align="right
cleanest	!align="right	!align="right
poorer	easier	easier
poor	!align="right	!align="right
poorest	!align="right	!align="right
poor	metal	metal
poorer	lighter	lighter
poorest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	metal	metal
messier	lighter	lighter
messiest	!align="right	!align="right
narrower	larger	larger
narrow	!align="right	!align="right
narrowest	!align="right	!align="right
narrow	metal	metal
narrower	lighter	lighter
narrowest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	metal	metal
noisier	lighter	lighter
noisiest	!align="right	!align="right
riskier	!align="right	!align="right
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	metal	metal
riskier	lighter	lighter
riskiest	!align="right	!align="right
steadier	!align="right	!align="right
steady	landscapes	landscapes
steadiest	!align="right	!align="right
