rougher	significantly	significantly
great	south-western	south-western
greatest	depression	depression
great	clusters	clusters
greater	less	hall
greatest	exceed	exceed
wilder	trout	trout
wild	!	!
wildest	!	!
wild	quick	quick
wilder	difficult	difficult
wildest	!	!
smoother	lip	sharp
smooth	!	!
smoothest	!	!
smooth	quick	quick
smoother	difficult	difficult
smoothest	!	!
mightier	flyers	flyers
mighty	!	!
mightiest	!	!
mighty	quick	quick
mightier	difficult	difficult
mightiest	!	!
leaner	meat	meat
lean	!	!
leanest	!	!
lean	quick	quick
leaner	difficult	difficult
leanest	!	!
cleaner	sheets	sheets
clean	!	!
cleanest	!	!
clean	quick	quick
cleaner	difficult	difficult
cleanest	!	!
narrower	sides	sides
narrow	!	!
narrowest	margins	margins
narrow	!	!
narrower	!	!
narrowest	!	!
colder	warm	warm
cold	!	!
coldest	winters	winters
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	shallow	shallow
deep	late	1970s
deepest	shallow	shallow
deep	!	!
deeper	!	!
deepest	annals	annals
taller	inches	inches
tall	!	!
tallest	erect	erect
tall	late	1990s
taller	height	height
tallest	!	!
quicker	elder	elder
quick	!	!
quickest	pace	tire
quick	!	!
quicker	!	!
quickest	!	!
narrower	brother	teeth
narrow	!	!
narrowest	transverse	transverse
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	brother	brother
deep	nests	nests
deepest	purple	purple
deep	!	!
deeper	!	!
deepest	roots	roots
closer	brother	brother
close	raped	raped
closest	edith	tire
close	adults	relatives
closer	brother	brother
closest	convenient	convenient
taller	erect	inches
tall	!	!
tallest	height	height
tall	tower	tower
taller	twin	twin
tallest	!	!
kinder	myself	myself
kind	!	!
kindest	span	overtime
kind	!	!
kinder	!	!
kindest	!	!
heavier	rainfall	rain
heavy	inches	weighing
heaviest	span	losses
heavy	!	!
heavier	!	!
heaviest	span	span
mightier	penguins	penguins
mighty	!	!
mightiest	overtime	overtime
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	watching	watching
lean	!	!
leanest	span	span
lean	!	!
leaner	!	!
leanest	!	!
smarter	broadband	broadband
smart	!	!
smartest	bridge	devices
smart	!	!
smarter	!	!
smartest	!	!
milder	summers	summers
mild	!	!
mildest	summers	winters
mild	!	!
milder	!	!
mildest	!	!
weaker	absorption	absorption
weak	!	!
weakest	cyclone	cyclone
weak	!	!
weaker	!	!
weakest	!	!
friendlier	substitute	substitute
friendly	!	!
friendliest	against	against
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	cuisine	cuisine
lively	!	!
liveliest	humorous	humorous
lively	!	!
livelier	!	!
liveliest	!	!
younger	mature	mature
young	elder	elder
youngest	woman	woman
young	catherine	catherine
younger	consort	consort
youngest	elder	elder
clearer	than	than
clear	!	!
clearest	!	!
clear	hundred	hundred
clearer	than	than
clearest	!	!
friendlier	hungary	hungary
friendly	!	!
friendliest	!	!
friendly	hundred	hundred
friendlier	than	than
friendliest	!	!
cleaner	keeping	keeping
clean	!	!
cleanest	!	!
clean	hundred	hundred
cleaner	than	than
cleanest	!	!
stronger	than	than
strong	very	very
strongest	!	!
strong	two	two
stronger	cheaper	cheaper
strongest	!	!
freer	choose	choose
free	!	!
freest	!	!
free	hundred	hundred
freer	than	than
freest	!	!
tougher	stuff	stuff
tough	!	!
toughest	confident	thanks
tough	!	!
tougher	!	!
toughest	!	!
funnier	ain	ain
funny	!	!
funniest	ain	exciting
funny	!	!
funnier	!	!
funniest	!	!
nicer	wouldn	wouldn
nice	!	!
nicest	commenting	commenting
nice	!	!
nicer	!	!
nicest	!	!
greater	some	some
great	possess	possess
greatest	hit	landowners
great	snake	snake
greater	wake	meanwhile
greatest	poland	experience
bolder	constantly	constantly
bold	!	!
boldest	thanks	thanks
bold	!	!
bolder	!	!
boldest	!	!
poorer	whites	whites
poor	!	!
poorest	blacks	disguised
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	centimeters	grow
long	presence	presence
longest	centimeters	slender
long	bridge	bridge
longer	bridge	bridge
longest	aftermath	aftermath
harder	harder	harder
hard	hard	hard
hardest	seeks	seeks
hard	!	!
harder	!	!
hardest	depression	seeks
wiser	cinematography	cinematography
wise	!	!
wisest	directing	directing
wise	!	!
wiser	!	!
wisest	!	!
earlier	late	19th
early	often	often
earliest	late	late
early	dates	dates
earlier	dates	dates
earliest	appears	below
sadder	montenegro	montenegro
sad	!	!
saddest	montenegro	montenegro
sad	!	!
sadder	!	!
saddest	!	!
darker	pale	pale
dark	forewings	forewings
darkest	pale	pale
dark	!	!
darker	!	!
darkest	forewings	forewings
quicker	pace	pace
quick	!	!
quickest	easy	easy
quick	!	!
quicker	!	!
quickest	!	!
brighter	yellow	dwarf
bright	!	!
brightest	eyes	eyes
bright	!	!
brighter	!	!
brightest	!	!
cheaper	cheaper	cheaper
cheap	fewer	fewer
cheapest	!	!
cheap	slender	slender
cheaper	broad	broad
cheapest	!	!
higher	school	school
high	rate	rate
highest	!	!
high	lowest	lowest
higher	percentage	percentage
highest	!	!
fairer	english-language	english-language
fair	!	!
fairest	!	!
fair	slender	slender
fairer	broad	broad
fairest	!	!
wiser	jessie	resembles
wise	!	!
wisest	!	!
wise	slender	slender
wiser	broad	broad
wisest	!	!
taller	height	height
tall	!	!
tallest	!	!
tall	tall	tall
taller	height	height
tallest	!	!
poorer	disappointing	disappointing
poor	!	!
poorest	!	!
poor	psychedelic	psychedelic
poorer	hard	hard
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	psychedelic	psychedelic
messier	hard	hard
messiest	!	!
busier	disappointing	disappointing
busy	!	!
busiest	!	!
busy	psychedelic	psychedelic
busier	hard	hard
busiest	!	!
taller	erect	erect
tall	!	!
tallest	!	!
tall	height	height
taller	granite	granite
tallest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	psychedelic	psychedelic
trickier	hard	hard
trickiest	!	!
higher	!	!
high	high	high
highest	!	!
high	lowest	lowest
higher	lowest	lowest
highest	education	education
slower	!	!
slow	pace	pace
slowest	!	!
slow	guys	guys
slower	!	!
slowest	faster	faster
smarter	!	!
smart	guys	guys
smartest	!	!
smart	guys	guys
smarter	!	!
smartest	!	!
older	!	!
old	65	age
oldest	!	!
old	dating	dating
older	earliest	earliest
oldest	65	65
stronger	!	!
strong	flexible	flexible
strongest	!	!
strong	flexible	flexible
stronger	landfall	landfall
strongest	petit	petit
cheaper	!	!
cheap	affordable	affordable
cheapest	!	!
cheap	keeping	keeping
cheaper	!	!
cheapest	alternatives	alternatives
classier	!	!
classy	keeping	keeping
classiest	!	!
classy	keeping	keeping
classier	!	!
classiest	!	!
bloodier	!	!
bloody	keeping	keeping
bloodiest	!	!
bloody	keeping	keeping
bloodier	!	!
bloodiest	!	!
wilder	!	!
wild	keeping	keeping
wildest	!	!
wild	keeping	keeping
wilder	!	!
wildest	!	!
easier	!	!
easy	difficult	difficult
easiest	!	!
easy	keeping	keeping
easier	!	!
easiest	difficult	difficult
rougher	surfaces	surfaces
rough	!	!
roughest	!	!
rough	shallow	shallow
rougher	depths	depths
roughest	!	!
fresher	vegetables	vegetables
fresh	!	!
freshest	!	!
fresh	shallow	shallow
fresher	depths	depths
freshest	!	!
harsher	limitations	limitations
harsh	!	!
harshest	!	!
harsh	shallow	shallow
harsher	depths	depths
harshest	!	!
luckier	luke	luke
lucky	!	!
luckiest	!	!
lucky	shallow	shallow
luckier	depths	depths
luckiest	!	!
taller	herb	herb
tall	!	!
tallest	!	!
tall	height	height
taller	height	wisdom
tallest	!	!
fatter	scope	skeleton
fat	!	!
fattest	!	!
fat	variety	variety
fatter	than	than
fattest	!	!
smoother	convex	bark
smooth	!	!
smoothest	!	!
smooth	variety	variety
smoother	than	than
smoothest	!	!
fresher	dried	dried
fresh	!	!
freshest	!	!
fresh	variety	variety
fresher	than	than
freshest	!	!
shorter	novel	novel
short	long	long
shortest	!	!
short	variety	variety
shorter	than	than
shortest	!	!
cleaner	keeping	keeping
clean	!	!
cleanest	!	!
clean	variety	variety
cleaner	than	than
cleanest	!	!
fuller	privileges	privileges
full	trick	accommodation
fullest	!	!
full	trick	trick
fuller	alternatives	alternatives
fullest	!	!
firmer	consulting	consulting
firm	!	!
firmest	!	!
firm	trick	trick
firmer	alternatives	alternatives
firmest	!	!
better	...	...
good	adequate	adequate
best	!	!
good	awards	grammy
better	awards	awards
best	!	!
mightier	superior	superior
mighty	!	!
mightiest	!	!
mighty	trick	trick
mightier	alternatives	alternatives
mightiest	!	!
longer	length	length
long	adequate	adequate
longest	!	!
long	span	span
longer	bridge	tunnels
longest	!	!
greener	yellow	yellow
green	!	!
greenest	yellow	yellow
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	cpu	loads
nice	!	!
nicest	stade	stade
nice	!	!
nicer	!	!
nicest	!	!
slicker	!	!
slick	!	!
slickest	!	!
slick	!	!
slicker	!	!
slickest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	api	api
sad	!	!
saddest	!	!
sad	pace	pace
sadder	faster	faster
saddest	!	!
swifter	seconds	seconds
swift	!	!
swiftest	!	!
swift	pace	pace
swifter	faster	faster
swiftest	!	!
nicer	davidson	spatial
nice	!	!
nicest	!	!
nice	pace	pace
nicer	faster	faster
nicest	!	!
softer	tissue	tissue
soft	!	!
softest	!	!
soft	pace	pace
softer	faster	faster
softest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	pace	pace
trickier	faster	faster
trickiest	!	!
greener	colour	colour
green	!	!
greenest	yellow	colour
green	!	!
greener	!	!
greenest	!	!
clearer	evans	evans
clear	!	!
clearest	alpha	alpha
clear	!	!
clearer	!	!
clearest	!	!
healthier	babies	iso
healthy	!	!
healthiest	teenagers	teenagers
healthy	!	!
healthier	!	!
healthiest	!	!
faster	lap	slower
fastest	york	york
fast	laps	seconds
fastest	york	york
faster	tempo	tempo
fast	avengers	avengers
freer	offered	offered
free	!	!
freest	alpha	skate
free	!	!
freer	!	!
freest	!	!
meaner	maximum	maximum
mean	!	!
meanest	!	!
mean	novel	novel
meaner	slightly	slightly
meanest	!	!
firmer	consulting	consulting
firm	!	!
firmest	!	!
firm	novel	novel
firmer	slightly	slightly
firmest	!	!
bigger	than	than
big	fiction	hood
biggest	!	!
big	stories	stories
bigger	mainstream	mainstream
biggest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	novel	novel
trickier	slightly	slightly
trickiest	!	!
deeper	inch	inch
deep	story	story
deepest	!	!
deep	novel	novel
deeper	slightly	slightly
deepest	!	!
gentler	pleasant	pleasant
gentle	!	!
gentlest	!	!
gentle	dark	dark
gentler	heavier	heavier
gentlest	!	!
costlier	heavier	bigger
costly	!	!
costliest	!	!
costly	dark	dark
costlier	heavier	heavier
costliest	!	!
lower	rates	increasing
low	upper	waves
lowest	!	!
low	highest	low
lower	heavier	heavier
lowest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	dark	dark
fancier	heavier	heavier
fanciest	!	!
cleaner	keeping	keeping
clean	!	!
cleanest	!	!
clean	dark	dark
cleaner	heavier	heavier
cleanest	!	!
steadier	!	!
steady	strong	strong
steadiest	!	!
steady	strong	strong
steadier	!	!
steadiest	!	!
poorer	!	!
poor	strong	strong
poorest	!	!
poor	strong	strong
poorer	!	!
poorest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	slow	slow
faster	bowler	bowler
fast	slower	slower
cleaner	!	!
clean	strong	strong
cleanest	!	!
clean	strong	strong
cleaner	!	!
cleanest	!	!
softer	!	!
soft	strong	strong
softest	!	!
soft	strong	strong
softer	!	!
softest	!	!
richer	!	!
rich	keeping	keeping
richest	!	!
rich	elegant	elegant
richer	racecourse	racecourse
richest	!	!
lighter	!	!
light	underside	underside
lightest	!	!
light	keeping	keeping
lighter	!	!
lightest	heavier	heavier
simpler	!	!
simple	affordable	affordable
simplest	!	!
simple	keeping	keeping
simpler	!	!
simplest	differed	differed
messier	!	!
messy	keeping	keeping
messiest	!	!
messy	keeping	keeping
messier	!	!
messiest	!	!
friendlier	!	!
friendly	keeping	keeping
friendliest	!	!
friendly	keeping	keeping
friendlier	!	!
friendliest	!	!
higher	!	!
high	high	high
highest	!	!
high	lowest	lowest
higher	lowest	lowest
highest	education	education
stickier	!	!
sticky	enforced	enforced
stickiest	!	!
sticky	enforced	enforced
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	enforced	enforced
priciest	!	!
pricey	enforced	enforced
pricier	!	!
priciest	!	!
greater	!	!
great	principle	principle
greatest	!	!
great	arguably	arguably
greater	achievements	achievements
greatest	voivodeship	voivodeship
busier	!	!
busy	enforced	enforced
busiest	!	!
busy	enforced	enforced
busier	!	!
busiest	!	!
tougher	!	!
tough	winters	winters
toughest	!	!
tough	winters	winters
tougher	!	!
toughest	!	!
stricter	!	!
strict	winters	winters
strictest	!	!
strict	winters	winters
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	winters	winters
stiffest	!	!
stiff	winters	winters
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	winters	winters
riskiest	!	!
risky	winters	winters
riskier	!	!
riskiest	!	!
stronger	!	!
strong	environment	currents
strongest	!	!
strong	winters	weather
stronger	landfall	landfall
strongest	petit	petit
classier	!	!
classy	touchdown	touchdown
classiest	!	!
classy	touchdown	touchdown
classier	!	!
classiest	!	!
gentler	!	!
gentle	touchdown	touchdown
gentlest	!	!
gentle	touchdown	touchdown
gentler	!	!
gentlest	!	!
leaner	!	!
lean	touchdown	touchdown
leanest	!	!
lean	touchdown	touchdown
leaner	!	!
leanest	!	!
bigger	!	!
big	touchdown	touchdown
biggest	!	!
big	touchdown	touchdown
bigger	one	one
biggest	larger	larger
luckier	!	!
lucky	touchdown	touchdown
luckiest	!	!
lucky	touchdown	touchdown
luckier	!	!
luckiest	!	!
warmer	summers	winters
warm	!	!
warmest	!	!
warm	very	very
warmer	differed	differed
warmest	!	!
slimmer	differed	differed
slim	!	!
slimmest	!	!
slim	very	very
slimmer	differed	differed
slimmest	!	!
rougher	painted	painted
rough	!	!
roughest	!	!
rough	very	very
rougher	differed	differed
roughest	!	!
harder	drives	drives
hard	hard	hard
hardest	!	!
hard	very	very
harder	differed	differed
hardest	!	!
closer	closest	closest
close	process	process
closest	!	!
close	robust	robust
closer	compose	compose
closest	!	!
greener	!	!
green	due	due
greenest	!	!
green	due	due
greener	!	!
greenest	!	!
kinder	!	!
kind	due	due
kindest	!	!
kind	due	due
kinder	!	!
kindest	!	!
sadder	!	!
sad	due	due
saddest	!	!
sad	due	due
sadder	!	!
saddest	!	!
quicker	!	!
quick	due	due
quickest	!	!
quick	due	due
quicker	!	!
quickest	!	!
stiffer	!	!
stiff	due	due
stiffest	!	!
stiff	due	due
stiffer	!	!
stiffest	!	!
weaker	!	!
weak	wit	wit
weakest	!	!
weak	wit	wit
weaker	!	!
weakest	!	!
slicker	!	!
slick	wit	wit
slickest	!	!
slick	wit	wit
slicker	!	!
slickest	!	!
closer	!	!
close	reversed	reversed
closest	!	!
close	advisors	advisors
closer	nearest	nearest
closest	grow	grow
older	!	!
old	65	65
oldest	!	!
old	remains	remains
older	earliest	earliest
oldest	65	65
wiser	!	!
wise	wit	wit
wisest	!	!
wise	wit	wit
wiser	!	!
wisest	!	!
cheaper	!	!
cheap	alternatives	alternatives
cheapest	!	!
cheap	easy	easy
cheaper	!	!
cheapest	alternatives	alternatives
simpler	!	!
simple	easy	easy
simplest	!	!
simple	easy	easy
simpler	!	!
simplest	differed	differed
fresher	!	!
fresh	easy	easy
freshest	!	!
fresh	easy	easy
fresher	!	!
freshest	!	!
bolder	!	!
bold	easy	easy
boldest	!	!
bold	easy	easy
bolder	!	!
boldest	!	!
cleaner	!	!
clean	easy	easy
cleanest	!	!
clean	easy	easy
cleaner	!	!
cleanest	!	!
poorer	blacks	blacks
poor	!	!
poorest	!	!
poor	rainfall	rainfall
poorer	lighter	lighter
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	rainfall	rainfall
messier	lighter	lighter
messiest	!	!
narrower	gauge	gauge
narrow	!	!
narrowest	!	!
narrow	rainfall	rainfall
narrower	lighter	lighter
narrowest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	rainfall	rainfall
noisier	lighter	lighter
noisiest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	rainfall	rainfall
riskier	lighter	lighter
riskiest	!	!
steadier	!	!
steady	fauna	fauna
steadiest	thoroughbred	thoroughbred
steady	!	!
steadier	!	!
steadiest	racecourse	racecourse
swifter	!	!
swift	fauna	fauna
swiftest	non-fiction	non-fiction
swift	!	!
swifter	!	!
swiftest	racecourse	racecourse
tougher	!	!
tough	fauna	fauna
toughest	stakes	stakes
tough	!	!
tougher	!	!
toughest	racecourse	racecourse
meaner	!	!
mean	fauna	fauna
meanest	doncaster	doncaster
mean	!	!
meaner	!	!
meanest	racecourse	racecourse
smoother	!	!
smooth	fauna	fauna
smoothest	lip	lip
smooth	!	!
smoother	!	!
smoothest	racecourse	racecourse
milder	!	humid
mild	want	want
mildest	!	humid
mild	want	want
milder	!	!
mildest	!	!
earlier	!	!
early	19th	19th
earliest	!	!
early	neolithic	extant
earlier	dating	dating
earliest	19th	19th
tastier	!	!
tasty	want	want
tastiest	!	!
tasty	want	want
tastier	!	!
tastiest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	pace	arrangements
faster	bowler	bowler
fast	slower	slower
greater	!	!
great	gmina	disappear
greatest	!	!
great	remarkable	remarkable
greater	achievements	achievements
greatest	voivodeship	voivodeship
richer	flora	flora
rich	!	!
richest	!	!
rich	forewings	pale
richer	forewings	forewings
richest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	forewings	forewings
tastier	forewings	forewings
tastiest	!	!
thinner	layers	layers
thin	!	!
thinnest	!	!
thin	forewings	forewings
thinner	forewings	forewings
thinnest	!	!
rougher	seas	seas
rough	!	!
roughest	!	!
rough	forewings	forewings
rougher	forewings	forewings
roughest	!	!
luckier	complicated	complicated
lucky	!	!
luckiest	!	!
lucky	forewings	forewings
luckier	forewings	forewings
luckiest	!	!
tighter	!	!
tight	texture	texture
tightest	!	!
tight	texture	texture
tighter	!	!
tightest	!	!
kinder	!	!
kind	texture	texture
kindest	!	!
kind	texture	texture
kinder	!	!
kindest	!	!
swifter	!	!
swift	texture	texture
swiftest	!	!
swift	texture	texture
swifter	!	!
swiftest	!	!
messier	!	!
messy	texture	texture
messiest	!	!
messy	texture	texture
messier	!	!
messiest	!	!
deeper	!	!
deep	layers	layers
deepest	!	!
deep	texture	texture
deeper	!	!
deepest	depths	depths
lower	!	!
low	summers	summers
lowest	!	!
low	summers	summers
lower	highest	highest
lowest	upper	upper
costlier	!	!
costly	humid	humid
costliest	!	!
costly	humid	humid
costlier	!	!
costliest	!	!
narrower	!	!
narrow	humid	humid
narrowest	!	!
narrow	humid	humid
narrower	!	!
narrowest	!	!
leaner	!	!
lean	humid	humid
leanest	!	!
lean	humid	humid
leaner	!	!
leanest	!	!
younger	!	!
young	winters	winters
youngest	!	!
young	summers	summers
younger	eldest	eldest
youngest	brother	brother
smaller	!	!
small	flexible	flexible
smallest	!	!
small	pairs	pairs
smaller	vertices	vertices
smallest	larger	larger
gentler	!	!
gentle	fabric	fabric
gentlest	!	!
gentle	fabric	fabric
gentler	!	!
gentlest	!	!
mightier	!	!
mighty	fabric	fabric
mightiest	!	!
mighty	fabric	fabric
mightier	!	!
mightiest	!	!
leaner	!	!
lean	fabric	fabric
leanest	!	!
lean	fabric	fabric
leaner	!	!
leanest	!	!
fancier	!	!
fancy	fabric	fabric
fanciest	!	!
fancy	fabric	fabric
fancier	!	!
fanciest	!	!
kinder	!	!
kind	smooth	smooth
kindest	!	!
kind	smooth	smooth
kinder	!	!
kindest	!	!
wider	!	!
wide	margins	margins
widest	!	!
wide	smooth	smooth
wider	!	!
widest	than	than
pricier	!	!
pricey	smooth	smooth
priciest	!	!
pricey	smooth	smooth
pricier	!	!
priciest	!	!
firmer	!	!
firm	smooth	smooth
firmest	!	!
firm	smooth	smooth
firmer	!	!
firmest	!	!
brighter	!	!
bright	smooth	smooth
brightest	!	!
bright	smooth	smooth
brighter	!	!
brightest	!	!
steadier	!	!
steady	transverse	transverse
steadiest	!	!
steady	transverse	transverse
steadier	!	!
steadiest	!	!
classier	!	!
classy	transverse	transverse
classiest	!	!
classy	transverse	transverse
classier	!	!
classiest	!	!
sadder	!	!
sad	transverse	transverse
saddest	!	!
sad	transverse	transverse
sadder	!	!
saddest	!	!
meaner	!	!
mean	transverse	transverse
meanest	!	!
mean	transverse	transverse
meaner	!	!
meanest	!	!
faster	!	!
fastest	than	than
fast	!	!
fastest	thin	thin
faster	bowler	bowler
fast	slower	slower
louder	!	!
loud	terrain	terrain
loudest	!	!
loud	terrain	terrain
louder	!	!
loudest	!	!
newer	!	!
new	versions	versions
newest	!	!
new	pi	pi
newer	alpha	alpha
newest	versions	versions
bloodier	!	!
bloody	terrain	terrain
bloodiest	!	!
bloody	terrain	terrain
bloodier	!	!
bloodiest	!	!
younger	!	!
young	his	his
youngest	!	!
young	eldest	eldest
younger	eldest	eldest
youngest	brother	brother
closer	!	!
close	affection	everyday
closest	!	!
close	terrain	caring
closer	nearest	nearest
closest	grow	grow
clearer	!	!
clear	lunch	lunch
clearest	!	!
clear	lunch	lunch
clearer	!	!
clearest	!	!
richer	!	!
rich	lunch	lunch
richest	!	!
rich	racecourse	racecourse
richer	racecourse	racecourse
richest	!	!
meaner	!	!
mean	lunch	lunch
meanest	!	!
mean	lunch	lunch
meaner	!	!
meanest	!	!
older	!	!
old	age	age
oldest	!	!
old	extant	extant
older	earliest	earliest
oldest	65	65
deeper	!	!
deep	suitable	suitable
deepest	!	!
deep	lunch	lunch
deeper	!	!
deepest	depths	depths
tastier	!	!
tasty	height	height
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	height	height
weaker	!	!
weak	height	height
weakest	cyclone	cyclone
weak	!	!
weaker	!	!
weakest	height	height
sadder	!	!
sad	height	height
saddest	belong	belong
sad	!	!
sadder	!	!
saddest	height	height
better	!	!
good	erect	erect
best	...	...
good	awards	nominated
better	!	!
best	height	elite
stronger	!	!
strong	erect	erect
strongest	weak	weak
strong	herb	herb
stronger	!	!
strongest	height	tower
lighter	colour	colour
light	belly	belly
lightest	!	!
light	summers	summers
lighter	humid	humid
lightest	!	!
wilder	populations	populations
wild	!	!
wildest	!	!
wild	summers	summers
wilder	humid	humid
wildest	!	!
prettier	minds	minds
pretty	!	!
prettiest	!	!
pretty	summers	summers
prettier	humid	humid
prettiest	!	!
heavier	rainfall	rains
heavy	capable	capable
heaviest	!	!
heavy	summers	summers
heavier	humid	humid
heaviest	!	!
deeper	shallow	shallow
deep	dive	dive
deepest	!	!
deep	summers	summers
deeper	humid	humid
deepest	!	!
newer	!	!
new	thick	thick
newest	!	!
new	thick	thick
newer	alpha	alpha
newest	versions	versions
bloodier	!	!
bloody	thick	thick
bloodiest	!	!
bloody	thick	thick
bloodier	!	!
bloodiest	!	!
prettier	!	!
pretty	thick	thick
prettiest	!	!
pretty	thick	thick
prettier	!	!
prettiest	!	!
softer	!	!
soft	thick	thick
softest	!	!
soft	thick	thick
softer	!	!
softest	!	!
taller	!	!
tall	thick	thick
tallest	!	!
tall	tall	tall
taller	height	height
tallest	!	!
newer	!	!
new	versions	ken
newest	!	!
new	alpha	alpha
newer	alpha	alpha
newest	versions	versions
weaker	!	!
weak	refers	refers
weakest	!	!
weak	refers	refers
weaker	!	!
weakest	!	!
longer	!	!
long	forward	shelter
longest	!	!
long	span	span
longer	span	bridge
longest	shorter	shorter
smarter	!	!
smart	refers	refers
smartest	!	!
smart	refers	refers
smarter	!	!
smartest	!	!
riskier	!	!
risky	refers	refers
riskiest	!	!
risky	refers	refers
riskier	!	!
riskiest	!	!
thicker	!	!
thick	merchants	merchants
thickest	!	!
