rougher	variously	variously
coolest	humid	humid
luckier	slated	revenge
lucky	!	!
luckiest	rapper	rapper
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	these	these
light	forewings	forewings
lightest	charm	charm
light	!	!
lighter	!	!
lightest	uci	uci
shorter	these	these
short	tone	tone
shortest	du	du
short	!	!
shorter	!	!
shortest	petit	huntington
fewer	these	these
few	96	capitol
fewest	uruguay	uruguay
few	!	!
fewer	!	!
fewest	greater	greater
sharper	comedian	consumed
sharp	!	!
sharpest	ink	ink
sharp	!	!
sharper	!	!
sharpest	!	!
taller	weighed	weighed
tall	!	!
tallest	shrub	shrub
tall	sentenced	sentenced
taller	passionate	recent
tallest	!	!
smoother	throat	throat
smooth	!	!
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	manifold	manifold
nice	!	!
nicest	manifold	manifold
nice	!	!
nicer	!	!
nicest	!	!
broader	polymer	polymer
broad	english-language	english-language
broadest	inverse	inverse
broad	!	!
broader	!	!
broadest	analogous	analogous
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	110	110
great	shifting	beneficial
greatest	110	110
great	formats	went
greater	notorious	notorious
greatest	exceed	exceed
wilder	predators	predators
wild	!	!
wildest	!	!
wild	dirty	dirty
wilder	scrap	scrap
wildest	!	!
smoother	scrap	scrap
smooth	!	!
smoothest	!	!
smooth	dirty	dirty
smoother	scrap	scrap
smoothest	!	!
mightier	scrap	scrap
mighty	!	!
mightiest	!	!
mighty	dirty	dirty
mightier	scrap	scrap
mightiest	!	!
leaner	silicon	silicon
lean	!	!
leanest	!	!
lean	dirty	dirty
leaner	scrap	scrap
leanest	!	!
cleaner	standards	standards
clean	!	!
cleanest	!	!
clean	dirty	dirty
cleaner	scrap	scrap
cleanest	!	!
narrower	ribs	ribs
narrow	!	!
narrowest	circular	circular
narrow	!	!
narrower	!	!
narrowest	!	!
colder	juice	sharks
cold	!	!
coldest	copyright	copyright
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	drain	drain
deep	minerals	minerals
deepest	happens	happens
deep	!	!
deeper	!	!
deepest	settlements	settlements
taller	centimeters	disguise
tall	!	!
tallest	centimeters	centimeters
tall	east-west	east-west
taller	rainfall	tornado
tallest	!	!
quicker	genetically	genetically
quick	!	!
quickest	participant	participant
quick	!	!
quicker	!	!
quickest	!	!
narrower	cretaceous	cretaceous
narrow	!	!
narrowest	ridges	ridges
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	elevations	elevations
deep	ravens	ravens
deepest	stiff	stiff
deep	!	!
deeper	!	!
deepest	reminiscent	ravens
closer	simplified	simplified
close	adults	adults
closest	simplified	simplified
close	angry	angry
closer	emergence	emergence
closest	27th	27th
taller	shrub	shrub
tall	!	!
tallest	height	height
tall	population	population
taller	ears	ears
tallest	!	!
kinder	statements	statements
kind	!	!
kindest	handball	disability
kind	!	!
kinder	!	!
kindest	!	!
heavier	rolling	rolling
heavy	solid	solid
heaviest	rolling	rolling
heavy	!	!
heavier	!	!
heaviest	solid	solid
mightier	cadet	cadet
mighty	!	!
mightiest	tag	tag
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	organizing	organizing
lean	!	!
leanest	races	races
lean	!	!
leaner	!	!
leanest	!	!
smarter	featured	competitors
smart	!	!
smartest	competitors	competitors
smart	!	!
smarter	!	!
smartest	!	!
milder	electromagnetic	electromagnetic
mild	!	!
mildest	sulfur	sulfur
mild	!	!
milder	!	!
mildest	!	!
weaker	confident	thereby
weak	!	!
weakest	campaigned	campaigned
weak	!	!
weaker	!	!
weakest	!	!
friendlier	co-operation	co-operation
friendly	!	!
friendliest	opener	opener
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	cites	realistic
lively	!	!
liveliest	faade	faade
lively	!	!
livelier	!	!
liveliest	!	!
younger	teens	teens
young	born	born
youngest	adults	adults
young	catherine	catherine
younger	caroline	caroline
youngest	actress	actress
clearer	bubble	bubble
clear	!	!
clearest	!	!
clear	balkans	balkans
clearer	6000	6000
clearest	!	!
friendlier	guided	guided
friendly	!	!
friendliest	!	!
friendly	balkans	balkans
friendlier	6000	6000
friendliest	!	!
cleaner	forested	rendering
clean	!	!
cleanest	!	!
clean	balkans	balkans
cleaner	6000	6000
cleanest	!	!
stronger	nerve	nerve
strong	radical	radical
strongest	!	!
strong	strengthen	duty
stronger	union	union
strongest	!	!
freer	promoting	nerve
free	!	!
freest	!	!
free	balkans	balkans
freer	6000	6000
freest	!	!
tougher	colts	colts
tough	!	!
toughest	portray	portray
tough	!	!
tougher	!	!
toughest	!	!
funnier	tears	tears
funny	!	!
funniest	portray	portray
funny	!	!
funnier	!	!
funniest	!	!
nicer	processors	processors
nice	!	!
nicest	processors	processors
nice	!	!
nicer	!	!
nicest	!	!
greater	listeners	listeners
great	ya	ya
greatest	stretching	stretching
great	fulfill	fulfill
greater	capsule	capsule
greatest	intercollegiate	loss
bolder	emblem	emblem
bold	!	!
boldest	campaign	campaign
bold	!	!
bolder	!	!
boldest	!	!
poorer	temperature	temperature
poor	!	!
poorest	sally	sally
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	algorithm	jaw
long	insects	insects
longest	gran	short
long	rivera	rivera
longer	difficulty	difficulty
longest	egg	egg
harder	difficulty	difficulty
hard	bay	bay
hardest	1850s	1850s
hard	!	!
harder	!	!
hardest	motive	motive
wiser	allah	allah
wise	!	!
wisest	goldberg	goldberg
wise	!	!
wiser	!	!
wisest	!	!
earlier	separation	separation
early	correspondence	correspondence
earliest	seventeenth	seventeenth
early	unfinished	unfinished
earlier	basel	basel
earliest	nagar	nagar
sadder	picks	mystical
sad	!	!
saddest	stranger	chiang
sad	!	!
sadder	!	!
saddest	!	!
darker	ep	ep
dark	forewings	sand
darkest	transverse	loosely
dark	!	!
darker	!	!
darkest	forewings	forewings
quicker	stealing	handles
quick	!	!
quickest	integer	integer
quick	!	!
quicker	!	!
quickest	!	!
brighter	isn	isn
bright	!	!
brightest	badly	badly
bright	!	!
brighter	!	!
brightest	!	!
cheaper	analogous	effects
cheap	electricity	electricity
cheapest	!	!
cheap	forewings	forewings
cheaper	analogous	analogous
cheapest	!	!
higher	analogous	analogous
high	central	central
highest	!	!
high	growth	growth
higher	analogous	transfers
highest	!	!
fairer	fiji	fiji
fair	!	!
fairest	!	!
fair	forewings	forewings
fairer	analogous	analogous
fairest	!	!
wiser	outreach	d
wise	!	!
wisest	!	!
wise	forewings	forewings
wiser	analogous	analogous
wisest	!	!
taller	analogous	analogous
tall	!	!
tallest	!	!
tall	veins	veins
taller	structures	structures
tallest	!	!
poorer	sends	sends
poor	!	!
poorest	!	!
poor	disk	disk
poorer	containers	containers
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	disk	disk
messier	containers	containers
messiest	!	!
busier	invest	invest
busy	!	!
busiest	!	!
busy	disk	disk
busier	containers	containers
busiest	!	!
taller	deciduous	deciduous
tall	!	!
tallest	!	!
tall	exported	exported
taller	guinness	guinness
tallest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	disk	disk
trickier	containers	containers
trickiest	!	!
higher	!	!
high	exported	exported
highest	!	!
high	characterized	characterized
higher	slovenian	slovenian
highest	accreditation	accreditation
slower	!	!
slow	exported	exported
slowest	!	!
slow	stuff	stuff
slower	!	!
slowest	angular	angular
smarter	!	!
smart	stuff	stuff
smartest	!	!
smart	stuff	stuff
smarter	!	!
smartest	!	!
older	!	!
old	exported	exported
oldest	!	!
old	exported	exported
older	1856	sunderland
oldest	householder	householder
stronger	!	!
strong	material	layer
strongest	!	!
strong	exported	exported
stronger	hostility	hostility
strongest	difficulty	difficulty
cheaper	!	!
cheap	docks	docks
cheapest	!	!
cheap	convenience	convenience
cheaper	!	!
cheapest	economical	economical
classier	!	!
classy	convenience	convenience
classiest	!	!
classy	convenience	convenience
classier	!	!
classiest	!	!
bloodier	!	!
bloody	convenience	convenience
bloodiest	!	!
bloody	convenience	convenience
bloodier	!	!
bloodiest	!	!
wilder	!	!
wild	convenience	convenience
wildest	!	!
wild	convenience	convenience
wilder	!	!
wildest	!	!
easier	!	!
easy	layer	layer
easiest	!	!
easy	convenience	convenience
easier	!	!
easiest	scrap	scrap
rougher	habitat	habitat
rough	!	!
roughest	!	!
rough	drain	centimeters
rougher	methodology	methodology
roughest	!	!
fresher	happiness	happiness
fresh	!	!
freshest	!	!
fresh	drain	centimeters
fresher	methodology	methodology
freshest	!	!
harsher	troubled	troubled
harsh	!	!
harshest	!	!
harsh	drain	centimeters
harsher	methodology	methodology
harshest	!	!
luckier	jack	happiness
lucky	!	!
luckiest	!	!
lucky	drain	centimeters
luckier	methodology	methodology
luckiest	!	!
taller	scrub	usually
tall	!	!
tallest	!	!
tall	tall	tall
taller	debris	debris
tallest	!	!
fatter	pressing	pressing
fat	!	!
fattest	!	!
fat	centimeters	centimeters
fatter	within	centimeters
fattest	!	!
smoother	pressing	pressing
smooth	!	!
smoothest	!	!
smooth	centimeters	centimeters
smoother	within	centimeters
smoothest	!	!
fresher	dirt	dirt
fresh	!	!
freshest	!	!
fresh	centimeters	centimeters
fresher	within	centimeters
freshest	!	!
shorter	drunk	drunk
short	articles	trio
shortest	!	!
short	centimeters	centimeters
shorter	within	centimeters
shortest	!	!
cleaner	securities	securities
clean	!	!
cleanest	!	!
clean	centimeters	centimeters
cleaner	within	centimeters
cleanest	!	!
fuller	costs	costs
full	emmy	emmy
fullest	!	!
full	mixing	mixing
fuller	economical	economical
fullest	!	!
firmer	costs	defendant
firm	!	!
firmest	!	!
firm	mixing	mixing
firmer	economical	economical
firmest	!	!
better	complicated	complicated
good	passive	passive
best	!	!
good	exported	exported
better	economical	exported
best	!	!
mightier	austro-hungarian	austro-hungarian
mighty	!	!
mightiest	!	!
mighty	mixing	mixing
mightier	economical	economical
mightiest	!	!
longer	arbitrary	arbitrary
long	disturbance	disturbance
longest	!	!
long	exported	exported
longer	exported	exported
longest	!	!
greener	bed	bed
green	!	!
greenest	rough	rough
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	boot	boot
nice	!	!
nicest	your	explained
nice	!	!
nicer	!	!
nicest	!	!
slicker	!	!
slick	!	!
slickest	!	!
slick	!	!
slicker	!	!
slickest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	ibn	ibn
sad	!	!
saddest	!	!
sad	particles	particles
sadder	angular	angular
saddest	!	!
swifter	ribs	ribs
swift	!	!
swiftest	!	!
swift	particles	particles
swifter	angular	angular
swiftest	!	!
nicer	29th	29th
nice	!	!
nicest	!	!
nice	particles	particles
nicer	angular	angular
nicest	!	!
softer	verbs	verbs
soft	!	!
softest	!	!
soft	particles	particles
softer	angular	angular
softest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	particles	particles
trickier	angular	angular
trickiest	!	!
greener	patches	patches
green	!	!
greenest	sky	sulfur
green	!	!
greener	!	!
greenest	!	!
clearer	sufficient	0.1
clear	!	!
clearest	insists	insists
clear	!	!
clearer	!	!
clearest	!	!
healthier	simplicity	simplicity
healthy	!	!
healthiest	concentrations	concentrations
healthy	!	!
healthier	!	!
healthiest	!	!
faster	0.1	0.1
fastest	yacht	yacht
fast	under-19	sara
fastest	orleans	passage
faster	progression	progression
fast	ships	voyage
freer	fast	fast
free	!	!
freest	composition	composition
free	!	!
freer	!	!
freest	!	!
meaner	density	density
mean	!	!
meanest	!	!
mean	daylight	daylight
meaner	petit	petit
meanest	!	!
firmer	kernel	kernel
firm	!	!
firmest	!	!
firm	daylight	daylight
firmer	petit	petit
firmest	!	!
bigger	v8	v8
big	1936	1936
biggest	!	!
big	fold	fold
bigger	arguably	arguably
biggest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	daylight	daylight
trickier	petit	petit
trickiest	!	!
deeper	substrate	substrate
deep	basin	basin
deepest	!	!
deep	daylight	daylight
deeper	petit	petit
deepest	!	!
gentler	unusually	unusually
gentle	!	!
gentlest	!	!
gentle	radiation	radiation
gentler	forewings	forewings
gentlest	!	!
costlier	expensive	expensive
costly	!	!
costliest	!	!
costly	radiation	radiation
costlier	forewings	forewings
costliest	!	!
lower	ratios	ratios
low	spike	spike
lowest	!	!
low	female	layer
lower	weighing	weighing
lowest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	radiation	radiation
fancier	forewings	forewings
fanciest	!	!
cleaner	assists	assists
clean	!	!
cleanest	!	!
clean	radiation	radiation
cleaner	forewings	forewings
cleanest	!	!
steadier	!	!
steady	possess	possess
steadiest	!	!
steady	possess	possess
steadier	!	!
steadiest	!	!
poorer	!	!
poor	possess	possess
poorest	!	!
poor	possess	possess
poorer	!	!
poorest	!	!
faster	!	!
fastest	productivity	productivity
fast	!	!
fastest	nucleus	nucleus
faster	quick	quick
fast	torque	torque
cleaner	!	!
clean	possess	possess
cleanest	!	!
clean	possess	possess
cleaner	!	!
cleanest	!	!
softer	!	!
soft	possess	possess
softest	!	!
soft	possess	possess
softer	!	!
softest	!	!
richer	!	!
rich	renewable	renewable
richest	!	!
rich	economies	economies
richer	gmina	gmina
richest	!	!
lighter	!	!
light	washed	washed
lightest	!	!
light	renewable	renewable
lighter	!	!
lightest	forewings	forewings
simpler	!	!
simple	aids	aids
simplest	!	!
simple	renewable	renewable
simpler	!	!
simplest	differed	differed
messier	!	!
messy	renewable	renewable
messiest	!	!
messy	renewable	renewable
messier	!	!
messiest	!	!
friendlier	!	!
friendly	renewable	renewable
friendliest	!	!
friendly	renewable	renewable
friendlier	!	!
friendliest	!	!
higher	!	!
high	hierarchy	hierarchy
highest	!	!
high	exercised	exercised
higher	slovenian	slovenian
highest	accreditation	accreditation
stickier	!	!
sticky	enforced	enforced
stickiest	!	!
sticky	enforced	enforced
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	enforced	enforced
priciest	!	!
pricey	enforced	enforced
pricier	!	!
priciest	!	!
greater	!	!
great	autonomy	autonomy
greatest	!	!
great	enforced	exercised
greater	classics	classics
greatest	gmina	gmina
busier	!	!
busy	enforced	enforced
busiest	!	!
busy	enforced	enforced
busier	!	!
busiest	!	!
tougher	!	!
tough	limitations	limitations
toughest	!	!
tough	limitations	limitations
tougher	!	!
toughest	!	!
stricter	!	!
strict	limitations	limitations
strictest	!	!
strict	limitations	limitations
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	limitations	limitations
stiffest	!	!
stiff	limitations	limitations
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	limitations	limitations
riskiest	!	!
risky	limitations	limitations
riskier	!	!
riskiest	!	!
stronger	!	!
strong	limitations	limitations
strongest	!	!
strong	annexation	annexation
stronger	hostility	hostility
strongest	difficulty	difficulty
classier	!	!
classy	steelers	steelers
classiest	!	!
classy	steelers	steelers
classier	!	!
classiest	!	!
gentler	!	!
gentle	steelers	steelers
gentlest	!	!
gentle	steelers	steelers
gentler	!	!
gentlest	!	!
leaner	!	!
lean	steelers	steelers
leanest	!	!
lean	steelers	steelers
leaner	!	!
leanest	!	!
bigger	!	!
big	weighing	weighing
biggest	!	!
big	arguably	arguably
bigger	charting	charting
biggest	faster	faster
luckier	!	!
lucky	steelers	steelers
luckiest	!	!
lucky	steelers	steelers
luckier	!	!
luckiest	!	!
warmer	cooler	cooler
warm	!	!
warmest	!	!
warm	elaborate	elaborate
warmer	differed	differed
warmest	!	!
slimmer	differed	jessica
slim	!	!
slimmest	!	!
slim	elaborate	elaborate
slimmer	differed	differed
slimmest	!	!
rougher	wooded	wooded
rough	!	!
roughest	!	!
rough	elaborate	elaborate
rougher	differed	differed
roughest	!	!
harder	missed	bombing
hard	magical	magical
hardest	!	!
hard	elaborate	elaborate
harder	differed	differed
hardest	!	!
closer	differed	differed
close	obvious	obvious
closest	!	!
close	evolutionary	evolutionary
closer	perpendicular	perpendicular
closest	!	!
greener	!	!
green	well-being	well-being
greenest	!	!
green	well-being	well-being
greener	!	!
greenest	!	!
kinder	!	!
kind	well-being	well-being
kindest	!	!
kind	well-being	well-being
kinder	!	!
kindest	!	!
sadder	!	!
sad	well-being	well-being
saddest	!	!
sad	well-being	well-being
sadder	!	!
saddest	!	!
quicker	!	!
quick	well-being	well-being
quickest	!	!
quick	well-being	well-being
quicker	!	!
quickest	!	!
stiffer	!	!
stiff	well-being	well-being
stiffest	!	!
stiff	well-being	well-being
stiffer	!	!
stiffest	!	!
weaker	!	!
weak	felt	felt
weakest	!	!
weak	felt	felt
weaker	!	!
weakest	!	!
slicker	!	!
slick	felt	felt
slickest	!	!
slick	felt	felt
slicker	!	!
slickest	!	!
closer	!	!
close	reversed	reversed
closest	!	!
close	parish	parish
closer	nearest	nearest
closest	inning	inning
older	!	!
old	veins	layer
oldest	!	!
old	veins	veins
older	1856	sunderland
oldest	householder	householder
wiser	!	!
wise	felt	felt
wisest	!	!
wise	felt	felt
wiser	!	!
wisest	!	!
cheaper	!	!
cheap	economical	economical
cheapest	!	!
cheap	fast	wheelchair
cheaper	!	!
cheapest	economical	economical
simpler	!	!
simple	cheap	layer
simplest	!	!
simple	fast	wheelchair
simpler	!	!
simplest	differed	differed
fresher	!	!
fresh	fast	wheelchair
freshest	!	!
fresh	fast	wheelchair
fresher	!	!
freshest	!	!
bolder	!	!
bold	fast	wheelchair
boldest	!	!
bold	fast	wheelchair
bolder	!	!
boldest	!	!
cleaner	!	!
clean	fast	wheelchair
cleanest	!	!
clean	fast	wheelchair
cleaner	!	!
cleanest	!	!
poorer	queens	queens
poor	!	!
poorest	!	!
poor	amphibious	amphibious
poorer	torque	torque
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	amphibious	amphibious
messier	torque	torque
messiest	!	!
narrower	transverse	transverse
narrow	!	!
narrowest	!	!
narrow	amphibious	amphibious
narrower	torque	torque
narrowest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	amphibious	amphibious
noisier	torque	torque
noisiest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	amphibious	amphibious
riskier	torque	torque
riskiest	!	!
steadier	!	!
steady	derive	derive
steadiest	acceptable	acceptable
steady	!	!
steadier	!	!
steadiest	gmina	gmina
swifter	!	!
swift	derive	derive
swiftest	6.5	6.5
swift	!	!
swifter	!	!
swiftest	gmina	gmina
tougher	!	!
tough	derive	derive
toughest	non-fiction	non-fiction
tough	!	!
tougher	!	!
toughest	gmina	gmina
meaner	!	!
mean	derive	derive
meanest	remarked	1000
mean	!	!
meaner	!	!
meanest	gmina	gmina
smoother	!	!
smooth	derive	derive
smoothest	currency	currency
smooth	!	!
smoother	!	!
smoothest	gmina	gmina
milder	!	!
mild	want	want
mildest	!	!
mild	want	want
milder	!	!
mildest	!	!
earlier	!	!
early	prototypes	rapidly
earliest	!	!
early	clement	clement
earlier	attested	attested
earliest	fishermen	fishermen
tastier	!	!
tasty	want	want
tastiest	!	!
tasty	want	want
tastier	!	!
tastiest	!	!
faster	!	!
fastest	rehabilitation	rehabilitation
fast	!	!
fastest	cope	cope
faster	quick	quick
fast	torque	torque
greater	!	!
great	cope	roads
greatest	!	!
great	remarkable	remarkable
greater	classics	classics
greatest	gmina	gmina
richer	mountainous	mountainous
rich	!	!
richest	!	!
rich	dorsal	dorsal
richer	dorsal	dorsal
richest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	forewings	forewings
tastier	forewings	forewings
tastiest	!	!
thinner	drainage	drainage
thin	!	!
thinnest	!	!
thin	forewings	forewings
thinner	forewings	forewings
thinnest	!	!
rougher	frontal	frontal
rough	!	!
roughest	!	!
rough	forewings	forewings
rougher	forewings	forewings
roughest	!	!
luckier	gonna	gonna
lucky	!	!
luckiest	!	!
lucky	forewings	forewings
luckier	forewings	forewings
luckiest	!	!
tighter	!	!
tight	moist	moist
tightest	!	!
tight	moist	moist
tighter	!	!
tightest	!	!
kinder	!	!
kind	moist	moist
kindest	!	!
kind	moist	moist
kinder	!	!
kindest	!	!
swifter	!	!
swift	moist	moist
swiftest	!	!
swift	moist	moist
swifter	!	!
swiftest	!	!
messier	!	!
messy	moist	moist
messiest	!	!
messy	moist	moist
messier	!	!
messiest	!	!
deeper	!	!
deep	texture	tissue
deepest	!	!
deep	moist	moist
deeper	!	!
deepest	methodology	methodology
lower	!	!
low	visibility	decreases
lowest	!	!
low	cooler	cooler
lower	elevations	elevations
lowest	upper	upper
costlier	!	!
costly	humid	humid
costliest	!	!
costly	humid	humid
costlier	!	!
costliest	!	!
narrower	!	!
narrow	humid	humid
narrowest	!	!
narrow	humid	humid
narrower	!	!
narrowest	!	!
leaner	!	!
lean	humid	humid
leanest	!	!
lean	humid	humid
leaner	!	!
leanest	!	!
younger	!	!
young	oceanic	oceanic
youngest	!	!
young	oceanic	oceanic
younger	granddaughter	granddaughter
youngest	marrying	marrying
smaller	!	!
small	angles	angles
smallest	!	!
small	angles	perpendicular
smaller	metric	metric
smallest	larger	larger
gentler	!	!
gentle	silk	disturbance
gentlest	!	!
gentle	silk	disturbance
gentler	!	!
gentlest	!	!
mightier	!	!
mighty	silk	disturbance
mightiest	!	!
mighty	silk	disturbance
mightier	!	!
mightiest	!	!
leaner	!	!
lean	silk	disturbance
leanest	!	!
lean	silk	disturbance
leaner	!	!
leanest	!	!
fancier	!	!
fancy	silk	disturbance
fanciest	!	!
fancy	silk	disturbance
fancier	!	!
fanciest	!	!
kinder	!	!
kind	1839	1839
kindest	!	!
kind	1839	1839
kinder	!	!
kindest	!	!
wider	!	!
wide	tissue	tissue
widest	!	!
wide	1839	1839
wider	!	!
widest	within	centimeters
pricier	!	!
pricey	1839	1839
priciest	!	!
pricey	1839	1839
pricier	!	!
priciest	!	!
firmer	!	!
firm	1839	1839
firmest	!	!
firm	1839	1839
firmer	!	!
firmest	!	!
brighter	!	!
bright	1839	1839
brightest	!	!
bright	1839	1839
brighter	!	!
brightest	!	!
steadier	!	!
steady	transverse	transverse
steadiest	!	!
steady	transverse	transverse
steadier	!	!
steadiest	!	!
classier	!	!
classy	transverse	transverse
classiest	!	!
classy	transverse	transverse
classier	!	!
classiest	!	!
sadder	!	!
sad	transverse	transverse
saddest	!	!
sad	transverse	transverse
sadder	!	!
saddest	!	!
meaner	!	!
mean	transverse	transverse
meanest	!	!
mean	transverse	transverse
meaner	!	!
meanest	!	!
faster	!	!
fastest	transverse	transverse
fast	!	!
fastest	transverse	transverse
faster	quick	quick
fast	torque	torque
louder	!	!
loud	wonderful	wonderful
loudest	!	!
loud	wonderful	wonderful
louder	!	!
loudest	!	!
newer	!	!
new	characterized	characterized
newest	!	!
new	exceptionally	exceptionally
newer	intel	intel
newest	codice	codice
bloodier	!	!
bloody	wonderful	wonderful
bloodiest	!	!
bloody	wonderful	wonderful
bloodier	!	!
bloodiest	!	!
younger	!	!
young	sympathetic	sympathetic
youngest	!	!
young	sympathetic	sympathetic
younger	granddaughter	granddaughter
youngest	marrying	marrying
closer	!	!
close	sympathetic	sympathetic
closest	!	!
close	commune	commune
closer	nearest	nearest
closest	inning	inning
clearer	!	!
clear	perfectly	perfectly
clearest	!	!
clear	perfectly	perfectly
clearer	!	!
clearest	!	!
richer	!	!
rich	perfectly	perfectly
richest	!	!
rich	oak	oak
richer	gmina	gmina
richest	!	!
meaner	!	!
mean	perfectly	perfectly
meanest	!	!
mean	perfectly	perfectly
meaner	!	!
meanest	!	!
older	!	!
old	aids	aids
oldest	!	!
old	banned	banned
older	1856	sunderland
oldest	householder	householder
deeper	!	!
deep	falcons	layer
deepest	!	!
deep	perfectly	perfectly
deeper	!	!
deepest	methodology	methodology
tastier	!	!
tasty	height	height
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	landmarks	landmarks
weaker	!	!
weak	height	height
weakest	historically	warning
weak	!	!
weaker	!	!
weakest	landmarks	landmarks
sadder	!	!
sad	height	height
saddest	vic	vic
sad	!	!
sadder	!	!
saddest	landmarks	landmarks
better	!	!
good	armament	armament
best	taste	historically
good	bowie	bowie
better	!	!
best	pier	pier
stronger	!	!
strong	slender	slender
strongest	organisation	organisation
strong	usually	usually
stronger	!	!
strongest	displacement	flooding
lighter	scattering	scattering
light	blend	blend
lightest	!	!
light	winters	winters
lighter	humid	humid
lightest	!	!
wilder	bred	bred
wild	!	!
wildest	!	!
wild	winters	winters
wilder	humid	humid
wildest	!	!
prettier	05	05
pretty	!	!
prettiest	!	!
pretty	winters	winters
prettier	humid	humid
prettiest	!	!
heavier	vehicles	vehicles
heavy	metre	metre
heaviest	!	!
heavy	winters	winters
heavier	humid	humid
heaviest	!	!
deeper	coastline	roughly
deep	feels	feels
deepest	!	!
deep	winters	winters
deeper	humid	humid
deepest	!	!
newer	!	!
new	posterior	posterior
newest	!	!
new	outer	outer
newer	intel	intel
newest	codice	codice
bloodier	!	!
bloody	centimeters	centimeters
bloodiest	!	!
bloody	centimeters	centimeters
bloodier	!	!
