rougher	slope	slope
smartest	confederation	confederation
smart	!	!
smarter	!	!
smartest	!	!
milder	flooding	flooding
mild	!	!
mildest	monsoon	monsoon
mild	!	!
milder	!	!
mildest	!	!
weaker	thereby	thereby
weak	!	!
weakest	blow	blow
weak	!	!
weaker	!	!
weakest	!	!
friendlier	qualifiers	qualifiers
friendly	!	!
friendliest	qualifiers	qualifiers
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	hbo	hbo
lively	!	!
liveliest	bombing	bombing
lively	!	!
livelier	!	!
liveliest	!	!
younger	isabel	isabel
young	grandfather	clark
youngest	geological	geological
young	joo	joo
younger	caroline	caroline
youngest	playwright	playwright
clearer	counted	counted
clear	!	!
clearest	!	!
clear	extra	extra
clearer	1100	1100
clearest	!	!
friendlier	competed	mw
friendly	!	!
friendliest	!	!
friendly	extra	extra
friendlier	1100	1100
friendliest	!	!
cleaner	mw	mw
clean	!	!
cleanest	!	!
clean	extra	extra
cleaner	1100	1100
cleanest	!	!
stronger	soft	nerve
strong	radical	radical
strongest	!	!
strong	historically	historically
stronger	incidence	incidence
strongest	!	!
freer	counted	counted
free	!	!
freest	!	!
free	extra	extra
freer	1100	1100
freest	!	!
tougher	stuff	adverse
tough	!	!
toughest	portray	portray
tough	!	!
tougher	!	!
toughest	!	!
funnier	allmusic	allmusic
funny	!	!
funniest	allmusic	allmusic
funny	!	!
funnier	!	!
funniest	!	!
nicer	harder	harder
nice	!	!
nicest	measured	measured
nice	!	!
nicer	!	!
nicest	!	!
greater	harder	patronage
great	promotes	promotes
greatest	fauna	fauna
great	conscious	conscious
greater	shoe	shoe
greatest	environmental	environmental
bolder	nationalism	nationalism
bold	!	!
boldest	nationalism	nationalism
bold	!	!
bolder	!	!
boldest	!	!
poorer	advance	advance
poor	!	!
poorest	servant	servant
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	rosa	rosa
long	similar	similar
longest	rosa	rosa
long	balanced	balanced
longer	longer	longer
longest	participates	participates
harder	galaxy	galaxy
hard	similar	similar
hardest	carolina	carolina
hard	!	!
harder	!	!
hardest	similar	lynn
wiser	prosecution	prosecution
wise	!	!
wisest	cultural	annals
wise	!	!
wiser	!	!
wisest	!	!
earlier	separation	separation
early	freedom	freedom
earliest	broadcasts	broadcasts
early	norman	norman
earlier	intact	intact
earliest	here	here
sadder	sophie	sophie
sad	!	!
saddest	sang	sang
sad	!	!
sadder	!	!
saddest	!	!
darker	darker	flames
dark	forewings	forewings
darkest	forewings	forewings
dark	!	!
darker	!	!
darkest	forewings	forewings
quicker	abuse	abuse
quick	!	!
quickest	savage	savage
quick	!	!
quicker	!	!
quickest	!	!
brighter	acceleration	acceleration
bright	!	!
brightest	flags	flags
bright	!	!
brighter	!	!
brightest	!	!
cheaper	adjusted	adjusted
cheap	raced	raced
cheapest	!	!
cheap	underside	underside
cheaper	contexts	contexts
cheapest	!	!
higher	analogous	ricky
high	moscow	brook
highest	!	!
high	catchment	catchment
higher	varies	varies
highest	!	!
fairer	analogous	analogous
fair	!	!
fairest	!	!
fair	underside	underside
fairer	contexts	contexts
fairest	!	!
wiser	chteau	chteau
wise	!	!
wisest	!	!
wise	underside	underside
wiser	contexts	contexts
wisest	!	!
taller	analogous	adjusted
tall	!	!
tallest	!	!
tall	sandstone	sandstone
taller	sandstone	residential
tallest	!	!
poorer	owing	owing
poor	!	!
poorest	!	!
poor	texture	texture
poorer	drops	drops
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	texture	texture
messier	drops	drops
messiest	!	!
busier	drops	ranch
busy	!	!
busiest	!	!
busy	texture	texture
busier	drops	drops
busiest	!	!
taller	tallest	tallest
tall	!	!
tallest	!	!
tall	sandstone	sandstone
taller	sandstone	sandstone
tallest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	texture	texture
trickier	drops	drops
trickiest	!	!
higher	!	!
high	slow	exported
highest	!	!
high	kiev	marino
higher	ranking	ranking
highest	sunni	sunni
slower	!	!
slow	harsh	harsh
slowest	!	!
slow	ign	ign
slower	!	!
slowest	faster	faster
smarter	!	!
smart	ign	ign
smartest	!	!
smart	ign	ign
smarter	!	!
smartest	!	!
older	!	!
old	exported	exported
oldest	!	!
old	exported	exported
older	extant	extant
oldest	ruins	ruins
stronger	!	!
strong	harsh	harsh
strongest	!	!
strong	exported	exported
stronger	passionate	passionate
strongest	wrong	wrong
cheaper	!	!
cheap	proved	proved
cheapest	!	!
cheap	standard	standard
cheaper	!	!
cheapest	extraction	extraction
classier	!	!
classy	standard	standard
classiest	!	!
classy	standard	standard
classier	!	!
classiest	!	!
bloodier	!	!
bloody	standard	standard
bloodiest	!	!
bloody	standard	standard
bloodier	!	!
bloodiest	!	!
wilder	!	!
wild	standard	standard
wildest	!	!
wild	standard	standard
wilder	!	!
wildest	!	!
easier	!	!
easy	layer	layer
easiest	!	!
easy	standard	standard
easier	!	!
easiest	smooth	smooth
rougher	earn	earn
rough	!	!
roughest	!	!
rough	drain	drain
rougher	subtropical	subtropical
roughest	!	!
fresher	compounds	compounds
fresh	!	!
freshest	!	!
fresh	drain	drain
fresher	subtropical	subtropical
freshest	!	!
harsher	worst	worst
harsh	!	!
harshest	!	!
harsh	drain	drain
harsher	subtropical	subtropical
harshest	!	!
luckier	likes	likes
lucky	!	!
luckiest	!	!
lucky	drain	drain
luckier	subtropical	subtropical
luckiest	!	!
taller	deciduous	deciduous
tall	!	!
tallest	!	!
tall	sandstone	sandstone
taller	sandstone	sandstone
tallest	!	!
fatter	fatty	penetration
fat	!	!
fattest	!	!
fat	transverse	transverse
fatter	access	access
fattest	!	!
smoother	solitary	solitary
smooth	!	!
smoothest	!	!
smooth	transverse	transverse
smoother	access	access
smoothest	!	!
fresher	something	something
fresh	!	!
freshest	!	!
fresh	transverse	transverse
fresher	access	access
freshest	!	!
shorter	within	within
short	font	font
shortest	!	!
short	transverse	transverse
shorter	access	access
shortest	!	!
cleaner	solitary	forgotten
clean	!	!
cleanest	!	!
clean	transverse	transverse
cleaner	access	access
cleanest	!	!
fuller	costs	costs
full	drama	drama
fullest	!	!
full	cheaper	cheaper
fuller	extraction	extraction
fullest	!	!
firmer	harvard	harvard
firm	!	!
firmest	!	!
firm	cheaper	cheaper
firmer	extraction	extraction
firmest	!	!
better	treating	treating
good	presenting	presenting
best	!	!
good	exported	exported
better	exported	exported
best	!	!
mightier	-	-
mighty	!	!
mightiest	!	!
mighty	cheaper	cheaper
mightier	extraction	extraction
mightiest	!	!
longer	vernacular	vernacular
long	given	50th
longest	!	!
long	supplying	supplying
longer	competitors	exported
longest	!	!
greener	adjoining	adjoining
green	!	!
greenest	webb	webb
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	lets	lets
nice	!	!
nicest	fun	fun
nice	!	!
nicer	!	!
nicest	!	!
slicker	!	!
slick	!	!
slickest	!	!
slick	!	!
slicker	!	!
slickest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	ya	ya
sad	!	!
saddest	!	!
sad	steady	steady
sadder	faster	faster
saddest	!	!
swifter	trailer	trailer
swift	!	!
swiftest	!	!
swift	steady	steady
swifter	faster	faster
swiftest	!	!
nicer	illusion	illusion
nice	!	!
nicest	!	!
nice	steady	steady
nicer	faster	faster
nicest	!	!
softer	ribs	scales
soft	!	!
softest	!	!
soft	steady	steady
softer	faster	faster
softest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	steady	steady
trickier	faster	faster
trickiest	!	!
greener	webb	webb
green	!	!
greenest	kidnapped	kidnapped
green	!	!
greener	!	!
greenest	!	!
clearer	characterised	characterised
clear	!	!
clearest	sure	sure
clear	!	!
clearer	!	!
clearest	!	!
healthier	tumor	tumor
healthy	!	!
healthiest	butter	alpha
healthy	!	!
healthier	!	!
healthiest	!	!
faster	bowler	bowler
fastest	specialised	specialised
fast	competed	competed
fastest	hampshire	hampshire
faster	drastically	drastically
fast	day	day
freer	tap	tap
free	!	!
freest	em	em
free	!	!
freer	!	!
freest	!	!
meaner	averages	averages
mean	!	!
meanest	!	!
mean	margins	margins
meaner	syllable	syllable
meanest	!	!
firmer	circa	circa
firm	!	!
firmest	!	!
firm	margins	margins
firmer	syllable	syllable
firmest	!	!
bigger	substrate	substrate
big	penn	penn
biggest	!	!
big	margins	margins
bigger	weighing	weighing
biggest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	margins	margins
trickier	syllable	syllable
trickiest	!	!
deeper	images	images
deep	delicate	possession
deepest	!	!
deep	margins	margins
deeper	syllable	syllable
deepest	!	!
gentler	introducing	introducing
gentle	!	!
gentlest	!	!
gentle	lit	lit
gentler	forewings	forewings
gentlest	!	!
costlier	grains	grains
costly	!	!
costliest	!	!
costly	lit	lit
costlier	forewings	forewings
costliest	!	!
lower	reproduction	reproduction
low	spike	spike
lowest	!	!
low	dorsal	dorsal
lower	alcohol	exported
lowest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	lit	lit
fancier	forewings	forewings
fanciest	!	!
cleaner	coupled	coupled
clean	!	!
cleanest	!	!
clean	lit	lit
cleaner	forewings	forewings
cleanest	!	!
steadier	!	!
steady	ions	ions
steadiest	!	!
steady	ions	ions
steadier	!	!
steadiest	!	!
poorer	!	!
poor	ions	ions
poorest	!	!
poor	ions	ions
poorer	!	!
poorest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	beneficial	beneficial
faster	tough	tough
fast	slower	slower
cleaner	!	!
clean	ions	ions
cleanest	!	!
clean	ions	ions
cleaner	!	!
cleanest	!	!
softer	!	!
soft	ions	ions
softest	!	!
soft	ions	ions
softer	!	!
softest	!	!
richer	!	!
rich	renewable	renewable
richest	!	!
rich	cent	cent
richer	gmina	gmina
richest	!	!
lighter	!	!
light	export	export
lightest	!	!
light	renewable	renewable
lighter	!	!
lightest	forewings	forewings
simpler	!	!
simple	aluminium	aluminium
simplest	!	!
simple	renewable	renewable
simpler	!	!
simplest	geometry	brake
messier	!	!
messy	renewable	renewable
messiest	!	!
messy	renewable	renewable
messier	!	!
messiest	!	!
friendlier	!	!
friendly	renewable	renewable
friendliest	!	!
friendly	renewable	renewable
friendlier	!	!
friendliest	!	!
higher	!	!
high	compulsory	compulsory
highest	!	!
high	compulsory	compulsory
higher	ranking	ranking
highest	sunni	sunni
stickier	!	!
sticky	compulsory	compulsory
stickiest	!	!
sticky	compulsory	compulsory
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	compulsory	compulsory
priciest	!	!
pricey	compulsory	compulsory
pricier	!	!
priciest	!	!
greater	!	!
great	implications	implications
greatest	!	!
great	implications	implications
greater	finest	finest
greatest	gmina	gmina
busier	!	!
busy	compulsory	compulsory
busiest	!	!
busy	compulsory	compulsory
busier	!	!
busiest	!	!
tougher	!	!
tough	monsoon	monsoon
toughest	!	!
tough	monsoon	monsoon
tougher	!	!
toughest	!	!
stricter	!	!
strict	monsoon	monsoon
strictest	!	!
strict	monsoon	monsoon
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	monsoon	monsoon
stiffest	!	!
stiff	monsoon	monsoon
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	monsoon	monsoon
riskiest	!	!
risky	monsoon	monsoon
riskier	!	!
riskiest	!	!
stronger	!	!
strong	favoured	favoured
strongest	!	!
strong	favoured	reorganized
stronger	passionate	passionate
strongest	wrong	wrong
classier	!	!
classy	linebacker	linebacker
classiest	!	!
classy	linebacker	linebacker
classier	!	!
classiest	!	!
gentler	!	!
gentle	linebacker	linebacker
gentlest	!	!
gentle	linebacker	linebacker
gentler	!	!
gentlest	!	!
leaner	!	!
lean	linebacker	linebacker
leanest	!	!
lean	linebacker	linebacker
leaner	!	!
leanest	!	!
bigger	!	!
big	narrowly	narrowly
biggest	!	!
big	insufficient	insufficient
bigger	spare	spare
biggest	depressed	depressed
luckier	!	!
lucky	linebacker	linebacker
luckiest	!	!
lucky	linebacker	linebacker
luckier	!	!
luckiest	!	!
warmer	cooler	cooler
warm	!	!
warmest	!	!
warm	texture	texture
warmer	geometry	brake
warmest	!	!
slimmer	brake	brake
slim	!	!
slimmest	!	!
slim	texture	texture
slimmer	geometry	brake
slimmest	!	!
rougher	concrete	concrete
rough	!	!
roughest	!	!
rough	texture	texture
rougher	geometry	brake
roughest	!	!
harder	directly	directly
hard	bold	bold
hardest	!	!
hard	texture	texture
harder	geometry	brake
hardest	!	!
closer	pressure	pressure
close	lisa	lisa
closest	!	!
close	stroke	stroke
closer	geometry	geometry
closest	!	!
greener	!	!
green	partly	partly
greenest	!	!
green	partly	partly
greener	!	!
greenest	!	!
kinder	!	!
kind	partly	partly
kindest	!	!
kind	partly	partly
kinder	!	!
kindest	!	!
sadder	!	!
sad	partly	partly
saddest	!	!
sad	partly	partly
sadder	!	!
saddest	!	!
quicker	!	!
quick	partly	partly
quickest	!	!
quick	partly	partly
quicker	!	!
quickest	!	!
stiffer	!	!
stiff	partly	partly
stiffest	!	!
stiff	partly	partly
stiffer	!	!
stiffest	!	!
weaker	!	!
weak	gate	gate
weakest	!	!
weak	gate	gate
weaker	!	!
weakest	!	!
slicker	!	!
slick	gate	gate
slickest	!	!
slick	gate	gate
slicker	!	!
slickest	!	!
closer	!	!
close	spiral	spiral
closest	!	!
close	terminals	terminals
closer	nearest	nearest
closest	inevitable	inevitable
older	!	!
old	cylinder	cylinder
oldest	!	!
old	extant	extant
older	extant	extant
oldest	ruins	ruins
wiser	!	!
wise	gate	gate
wisest	!	!
wise	gate	gate
wiser	!	!
wisest	!	!
cheaper	!	!
cheap	consumption	consumption
cheapest	!	!
cheap	clutch	clutch
cheaper	!	!
cheapest	extraction	extraction
simpler	!	!
simple	cheaper	cheaper
simplest	!	!
simple	clutch	clutch
simpler	!	!
simplest	geometry	brake
fresher	!	!
fresh	clutch	clutch
freshest	!	!
fresh	clutch	clutch
fresher	!	!
freshest	!	!
bolder	!	!
bold	clutch	clutch
boldest	!	!
bold	clutch	clutch
bolder	!	!
boldest	!	!
cleaner	!	!
clean	clutch	clutch
cleanest	!	!
clean	clutch	clutch
cleaner	!	!
cleanest	!	!
poorer	centimeters	centimeters
poor	!	!
poorest	!	!
poor	simpler	simpler
poorer	manifold	manifold
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	simpler	simpler
messier	manifold	manifold
messiest	!	!
narrower	centimeters	centimeters
narrow	!	!
narrowest	!	!
narrow	simpler	simpler
narrower	manifold	manifold
narrowest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	simpler	simpler
noisier	manifold	manifold
noisiest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	simpler	simpler
riskier	manifold	manifold
riskiest	!	!
steadier	!	!
steady	eating	eating
steadiest	exceeded	exceeded
steady	!	!
steadier	!	!
steadiest	gmina	gmina
swifter	!	!
swift	eating	eating
swiftest	smoking	smoking
swift	!	!
swifter	!	!
swiftest	gmina	gmina
tougher	!	!
tough	eating	eating
toughest	stuff	breaking
tough	!	!
tougher	!	!
toughest	gmina	gmina
meaner	!	!
mean	eating	eating
meanest	exceeded	exceeded
mean	!	!
meaner	!	!
meanest	gmina	gmina
smoother	!	!
smooth	eating	eating
smoothest	smoking	smoking
smooth	!	!
smoother	!	!
smoothest	gmina	gmina
milder	!	!
mild	oh	oh
mildest	!	!
mild	oh	oh
milder	!	!
mildest	!	!
earlier	!	!
early	nominal	nominal
earliest	!	!
early	attested	attested
earlier	attested	attested
earliest	unpublished	unpublished
tastier	!	!
tasty	oh	oh
tastiest	!	!
tasty	oh	oh
tastier	!	!
tastiest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	hiking	hiking
faster	tough	tough
fast	slower	slower
greater	!	!
great	does	harsh
greatest	!	!
great	obligation	obligation
greater	finest	finest
greatest	gmina	gmina
richer	african-american	african-american
rich	!	!
richest	!	!
rich	deposits	deposits
richer	exceptionally	exceptionally
richest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	forewings	forewings
tastier	forewings	forewings
tastiest	!	!
thinner	melting	melting
thin	!	!
thinnest	!	!
thin	forewings	forewings
thinner	forewings	forewings
thinnest	!	!
rougher	acoustic	acoustic
rough	!	!
roughest	!	!
rough	forewings	forewings
rougher	forewings	forewings
roughest	!	!
luckier	hurricanes	hurricanes
lucky	!	!
luckiest	!	!
lucky	forewings	forewings
luckier	forewings	forewings
luckiest	!	!
tighter	!	!
tight	moist	moist
tightest	!	!
tight	moist	moist
tighter	!	!
tightest	!	!
kinder	!	!
kind	moist	moist
kindest	!	!
kind	moist	moist
kinder	!	!
kindest	!	!
swifter	!	!
swift	moist	moist
swiftest	!	!
swift	moist	moist
swifter	!	!
swiftest	!	!
messier	!	!
messy	moist	moist
messiest	!	!
messy	moist	moist
messier	!	!
messiest	!	!
deeper	!	!
deep	moist	moist
deepest	!	!
deep	moist	moist
deeper	!	!
deepest	subtropical	subtropical
lower	!	!
low	moist	cooler
lowest	!	!
low	wet	wet
lower	require	require
lowest	convex	convex
costlier	!	!
costly	moist	moist
costliest	!	!
costly	moist	moist
costlier	!	!
costliest	!	!
narrower	!	!
narrow	moist	moist
narrowest	!	!
narrow	moist	moist
narrower	!	!
narrowest	!	!
leaner	!	!
lean	moist	moist
leanest	!	!
lean	moist	moist
leaner	!	!
leanest	!	!
younger	!	!
young	oceanic	oceanic
youngest	!	!
young	exceptionally	exceptionally
younger	cerambycidae	cerambycidae
youngest	grandchildren	grandchildren
smaller	!	!
small	diameter	diameter
smallest	!	!
small	posterior	posterior
smaller	bats	bats
smallest	diameter	diameter
gentler	!	!
gentle	muscles	muscles
gentlest	!	!
gentle	muscles	muscles
gentler	!	!
gentlest	!	!
mightier	!	!
mighty	muscles	muscles
mightiest	!	!
mighty	muscles	muscles
mightier	!	!
mightiest	!	!
leaner	!	!
lean	muscles	muscles
leanest	!	!
lean	muscles	muscles
leaner	!	!
leanest	!	!
fancier	!	!
fancy	muscles	muscles
fanciest	!	!
fancy	muscles	muscles
fancier	!	!
fanciest	!	!
kinder	!	!
kind	chest	chest
kindest	!	!
kind	chest	chest
kinder	!	!
kindest	!	!
wider	!	!
wide	margins	margins
widest	!	!
wide	chest	chest
wider	!	!
widest	access	access
pricier	!	!
pricey	chest	chest
priciest	!	!
pricey	chest	chest
pricier	!	!
priciest	!	!
firmer	!	!
firm	chest	chest
firmest	!	!
firm	chest	chest
firmer	!	!
firmest	!	!
brighter	!	!
bright	chest	chest
brightest	!	!
bright	chest	chest
brighter	!	!
brightest	!	!
steadier	!	!
steady	centimeters	centimeters
steadiest	!	!
steady	centimeters	centimeters
steadier	!	!
steadiest	!	!
classier	!	!
classy	centimeters	centimeters
classiest	!	!
classy	centimeters	centimeters
classier	!	!
classiest	!	!
sadder	!	!
sad	centimeters	centimeters
saddest	!	!
sad	centimeters	centimeters
sadder	!	!
saddest	!	!
meaner	!	!
mean	centimeters	centimeters
meanest	!	!
mean	centimeters	centimeters
meaner	!	!
meanest	!	!
faster	!	!
fastest	shallow	shallow
fast	!	!
fastest	artery	artery
faster	tough	tough
fast	slower	slower
louder	!	!
loud	narrow	narrow
loudest	!	!
loud	narrow	narrow
louder	!	!
loudest	!	!
newer	!	!
new	increasingly	increasingly
newest	!	!
new	interior	interior
newer	sigma	sigma
newest	registry	registry
bloodier	!	!
bloody	narrow	narrow
bloodiest	!	!
bloody	narrow	narrow
bloodier	!	!
bloodiest	!	!
younger	!	!
young	sympathetic	harsh
youngest	!	!
young	exceptionally	stroke
younger	cerambycidae	cerambycidae
youngest	grandchildren	grandchildren
closer	!	!
close	spiral	spiral
closest	!	!
close	flores	stroke
closer	nearest	nearest
closest	inevitable	inevitable
clearer	!	!
clear	topic	topic
clearest	!	!
clear	topic	topic
clearer	!	!
clearest	!	!
richer	!	!
rich	topic	topic
richest	!	!
rich	cent	cent
richer	gmina	gmina
richest	!	!
meaner	!	!
mean	topic	topic
meanest	!	!
mean	topic	topic
meaner	!	!
meanest	!	!
older	!	!
old	individuals	individuals
oldest	!	!
old	1799	1799
older	extant	extant
oldest	ruins	ruins
deeper	!	!
deep	container	container
deepest	!	!
deep	topic	topic
deeper	!	!
deepest	subtropical	subtropical
tastier	!	!
tasty	inches	inches
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	landmarks	landmarks
weaker	!	!
weak	inches	inches
weakest	26th	26th
weak	!	!
weaker	!	!
weakest	landmarks	landmarks
sadder	!	!
sad	inches	inches
saddest	kuala	proclaimed
sad	!	!
sadder	!	!
saddest	landmarks	landmarks
better	!	!
good	seconds	seconds
best	volleyball	volleyball
good	odd	odd
better	!	!
best	sandstone	plateau
stronger	!	!
strong	height	cooler
strongest	east-west	fixture
strong	hostile	rhythms
stronger	!	!
strongest	favoured	favoured
lighter	radiation	radiation
light	discography	playable
lightest	!	!
light	humid	humid
lighter	humid	humid
lightest	!	!
wilder	breeding	breeding
wild	!	!
wildest	!	!
wild	humid	humid
wilder	humid	humid
wildest	!	!
prettier	subtropical	painful
pretty	!	!
prettiest	!	!
pretty	humid	humid
prettier	humid	humid
prettiest	!	!
heavier	melting	mainland
heavy	smoke	playable
heaviest	!	!
heavy	humid	humid
heavier	humid	humid
heaviest	!	!
deeper	drain	metres
deep	myself	...
deepest	!	!
deep	humid	humid
deeper	humid	humid
deepest	!	!
newer	!	!
new	rectangular	rectangular
newest	!	!
new	copper	copper
newer	sigma	sigma
newest	registry	registry
bloodier	!	!
