rougher	function	processing
freer	cognitive	adoption
free	!	!
freest	!	!
free	rao	rao
freer	cognitive	cognitive
freest	!	!
tougher	easier	easier
tough	!	!
toughest	branded	mixed
tough	!	!
tougher	!	!
toughest	!	!
funnier	seemed	seemed
funny	!	!
funniest	afraid	spare
funny	!	!
funnier	!	!
funniest	!	!
nicer	easier	easier
nice	!	!
nicest	notation	notation
nice	!	!
nicer	!	!
nicest	!	!
greater	caucasus	caucasus
great	aspect	aspect
greatest	important	ports
great	tradition	extremely
greater	seemed	seemed
greatest	association	association
bolder	easier	easier
bold	!	!
boldest	visual	visual
bold	!	!
bolder	!	!
boldest	!	!
poorer	coventry	coventry
poor	!	!
poorest	keen	chef
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	fbi	fbi
long	trustees	trustees
longest	moreover	moreover
long	crossing	crossing
longer	diamond	diamond
longest	passive	recruits
harder	80s	80s
hard	never	never
hardest	barely	barely
hard	!	!
harder	!	!
hardest	witnessed	witnessed
wiser	coventry	coventry
wise	!	!
wisest	possesses	possesses
wise	!	!
wiser	!	!
wisest	!	!
earlier	monroe	texts
early	giovanni	giovanni
earliest	burlington	cuba
early	documented	documented
earlier	dates	dates
earliest	giovanni	giovanni
sadder	pretty	pretty
sad	!	!
saddest	myself	cuba
sad	!	!
sadder	!	!
saddest	!	!
darker	smooth	sitcom
dark	forewings	dove
darkest	cord	cord
dark	!	!
darker	!	!
darkest	frog	frog
quicker	pretty	pretty
quick	!	!
quickest	cuba	cuba
quick	!	!
quicker	!	!
quickest	!	!
brighter	funny	ed
bright	!	!
brightest	funny	funny
bright	!	!
brighter	!	!
brightest	!	!
cheaper	inflation	inflation
cheap	!	!
cheapest	!	!
cheap	rows	rows
cheaper	equality	equality
cheapest	!	!
higher	graduates	inflation
high	pulse	pulse
highest	!	!
high	plains	plains
higher	tolerance	tolerance
highest	!	!
fairer	inflation	inflation
fair	!	!
fairest	!	!
fair	rows	rows
fairer	equality	equality
fairest	!	!
wiser	explains	explains
wise	!	!
wisest	!	!
wise	rows	rows
wiser	equality	equality
wisest	!	!
taller	visible	visible
tall	!	!
tallest	!	!
tall	openings	plains
taller	genera	genera
tallest	!	!
poorer	keen	keen
poor	!	!
poorest	!	!
poor	muscles	muscles
poorer	commented	commented
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	muscles	muscles
messier	commented	commented
messiest	!	!
busier	motorway	farther
busy	!	!
busiest	!	!
busy	muscles	muscles
busier	commented	commented
busiest	!	!
taller	diameter	diameter
tall	!	!
tallest	!	!
tall	hydroelectric	hydroelectric
taller	65	65
tallest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	muscles	muscles
trickier	commented	commented
trickiest	!	!
higher	!	!
high	tolerance	tolerance
highest	!	!
high	openly	openly
higher	lowest	lowest
highest	gmina	gmina
slower	!	!
slow	margins	margins
slowest	!	!
slow	beef	beef
slower	!	!
slowest	compression	compression
smarter	!	!
smart	beef	beef
smartest	!	!
smart	beef	beef
smarter	!	!
smartest	!	!
older	!	!
old	forming	forming
oldest	!	!
old	margins	margins
older	leipzig	leipzig
oldest	age	age
stronger	!	!
strong	rebuild	rebuild
strongest	!	!
strong	eighteenth	eighteenth
stronger	guerrilla	guerrilla
strongest	destiny	destiny
cheaper	!	!
cheap	shelter	shelter
cheapest	!	!
cheap	shelter	shelter
cheaper	!	!
cheapest	!	!
classier	!	!
classy	shelter	shelter
classiest	!	!
classy	shelter	shelter
classier	!	!
classiest	!	!
bloodier	!	!
bloody	shelter	shelter
bloodiest	!	!
bloody	shelter	shelter
bloodier	!	!
bloodiest	!	!
wilder	!	!
wild	shelter	shelter
wildest	!	!
wild	shelter	shelter
wilder	!	!
wildest	!	!
easier	!	!
easy	permits	permits
easiest	!	!
easy	shelter	shelter
easier	!	!
easiest	plastic	plastic
rougher	atmospheric	atmospheric
rough	!	!
roughest	!	!
rough	deeper	deeper
rougher	deep	deep
roughest	!	!
fresher	cuisine	cuisine
fresh	!	!
freshest	!	!
fresh	deeper	deeper
fresher	deep	deep
freshest	!	!
harsher	fungi	fungi
harsh	!	!
harshest	!	!
harsh	deeper	deeper
harsher	deep	deep
harshest	!	!
luckier	teen	teen
lucky	!	!
luckiest	!	!
lucky	deeper	deeper
luckier	deep	deep
luckiest	!	!
taller	structures	69
tall	!	!
tallest	!	!
tall	wetlands	varies
taller	watershed	watershed
tallest	!	!
fatter	pressures	dies
fat	!	!
fattest	!	!
fat	forewings	forewings
fatter	visible	visible
fattest	!	!
smoother	dark	dark
smooth	!	!
smoothest	!	!
smooth	forewings	forewings
smoother	visible	visible
smoothest	!	!
fresher	collectively	collectively
fresh	!	!
freshest	!	!
fresh	forewings	forewings
fresher	visible	visible
freshest	!	!
shorter	filmmakers	filmmakers
short	detected	detected
shortest	!	!
short	forewings	forewings
shorter	visible	visible
shortest	!	!
cleaner	acclaimed	acclaimed
clean	!	!
cleanest	!	!
clean	forewings	forewings
cleaner	visible	visible
cleanest	!	!
fuller	!	!
full	plains	plains
fullest	!	!
full	vegetables	vegetables
fuller	!	!
fullest	laurence	laurence
firmer	!	!
firm	vegetables	vegetables
firmest	!	!
firm	vegetables	vegetables
firmer	!	!
firmest	!	!
better	!	!
good	accurate	plains
best	!	!
good	innovation	economy
better	grammy	grammy
best	darker	darker
mightier	!	!
mighty	vegetables	vegetables
mightiest	!	!
mighty	vegetables	vegetables
mightier	!	!
mightiest	!	!
longer	!	!
long	reliable	reliable
longest	!	!
long	plains	plains
longer	mile	mile
longest	standardized	standardized
greener	heavier	heavier
green	!	!
greenest	inspiration	inspiration
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	threats	threats
nice	!	!
nicest	feel	feel
nice	!	!
nicer	!	!
nicest	!	!
slicker	!	!
slick	!	!
slickest	!	!
slick	!	!
slicker	!	!
slickest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	...	...
sad	!	!
saddest	!	!
sad	filter	filter
sadder	compression	compression
saddest	!	!
swifter	stroke	stroke
swift	!	!
swiftest	!	!
swift	filter	filter
swifter	compression	compression
swiftest	!	!
nicer	onwards	onwards
nice	!	!
nicest	!	!
nice	filter	filter
nicer	compression	compression
nicest	!	!
softer	onwards	onwards
soft	!	!
softest	!	!
soft	filter	filter
softer	compression	compression
softest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	filter	filter
trickier	compression	compression
trickiest	!	!
greener	tiles	abundant
green	!	!
greenest	lunar	lunar
green	!	!
greener	!	!
greenest	!	!
clearer	arise	arise
clear	!	!
clearest	throat	throat
clear	!	!
clearer	!	!
clearest	!	!
healthier	0.5	0.5
healthy	!	!
healthiest	correlation	correlation
healthy	!	!
healthier	!	!
healthiest	!	!
faster	lap	97
fastest	three-year	three-year
fast	murphy	murphy
fastest	notes	notes
faster	usage	usage
fast	fastest	fastest
freer	arise	arise
free	!	!
freest	throat	throat
free	!	!
freer	!	!
freest	!	!
meaner	dimensions	dimensions
mean	!	!
meanest	!	!
mean	sporting	sporting
meaner	intervals	intervals
meanest	!	!
firmer	coupled	hiring
firm	!	!
firmest	!	!
firm	sporting	sporting
firmer	intervals	intervals
firmest	!	!
bigger	ride	ride
big	hampton	hampton
biggest	!	!
big	play-off	play-off
bigger	plains	plains
biggest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	sporting	sporting
trickier	intervals	intervals
trickiest	!	!
deeper	waters	waters
deep	forget	forget
deepest	!	!
deep	sporting	sporting
deeper	intervals	intervals
deepest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	pistol	pistol
gentler	heavier	heavier
gentlest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	pistol	pistol
costlier	heavier	heavier
costliest	!	!
lower	tended	tended
low	twelfth	twelfth
lowest	!	!
low	plains	plains
lower	plains	plains
lowest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	pistol	pistol
fancier	heavier	heavier
fanciest	!	!
cleaner	tended	tended
clean	!	!
cleanest	!	!
clean	pistol	pistol
cleaner	heavier	heavier
cleanest	!	!
steadier	!	!
steady	bugs	bugs
steadiest	!	!
steady	bugs	bugs
steadier	!	!
steadiest	!	!
poorer	!	!
poor	bugs	bugs
poorest	!	!
poor	bugs	bugs
poorer	!	!
poorest	!	!
faster	!	!
fastest	emissions	emissions
fast	!	!
fastest	emissions	emissions
faster	speed	speed
fast	efficient	efficient
cleaner	!	!
clean	bugs	bugs
cleanest	!	!
clean	bugs	bugs
cleaner	!	!
cleanest	!	!
softer	!	!
soft	bugs	bugs
softest	!	!
soft	bugs	bugs
softer	!	!
softest	!	!
richer	!	!
rich	deliver	deliver
richest	!	!
rich	deliver	deliver
richer	!	!
richest	!	!
lighter	!	!
light	fuselage	barrels
lightest	!	!
light	deliver	deliver
lighter	!	!
lightest	heavier	heavier
simpler	!	!
simple	deliver	deliver
simplest	!	!
simple	deliver	deliver
simpler	!	!
simplest	!	!
messier	!	!
messy	deliver	deliver
messiest	!	!
messy	deliver	deliver
messier	!	!
messiest	!	!
friendlier	!	!
friendly	deliver	deliver
friendliest	!	!
friendly	deliver	deliver
friendlier	!	!
friendliest	!	!
higher	!	!
high	income	income
highest	!	!
high	hierarchy	hierarchy
higher	lowest	lowest
highest	gmina	gmina
stickier	!	!
sticky	uncertainty	uncertainty
stickiest	!	!
sticky	uncertainty	uncertainty
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	uncertainty	uncertainty
priciest	!	!
pricey	uncertainty	uncertainty
pricier	!	!
priciest	!	!
greater	!	!
great	statute	statute
greatest	!	!
great	hierarchy	statistics
greater	fk	fk
greatest	voivodeship	voivodeship
busier	!	!
busy	uncertainty	uncertainty
busiest	!	!
busy	uncertainty	uncertainty
busier	!	!
busiest	!	!
tougher	!	!
tough	vegetation	vegetation
toughest	!	!
tough	vegetation	vegetation
tougher	!	!
toughest	!	!
stricter	!	!
strict	vegetation	vegetation
strictest	!	!
strict	vegetation	vegetation
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	vegetation	vegetation
stiffest	!	!
stiff	vegetation	vegetation
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	vegetation	vegetation
riskiest	!	!
risky	vegetation	vegetation
riskier	!	!
riskiest	!	!
stronger	!	!
strong	imposed	imposed
strongest	!	!
strong	occurring	occurring
stronger	guerrilla	guerrilla
strongest	destiny	destiny
classier	!	!
classy	bryant	bryant
classiest	!	!
classy	bryant	bryant
classier	!	!
classiest	!	!
gentler	!	!
gentle	bryant	bryant
gentlest	!	!
gentle	bryant	bryant
gentler	!	!
gentlest	!	!
leaner	!	!
lean	bryant	bryant
leanest	!	!
lean	bryant	bryant
leaner	!	!
leanest	!	!
bigger	!	!
big	trim	trim
biggest	!	!
big	53	53
bigger	pradesh	pradesh
biggest	easier	easier
luckier	!	!
lucky	bryant	bryant
luckiest	!	!
lucky	bryant	bryant
luckier	!	!
luckiest	!	!
warmer	!	!
warm	complexity	complexity
warmest	!	!
warm	complexity	complexity
warmer	!	!
warmest	!	!
slimmer	!	!
slim	complexity	complexity
slimmest	!	!
slim	complexity	complexity
slimmer	!	!
slimmest	!	!
rougher	!	!
rough	complexity	complexity
roughest	!	!
rough	complexity	complexity
rougher	!	!
roughest	!	!
harder	!	!
hard	hollow	hollow
hardest	!	!
hard	complexity	complexity
harder	!	!
hardest	commented	commented
closer	!	!
close	complexity	rebuild
closest	!	!
close	plains	plains
closer	competitor	competitor
closest	swansea	swansea
greener	!	!
green	keen	keen
greenest	!	!
green	keen	keen
greener	!	!
greenest	!	!
kinder	!	!
kind	keen	keen
kindest	!	!
kind	keen	keen
kinder	!	!
kindest	!	!
sadder	!	!
sad	keen	keen
saddest	!	!
sad	keen	keen
sadder	!	!
saddest	!	!
quicker	!	!
quick	keen	keen
quickest	!	!
quick	keen	keen
quicker	!	!
quickest	!	!
stiffer	!	!
stiff	keen	keen
stiffest	!	!
stiff	keen	keen
stiffer	!	!
stiffest	!	!
weaker	!	!
weak	deeper	deeper
weakest	!	!
weak	deeper	deeper
weaker	!	!
weakest	!	!
slicker	!	!
slick	deeper	deeper
slickest	!	!
slick	deeper	deeper
slicker	!	!
slickest	!	!
closer	!	!
close	lower	lower
closest	!	!
close	plains	plains
closer	competitor	competitor
closest	swansea	swansea
older	!	!
old	reliable	licence
oldest	!	!
old	plains	plains
older	leipzig	leipzig
oldest	age	age
wiser	!	!
wise	deeper	deeper
wisest	!	!
wise	deeper	deeper
wiser	!	!
wisest	!	!
cheaper	!	!
cheap	hardware	hardware
cheapest	!	!
cheap	hardware	hardware
cheaper	!	!
cheapest	!	!
simpler	!	!
simple	hardware	hardware
simplest	!	!
simple	hardware	hardware
simpler	!	!
simplest	!	!
fresher	!	!
fresh	hardware	hardware
freshest	!	!
fresh	hardware	hardware
fresher	!	!
freshest	!	!
bolder	!	!
bold	hardware	hardware
boldest	!	!
bold	hardware	hardware
bolder	!	!
boldest	!	!
cleaner	!	!
clean	hardware	hardware
cleanest	!	!
clean	hardware	hardware
cleaner	!	!
cleanest	!	!
poorer	keen	keen
poor	!	!
poorest	!	!
poor	shallow	shallow
poorer	lighter	lighter
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	shallow	shallow
messier	lighter	lighter
messiest	!	!
narrower	marginal	marginal
narrow	!	!
narrowest	!	!
narrow	shallow	shallow
narrower	lighter	lighter
narrowest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	shallow	shallow
noisier	lighter	lighter
noisiest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	shallow	shallow
riskier	lighter	lighter
riskiest	!	!
steadier	!	!
steady	excellent	excellent
steadiest	!	!
steady	excellent	excellent
steadier	!	!
steadiest	!	!
swifter	!	!
swift	excellent	excellent
swiftest	!	!
swift	excellent	excellent
swifter	!	!
swiftest	!	!
tougher	!	!
tough	excellent	excellent
toughest	!	!
tough	excellent	excellent
tougher	!	!
toughest	!	!
meaner	!	!
mean	excellent	excellent
meanest	!	!
mean	excellent	excellent
meaner	!	!
meanest	!	!
smoother	!	!
smooth	excellent	excellent
smoothest	!	!
smooth	excellent	excellent
smoother	!	!
smoothest	!	!
milder	!	!
mild	reunited	reunited
mildest	!	!
mild	reunited	reunited
milder	!	!
mildest	!	!
earlier	!	!
early	reunited	reunited
earliest	!	!
early	patriotic	patriotic
earlier	dates	dates
earliest	zhang	zhang
tastier	!	!
tasty	reunited	reunited
tastiest	!	!
tasty	reunited	reunited
tastier	!	!
tastiest	!	!
faster	!	!
fastest	reunited	reunited
fast	!	!
fastest	reunited	reunited
faster	speed	speed
fast	efficient	efficient
greater	!	!
great	varies	varies
greatest	!	!
great	patriotic	patriotic
greater	fk	fk
greatest	voivodeship	voivodeship
richer	plateau	plateau
rich	!	!
richest	!	!
rich	forewings	forewings
richer	forewings	forewings
richest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	forewings	forewings
tastier	forewings	forewings
tastiest	!	!
thinner	forewings	forewings
thin	!	!
thinnest	!	!
thin	forewings	forewings
thinner	forewings	forewings
thinnest	!	!
rougher	aspect	aspect
rough	!	!
roughest	!	!
rough	forewings	forewings
rougher	forewings	forewings
roughest	!	!
luckier	hunger	hunger
lucky	!	!
luckiest	!	!
lucky	forewings	forewings
luckier	forewings	forewings
luckiest	!	!
tighter	!	!
tight	mixing	mixing
tightest	!	!
tight	mixing	mixing
tighter	!	!
tightest	!	!
kinder	!	!
kind	mixing	mixing
kindest	!	!
kind	mixing	mixing
kinder	!	!
kindest	!	!
swifter	!	!
swift	mixing	mixing
swiftest	!	!
swift	mixing	mixing
swifter	!	!
swiftest	!	!
messier	!	!
messy	mixing	mixing
messiest	!	!
messy	mixing	mixing
messier	!	!
messiest	!	!
deeper	!	!
deep	texture	texture
deepest	!	!
deep	mixing	mixing
deeper	!	!
deepest	deep	deep
lower	!	!
low	eggs	eggs
lowest	!	!
low	precipitation	precipitation
lower	turnout	turnout
lowest	upper	upper
costlier	!	!
costly	humid	humid
costliest	!	!
costly	humid	humid
costlier	!	!
costliest	!	!
narrower	!	!
narrow	humid	humid
narrowest	!	!
narrow	humid	humid
narrower	!	!
narrowest	!	!
leaner	!	!
lean	humid	humid
leanest	!	!
lean	humid	humid
leaner	!	!
leanest	!	!
younger	!	!
young	eggs	eggs
youngest	!	!
young	eggs	eggs
younger	non-families	non-families
youngest	eldest	eldest
smaller	snails	snails
small	vowels	vowels
smallest	snails	snails
small	vector	vector
smaller	vector	vector
smallest	vowels	vowels
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
mightier	anthem	anthem
mighty	!	!
mightiest	anthem	anthem
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	!	!
fancier	!	!
fanciest	!	!
kinder	!	!
kind	spider	spider
kindest	!	!
kind	spider	spider
kinder	!	!
kindest	!	!
wider	!	!
wide	plain	plains
widest	!	!
wide	spider	spider
wider	!	!
widest	visible	visible
pricier	!	!
pricey	spider	spider
priciest	!	!
pricey	spider	spider
pricier	!	!
priciest	!	!
firmer	!	!
firm	spider	spider
firmest	!	!
firm	spider	spider
firmer	!	!
firmest	!	!
brighter	!	!
bright	spider	spider
brightest	!	!
bright	spider	spider
brighter	!	!
brightest	!	!
steadier	!	!
steady	lateral	lateral
steadiest	!	!
steady	lateral	lateral
steadier	!	!
steadiest	!	!
classier	!	!
classy	lateral	lateral
classiest	!	!
classy	lateral	lateral
classier	!	!
classiest	!	!
sadder	!	!
sad	lateral	lateral
saddest	!	!
sad	lateral	lateral
sadder	!	!
saddest	!	!
meaner	!	!
mean	lateral	lateral
meanest	!	!
mean	lateral	lateral
meaner	!	!
meanest	!	!
faster	!	!
fastest	margins	margins
fast	!	!
fastest	vessel	vessel
faster	speed	speed
fast	efficient	efficient
louder	guitars	guitars
loud	!	!
loudest	guitars	guitars
loud	!	!
louder	!	!
loudest	!	!
newer	bronx	bronx
new	tiles	tiles
newest	bronx	bronx
new	arena	arena
newer	arena	arena
newest	tiles	tiles
bloodier	protesters	protesters
bloody	!	!
bloodiest	protesters	protesters
bloody	!	!
bloodier	!	!
bloodiest	!	!
younger	glory	glory
young	eldest	eldest
youngest	glory	glory
young	non-families	non-families
younger	non-families	non-families
youngest	eldest	eldest
closer	proceed	proceed
close	swansea	swansea
closest	proceed	proceed
close	competitor	competitor
closer	competitor	competitor
closest	swansea	swansea
clearer	!	!
clear	travel	travel
clearest	!	!
clear	travel	travel
clearer	!	!
clearest	!	!
richer	!	!
rich	travel	travel
richest	!	!
rich	travel	travel
richer	!	!
richest	!	!
meaner	!	!
mean	travel	travel
meanest	!	!
mean	travel	travel
meaner	!	!
meanest	!	!
older	!	!
old	licence	licence
oldest	!	!
old	permits	permits
older	leipzig	leipzig
oldest	age	age
deeper	!	!
deep	travel	sufficiently
deepest	!	!
deep	travel	travel
deeper	!	!
deepest	deep	deep
tastier	!	!
tasty	diameter	diameter
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	facade	facade
weaker	!	!
weak	diameter	diameter
weakest	prevalent	prevalent
weak	!	!
weaker	!	!
weakest	facade	facade
sadder	!	!
sad	diameter	diameter
saddest	hate	hate
sad	!	!
sadder	!	!
saddest	facade	facade
better	!	!
good	structures	structures
best	twelfth	twelfth
good	l	emotion
better	!	!
best	65	65
stronger	!	!
strong	structures	structures
strongest	prevalent	prevalent
strong	handicap	attitudes
stronger	!	!
strongest	rebuild	rebuild
lighter	!	!
light	fuselage	fuselage
lightest	!	!
light	humid	humid
lighter	!	!
lightest	heavier	heavier
wilder	!	!
wild	humid	humid
wildest	!	!
wild	humid	humid
wilder	!	!
wildest	!	!
prettier	!	!
pretty	humid	humid
prettiest	!	!
pretty	humid	humid
prettier	!	!
prettiest	!	!
heavier	!	!
heavy	fuselage	fuselage
heaviest	!	!
heavy	humid	humid
heavier	!	!
heaviest	lighter	lighter
deeper	!	!
deep	environments	layer
deepest	!	!
deep	humid	humid
deeper	!	!
deepest	deep	deep
newer	!	!
new	tiles	tiles
newest	!	!
new	eggs	eggs
newer	arena	arena
newest	tiles	tiles
bloodier	!	!
bloody	curved	curved
bloodiest	!	!
bloody	curved	curved
bloodier	!	!
bloodiest	!	!
prettier	!	!
pretty	curved	curved
prettiest	!	!
pretty	curved	curved
prettier	!	!
prettiest	!	!
softer	!	!
soft	curved	curved
softest	!	!
soft	curved	curved
softer	!	!
