rougher	much	much
rough	!	!
roughest	!	!
rough	with	that
rougher	deep	deep
roughest	!	!
fresher	vegetables	cuisine
fresh	!	!
freshest	!	!
fresh	with	that
fresher	deep	deep
freshest	!	!
harsher	mild	mild
harsh	!	!
harshest	!	!
harsh	with	that
harsher	deep	deep
harshest	!	!
luckier	've	've
lucky	!	!
luckiest	!	!
lucky	with	that
luckier	deep	deep
luckiest	!	!
taller	height	diameter
tall	!	!
tallest	!	!
tall	tall	tall
taller	shallow	basin
tallest	!	!
fatter	meat	food
fat	!	!
fattest	!	!
fat	is	is
fatter	larger	more
fattest	!	!
smoother	dorsal	dorsal
smooth	!	!
smoothest	!	!
smooth	is	is
smoother	larger	more
smoothest	!	!
fresher	vegetables	bread
fresh	!	!
freshest	!	!
fresh	is	is
fresher	larger	more
freshest	!	!
shorter	again	again
short	diameter	legs
shortest	!	!
short	is	is
shorter	larger	more
shortest	!	!
cleaner	budget	budget
clean	!	!
cleanest	!	!
clean	is	is
cleaner	larger	more
cleanest	!	!
fuller	!	!
full	designed	designed
fullest	!	!
full	more	it
fuller	!	!
fullest	daughter	john
firmer	!	!
firm	more	it
firmest	!	!
firm	more	it
firmer	!	!
firmest	!	!
better	!	!
good	provide	provide
best	!	!
good	award	for
better	award	award
best	not	not
mightier	!	!
mighty	more	it
mightiest	!	!
mighty	more	it
mightier	!	!
mightiest	!	!
longer	!	!
long	more	breeding
longest	!	!
long	streak	transportation
longer	record	record
longest	to	to
greener	yellow	allow
green	!	!
greenest	yellow	pale
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	much	traits
nice	!	!
nicest	we	genres
nice	!	!
nicer	!	!
nicest	!	!
slicker	!	!
slick	!	!
slickest	!	!
slick	!	!
slicker	!	!
slickest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	't	't
sad	!	!
saddest	!	!
sad	it	it
sadder	can	can
saddest	!	!
swifter	songs	publishers
swift	!	!
swiftest	!	!
swift	it	it
swifter	can	can
swiftest	!	!
nicer	d	asteroid
nice	!	!
nicest	!	!
nice	it	it
nicer	can	can
nicest	!	!
softer	other	contain
soft	!	!
softest	!	!
soft	it	it
softer	can	can
softest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	it	it
trickier	can	can
trickiest	!	!
greener	yellow	cream
green	!	!
greenest	pale	pale
green	!	!
greener	!	!
greenest	!	!
clearer	patterns	patterns
clear	!	!
clearest	elements	not
clear	!	!
clearer	!	!
clearest	!	!
healthier	cells	females
healthy	!	!
healthiest	syndrome	diabetes
healthy	!	!
healthier	!	!
healthiest	!	!
faster	marathon	speeds
fastest	for	at
fast	lap	record
fastest	and	rubber
faster	have	compact
fast	useful	useful
freer	arise	arise
free	!	!
freest	distribute	distribute
free	!	!
freer	!	!
freest	!	!
meaner	algorithm	algorithm
mean	!	!
meanest	!	!
mean	a	a
meaner	length	length
meanest	!	!
firmer	company	sector
firm	!	!
firmest	!	!
firm	a	a
firmer	length	length
firmest	!	!
bigger	so	so
big	but	became
biggest	!	!
big	.	.
bigger	faster	ranges
biggest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	a	a
trickier	length	length
trickiest	!	!
deeper	deeper	deeper
deep	but	planet
deepest	!	!
deep	a	a
deeper	length	length
deepest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	is	is
gentler	heavier	heavier
gentlest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	is	is
costlier	heavier	heavier
costliest	!	!
lower	higher	higher
low	is	artificial
lowest	!	!
low	highest	density
lower	average	density
lowest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	is	is
fancier	heavier	heavier
fanciest	!	!
cleaner	melodic	melodic
clean	!	!
cleanest	!	!
clean	is	is
cleaner	heavier	heavier
cleanest	!	!
steadier	!	!
steady	can	can
steadiest	!	!
steady	can	can
steadier	!	!
steadiest	!	!
poorer	!	!
poor	can	can
poorest	!	!
poor	can	can
poorer	!	!
poorest	!	!
faster	!	!
fastest	efficient	ratio
fast	!	!
fastest	magnetic	magnetic
faster	be	be
fast	than	than
cleaner	!	!
clean	can	can
cleanest	!	!
clean	can	can
cleaner	!	!
cleanest	!	!
softer	!	!
soft	can	can
softest	!	!
soft	can	can
softer	!	!
softest	!	!
richer	!	!
rich	that	that
richest	!	!
rich	that	that
richer	!	!
richest	!	!
lighter	!	!
light	gas	gas
lightest	!	!
light	that	that
lighter	!	!
lightest	heavier	heavier
simpler	!	!
simple	that	that
simplest	!	!
simple	that	that
simpler	!	!
simplest	!	!
messier	!	!
messy	that	that
messiest	!	!
messy	that	that
messier	!	!
messiest	!	!
friendlier	!	!
friendly	that	that
friendliest	!	!
friendly	that	that
friendlier	!	!
friendliest	!	!
higher	!	!
high	education	education
highest	!	!
high	higher	examinations
higher	the	the
highest	education	are
stickier	!	!
sticky	not	not
stickiest	!	!
sticky	not	not
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	not	not
priciest	!	!
pricey	not	not
pricier	!	!
priciest	!	!
greater	!	!
great	are	violations
greatest	!	!
great	the	compliance
greater	's	's
greatest	are	are
busier	!	!
busy	not	not
busiest	!	!
busy	not	not
busier	!	!
busiest	!	!
tougher	!	!
tough	that	that
toughest	!	!
tough	that	that
tougher	!	!
toughest	!	!
stricter	!	!
strict	that	that
strictest	!	!
strict	that	that
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	that	that
stiffest	!	!
stiff	that	that
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	that	that
riskiest	!	!
risky	that	that
riskier	!	!
riskiest	!	!
stronger	!	!
strong	improve	improve
strongest	!	!
strong	severe	politicians
stronger	as	as
strongest	be	be
classier	!	!
classy	quarterback	quarterback
classiest	!	!
classy	quarterback	quarterback
classier	!	!
classiest	!	!
gentler	!	!
gentle	quarterback	quarterback
gentlest	!	!
gentle	quarterback	quarterback
gentler	!	!
gentlest	!	!
leaner	!	!
lean	quarterback	quarterback
leanest	!	!
lean	quarterback	quarterback
leaner	!	!
leanest	!	!
bigger	!	!
big	receiver	complexity
biggest	!	!
big	nfl	afc
bigger	with	album
biggest	but	but
luckier	!	!
lucky	quarterback	quarterback
luckiest	!	!
lucky	quarterback	quarterback
luckier	!	!
luckiest	!	!
warmer	!	!
warm	are	be
warmest	!	!
warm	are	be
warmer	!	!
warmest	!	!
slimmer	!	!
slim	are	be
slimmest	!	!
slim	are	be
slimmer	!	!
slimmest	!	!
rougher	!	!
rough	are	be
roughest	!	!
rough	are	be
rougher	!	!
roughest	!	!
harder	!	!
hard	are	sizes
hardest	!	!
hard	are	be
harder	!	!
hardest	to	to
closer	!	!
close	are	lower
closest	!	!
close	are	circular
closer	as	as
closest	to	to
greener	!	!
green	for	for
greenest	!	!
green	for	for
greener	!	!
greenest	!	!
kinder	!	!
kind	for	for
kindest	!	!
kind	for	for
kinder	!	!
kindest	!	!
sadder	!	!
sad	for	for
saddest	!	!
sad	for	for
sadder	!	!
saddest	!	!
quicker	!	!
quick	for	for
quickest	!	!
quick	for	for
quicker	!	!
quickest	!	!
stiffer	!	!
stiff	for	for
stiffest	!	!
stiff	for	for
stiffer	!	!
stiffest	!	!
weaker	!	!
weak	not	not
weakest	!	!
weak	not	not
weaker	!	!
weakest	!	!
slicker	!	!
slick	not	not
slickest	!	!
slick	not	not
slicker	!	!
slickest	!	!
closer	!	!
close	to	lower
closest	!	!
close	of	habitat
closer	as	as
closest	to	to
older	!	!
old	were	populations
oldest	!	!
old	of	of
older	in	in
oldest	age	who
wiser	!	!
wise	not	not
wisest	!	!
wise	not	not
wiser	!	!
wisest	!	!
cheaper	!	!
cheap	it	it
cheapest	!	!
cheap	it	it
cheaper	!	!
cheapest	!	!
simpler	!	!
simple	it	it
simplest	!	!
simple	it	it
simpler	!	!
simplest	!	!
fresher	!	!
fresh	it	it
freshest	!	!
fresh	it	it
fresher	!	!
freshest	!	!
bolder	!	!
bold	it	it
boldest	!	!
bold	it	it
bolder	!	!
boldest	!	!
cleaner	!	!
clean	it	it
cleanest	!	!
clean	it	it
cleaner	!	!
cleanest	!	!
poorer	more	more
poor	!	!
poorest	!	!
poor	it	it
poorer	lighter	more
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	it	it
messier	lighter	more
messiest	!	!
narrower	forewings	width
narrow	!	!
narrowest	!	!
narrow	it	it
narrower	lighter	more
narrowest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	it	it
noisier	lighter	more
noisiest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	it	it
riskier	lighter	more
riskiest	!	!
steadier	!	!
steady	is	is
steadiest	!	!
steady	is	is
steadier	!	!
steadiest	!	!
swifter	!	!
swift	is	is
swiftest	!	!
swift	is	is
swifter	!	!
swiftest	!	!
tougher	!	!
tough	is	is
toughest	!	!
tough	is	is
tougher	!	!
toughest	!	!
meaner	!	!
mean	is	is
meanest	!	!
mean	is	is
meaner	!	!
meanest	!	!
smoother	!	!
smooth	is	is
smoothest	!	!
smooth	is	is
smoother	!	!
smoothest	!	!
milder	!	!
mild	my	my
mildest	!	!
mild	my	my
milder	!	!
mildest	!	!
earlier	!	!
early	but	but
earliest	!	!
early	of	hereditary
earlier	of	of
earliest	that	that
tastier	!	!
tasty	my	my
tastiest	!	!
tasty	my	my
tastier	!	!
tastiest	!	!
faster	!	!
fastest	efficient	much
fast	!	!
fastest	speed	speed
faster	be	be
fast	than	than
greater	!	!
great	not	not
greatest	!	!
great	the	the
greater	's	's
greatest	are	are
richer	abundant	abundant
rich	!	!
richest	!	!
rich	pale	pale
richer	forewings	pale
richest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	pale	pale
tastier	forewings	pale
tastiest	!	!
thinner	curved	curved
thin	!	!
thinnest	!	!
thin	pale	pale
thinner	forewings	pale
thinnest	!	!
rougher	mixing	mixing
rough	!	!
roughest	!	!
rough	pale	pale
rougher	forewings	pale
roughest	!	!
luckier	think	think
lucky	!	!
luckiest	!	!
lucky	pale	pale
luckier	forewings	pale
luckiest	!	!
tighter	!	!
tight	or	or
tightest	!	!
tight	or	or
tighter	!	!
tightest	!	!
kinder	!	!
kind	or	or
kindest	!	!
kind	or	or
kinder	!	!
kindest	!	!
swifter	!	!
swift	or	or
swiftest	!	!
swift	or	or
swifter	!	!
swiftest	!	!
messier	!	!
messy	or	or
messiest	!	!
messy	or	or
messier	!	!
messiest	!	!
deeper	!	!
deep	texture	texture
deepest	!	!
deep	or	or
deeper	!	!
deepest	deep	deep
lower	!	!
low	dry	humid
lowest	!	!
low	dry	precipitation
lower	highest	highest
lowest	are	are
costlier	!	!
costly	dry	dry
costliest	!	!
costly	dry	dry
costlier	!	!
costliest	!	!
narrower	!	!
narrow	dry	dry
narrowest	!	!
narrow	dry	dry
narrower	!	!
narrowest	!	!
leaner	!	!
lean	dry	dry
leanest	!	!
lean	dry	dry
leaner	!	!
leanest	!	!
younger	!	!
young	dry	humid
youngest	!	!
young	dry	humid
younger	daughter	daughter
youngest	son	his
smaller	are	are
small	are	are
smallest	are	are
small	_	_
smaller	_	_
smallest	are	are
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
mightier	ducks	band
mighty	!	!
mightiest	ducks	band
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	!	!
fancier	!	!
fanciest	!	!
kinder	!	!
kind	it	it
kindest	!	!
kind	it	it
kinder	!	!
kindest	!	!
wider	!	!
wide	larger	narrow
widest	!	!
wide	it	it
wider	!	!
widest	larger	more
pricier	!	!
pricey	it	it
priciest	!	!
pricey	it	it
pricier	!	!
priciest	!	!
firmer	!	!
firm	it	it
firmest	!	!
firm	it	it
firmer	!	!
firmest	!	!
brighter	!	!
bright	it	it
brightest	!	!
bright	it	it
brighter	!	!
brightest	!	!
steadier	!	!
steady	forewings	the
steadiest	!	!
steady	forewings	the
steadier	!	!
steadiest	!	!
classier	!	!
classy	forewings	the
classiest	!	!
classy	forewings	the
classier	!	!
classiest	!	!
sadder	!	!
sad	forewings	the
saddest	!	!
sad	forewings	the
sadder	!	!
saddest	!	!
meaner	!	!
mean	forewings	the
meanest	!	!
mean	forewings	the
meaner	!	!
meanest	!	!
faster	!	!
fastest	water	basal
fast	!	!
fastest	tube	tube
faster	be	be
fast	than	than
louder	band	band
loud	!	!
loudest	band	band
loud	!	!
louder	!	!
loudest	!	!
newer	was	was
new	more	more
newest	was	was
new	.	that
newer	.	that
newest	more	more
bloodier	bride	the
bloody	!	!
bloodiest	bride	the
bloody	!	!
bloodier	!	!
bloodiest	!	!
younger	who	her
young	son	his
youngest	who	her
young	daughter	daughter
younger	daughter	daughter
youngest	son	his
closer	with	with
close	to	to
closest	with	with
close	as	as
closer	as	as
closest	to	to
clearer	!	!
clear	to	to
clearest	!	!
clear	to	to
clearer	!	!
clearest	!	!
richer	!	!
rich	to	to
richest	!	!
rich	to	to
richer	!	!
richest	!	!
meaner	!	!
mean	to	to
meanest	!	!
mean	to	to
meaner	!	!
meanest	!	!
older	!	!
old	were	65
oldest	!	!
old	of	community
older	in	in
oldest	age	who
deeper	!	!
deep	of	resource
deepest	!	!
deep	to	to
deeper	!	!
deepest	deep	deep
tastier	!	!
tasty	height	height
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	building	building
weaker	!	!
weak	height	height
weakest	be	valid
weak	!	!
weaker	!	!
weakest	building	building
sadder	!	!
sad	height	height
saddest	really	history
sad	!	!
sadder	!	!
saddest	building	building
better	!	!
good	height	rounded
best	this	united
good	award	conventional
better	!	!
best	structure	structure
stronger	!	!
strong	height	diameter
strongest	united	united
strong	height	conventional
stronger	!	!
strongest	tall	tall
lighter	!	!
light	humid	humid
lightest	!	!
light	warm	warm
lighter	!	!
lightest	heavier	heavier
wilder	!	!
wild	warm	warm
wildest	!	!
wild	warm	warm
wilder	!	!
wildest	!	!
prettier	!	!
pretty	warm	warm
prettiest	!	!
pretty	warm	warm
prettier	!	!
prettiest	!	!
heavier	!	!
heavy	humid	temperate
heaviest	!	!
heavy	warm	warm
heavier	!	!
heaviest	lighter	more
deeper	!	!
deep	dry	temperate
deepest	!	!
deep	warm	warm
deeper	!	!
deepest	deep	deep
newer	!	!
new	layer	layer
newest	!	!
new	thick	thick
newer	.	that
newest	more	more
bloodier	!	!
bloody	thick	thick
bloodiest	!	!
bloody	thick	thick
bloodier	!	!
bloodiest	!	!
prettier	!	!
pretty	thick	thick
prettiest	!	!
pretty	thick	thick
prettier	!	!
prettiest	!	!
softer	!	!
soft	thick	thick
softest	!	!
soft	thick	thick
softer	!	!
softest	!	!
taller	!	!
tall	thick	thick
tallest	!	!
tall	granite	granite
taller	building	building
tallest	!	!
newer	was	was
new	more	more
newest	was	was
new	.	that
newer	.	that
newest	more	more
weaker	can	can
weak	!	!
weakest	can	can
weak	!	!
weaker	!	!
weakest	!	!
longer	which	which
long	to	to
longest	which	which
long	record	record
longer	record	record
longest	to	to
smarter	be	be
smart	!	!
smartest	be	be
smart	!	!
smarter	!	!
smartest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	!	!
riskier	!	!
riskiest	!	!
thicker	!	!
thick	family	who
thickest	!	!
thick	family	who
thicker	!	!
thickest	!	!
bloodier	!	!
bloody	family	who
bloodiest	!	!
bloody	family	who
bloodier	!	!
bloodiest	!	!
happier	!	!
happy	family	who
happiest	!	!
happy	family	who
happier	!	!
happiest	!	!
sharper	!	!
sharp	family	who
sharpest	!	!
sharp	family	who
sharper	!	!
sharpest	!	!
stronger	!	!
strong	family	estates
strongest	!	!
strong	nobility	nobility
stronger	as	as
strongest	be	be
classier	!	!
classy	!	!
classiest	!	!
classy	a	a
classier	daughter	john
classiest	!	!
lighter	black	black
light	or	armor
lightest	!	!
light	a	a
lighter	daughter	john
lightest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	a	a
gentler	daughter	john
gentlest	!	!
narrower	apex	apex
narrow	!	!
narrowest	!	!
narrow	a	a
narrower	daughter	john
narrowest	!	!
livelier	!	!
lively	!	!
liveliest	!	!
lively	a	a
livelier	daughter	john
liveliest	!	!
savvier	!	!
savvy	his	his
savviest	!	!
savvy	his	his
savvier	!	!
savviest	!	!
livelier	!	!
lively	his	his
liveliest	!	!
lively	his	his
livelier	!	!
liveliest	!	!
harder	!	!
hard	psychologist	psychologist
hardest	!	!
hard	his	his
harder	!	!
hardest	to	to
taller	!	!
tall	his	his
tallest	!	!
tall	landmark	landmark
taller	building	building
tallest	!	!
freer	!	!
free	his	his
freest	!	!
free	his	his
freer	!	!
freest	!	!
sadder	't	't
sad	!	!
saddest	't	't
sad	!	!
sadder	!	!
saddest	!	!
rougher	which	which
rough	!	!
roughest	which	which
rough	!	!
rougher	!	!
roughest	!	!
steeper	slopes	slopes
steep	!	!
steepest	slopes	slopes
steep	!	!
steeper	!	!
steepest	!	!
smarter	be	be
smart	!	!
smartest	be	be
smart	!	!
smarter	!	!
smartest	!	!
cleaner	that	that
clean	!	!
cleanest	that	that
clean	!	!
cleaner	!	!
cleanest	!	!
lighter	!	!
light	company	investment
lightest	!	!
light	company	company
lighter	!	!
lightest	heavier	heavier
classier	!	!
classy	company	company
classiest	!	!
classy	company	company
classier	!	!
classiest	!	!
poorer	!	!
poor	company	company
poorest	!	!
poor	company	company
poorer	!	!
poorest	!	!
slower	!	!
slow	investment	gas
slowest	!	!
slow	company	company
slower	!	!
slowest	can	can
faster	!	!
fastest	investment	investment
fast	!	!
fastest	company	securities
faster	be	be
fast	than	than
classier	!	!
classy	are	are
classiest	!	!
classy	are	are
classier	!	!
classiest	!	!
simpler	!	!
simple	are	are
simplest	!	!
