rougher	color	color
tallest	tall,	tallest
tall	the	tall
taller	younger	wooden
tallest	!	!
smoother	flat	darker
smooth	!	households,
smoothest	"f"	algebraic
smooth	!	households,
smoother	!	×
smoothest	!	!
nicer	it’s	it’s
nice	!	households,
nicest	it’s	"they
nice	!	households,
nicer	!	×
nicest	!	!
broader	wide	wider
broad	a	gastropod
broadest	wide	islam
broad	!	households,
broader	!	×
broadest	wider	diversity
savvier	!	!
savvy	!	households,
savviest	!	!
savvy	!	households,
savvier	!	×
savviest	!	!
greater	greater	greater
great	large	high
greatest	greatest	greatest
great	large	major
greater	major	major
greatest	increased	maximum
wilder	and	pack
wild	!	×
wildest	!	!
wild	to	to
wilder	difficult	to
wildest	!	!
smoother	flat	40%
smooth	!	×
smoothest	!	!
smooth	to	to
smoother	difficult	to
smoothest	!	!
mightier	harder	toys
mighty	!	×
mightiest	!	!
mighty	to	to
mightier	difficult	to
mightiest	!	!
leaner	!	!
lean	!	×
leanest	!	!
lean	to	to
leaner	difficult	to
leanest	!	!
cleaner	harder	radiation
clean	!	×
cleanest	!	!
clean	to	to
cleaner	difficult	to
cleanest	!	!
narrower	wide	lateral
narrow	!	!
narrowest	broad	broad
narrow	!	!
narrower	!	!
narrowest	!	sector,
colder	warm	penalties
cold	!	!
coldest	warm	habitats
cold	!	!
colder	!	!
coldest	!	sector,
noisier	!	!
noisy	!	!
noisiest	!	bits
noisy	!	!
noisier	!	!
noisiest	!	sector,
deeper	are	vertical
deep	late	shallow
deepest	are	beneath
deep	!	!
deeper	!	!
deepest	oldest	encountered
taller	tall,	tall,
tall	!	!
tallest	tall,	tallest
tall	late	mid
taller	tall	rises
tallest	!	sector,
quicker	elder	regulate
quick	!	families.
quickest	eldest	agreements
quick	!	families.
quicker	!	!
quickest	!	!
narrower	wide	broad
narrow	!	families.
narrowest	gauge	gauge
narrow	!	families.
narrower	!	!
narrowest	!	!
deeper	elder	deeper
deep	and	deep
deepest	shallow	blue,
deep	!	families.
deeper	!	!
deepest	deep	fastest
closer	elder	with
close	and	back
closest	closest	closest
close	and	many
closer	nearest	milton
closest	close	fastest
taller	tall,	statue
tall	!	families.
tallest	tall,	tallest
tall	and	tall
taller	tall	tall
tallest	!	!
kinder	not	not
kind	!	!
kindest	first	biggest
kind	!	!
kinder	!	!
kindest	!	!
heavier	no	weapons
heavy	heavy	heavy
heaviest	light	highest
heavy	!	!
heavier	!	!
heaviest	heavy	heavy
mightier	not	mutant
mighty	!	!
mightiest	foremost	helicopters
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
smarter	not	proprietary
smart	!	!
smartest	first	mlb
smart	!	!
smarter	!	!
smartest	!	!
milder	humid	mortality
mild	!	!
mildest	warm	winters
mild	!	!
milder	!	!
mildest	!	tackles
weaker	mentally	magnetic
weak	!	!
weakest	best	best
weak	!	!
weaker	!	!
weakest	!	tackles
friendlier	against	communists
friendly	!	!
friendliest	against	qualifying
friendly	!	!
friendlier	!	!
friendliest	!	tackles
livelier	!	!
lively	!	!
liveliest	!	!
lively	!	!
livelier	!	!
liveliest	!	tackles
younger	who	older
young	young	brother
youngest	who	best
young	eldest	younger
younger	eldest	younger
youngest	elder	joseph
clearer	less	m,
clear	!	-
clearest	!	!
clear	several	some
clearer	than	than
clearest	!	!
friendlier	votes	overtime
friendly	!	-
friendliest	!	!
friendly	several	some
friendlier	than	than
friendliest	!	!
cleaner	tons	tons
clean	!	-
cleanest	!	!
clean	several	some
cleaner	than	than
cleanest	!	!
stronger	increased	rebounds
strong	several	very
strongest	!	!
strong	several	several
stronger	than	significant
strongest	!	!
freer	excess	metre
free	!	-
freest	!	!
free	several	some
freer	than	than
freest	!	!
tougher	harder	renewal
tough	!	!
toughest	largest	harsh
tough	!	!
tougher	!	!
toughest	!	!
funnier	!	!
funny	!	!
funniest	!	!
funny	!	!
funnier	!	!
funniest	!	!
nicer	harder	harder
nice	!	!
nicest	largest	us.
nice	!	!
nicer	!	!
nicest	!	!
greater	greater	greater
great	great	high
greatest	greatest	greatest
great	great	great
greater	than	faster
greatest	greatest	greatest
bolder	stronger	depend
bold	!	!
boldest	largest	above,
bold	!	!
bolder	!	!
boldest	!	!
poorer	improve	easier
poor	!	!
poorest	improve	homeless
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	short	wide,
long	no	still
longest	short	the
long	a	long
longer	long	ending
longest	still	still
harder	harder	harder
hard	a	every
hardest	difficult	volleyball
hard	!	!
harder	!	!
hardest	difficult	frog
wiser	easier	easier
wise	!	!
wisest	isle	isle
wise	!	!
wiser	!	!
wisest	!	!
earlier	late	during
early	some	several
earliest	late	since
early	these	these
earlier	these	detailed
earliest	earliest	earliest
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
darker	pale	coloured
dark	pale	pale
darkest	pale	color,
dark	!	!
darker	!	!
darkest	pale	pale
quicker	harder	harder
quick	!	!
quickest	nearest	signature
quick	!	!
quicker	!	!
quickest	!	!
brighter	pale	coloured
bright	!	!
brightest	pale	color,
bright	!	!
brighter	!	!
brightest	!	!
cheaper	housing,	tv,
cheap	narrow	red,
cheapest	!	households,
cheap	wide	wide
cheaper	wider	broad
cheapest	!	!
higher	school	school
high	high	lower
highest	!	!
high	low	low
higher	lowest	significant
highest	!	!
fairer	standards	standards
fair	!	!
fairest	!	!
fair	wide	wide
fairer	wider	broad
fairest	!	!
wiser	foster	promised
wise	!	!
wisest	!	1989)
wise	wide	wide
wiser	wider	broad
wisest	!	!
taller	tall,	length,
tall	!	!
tallest	!	×
tall	large	wooden
taller	wider	large
tallest	!	!
poorer	easier	worse
poor	!	!
poorest	!	families.
poor	difficult	you
poorer	easier	bigger
poorest	!	!
messier	!	january.
messy	!	!
messiest	!	!
messy	difficult	you
messier	easier	bigger
messiest	!	!
busier	easier	pose
busy	!	!
busiest	!	!
busy	difficult	you
busier	easier	bigger
busiest	!	!
taller	tall,	tall,
tall	!	!
tallest	!	!
tall	can	large
taller	easier	stronger
tallest	!	!
trickier	!	january.
tricky	!	!
trickiest	!	!
tricky	difficult	you
trickier	easier	bigger
trickiest	!	!
higher	!	!
high	low	low
highest	!	!
high	lowest	low
higher	lowest	top
highest	high	high
slower	!	percent
slow	faster	difficult
slowest	!	percent
slow	hard	just
slower	!	!
slowest	faster	than
smarter	!	1987)
smart	hard	just
smartest	!	1987)
smart	hard	just
smarter	!	!
smartest	!	!
older	!	!
old	other	difficult
oldest	!	!
old	largest	important
older	largest	old
oldest	younger	and
stronger	!	!
strong	strong	difficult
strongest	!	!
strong	strong	difficult
stronger	strong	strong
strongest	strong	more
cheaper	!	tackles
cheap	water	necessary
cheapest	!	tackles
cheap	water	for
cheaper	!	!
cheapest	harder	less
classier	!	!
classy	water	for
classiest	!	!
classy	water	for
classier	!	!
classiest	!	!
bloodier	!	!
bloody	water	for
bloodiest	!	!
bloody	water	for
bloodier	!	!
bloodiest	!	!
wilder	!	!
wild	water	for
wildest	!	!
wild	water	for
wilder	!	!
wildest	!	!
easier	!	rbi
easy	difficult	easy
easiest	!	rbi
easy	water	for
easier	!	!
easiest	difficult	to
rougher	evolutionary	evolutionary
rough	!	mm
roughest	!	!
rough	water	and
rougher	deep	less
roughest	!	!
fresher	raw	audience,
fresh	!	mm
freshest	!	!
fresh	water	and
fresher	deep	less
freshest	!	!
harsher	imposed	imposed
harsh	!	mm
harshest	!	!
harsh	water	and
harsher	deep	less
harshest	!	!
luckier	me.	crazy
lucky	!	mm
luckiest	!	!
lucky	water	and
luckier	deep	less
luckiest	!	!
taller	tall,	distinctive
tall	!	mm
tallest	!	!
tall	large	wooden
taller	deep	deep
tallest	!	!
fatter	calcium	5%
fat	!	!
fattest	!	june.
fat	broad	long,
fatter	broader	wide
fattest	!	!
smoother	pale	generalized
smooth	!	!
smoothest	!	"f"
smooth	broad	long,
smoother	broader	wide
smoothest	!	!
fresher	fish	consciousness
fresh	!	!
freshest	!	dairy
fresh	broad	long,
fresher	broader	wide
freshest	!	!
shorter	fiction	shorter
short	long	short
shortest	!	!
short	broad	long,
shorter	broader	wide
shortest	!	!
cleaner	renewable	security,
clean	!	!
cleanest	!	november.
clean	broad	long,
cleaner	broader	wide
cleanest	!	!
fuller	their	smaller
full	!	minutes.
fullest	!	mm
full	software	for
fuller	harder	less
fullest	!	!
firmer	company	architects
firm	!	minutes.
firmest	!	!
firm	software	for
firmer	harder	less
firmest	!	!
better	better	better
good	good	really
best	!	!
good	"best	interactive
better	"best	better
best	!	1977)
mightier	harder	aiming
mighty	!	minutes.
mightiest	!	!
mighty	software	for
mightier	harder	less
mightiest	!	!
longer	short	smaller
long	not	not
longest	!	!
long	first	passenger
longer	first	rail
longest	!	!
greener	blue	can
green	!	!
greenest	and	and
green	!	!
greener	!	wins,
greenest	!	!
tastier	!	seconds.
tasty	!	!
tastiest	!	wounded.
tasty	!	!
tastier	!	wins,
tastiest	!	!
nicer	me	don't
nice	!	!
nicest	me	don't
nice	!	!
nicer	!	wins,
nicest	!	!
slicker	!	seconds.
slick	!	!
slickest	!	wounded.
slick	!	!
slicker	!	wins,
slickest	!	!
noisier	!	seconds.
noisy	!	!
noisiest	!	wounded.
noisy	!	!
noisier	!	wins,
noisiest	!	!
sadder	!	×
sad	!	!
saddest	!	!
sad	rapid	rapid
sadder	faster	than
saddest	!	!
swifter	terry	terry
swift	!	!
swiftest	!	1984)
swift	rapid	rapid
swifter	faster	than
swiftest	!	!
nicer	pretty	[the
nice	!	!
nicest	!	!
nice	rapid	rapid
nicer	faster	than
nicest	!	!
softer	pale	township.
soft	!	!
softest	!	!
soft	rapid	rapid
softer	faster	than
softest	!	!
trickier	!	×
tricky	!	!
trickiest	!	!
tricky	rapid	rapid
trickier	faster	than
trickiest	!	!
greener	yellow	forewings
green	!	!
greenest	!	!
green	york	and
greener	these	older
greenest	!	!
clearer	obvious	obvious
clear	!	!
clearest	!	!
clear	york	and
clearer	these	older
clearest	!	!
healthier	tissue	bacteria
healthy	!	!
healthiest	!	!
healthy	york	and
healthier	these	older
healthiest	!	!
faster	race.	users.
fastest	york	through
fast	!	!
fastest	and	small
faster	using	data
fast	!	seconds.
freer	software	linux
free	!	!
freest	!	!
free	york	and
freer	these	older
freest	!	!
meaner	temperature	varies
mean	!	!
meanest	!	!
mean	long	long
meaner	longer	longer
meanest	!	!
firmer	firm,	firm,
firm	!	!
firmest	!	sector,
firm	long	long
firmer	longer	longer
firmest	!	!
bigger	larger	bigger
big	a	my
biggest	!	!
big	a	great
bigger	largest	significant
biggest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	long	long
trickier	longer	longer
trickiest	!	!
deeper	pale	pale
deep	into	into
deepest	!	seconds.
deep	long	long
deeper	longer	longer
deepest	!	!
gentler	!	!
gentle	!	yards
gentlest	!	!
gentle	heavy	and
gentler	darker	than
gentlest	!	!
costlier	!	!
costly	!	yards
costliest	!	!
costly	heavy	and
costlier	darker	than
costliest	!	!
lower	high	higher
low	upper	upper
lowest	!	!
low	low	low
lower	highest	low
lowest	!	!
fancier	!	!
fancy	!	yards
fanciest	!	!
fancy	heavy	and
fancier	darker	than
fanciest	!	!
cleaner	harder	harder
clean	!	yards
cleanest	!	november.
clean	heavy	and
cleaner	darker	than
cleanest	!	!
steadier	!	tackles
steady	strong	strong
steadiest	!	tackles
steady	strong	strong
steadier	!	!
steadiest	!	!
poorer	!	!
poor	strong	strong
poorest	!	!
poor	strong	strong
poorer	!	!
poorest	!	!
faster	!	!
fastest	can	slow
fast	!	!
fastest	slow	slow
faster	slow	and
fast	slower	than
cleaner	!	!
clean	strong	strong
cleanest	!	!
clean	strong	strong
cleaner	!	!
cleanest	!	!
softer	!	!
soft	strong	strong
softest	!	!
soft	strong	strong
softer	!	!
softest	!	!
richer	!	!
rich	water	and
richest	!	!
rich	water	and
richer	!	!
richest	!	!
lighter	!	mm
light	water	water
lightest	!	mm
light	water	and
lighter	!	!
lightest	darker	than
simpler	!	!
simple	water	and
simplest	!	!
simple	water	and
simpler	!	!
simplest	!	!
messier	!	!
messy	water	and
messiest	!	!
messy	water	and
messier	!	!
messiest	!	!
friendlier	!	!
friendly	water	and
friendliest	!	!
friendly	water	and
friendlier	!	!
friendliest	!	!
higher	!	!
high	high	specific
highest	!	!
high	higher	low
higher	lowest	top
highest	high	high
stickier	!	!
sticky	regulations	regulations
stickiest	!	!
sticky	regulations	regulations
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	regulations	regulations
priciest	!	!
pricey	regulations	regulations
pricier	!	!
priciest	!	!
greater	!	born
great	any	specific
greatest	!	born
great	great	great
greater	best	top
greatest	increased	increased
busier	!	assists
busy	regulations	regulations
busiest	!	assists
busy	regulations	regulations
busier	!	!
busiest	!	!
tougher	!	!
tough	severe	similar
toughest	!	!
tough	severe	similar
tougher	!	!
toughest	!	!
stricter	!	!
strict	severe	similar
strictest	!	!
strict	severe	similar
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	severe	similar
stiffest	!	!
stiff	severe	similar
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	severe	similar
riskiest	!	!
risky	severe	similar
riskier	!	!
riskiest	!	!
stronger	!	!
strong	severe	difficult
strongest	!	!
strong	severe	dangerous
stronger	strong	strong
strongest	strong	more
classier	!	!
classy	defensive	with
classiest	!	!
classy	defensive	with
classier	!	!
classiest	!	!
gentler	!	!
gentle	defensive	with
gentlest	!	!
gentle	defensive	with
gentler	!	!
gentlest	!	!
leaner	!	!
lean	defensive	with
leanest	!	!
lean	defensive	with
leaner	!	!
leanest	!	!
bigger	!	!
big	larger	small
biggest	!	!
big	largest	great
bigger	largest	major
biggest	larger	than
luckier	!	!
lucky	defensive	with
luckiest	!	!
lucky	defensive	with
luckier	!	!
luckiest	!	!
warmer	!	!
warm	using	or
warmest	!	!
warm	using	or
warmer	!	!
warmest	!	!
slimmer	!	!
slim	using	or
slimmest	!	!
slim	using	or
slimmer	!	!
slimmest	!	!
rougher	!	!
rough	using	or
roughest	!	!
rough	using	or
rougher	!	!
roughest	!	!
harder	!	!
hard	can	difficult
hardest	!	!
hard	using	or
harder	!	!
hardest	easier	bigger
closer	!	!
close	using	better
closest	!	!
close	a	this
closer	nearest	nearest
closest	back	back
greener	!	!
green	good	and
greenest	!	!
green	good	and
greener	!	!
greenest	!	!
kinder	!	!
kind	good	and
kindest	!	!
kind	good	and
kinder	!	!
kindest	!	!
sadder	!	!
sad	good	and
saddest	!	!
sad	good	and
sadder	!	!
saddest	!	!
quicker	!	!
quick	good	and
quickest	!	!
quick	good	and
quicker	!	!
quickest	!	!
stiffer	!	!
stiff	good	and
stiffest	!	!
stiff	good	and
stiffer	!	!
stiffest	!	!
weaker	!	families.
weak	no	no
weakest	!	families.
weak	no	no
weaker	!	!
weakest	!	!
slicker	!	!
slick	no	no
slickest	!	!
slick	no	no
slicker	!	!
slickest	!	!
closer	!	!
close	better	better
closest	!	!
close	this	this
closer	nearest	nearest
closest	back	back
older	!	!
old	these	little
oldest	!	!
old	the	small
older	largest	old
oldest	younger	and
wiser	!	1989)
wise	no	no
wisest	!	1989)
wise	no	no
wiser	!	!
wisest	!	!
cheaper	!	!
cheap	fast	harder
cheapest	!	!
cheap	fast	to
cheaper	!	!
cheapest	harder	less
simpler	!	!
simple	fast	to
simplest	!	!
simple	fast	to
simpler	!	!
simplest	!	!
fresher	!	!
fresh	fast	to
freshest	!	!
fresh	fast	to
fresher	!	!
freshest	!	!
bolder	!	!
bold	fast	to
boldest	!	!
bold	fast	to
bolder	!	!
boldest	!	!
cleaner	!	!
clean	fast	to
cleanest	!	!
clean	fast	to
cleaner	!	!
cleanest	!	!
poorer	good	good
poor	!	!
poorest	!	!
poor	light	and
poorer	heavy	than
poorest	!	!
messier	!	1990)
messy	!	!
messiest	!	!
messy	light	and
messier	heavy	than
messiest	!	!
narrower	broad	long.
narrow	!	!
narrowest	!	!
narrow	light	and
narrower	heavy	than
narrowest	!	!
noisier	!	1990)
noisy	!	!
noisiest	!	!
noisy	light	and
noisier	heavy	than
noisiest	!	!
riskier	!	1990)
risky	!	!
riskiest	!	!
risky	light	and
riskier	heavy	than
riskiest	!	!
steadier	!	wins,
steady	and	and
steadiest	!	wins,
steady	and	and
steadier	!	!
steadiest	!	!
swifter	!	mm
swift	and	and
swiftest	!	mm
swift	and	and
swifter	!	!
swiftest	!	!
tougher	!	!
tough	and	and
toughest	!	!
tough	and	and
tougher	!	!
toughest	!	!
meaner	!	!
mean	and	and
meanest	!	!
mean	and	and
meaner	!	!
meanest	!	!
smoother	!	!
smooth	and	and
smoothest	!	!
smooth	and	and
smoother	!	!
smoothest	!	!
milder	!	varies
mild	you	you
mildest	!	varies
mild	you	you
milder	!	!
mildest	!	!
earlier	!	!
early	that	even
earliest	!	!
early	some	great
earlier	other	of
earliest	later	previous
tastier	!	!
tasty	you	you
tastiest	!	!
tasty	you	you
tastier	!	!
tastiest	!	!
faster	!	!
fastest	not	it’s
fast	!	!
fastest	not	easy
faster	slow	and
fast	slower	than
greater	!	total
great	great	great
greatest	!	total
great	great	great
greater	best	top
greatest	increased	increased
richer	more	more
rich	!	!
richest	!	!
rich	pale	pale
richer	pale	pale
richest	!	!
tastier	!	1982)
tasty	!	!
tastiest	!	!
tasty	pale	pale
tastier	pale	pale
tastiest	!	!
thinner	thick	faster
thin	!	!
thinnest	!	!
thin	pale	pale
thinner	pale	pale
thinnest	!	!
rougher	slightly	roof.
rough	!	!
roughest	!	!
rough	pale	pale
rougher	pale	pale
roughest	!	!
luckier	wonder	wonder
lucky	!	!
luckiest	!	!
lucky	pale	pale
luckier	pale	pale
luckiest	!	!
tighter	!	!
tight	smooth	or
tightest	!	!
tight	smooth	or
tighter	!	!
tightest	!	!
kinder	!	!
kind	smooth	or
kindest	!	!
kind	smooth	or
kinder	!	!
kindest	!	!
swifter	!	tackles
swift	smooth	or
swiftest	!	tackles
swift	smooth	or
swifter	!	!
swiftest	!	!
messier	!	!
messy	smooth	or
messiest	!	!
messy	smooth	or
messier	!	!
messiest	!	!
deeper	!	kilometres
deep	deep	deep
deepest	!	kilometres
deep	smooth	or
deeper	!	!
deepest	deep	less
lower	!	percent
low	upper	dry
lowest	!	percent
low	highest	low
lower	highest	average
lowest	upper	high
costlier	!	!
costly	cool	hot
costliest	!	!
costly	cool	hot
costlier	!	!
costliest	!	!
narrower	!	kilometers
narrow	cool	hot
narrowest	!	kilometers
narrow	cool	hot
narrower	!	!
narrowest	!	!
leaner	!	!
lean	cool	hot
leanest	!	!
lean	cool	hot
leaner	!	!
leanest	!	!
younger	!	(born
young	cool	cold
youngest	!	(born
young	cool	cool
younger	eldest	who
youngest	elder	older
smaller	large	or
small	larger	than
smallest	large	or
small	largest	largest
smaller	largest	largest
smallest	larger	than
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
mightier	mutant	awards,
mighty	!	!
mightiest	mutant	awards,
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	!	!
fancier	!	!
fanciest	!	!
kinder	!	!
kind	teeth	long,
kindest	!	!
kind	teeth	long,
kinder	!	!
kindest	!	!
wider	!	!
wide	broader	large
widest	!	!
wide	teeth	long,
wider	!	!
widest	broader	wide
pricier	!	!
pricey	teeth	long,
priciest	!	!
pricey	teeth	long,
pricier	!	!
priciest	!	!
firmer	!	sector,
firm	teeth	long,
firmest	!	sector,
firm	teeth	long,
firmer	!	!
firmest	!	!
brighter	!	!
bright	teeth	long,
brightest	!	!
bright	teeth	long,
brighter	!	!
brightest	!	!
steadier	!	april.
steady	wide	wide
steadiest	!	april.
steady	wide	wide
steadier	!	!
steadiest	!	!
classier	!	!
classy	wide	wide
classiest	!	!
classy	wide	wide
classier	!	!
classiest	!	!
sadder	!	!
sad	wide	wide
saddest	!	!
sad	wide	wide
sadder	!	!
saddest	!	!
meaner	!	!
mean	wide	wide
meanest	!	!
mean	wide	wide
meaner	!	!
meanest	!	!
faster	!	!
fastest	large	low
fast	!	!
fastest	large	small
faster	slow	and
fast	slower	than
louder	acoustic	pop
loud	!	!
loudest	acoustic	pop
loud	!	!
louder	!	!
loudest	!	!
newer	york	and
new	these	older
newest	york	and
new	!	!
newer	!	!
newest	these	older
bloodier	fierce	nights
bloody	!	!
bloodiest	fierce	nights
bloody	!	!
bloodier	!	!
bloodiest	!	!
younger	who	and
young	elder	older
youngest	who	and
young	eldest	who
younger	eldest	who
youngest	elder	older
closer	between	between
close	back	back
closest	between	between
close	nearest	nearest
closer	nearest	nearest
closest	back	back
clearer	!	!
clear	and	and
clearest	!	!
clear	and	and
clearer	!	!
clearest	!	!
richer	!	!
rich	and	and
richest	!	!
rich	and	and
richer	!	!
richest	!	!
meaner	!	!
mean	and	and
meanest	!	!
mean	and	and
meaner	!	!
meanest	!	!
older	!	!
old	and	other
oldest	!	!
old	largest	small
older	largest	old
oldest	younger	and
deeper	!	kilometers
deep	or	deep
deepest	!	kilometers
deep	and	and
deeper	!	!
deepest	deep	less
tastier	!	!
tasty	tall,	tall,
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	tall	tall
weaker	!	electoral
weak	tall,	tall,
weakest	common.	common.
weak	!	!
weaker	!	!
weakest	tall	tall
sadder	!	!
sad	tall,	tall,
saddest	!	!
sad	!	!
sadder	!	!
saddest	tall	tall
better	!	!
good	good	large
best	their	highest
good	and	for
better	!	!
best	can	large
stronger	!	!
strong	tall,	large
strongest	their	strongest
strong	tall,	strong
stronger	!	!
strongest	wooden	wooden
lighter	!	mm
light	warm	darker
lightest	!	mm
light	warm	warm
lighter	!	!
lightest	darker	than
wilder	!	!
wild	warm	warm
wildest	!	!
wild	warm	warm
wilder	!	!
wildest	!	!
prettier	!	!
pretty	warm	warm
prettiest	!	!
pretty	warm	warm
prettier	!	!
prettiest	!	!
heavier	!	mm
heavy	warm	mild
heaviest	!	mm
heavy	warm	warm
heavier	!	!
heaviest	heavy	than
deeper	!	mm
deep	warm	humid
deepest	!	mm
deep	warm	warm
deeper	!	!
deepest	deep	less
newer	!	!
new	vertical	vertical
newest	!	!
new	dark	long,
newer	!	!
newest	these	older
bloodier	!	june.
bloody	dark	long,
bloodiest	!	june.
bloody	dark	long,
bloodier	!	!
bloodiest	!	!
prettier	!	!
pretty	dark	long,
prettiest	!	!
pretty	dark	long,
prettier	!	!
prettiest	!	!
softer	!	!
soft	dark	long,
softest	!	!
soft	dark	long,
softer	!	!
softest	!	!
taller	!	×
tall	dark	long,
tallest	!	×
tall	brick	wooden
taller	tall	tall
tallest	!	!
newer	york	and
new	these	older
newest	york	and
new	!	!
newer	!	!
newest	these	older
weaker	strong	strong
weak	!	!
weakest	strong	strong
weak	!	!
weaker	!	!
weakest	!	!
longer	short	long,
long	not	no
longest	short	long,
long	first	long
longer	first	long
longest	not	no
smarter	and	and
smart	!	!
smartest	and	and
smart	!	!
smarter	!	!
smartest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	!	!
riskier	!	!
riskiest	!	!
thicker	!	×
thick	who	who
thickest	!	×
thick	who	who
thicker	!	!
thickest	!	!
bloodier	!	november.
bloody	who	who
bloodiest	!	november.
bloody	who	who
bloodier	!	!
bloodiest	!	!
happier	!	!
happy	who	who
happiest	!	!
happy	who	who
happier	!	!
happiest	!	!
sharper	!	!
sharp	who	who
sharpest	!	!
sharp	who	who
sharper	!	!
sharpest	!	!
stronger	!	!
strong	powerful	powerful
strongest	!	!
strong	powerful	homeless
stronger	strong	strong
strongest	strong	more
classier	!	!
classy	their	for
classiest	!	!
classy	their	for
classier	!	!
classiest	!	!
lighter	!	!
light	its	light
lightest	!	!
light	their	for
lighter	!	!
lightest	darker	than
gentler	!	!
gentle	their	for
gentlest	!	!
gentle	their	for
gentler	!	!
gentlest	!	!
narrower	!	!
narrow	their	for
narrowest	!	!
narrow	their	for
narrower	!	!
narrowest	!	!
livelier	!	!
lively	their	for
liveliest	!	!
lively	their	for
livelier	!	!
liveliest	!	!
savvier	!	!
savvy	jones	william
savviest	!	!
savvy	jones	william
savvier	!	!
savviest	!	!
livelier	!	!
lively	jones	william
liveliest	!	!
lively	jones	william
livelier	!	!
liveliest	!	!
harder	!	!
hard	easier	easier
hardest	!	!
hard	jones	william
harder	!	!
hardest	easier	bigger
taller	!	!
tall	jones	william
tallest	!	!
tall	tall	surviving
taller	tall	tall
tallest	!	!
freer	!	!
free	jones	william
freest	!	!
