rougher	easier	province,
deep	!	!
deeper	!	!
deepest	amounts	amounts
closer	slower	slower
close	descended	descended
closest	closest	closest
close	close	close
closer	nearest	nearest
closest	farther	farther
taller	runway	runway
tall	!	!
tallest	tallest	tallest
tall	voltage	voltage
taller	newer	newer
tallest	!	!
kinder	no	no
kind	!	!
kindest	biggest	biggest
kind	!	!
kinder	!	!
kindest	!	!
heavier	no	no
heavy	thick	thick
heaviest	largest	largest
heavy	!	!
heavier	!	!
heaviest	largest	largest
mightier	"p.	"p.
mighty	!	!
mightiest	biggest	biggest
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
smarter	no	no
smart	!	!
smartest	largest	largest
smart	!	!
smarter	!	!
smartest	!	!
milder	humid	humid
mild	!	!
mildest	temperature	temperature
mild	!	!
milder	!	!
mildest	!	!
weaker	survival	survival
weak	!	!
weakest	most	most
weak	!	!
weaker	!	!
weakest	!	!
friendlier	established.	established.
friendly	!	!
friendliest	most	most
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	!	!
lively	!	!
liveliest	!	!
lively	!	!
livelier	!	!
liveliest	!	!
younger	children	children
young	brother	brother
youngest	most	most
young	cousin,	cousin,
younger	olympics.	olympics.
youngest	daughters.	daughters.
clearer	wrong	wrong
clear	!	!
clearest	!	!
clear	handful	handful
clearer	more	more
clearest	!	!
friendlier	warned	warned
friendly	!	!
friendliest	!	!
friendly	handful	handful
friendlier	more	more
friendliest	!	!
cleaner	less	ha
clean	!	!
cleanest	!	!
clean	handful	handful
cleaner	more	more
cleanest	!	!
stronger	greater	greater
strong	very	modern
strongest	!	!
strong	many	many
stronger	greatest	consistently
strongest	!	!
freer	guaranteed	guaranteed
free	!	!
freest	!	!
free	handful	handful
freer	more	more
freest	!	!
tougher	larger	larger
tough	!	!
toughest	strongest	strongest
tough	!	!
tougher	!	!
toughest	!	!
funnier	!	!
funny	!	!
funniest	!	!
funny	!	!
funnier	!	!
funniest	!	!
nicer	comfortable	changes.
nice	!	!
nicest	greatest	world".
nice	!	!
nicer	!	!
nicest	!	!
greater	larger	tremendous
great	great	great
greatest	greatest	greatest
great	great	great
greater	deeper	deeper
greatest	greatest	strongest
bolder	larger	sometimes
bold	!	!
boldest	strongest	strongest
bold	!	!
bolder	!	!
boldest	!	!
poorer	worse	worse
poor	!	!
poorest	most	most
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	harder	harder
long	no	short
longest	longest	longest
long	short	short
longer	deadly	totally
longest	longest	longest
harder	harder	harder
hard	huge	huge
hardest	harder	harder
hard	!	!
harder	!	!
hardest	biggest	biggest
wiser	harder	harder
wise	!	!
wisest	most	brown's
wise	!	!
wiser	!	!
wisest	!	!
earlier	late	late
early	bush	bush
earliest	earliest	earliest
early	early	early
earlier	slavery	slavery
earliest	100th	history.
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
darker	darker	darker
dark	pale	pale
darkest	hindwings	quest
dark	!	!
darker	!	!
darkest	forewings	forewings
quicker	harder	harder
quick	!	!
quickest	objective	objective
quick	!	!
quicker	!	!
quickest	!	!
brighter	flexible	flexible
bright	!	!
brightest	television.	television.
bright	!	!
brighter	!	!
brightest	!	!
cheaper	purely	purely
cheap	barrel	barrel
cheapest	!	!
cheap	wide	wide
cheaper	wider	wider
cheapest	!	!
higher	higher	higher
high	lower	lower
highest	!	!
high	lowest	lower
higher	higher	participation
highest	!	!
fairer	sustainable	sustainable
fair	!	!
fairest	!	!
fair	wide	wide
fairer	wider	wider
fairest	!	!
wiser	shiva	shiva
wise	!	!
wisest	!	!
wise	wide	wide
wiser	wider	wider
wisest	!	!
taller	metre	one-third
tall	!	!
tallest	!	!
tall	basal	small
taller	flexible	flexible
tallest	!	!
poorer	slower	slower
poor	!	!
poorest	!	!
poor	you"	you"
poorer	difficult	difficult
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	you"	you"
messier	difficult	difficult
messiest	!	!
busier	interested	interested
busy	!	!
busiest	!	!
busy	you"	you"
busier	difficult	difficult
busiest	!	!
taller	seated	seated
tall	!	!
tallest	!	!
tall	sexually	sexually
taller	difficult	difficult
tallest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	you"	you"
trickier	difficult	difficult
trickiest	!	!
higher	!	!
high	lower	lower
highest	!	!
high	lowest	difficult
higher	lowest	lowest
highest	lower	lower
slower	!	!
slow	complicated	complicated
slowest	!	!
slow	difficult	difficult
slower	!	!
slowest	faster	faster
smarter	!	!
smart	difficult	difficult
smartest	!	!
smart	difficult	difficult
smarter	!	!
smartest	!	!
older	!	!
old	complicated	complicated
oldest	!	!
old	difficult	difficult
older	tallest	tallest
oldest	old	old
stronger	!	!
strong	difficult	difficult
strongest	!	!
strong	difficult	difficult
stronger	biggest	biggest
strongest	economically	economically
cheaper	!	!
cheap	harder	harder
cheapest	!	!
cheap	forbidden	forbidden
cheaper	!	!
cheapest	harder	harder
classier	!	!
classy	forbidden	forbidden
classiest	!	!
classy	forbidden	forbidden
classier	!	!
classiest	!	!
bloodier	!	!
bloody	forbidden	forbidden
bloodiest	!	!
bloody	forbidden	forbidden
bloodier	!	!
bloodiest	!	!
wilder	!	!
wild	forbidden	forbidden
wildest	!	!
wild	forbidden	forbidden
wilder	!	!
wildest	!	!
easier	!	!
easy	harder	difficult
easiest	!	!
easy	forbidden	forbidden
easier	!	!
easiest	harder	harder
rougher	applying	applying
rough	!	!
roughest	!	!
rough	deeper	deeper
rougher	fertile	fertile
roughest	!	!
fresher	water.	yields
fresh	!	!
freshest	!	!
fresh	deeper	deeper
fresher	fertile	fertile
freshest	!	!
harsher	realistic	realistic
harsh	!	!
harshest	!	!
harsh	deeper	deeper
harsher	fertile	fertile
harshest	!	!
luckier	valuable	valuable
lucky	!	!
luckiest	!	!
lucky	deeper	deeper
luckier	fertile	fertile
luckiest	!	!
taller	helena	helena
tall	!	!
tallest	!	!
tall	skull	skull
taller	basal	basal
tallest	!	!
fatter	significance	significance
fat	!	!
fattest	!	!
fat	broad	broad
fatter	broader	wide
fattest	!	!
smoother	bigger	bigger
smooth	!	!
smoothest	!	!
smooth	broad	broad
smoother	broader	wide
smoothest	!	!
fresher	warm	warm
fresh	!	!
freshest	!	!
fresh	broad	broad
fresher	broader	wide
freshest	!	!
shorter	bigger	bigger
short	short	short
shortest	!	!
short	broad	broad
shorter	broader	wide
shortest	!	!
cleaner	bigger	bigger
clean	!	!
cleanest	!	!
clean	broad	broad
cleaner	broader	wide
cleanest	!	!
fuller	protective	protective
full	!	!
fullest	!	!
full	products	products
fuller	harder	harder
fullest	!	!
firmer	firm.	employers
firm	!	!
firmest	!	!
firm	products	products
firmer	harder	harder
firmest	!	!
better	better	pleasant
good	good	good
best	!	!
good	good	better
better	better	better
best	!	!
mightier	king,	king,
mighty	!	!
mightiest	!	!
mighty	products	products
mightier	harder	harder
mightiest	!	!
longer	long,	long,
long	still	still
longest	!	!
long	typical	typical
longer	commercially	commercially
longest	!	!
greener	forth	forth
green	!	!
greenest	green,	green,
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	concludes	concludes
nice	!	!
nicest	sound	sound
nice	!	!
nicer	!	!
nicest	!	!
slicker	!	!
slick	!	!
slickest	!	!
slick	!	!
slicker	!	!
slickest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	!	!
sad	!	!
saddest	!	!
sad	loud	loud
sadder	faster	faster
saddest	!	!
swifter	younger	younger
swift	!	!
swiftest	!	!
swift	loud	loud
swifter	faster	faster
swiftest	!	!
nicer	younger	quinn
nice	!	!
nicest	!	!
nice	loud	loud
nicer	faster	faster
nicest	!	!
softer	metallic	younger
soft	!	!
softest	!	!
soft	loud	loud
softer	faster	faster
softest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	loud	loud
trickier	faster	faster
trickiest	!	!
greener	metallic	metallic
green	!	!
greenest	!	!
green	"new	"new
greener	os	os
greenest	!	!
clearer	precise	precise
clear	!	!
clearest	!	!
clear	"new	"new
clearer	os	os
clearest	!	!
healthier	chronic	chronic
healthy	!	!
healthiest	!	!
healthy	"new	"new
healthier	os	os
healthiest	!	!
faster	engine,	engine,
fastest	wickets	wickets
fast	!	!
fastest	efficient	efficient
faster	efficient	efficient
fast	!	!
freer	engine,	engine,
free	!	!
freest	!	!
free	"new	"new
freer	os	os
freest	!	!
meaner	lower	corresponds
mean	!	!
meanest	!	!
mean	brief	brief
meaner	longer	longer
meanest	!	!
firmer	company	merchants
firm	!	!
firmest	!	!
firm	brief	brief
firmer	longer	longer
firmest	!	!
bigger	cheaper	cheaper
big	giant	giant
biggest	!	!
big	fiction,	small
bigger	largest	seasonal
biggest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	brief	brief
trickier	longer	longer
trickiest	!	!
deeper	deeper	deeper
deep	love.	love.
deepest	!	!
deep	brief	brief
deeper	longer	longer
deepest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	light,	light,
gentler	darker	darker
gentlest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	light,	light,
costlier	darker	darker
costliest	!	!
lower	higher	higher
low	upper	upper
lowest	!	!
low	heavy	heavy
lower	darker	darker
lowest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	light,	light,
fancier	darker	darker
fanciest	!	!
cleaner	less	less
clean	!	!
cleanest	!	!
clean	light,	light,
cleaner	darker	darker
cleanest	!	!
steadier	!	!
steady	poor	poor
steadiest	!	!
steady	poor	poor
steadier	!	!
steadiest	!	!
poorer	!	!
poor	poor	poor
poorest	!	!
poor	poor	poor
poorer	!	!
poorest	!	!
faster	!	!
fastest	efficient	efficient
fast	!	!
fastest	efficient	efficient
faster	efficient	efficient
fast	slower	slower
cleaner	!	!
clean	poor	poor
cleanest	!	!
clean	poor	poor
cleaner	!	!
cleanest	!	!
softer	!	!
soft	poor	poor
softest	!	!
soft	poor	poor
softer	!	!
softest	!	!
richer	!	!
rich	security.	security.
richest	!	!
rich	security.	security.
richer	!	!
richest	!	!
lighter	!	!
light	heavier	careful
lightest	!	!
light	security.	security.
lighter	!	!
lightest	darker	darker
simpler	!	!
simple	security.	security.
simplest	!	!
simple	security.	security.
simpler	!	!
simplest	!	!
messier	!	!
messy	security.	security.
messiest	!	!
messy	security.	security.
messier	!	!
messiest	!	!
friendlier	!	!
friendly	security.	security.
friendliest	!	!
friendly	security.	security.
friendlier	!	!
friendliest	!	!
higher	!	!
high	specific	specific
highest	!	!
high	specific	specific
higher	lowest	lowest
highest	lower	lower
stickier	!	!
sticky	harsh	harsh
stickiest	!	!
sticky	harsh	harsh
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	harsh	harsh
priciest	!	!
pricey	harsh	harsh
pricier	!	!
priciest	!	!
greater	!	!
great	specific	specific
greatest	!	!
great	great	great
greater	biggest	biggest
greatest	wider	wider
busier	!	!
busy	harsh	harsh
busiest	!	!
busy	harsh	harsh
busier	!	!
busiest	!	!
tougher	!	!
tough	severe	severe
toughest	!	!
tough	severe	severe
tougher	!	!
toughest	!	!
stricter	!	!
strict	severe	severe
strictest	!	!
strict	severe	severe
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	severe	severe
stiffest	!	!
stiff	severe	severe
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	severe	severe
riskiest	!	!
risky	severe	severe
riskier	!	!
riskiest	!	!
stronger	!	!
strong	severe	serious
strongest	!	!
strong	protective	protective
stronger	biggest	biggest
strongest	economically	economically
classier	!	!
classy	gravitational	gravitational
classiest	!	!
classy	gravitational	gravitational
classier	!	!
classiest	!	!
gentler	!	!
gentle	gravitational	gravitational
gentlest	!	!
gentle	gravitational	gravitational
gentler	!	!
gentlest	!	!
leaner	!	!
lean	gravitational	gravitational
leanest	!	!
lean	gravitational	gravitational
leaner	!	!
leanest	!	!
bigger	!	!
big	small	small
biggest	!	!
big	major	major
bigger	largest	largest
biggest	larger	larger
luckier	!	!
lucky	gravitational	gravitational
luckiest	!	!
lucky	gravitational	gravitational
luckier	!	!
luckiest	!	!
warmer	!	!
warm	small	"g"
warmest	!	!
warm	small	"g"
warmer	!	!
warmest	!	!
slimmer	!	!
slim	small	"g"
slimmest	!	!
slim	small	"g"
slimmer	!	!
slimmest	!	!
rougher	!	!
rough	small	"g"
roughest	!	!
rough	small	"g"
rougher	!	!
roughest	!	!
harder	!	!
hard	difficult	difficult
hardest	!	!
hard	small	"g"
harder	!	!
hardest	difficult	difficult
closer	!	!
close	small	small
closest	!	!
close	small	small
closer	nearest	nearest
closest	farther	farther
greener	!	!
green	good	disappointing
greenest	!	!
green	good	disappointing
greener	!	!
greenest	!	!
kinder	!	!
kind	good	disappointing
kindest	!	!
kind	good	disappointing
kinder	!	!
kindest	!	!
sadder	!	!
sad	good	disappointing
saddest	!	!
sad	good	disappointing
sadder	!	!
saddest	!	!
quicker	!	!
quick	good	disappointing
quickest	!	!
quick	good	disappointing
quicker	!	!
quickest	!	!
stiffer	!	!
stiff	good	disappointing
stiffest	!	!
stiff	good	disappointing
stiffer	!	!
stiffest	!	!
weaker	!	!
weak	obvious	obvious
weakest	!	!
weak	obvious	obvious
weaker	!	!
weakest	!	!
slicker	!	!
slick	obvious	obvious
slickest	!	!
slick	obvious	obvious
slicker	!	!
slickest	!	!
closer	!	!
close	deep	deep
closest	!	!
close	true	true
closer	nearest	nearest
closest	farther	farther
older	!	!
old	obvious	obvious
oldest	!	!
old	evidence	evidence
older	tallest	tallest
oldest	old	old
wiser	!	!
wise	obvious	obvious
wisest	!	!
wise	obvious	obvious
wiser	!	!
wisest	!	!
cheaper	!	!
cheap	harder	harder
cheapest	!	!
cheap	fast	fast
cheaper	!	!
cheapest	harder	harder
simpler	!	!
simple	fast	fast
simplest	!	!
simple	fast	fast
simpler	!	!
simplest	!	!
fresher	!	!
fresh	fast	fast
freshest	!	!
fresh	fast	fast
fresher	!	!
freshest	!	!
bolder	!	!
bold	fast	fast
boldest	!	!
bold	fast	fast
bolder	!	!
boldest	!	!
cleaner	!	!
clean	fast	fast
cleanest	!	!
clean	fast	fast
cleaner	!	!
cleanest	!	!
poorer	irregular	irregular
poor	!	!
poorest	!	!
poor	light	light
poorer	lighter	lighter
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	light	light
messier	lighter	lighter
messiest	!	!
narrower	dense	dense
narrow	!	!
narrowest	!	!
narrow	light	light
narrower	lighter	lighter
narrowest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	light	light
noisier	lighter	lighter
noisiest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	light	light
riskier	lighter	lighter
riskiest	!	!
steadier	!	!
steady	distinctive	distinctive
steadiest	!	!
steady	distinctive	distinctive
steadier	!	!
steadiest	!	!
swifter	!	!
swift	distinctive	distinctive
swiftest	!	!
swift	distinctive	distinctive
swifter	!	!
swiftest	!	!
tougher	!	!
tough	distinctive	distinctive
toughest	!	!
tough	distinctive	distinctive
tougher	!	!
toughest	!	!
meaner	!	!
mean	distinctive	distinctive
meanest	!	!
mean	distinctive	distinctive
meaner	!	!
meanest	!	!
smoother	!	!
smooth	distinctive	distinctive
smoothest	!	!
smooth	distinctive	distinctive
smoother	!	!
smoothest	!	!
milder	!	!
mild	love,	love,
mildest	!	!
mild	love,	love,
milder	!	!
mildest	!	!
earlier	!	!
early	previous	previous
earliest	!	!
early	girl"	homosexual
earlier	oldest	oldest
earliest	previous	previous
tastier	!	!
tasty	love,	love,
tastiest	!	!
tasty	love,	love,
tastier	!	!
tastiest	!	!
faster	!	!
fastest	better	better
fast	!	!
fastest	meals	meals
faster	efficient	efficient
fast	slower	slower
greater	!	!
great	better	better
greatest	!	!
great	great	great
greater	biggest	biggest
greatest	wider	wider
richer	deeply	bass,
rich	!	!
richest	!	!
rich	pale	pale
richer	pale	hindwings
richest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	pale	pale
tastier	pale	hindwings
tastiest	!	!
thinner	rectangular	rectangular
thin	!	!
thinnest	!	!
thin	pale	pale
thinner	pale	hindwings
thinnest	!	!
rougher	rectangular	long,
rough	!	!
roughest	!	!
rough	pale	pale
rougher	pale	hindwings
roughest	!	!
luckier	jerry	jerry
lucky	!	!
luckiest	!	!
lucky	pale	pale
luckier	pale	hindwings
luckiest	!	!
tighter	!	!
tight	metallic	metallic
tightest	!	!
tight	metallic	metallic
tighter	!	!
tightest	!	!
kinder	!	!
kind	metallic	metallic
kindest	!	!
kind	metallic	metallic
kinder	!	!
kindest	!	!
swifter	!	!
swift	metallic	metallic
swiftest	!	!
swift	metallic	metallic
swifter	!	!
swiftest	!	!
messier	!	!
messy	metallic	metallic
messiest	!	!
messy	metallic	metallic
messier	!	!
messiest	!	!
deeper	!	!
deep	thin	thin
deepest	!	!
deep	metallic	metallic
deeper	!	!
deepest	fertile	fertile
lower	!	!
low	low	low
lowest	!	!
low	low	low
lower	highest	highest
lowest	upper	upper
costlier	!	!
costly	temperate	temperate
costliest	!	!
costly	temperate	temperate
costlier	!	!
costliest	!	!
narrower	!	!
narrow	temperate	temperate
narrowest	!	!
narrow	temperate	temperate
narrower	!	!
narrowest	!	!
leaner	!	!
lean	temperate	temperate
leanest	!	!
lean	temperate	temperate
leaner	!	!
leanest	!	!
younger	!	!
young	sexually	sexually
youngest	!	!
young	temperate	insects
younger	oldest	oldest
youngest	young	eldest
smaller	large	large
small	larger	larger
smallest	large	large
small	largest	largest
smaller	largest	largest
smallest	larger	larger
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
mightier	warrior	warrior
mighty	!	!
mightiest	warrior	warrior
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	!	!
fancier	!	!
fanciest	!	!
kinder	!	!
kind	out:	out:
kindest	!	!
kind	out:	out:
kinder	!	!
kindest	!	!
wider	!	!
wide	small	small
widest	!	!
wide	out:	out:
wider	!	!
widest	broader	wide
pricier	!	!
pricey	out:	out:
priciest	!	!
pricey	out:	out:
pricier	!	!
priciest	!	!
firmer	!	!
firm	out:	out:
firmest	!	!
firm	out:	out:
firmer	!	!
firmest	!	!
brighter	!	!
bright	out:	out:
brightest	!	!
bright	out:	out:
brighter	!	!
brightest	!	!
steadier	!	!
steady	dorsal	dorsal
steadiest	!	!
steady	dorsal	dorsal
steadier	!	!
steadiest	!	!
classier	!	!
classy	dorsal	dorsal
classiest	!	!
classy	dorsal	dorsal
classier	!	!
classiest	!	!
sadder	!	!
sad	dorsal	dorsal
saddest	!	!
sad	dorsal	dorsal
sadder	!	!
saddest	!	!
meaner	!	!
mean	dorsal	dorsal
meanest	!	!
mean	dorsal	dorsal
meaner	!	!
meanest	!	!
faster	!	!
fastest	lateral	lateral
fast	!	!
fastest	efficient	efficient
faster	efficient	efficient
fast	slower	slower
louder	rhythm	rhythm
loud	!	!
loudest	rhythm	rhythm
loud	!	!
louder	!	!
loudest	!	!
newer	"new	"new
new	os	os
newest	"new	"new
new	!	!
newer	!	!
newest	os	os
bloodier	bitter	bitter
bloody	!	!
bloodiest	bitter	bitter
bloody	!	!
bloodier	!	!
bloodiest	!	!
younger	younger	younger
young	young	eldest
youngest	younger	younger
young	oldest	oldest
younger	oldest	oldest
youngest	young	eldest
closer	near	near
close	farther	farther
closest	near	near
close	nearest	nearest
closer	nearest	nearest
closest	farther	farther
clearer	!	!
clear	guaranteed	guaranteed
clearest	!	!
clear	guaranteed	guaranteed
clearer	!	!
clearest	!	!
richer	!	!
rich	guaranteed	guaranteed
richest	!	!
rich	guaranteed	guaranteed
richer	!	!
richest	!	!
meaner	!	!
mean	guaranteed	guaranteed
meanest	!	!
mean	guaranteed	guaranteed
meaner	!	!
meanest	!	!
older	!	!
old	homeless	homeless
oldest	!	!
old	largest	largest
older	tallest	tallest
oldest	old	old
deeper	!	!
deep	exposure	exposed
deepest	!	!
deep	guaranteed	guaranteed
deeper	!	!
deepest	fertile	fertile
tastier	!	!
tasty	tall,	tall,
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	oldest	oldest
weaker	!	!
weak	tall,	tall,
weakest	oldest	pronounced
weak	!	!
weaker	!	!
weakest	oldest	oldest
sadder	!	!
sad	tall,	tall,
saddest	!	!
sad	!	!
sadder	!	!
saddest	oldest	oldest
better	!	!
good	smooth	smooth
best	oldest	better
good	songs.	songs.
better	!	!
best	sexually	sexually
stronger	!	!
strong	powerful	powerful
strongest	gradual	gradual
strong	humorous	humorous
stronger	!	!
strongest	economically	economically
lighter	!	!
light	darker	darker
lightest	!	!
light	warm	warm
lighter	!	!
lightest	darker	darker
wilder	!	!
wild	warm	warm
wildest	!	!
wild	warm	warm
wilder	!	!
wildest	!	!
prettier	!	!
pretty	warm	warm
prettiest	!	!
pretty	warm	warm
prettier	!	!
prettiest	!	!
heavier	!	!
heavy	cold	cold
heaviest	!	!
heavy	warm	warm
heavier	!	!
heaviest	lighter	lighter
deeper	!	!
deep	cold	cold
deepest	!	!
deep	warm	warm
deeper	!	!
deepest	fertile	fertile
newer	!	!
new	exterior	exterior
newest	!	!
new	thick	thick
newer	!	!
newest	os	os
bloodier	!	!
bloody	thick	thick
bloodiest	!	!
bloody	thick	thick
bloodier	!	!
bloodiest	!	!
prettier	!	!
pretty	thick	thick
prettiest	!	!
pretty	thick	thick
prettier	!	!
prettiest	!	!
softer	!	!
soft	thick	thick
softest	!	!
soft	thick	thick
softer	!	!
softest	!	!
taller	!	!
tall	thick	thick
tallest	!	!
tall	smooth	smooth
taller	oldest	oldest
tallest	!	!
newer	"new	"new
new	os	os
newest	"new	"new
new	!	!
newer	!	!
newest	os	os
weaker	poor	poor
weak	!	!
weakest	poor	poor
weak	!	!
weaker	!	!
weakest	!	!
longer	long,	long,
long	no	no
longest	long,	long,
long	largest	largest
longer	largest	largest
longest	no	no
smarter	imaging	imaging
smart	!	!
smartest	imaging	imaging
smart	!	!
smarter	!	!
smartest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	!	!
riskier	!	!
riskiest	!	!
thicker	!	!
thick	noble	noble
thickest	!	!
thick	noble	noble
thicker	!	!
thickest	!	!
bloodier	!	!
bloody	noble	noble
bloodiest	!	!
bloody	noble	noble
bloodier	!	!
