rougher	numbered	numbered
taller	atop	atop
tallest	!	!
smoother	darker	darker
smooth	!	!
smoothest	tallest	tallest
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	else	else
nice	!	!
nicest	don't	don't
nice	!	!
nicer	!	!
nicest	!	!
broader	dorsal	dorsal
broad	huge	huge
broadest	dorsal	dorsal
broad	!	!
broader	!	!
broadest	finite	finite
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	"great	"great
great	large	little
greatest	greatest	greatest
great	substantial	substantial
greater	great	great
greatest	highest	highest
wilder	hunger	hunger
wild	!	!
wildest	!	!
wild	impossible	impossible
wilder	harder	harder
wildest	!	!
smoother	thrust	thrust
smooth	!	!
smoothest	!	!
smooth	impossible	impossible
smoother	harder	harder
smoothest	!	!
mightier	weakened	weakened
mighty	!	!
mightiest	!	!
mighty	impossible	impossible
mightier	harder	harder
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	impossible	impossible
leaner	harder	harder
leanest	!	!
cleaner	decreased	decreased
clean	!	!
cleanest	!	!
clean	impossible	impossible
cleaner	harder	harder
cleanest	!	!
narrower	broad	broad
narrow	!	!
narrowest	broad	broad
narrow	!	!
narrower	!	!
narrowest	!	!
colder	previous	knife
cold	!	!
coldest	relevant	relevant
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	brake	brake
deep	late	late
deepest	washed	washed
deep	!	!
deeper	!	!
deepest	washed	washed
taller	tall,	tall,
tall	!	!
tallest	tall,	tall,
tall	late	late
taller	extant	openly
tallest	!	!
quicker	accurate	accurate
quick	!	!
quickest	oldest	posterior
quick	!	!
quicker	!	!
quickest	!	!
narrower	length	length
narrow	!	!
narrowest	posterior	posterior
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	else	else
deep	water	water
deepest	farther	farther
deep	!	!
deeper	!	!
deepest	southeastern	southeastern
closer	accommodation	accommodation
close	detroit,	detroit,
closest	proximity	proximity
close	close	close
closer	close	close
closest	farther	farther
taller	wide,	wide,
tall	!	!
tallest	oldest	oldest
tall	tall	tall
taller	chancel	chancel
tallest	!	!
kinder	no	no
kind	!	!
kindest	biggest	biggest
kind	!	!
kinder	!	!
kindest	!	!
heavier	no	no
heavy	thick	thick
heaviest	largest	largest
heavy	!	!
heavier	!	!
heaviest	largest	largest
mightier	no	ear
mighty	!	!
mightiest	biggest	biggest
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
smarter	no	no
smart	!	!
smartest	largest	biggest
smart	!	!
smarter	!	!
smartest	!	!
milder	humid	humid
mild	!	!
mildest	precipitation	precipitation
mild	!	!
milder	!	!
mildest	!	!
weaker	finite	molecular
weak	!	!
weakest	most	most
weak	!	!
weaker	!	!
weakest	!	!
friendlier	decades.	decades.
friendly	!	!
friendliest	voted	(5
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	!	!
lively	!	!
liveliest	!	!
lively	!	!
livelier	!	!
liveliest	!	!
younger	hung	hung
young	young	young
youngest	promising	promising
young	crazy	crazy
younger	kenneth	kenneth
youngest	young	young
clearer	less	less
clear	!	!
clearest	!	!
clear	handful	handful
clearer	less	less
clearest	!	!
friendlier	balanced	balanced
friendly	!	!
friendliest	!	!
friendly	handful	handful
friendlier	less	less
friendliest	!	!
cleaner	less	less
clean	!	!
cleanest	!	!
clean	handful	handful
cleaner	less	less
cleanest	!	!
stronger	powerful	powerful
strong	very	very
strongest	!	!
strong	several	several
stronger	inferior	inferior
strongest	!	!
freer	cent	cent
free	!	!
freest	!	!
free	handful	handful
freer	less	less
freest	!	!
tougher	passive	passive
tough	!	!
toughest	longest	#1
tough	!	!
tougher	!	!
toughest	!	!
funnier	!	!
funny	!	!
funniest	!	!
funny	!	!
funnier	!	!
funniest	!	!
nicer	me.	me.
nice	!	!
nicest	largest	residency
nice	!	!
nicer	!	!
nicest	!	!
greater	greater	greater
great	great	great
greatest	greatest	greatest
great	great	great
greater	gradual	gradual
greatest	greatest	greatest
bolder	harder	mathematical
bold	!	!
boldest	largest	lowest
bold	!	!
bolder	!	!
boldest	!	!
poorer	harder	harder
poor	!	!
poorest	youngest	youngest
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	really	really
long	still	still
longest	longest	longest
long	short	short
longer	intense	intense
longest	longest	longest
harder	harder	harder
hard	tremendous	every
hardest	harder	harder
hard	!	!
harder	!	!
hardest	biggest	biggest
wiser	chandra	easier
wise	!	!
wisest	youngest	youngest
wise	!	!
wiser	!	!
wisest	!	!
earlier	late	late
early	early	early
earliest	late	late
early	sleep	sleep
earlier	prehistoric	prehistoric
earliest	extant	extant
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
darker	hindwings	hindwings
dark	pale	fuselage
darkest	hindwings	hindwings
dark	!	!
darker	!	!
darkest	dorsal	dorsal
quicker	harder	harder
quick	!	!
quickest	differential	differential
quick	!	!
quicker	!	!
quickest	!	!
brighter	yellow	colony
bright	!	!
brightest	hindwings	colony
bright	!	!
brighter	!	!
brightest	!	!
cheaper	purely	purely
cheap	efficient	efficient
cheapest	!	!
cheap	narrow	narrow
cheaper	wider	wider
cheapest	!	!
higher	higher	higher
high	lower	lower
highest	!	!
high	lowest	lowest
higher	higher	higher
highest	!	!
fairer	festival	institute
fair	!	!
fairest	!	!
fair	narrow	narrow
fairer	wider	wider
fairest	!	!
wiser	shiva	shiva
wise	!	!
wisest	!	!
wise	narrow	narrow
wiser	wider	wider
wisest	!	!
taller	wonder	wonder
tall	!	!
tallest	!	!
tall	narrow	narrow
taller	temperate	temperate
tallest	!	!
poorer	cheaper	cheaper
poor	!	!
poorest	!	!
poor	harder	harder
poorer	easier	easier
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	harder	harder
messier	easier	easier
messiest	!	!
busier	easier	encoded
busy	!	!
busiest	!	!
busy	harder	harder
busier	easier	easier
busiest	!	!
taller	tall,	tallest
tall	!	!
tallest	!	!
tall	metal	metal
taller	difficult	difficult
tallest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	harder	harder
trickier	easier	easier
trickiest	!	!
higher	!	!
high	lower	lower
highest	!	!
high	lowest	low
higher	lowest	lowest
highest	lower	lower
slower	!	!
slow	faster	difficult
slowest	!	!
slow	dirty	dirty
slower	!	!
slowest	faster	faster
smarter	!	!
smart	dirty	dirty
smartest	!	!
smart	dirty	dirty
smarter	!	!
smartest	!	!
older	!	!
old	young	young
oldest	!	!
old	dirty	dirty
older	tallest	tallest
oldest	younger	younger
stronger	!	!
strong	difficult	difficult
strongest	!	!
strong	difficult	difficult
stronger	largest	largest
strongest	intense	intense
cheaper	!	!
cheap	harder	difficult
cheapest	!	!
cheap	comfortable	comfortable
cheaper	!	!
cheapest	harder	harder
classier	!	!
classy	comfortable	comfortable
classiest	!	!
classy	comfortable	comfortable
classier	!	!
classiest	!	!
bloodier	!	!
bloody	comfortable	comfortable
bloodiest	!	!
bloody	comfortable	comfortable
bloodier	!	!
bloodiest	!	!
wilder	!	!
wild	comfortable	comfortable
wildest	!	!
wild	comfortable	comfortable
wilder	!	!
wildest	!	!
easier	!	!
easy	harder	difficult
easiest	!	!
easy	comfortable	comfortable
easier	!	!
easiest	harder	harder
rougher	realistic	realistic
rough	!	!
roughest	!	!
rough	shallow	shallow
rougher	humid	humid
roughest	!	!
fresher	waste	waste
fresh	!	!
freshest	!	!
fresh	shallow	shallow
fresher	humid	humid
freshest	!	!
harsher	realistic	realistic
harsh	!	!
harshest	!	!
harsh	shallow	shallow
harsher	humid	humid
harshest	!	!
luckier	best	best
lucky	!	!
luckiest	!	!
lucky	shallow	shallow
luckier	humid	humid
luckiest	!	!
taller	century	century
tall	!	!
tallest	!	!
tall	ceiling	ceiling
taller	humid	water
tallest	!	!
fatter	admired	admired
fat	!	!
fattest	!	!
fat	broad	broad
fatter	broader	broader
fattest	!	!
smoother	demon	demon
smooth	!	!
smoothest	!	!
smooth	broad	broad
smoother	broader	broader
smoothest	!	!
fresher	demon	demon
fresh	!	!
freshest	!	!
fresh	broad	broad
fresher	broader	broader
freshest	!	!
shorter	shorter	shorter
short	wide,	short
shortest	!	!
short	broad	broad
shorter	broader	broader
shortest	!	!
cleaner	rights	rights
clean	!	!
cleanest	!	!
clean	broad	broad
cleaner	broader	broader
cleanest	!	!
fuller	slower	slower
full	!	!
fullest	!	!
full	products	products
fuller	harder	harder
fullest	!	!
firmer	firms	firms
firm	!	!
firmest	!	!
firm	products	products
firmer	harder	harder
firmest	!	!
better	better	better
good	good	good
best	!	!
good	good	good
better	better	better
best	!	!
mightier	loved	loved
mighty	!	!
mightiest	!	!
mighty	products	products
mightier	harder	harder
mightiest	!	!
longer	long,	long,
long	still	still
longest	!	!
long	largest	typical
longer	commercially	indirect
longest	!	!
greener	forth	forth
green	!	!
greenest	blue	black
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	positive	positive
nice	!	!
nicest	looks	looks
nice	!	!
nicer	!	!
nicest	!	!
slicker	!	!
slick	!	!
slickest	!	!
slick	!	!
slicker	!	!
slickest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	!	!
sad	!	!
saddest	!	!
sad	fast	fast
sadder	faster	faster
saddest	!	!
swifter	peters	peters
swift	!	!
swiftest	!	!
swift	fast	fast
swifter	faster	faster
swiftest	!	!
nicer	easier	jail
nice	!	!
nicest	!	!
nice	fast	fast
nicer	faster	faster
nicest	!	!
softer	manchester,	manchester,
soft	!	!
softest	!	!
soft	fast	fast
softer	faster	faster
softest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	fast	fast
trickier	faster	faster
trickiest	!	!
greener	olive	olive
green	!	!
greenest	!	!
green	"new	"new
greener	os	os
greenest	!	!
clearer	obvious	obvious
clear	!	!
clearest	!	!
clear	"new	"new
clearer	os	os
clearest	!	!
healthier	infection	infection
healthy	!	!
healthiest	!	!
healthy	"new	"new
healthier	os	os
healthiest	!	!
faster	heating	reported.
fastest	slower	volunteer
fast	!	!
fastest	simplified	small
faster	compression	compression
fast	!	!
freer	mechanisms	anterior
free	!	!
freest	!	!
free	"new	"new
freer	os	os
freest	!	!
meaner	manufactured	manufactured
mean	!	!
meanest	!	!
mean	shorter	shorter
meaner	longer	longer
meanest	!	!
firmer	manufactured	manufactured
firm	!	!
firmest	!	!
firm	shorter	shorter
firmer	longer	longer
firmest	!	!
bigger	windows	windows
big	small	cleared
biggest	!	!
big	small	small
bigger	largest	largest
biggest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	shorter	shorter
trickier	longer	longer
trickiest	!	!
deeper	heavier	heavier
deep	screenplay	tremendous
deepest	!	!
deep	shorter	shorter
deeper	longer	longer
deepest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	light,	light,
gentler	darker	darker
gentlest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	light,	light,
costlier	darker	darker
costliest	!	!
lower	lower	lower
low	low	low
lowest	!	!
low	low	low
lower	highest	darker
lowest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	light,	light,
fancier	darker	darker
fanciest	!	!
cleaner	artists.	artists.
clean	!	!
cleanest	!	!
clean	light,	light,
cleaner	darker	darker
cleanest	!	!
steadier	!	!
steady	nervous	nervous
steadiest	!	!
steady	nervous	nervous
steadier	!	!
steadiest	!	!
poorer	!	!
poor	nervous	nervous
poorest	!	!
poor	nervous	nervous
poorer	!	!
poorest	!	!
faster	!	!
fastest	passive	passive
fast	!	!
fastest	slow	efficient
faster	slow	slow
fast	slower	slower
cleaner	!	!
clean	nervous	nervous
cleanest	!	!
clean	nervous	nervous
cleaner	!	!
cleanest	!	!
softer	!	!
soft	nervous	nervous
softest	!	!
soft	nervous	nervous
softer	!	!
softest	!	!
richer	!	!
rich	security.	security.
richest	!	!
rich	security.	security.
richer	!	!
richest	!	!
lighter	!	!
light	heating	automotive
lightest	!	!
light	security.	security.
lighter	!	!
lightest	darker	darker
simpler	!	!
simple	security.	security.
simplest	!	!
simple	security.	security.
simpler	!	!
simplest	!	!
messier	!	!
messy	security.	security.
messiest	!	!
messy	security.	security.
messier	!	!
messiest	!	!
friendlier	!	!
friendly	security.	security.
friendliest	!	!
friendly	security.	security.
friendlier	!	!
friendliest	!	!
higher	!	!
high	lower	specific
highest	!	!
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
stickier	!	!
sticky	enforce	enforce
stickiest	!	!
sticky	enforce	enforce
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	enforce	enforce
priciest	!	!
pricey	enforce	enforce
pricier	!	!
priciest	!	!
greater	!	!
great	reasonable	reasonable
greatest	!	!
great	great	great
greater	biggest	biggest
greatest	wider	wider
busier	!	!
busy	enforce	enforce
busiest	!	!
busy	enforce	enforce
busier	!	!
busiest	!	!
tougher	!	!
tough	severe	severe
toughest	!	!
tough	severe	severe
tougher	!	!
toughest	!	!
stricter	!	!
strict	severe	severe
strictest	!	!
strict	severe	severe
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	severe	severe
stiffest	!	!
stiff	severe	severe
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	severe	severe
riskiest	!	!
risky	severe	severe
riskier	!	!
riskiest	!	!
stronger	!	!
strong	protective	protective
strongest	!	!
strong	severe	discrimination
stronger	largest	largest
strongest	intense	intense
classier	!	!
classy	linebacker	linebacker
classiest	!	!
classy	linebacker	linebacker
classier	!	!
classiest	!	!
gentler	!	!
gentle	linebacker	linebacker
gentlest	!	!
gentle	linebacker	linebacker
gentler	!	!
gentlest	!	!
leaner	!	!
lean	linebacker	linebacker
leanest	!	!
lean	linebacker	linebacker
leaner	!	!
leanest	!	!
bigger	!	!
big	small	small
biggest	!	!
big	small	small
bigger	largest	largest
biggest	larger	larger
luckier	!	!
lucky	linebacker	linebacker
luckiest	!	!
lucky	linebacker	linebacker
luckier	!	!
luckiest	!	!
warmer	!	!
warm	generalized	generalized
warmest	!	!
warm	generalized	generalized
warmer	!	!
warmest	!	!
slimmer	!	!
slim	generalized	generalized
slimmest	!	!
slim	generalized	generalized
slimmer	!	!
slimmest	!	!
rougher	!	!
rough	generalized	generalized
roughest	!	!
rough	generalized	generalized
rougher	!	!
roughest	!	!
harder	!	!
hard	complicated	complicated
hardest	!	!
hard	generalized	generalized
harder	!	!
hardest	easier	easier
closer	!	!
close	small	direct
closest	!	!
close	wireless	direct
closer	nearest	nearest
closest	farther	farther
greener	!	!
green	good	good
greenest	!	!
green	good	good
greener	!	!
greenest	!	!
kinder	!	!
kind	good	good
kindest	!	!
kind	good	good
kinder	!	!
kindest	!	!
sadder	!	!
sad	good	good
saddest	!	!
sad	good	good
sadder	!	!
saddest	!	!
quicker	!	!
quick	good	good
quickest	!	!
quick	good	good
quicker	!	!
quickest	!	!
stiffer	!	!
stiff	good	good
stiffest	!	!
stiff	good	good
stiffer	!	!
stiffest	!	!
weaker	!	!
weak	obvious	obvious
weakest	!	!
weak	obvious	obvious
weaker	!	!
weakest	!	!
slicker	!	!
slick	obvious	obvious
slickest	!	!
slick	obvious	obvious
slicker	!	!
slickest	!	!
closer	!	!
close	direct	direct
closest	!	!
close	true	true
closer	nearest	nearest
closest	farther	farther
older	!	!
old	obvious	obvious
oldest	!	!
old	obvious	obvious
older	tallest	tallest
oldest	younger	younger
wiser	!	!
wise	obvious	obvious
wisest	!	!
wise	obvious	obvious
wiser	!	!
wisest	!	!
cheaper	!	!
cheap	harder	harder
cheapest	!	!
cheap	fast	fast
cheaper	!	!
cheapest	harder	harder
simpler	!	!
simple	fast	fast
simplest	!	!
simple	fast	fast
simpler	!	!
simplest	!	!
fresher	!	!
fresh	fast	fast
freshest	!	!
fresh	fast	fast
fresher	!	!
freshest	!	!
bolder	!	!
bold	fast	fast
boldest	!	!
bold	fast	fast
bolder	!	!
boldest	!	!
cleaner	!	!
clean	fast	fast
cleanest	!	!
clean	fast	fast
cleaner	!	!
cleanest	!	!
poorer	average,	average,
poor	!	!
poorest	!	!
poor	light	light
poorer	lighter	lighter
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	light	light
messier	lighter	lighter
messiest	!	!
narrower	broad	broad
narrow	!	!
narrowest	!	!
narrow	light	light
narrower	lighter	lighter
narrowest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	light	light
noisier	lighter	lighter
noisiest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	light	light
riskier	lighter	lighter
riskiest	!	!
steadier	!	!
steady	kid	kid
steadiest	!	!
steady	kid	kid
steadier	!	!
steadiest	!	!
swifter	!	!
swift	kid	kid
swiftest	!	!
swift	kid	kid
swifter	!	!
swiftest	!	!
tougher	!	!
tough	kid	kid
toughest	!	!
tough	kid	kid
tougher	!	!
toughest	!	!
meaner	!	!
mean	kid	kid
meanest	!	!
mean	kid	kid
meaner	!	!
meanest	!	!
smoother	!	!
smooth	kid	kid
smoothest	!	!
smooth	kid	kid
smoother	!	!
smoothest	!	!
milder	!	!
mild	pleased	pleased
mildest	!	!
mild	pleased	pleased
milder	!	!
mildest	!	!
earlier	!	!
early	better	better
earliest	!	!
early	alien	alien
earlier	first	first
earliest	previous	previous
tastier	!	!
tasty	pleased	pleased
tastiest	!	!
tasty	pleased	pleased
tastier	!	!
tastiest	!	!
faster	!	!
fastest	better	better
fast	!	!
fastest	food	food
faster	slow	slow
fast	slower	slower
greater	!	!
great	wider	wider
greatest	!	!
great	great	great
greater	biggest	biggest
greatest	wider	wider
richer	fertile	fertile
rich	!	!
richest	!	!
rich	pale	pale
richer	hindwings	hindwings
richest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	pale	pale
tastier	hindwings	hindwings
tastiest	!	!
thinner	dense	dense
thin	!	!
thinnest	!	!
thin	pale	pale
thinner	hindwings	hindwings
thinnest	!	!
rougher	spatial	spatial
rough	!	!
roughest	!	!
rough	pale	pale
rougher	hindwings	hindwings
roughest	!	!
luckier	jerry	jerry
lucky	!	!
luckiest	!	!
lucky	pale	pale
luckier	hindwings	hindwings
luckiest	!	!
tighter	!	!
tight	pale	pale
tightest	!	!
tight	pale	pale
tighter	!	!
tightest	!	!
kinder	!	!
kind	pale	pale
kindest	!	!
kind	pale	pale
kinder	!	!
kindest	!	!
swifter	!	!
swift	pale	pale
swiftest	!	!
swift	pale	pale
swifter	!	!
swiftest	!	!
messier	!	!
messy	pale	pale
messiest	!	!
messy	pale	pale
messier	!	!
messiest	!	!
deeper	!	!
deep	thin	thin
deepest	!	!
deep	pale	pale
deeper	!	!
deepest	humid	humid
lower	!	!
low	upper	upper
lowest	!	!
low	low	low
lower	highest	highest
lowest	upper	upper
costlier	!	!
costly	temperate	temperate
costliest	!	!
costly	temperate	temperate
costlier	!	!
costliest	!	!
narrower	!	!
narrow	temperate	temperate
narrowest	!	!
narrow	temperate	temperate
narrower	!	!
narrowest	!	!
leaner	!	!
lean	temperate	temperate
leanest	!	!
lean	temperate	temperate
leaner	!	!
leanest	!	!
younger	!	!
young	cold	cold
youngest	!	!
young	cold	cold
younger	oldest	oldest
youngest	young	young
smaller	large	large
small	larger	larger
smallest	large	large
small	largest	largest
smaller	largest	largest
smallest	larger	larger
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
mightier	loved	loved
mighty	!	!
mightiest	loved	loved
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
fancier	!	!
fancy	!	!
fanciest	!	!
fancy	!	!
fancier	!	!
fanciest	!	!
kinder	!	!
kind	touch	touch
kindest	!	!
kind	touch	touch
kinder	!	!
kindest	!	!
wider	!	!
wide	broader	broader
widest	!	!
wide	touch	touch
wider	!	!
widest	broader	broader
pricier	!	!
pricey	touch	touch
priciest	!	!
pricey	touch	touch
pricier	!	!
priciest	!	!
firmer	!	!
firm	touch	touch
firmest	!	!
firm	touch	touch
firmer	!	!
firmest	!	!
brighter	!	!
bright	touch	touch
brightest	!	!
bright	touch	touch
brighter	!	!
brightest	!	!
steadier	!	!
steady	broad	broad
steadiest	!	!
steady	broad	broad
steadier	!	!
steadiest	!	!
classier	!	!
classy	broad	broad
classiest	!	!
classy	broad	broad
classier	!	!
classiest	!	!
sadder	!	!
sad	broad	broad
saddest	!	!
sad	broad	broad
sadder	!	!
saddest	!	!
meaner	!	!
mean	broad	broad
meanest	!	!
mean	broad	broad
meaner	!	!
meanest	!	!
faster	!	!
fastest	horizontal	horizontal
fast	!	!
fastest	small	small
faster	slow	slow
fast	slower	slower
louder	flesh	flesh
loud	!	!
loudest	flesh	flesh
loud	!	!
louder	!	!
loudest	!	!
newer	"new	"new
new	os	os
newest	"new	"new
new	!	!
newer	!	!
newest	os	os
bloodier	decisive	decisive
bloody	!	!
bloodiest	decisive	decisive
bloody	!	!
bloodier	!	!
bloodiest	!	!
younger	younger	younger
young	young	young
youngest	younger	younger
young	oldest	oldest
younger	oldest	oldest
youngest	young	young
closer	proximity	proximity
close	farther	farther
closest	proximity	proximity
close	nearest	nearest
closer	nearest	nearest
closest	farther	farther
clearer	!	!
clear	guaranteed	guaranteed
clearest	!	!
clear	guaranteed	guaranteed
clearer	!	!
clearest	!	!
richer	!	!
rich	guaranteed	guaranteed
richest	!	!
rich	guaranteed	guaranteed
richer	!	!
richest	!	!
meaner	!	!
mean	guaranteed	guaranteed
meanest	!	!
mean	guaranteed	guaranteed
meaner	!	!
meanest	!	!
older	!	!
old	budget	budget
oldest	!	!
old	explicit	explicit
older	tallest	tallest
oldest	younger	younger
deeper	!	!
deep	exposed	exposed
deepest	!	!
deep	guaranteed	guaranteed
deeper	!	!
deepest	humid	humid
tastier	!	!
tasty	tall,	tall,
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	oldest	oldest
weaker	!	!
weak	tall,	tall,
weakest	subfamily	finite
weak	!	!
weaker	!	!
weakest	oldest	oldest
sadder	!	!
sad	tall,	tall,
saddest	!	!
sad	!	!
sadder	!	!
saddest	oldest	oldest
better	!	!
good	worse	worse
best	smallest	smallest
good	bet	bet
better	!	!
best	worse	worse
stronger	!	!
strong	curved	curved
strongest	significant	significant
strong	lifelong	lifelong
stronger	!	!
strongest	strongest	perceived
lighter	!	!
light	darker	darker
lightest	!	!
light	warm	warm
lighter	!	!
lightest	darker	darker
wilder	!	!
wild	warm	warm
wildest	!	!
wild	warm	warm
wilder	!	!
wildest	!	!
prettier	!	!
pretty	warm	warm
prettiest	!	!
pretty	warm	warm
prettier	!	!
prettiest	!	!
heavier	!	!
heavy	darker	darker
heaviest	!	!
heavy	warm	warm
heavier	!	!
heaviest	lighter	lighter
deeper	!	!
deep	warm	cold
deepest	!	!
deep	warm	warm
deeper	!	!
deepest	humid	humid
newer	!	!
new	synthetic	synthetic
newest	!	!
new	thick	thick
newer	!	!
newest	os	os
bloodier	!	!
bloody	thick	thick
bloodiest	!	!
bloody	thick	thick
bloodier	!	!
bloodiest	!	!
prettier	!	!
pretty	thick	thick
prettiest	!	!
pretty	thick	thick
prettier	!	!
prettiest	!	!
softer	!	!
soft	thick	thick
softest	!	!
soft	thick	thick
softer	!	!
softest	!	!
taller	!	!
tall	thick	thick
tallest	!	!
tall	thick	smooth
taller	oldest	oldest
tallest	!	!
newer	"new	"new
new	os	os
newest	"new	"new
new	!	!
newer	!	!
newest	os	os
weaker	nervous	nervous
weak	!	!
weakest	nervous	nervous
weak	!	!
weaker	!	!
weakest	!	!
longer	long,	long,
long	no	no
longest	long,	long,
long	largest	largest
longer	largest	largest
longest	no	no
smarter	wii	wii
smart	!	!
smartest	wii	wii
smart	!	!
smarter	!	!
smartest	!	!
riskier	!	!
risky	!	!
riskiest	!	!
risky	!	!
riskier	!	!
riskiest	!	!
thicker	!	!
thick	noble	noble
thickest	!	!
thick	noble	noble
thicker	!	!
thickest	!	!
bloodier	!	!
bloody	noble	noble
bloodiest	!	!
bloody	noble	noble
bloodier	!	!
bloodiest	!	!
happier	!	!
happy	noble	noble
happiest	!	!
happy	noble	noble
happier	!	!
happiest	!	!
sharper	!	!
sharp	noble	noble
sharpest	!	!
sharp	noble	noble
sharper	!	!
sharpest	!	!
stronger	!	!
strong	protective	protective
strongest	!	!
