rougher	denser	denser
nicer	paris	sharper
nice	!align="right	!align="right
nicest	richest	arles
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
broader	wider	wider
broad	broad	broad
broadest	widest	widest
broad	!align="right	!align="right
broader	!align="right	!align="right
broadest	broad	widest
savvier	!align="right	!align="right
savvy	!align="right	!align="right
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	!align="right	!align="right
greater	greater	greater
great	considerable	considerable
greatest	greatest	greatest
great	large	significant
greater	bigger	significant
greatest	highest	highest
wilder	larger	larger
wild	chaney	wynne
wildest	darkest	darkest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	darkest	darkest
smoother	thicker	thicker
smooth	smooth	smooth
smoothest	yellowish	yellowish
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	smooth	soulful
mightier	thicker	thicker
mighty	!align="right	!align="right
mightiest	avengers	seth
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	harder	significantly
lean	!align="right	!align="right
leanest	distal	distal
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
cleaner	cleaner	cleaner
clean	clean	gentle
cleanest	cheapest	cheapest
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	superficially	superficially
narrower	broad	broad
narrow	narrow	narrow
narrowest	broad	broad
narrow	late	late
narrower	narrow	narrower
narrowest	oldest	densely
colder	colder	colder
cold	late	temperatures
coldest	colder	colder
cold	late	late
colder	driest	wettest
coldest	humid	humid
noisier	previous	previous
noisy	!align="right	!align="right
noisiest	oldest	finer
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	deeper	deepest
deep	late	mid
deeper	previous	previous
deepest	deepest	deepest
taller	taller	taller
tall	late	late
tallest	oldest	oldest
tall	late	late
taller	tower	tower
tallest	tallest	tallest
quicker	rapid	rapid
quick	patient	patient
quickest	quickest	quickest
quick	clockwork	clockwork
quicker	faster	faster
quickest	quickest	quickest
narrower	narrower	narrower
narrow	broad	broad
narrowest	narrowest	narrowest
narrow	narrow	emerging
narrower	narrower	narrower
narrowest	narrowest	narrowest
deeper	deeper	deeper
deep	deep	deep
deepest	deepest	deepest
deep	deep	brooding
deeper	deeper	deeper
deepest	deep	deepest
closer	closer	closest
close	close	close
closest	closest	closest
close	close	close
closer	older	closer
closest	closest	closest
taller	taller	taller
tall	tall	tall
tallest	oldest	oldest
tall	tall	tall
taller	taller	taller
tallest	tallest	tallest
kinder	sort	sort
kind	nice	morris
kindest	sort	sort
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	largest	largest
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	heaviest	heaviest
heavy	heavy	heavy
heavier	heavier	heavier
heaviest	heaviest	heaviest
mightier	elf	elf
mighty	!align="right	!align="right
mightiest	strongest	strongest
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	still	healthier
lean	!align="right	!align="right
leanest	oldest	strongest
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
smarter	phones	phones
smart	roaming	stacy
smartest	oldest	oldest
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	most-watched	best-known
milder	milder	milder
mild	lazy	lazy
mildest	strongest	finest
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	best	coldest
weaker	weaker	weaker
weak	strong	strong
weakest	strongest	strongest
weak	good	good
weaker	weaker	weaker
weakest	strongest	strongest
friendlier	cheaper	cheaper
friendly	!align="right	!align="right
friendliest	strongest	strongest
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
livelier	texture	texture
lively	!align="right	!align="right
liveliest	finest	finest
lively	!align="right	!align="right
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
younger	younger	younger
young	young	young
youngest	best	innovators
young	younger	younger
younger	eldest	younger
youngest	youngest	youngest
clearer	less	obvious
clear	handful	glimpse
clearest	obvious	obvious
clear	!align="right	!align="right
clearer	!align="right	!align="right
clearest	glimpse	glimpse
friendlier	less	improved
friendly	!align="right	!align="right
friendliest	goals	goals
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
cleaner	less	less
clean	handful	handful
cleanest	innovative	innovative
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	starch	starch
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
freer	unrestricted	unrestricted
free	handful	couple
freest	unrestricted	unrestricted
free	!align="right	!align="right
freer	!align="right	!align="right
freest	manners	manners
tougher	stronger	stronger
tough	tough	tough
toughest	largest	strongest
tough	pac-12	pac-12
tougher	larger	larger
toughest	strongest	strongest
funnier	humorous	humorous
funny	!align="right	!align="right
funniest	largest	hilarious
funny	scary	scary
funnier	larger	faster
funniest	!align="right	!align="right
nicer	larger	stronger
nice	!align="right	!align="right
nicest	largest	greatest
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
greater	greater	greater
great	great	great
greatest	greatest	greatest
great	great	great
greater	greater	greater
greatest	greatest	greatest
bolder	larger	stronger
bold	!align="right	!align="right
boldest	largest	highest
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	healthy	healthy
poorer	richer	richer
poorest	poor	poor
messier	complicated	complicated
messy	mcmanus	mcmanus
messiest	biggest	biggest
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	comets	comets
longer	shorter	shorter
long	long	long
longest	longest	longest
long	long	long
longer	shorter	shorter
longest	longest	longest
harder	harder	harder
hard	hard	hard
hardest	hardest	hardest
hard	tough	tough
harder	harder	harder
hardest	hard	hard
wiser	invincible	invincible
wise	!align="right	!align="right
wisest	wealthiest	wealthiest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
earlier	late	late
early	previous	early
earliest	late	earliest
early	early	early
earlier	neolithic	neolithic
earliest	previous	previous
sadder	happier	goodbye
sad	!align="right	!align="right
saddest	sadness	sadness
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
darker	darker	darker
dark	dark	dark
darkest	darker	darker
dark	warm	warm
darker	darker	darker
darkest	suffusion	basal
quicker	slow	quicker
quick	faster	slower
quickest	rapid	manipulation
quick	barrichello	barrichello
quicker	quicker	quicker
quickest	nearest	fastest
brighter	darker	darker
bright	bright	bright
brightest	brightest	brightest
bright	bright	episodic
brighter	brighter	degeneres
brightest	nearest	nearest
cheaper	quieter	quieter
cheap	fragrant	price
cheapest	!align="right	!align="right
cheap	wide	wide
cheaper	wider	wider
cheapest	!align="right	!align="right
higher	higher	higher
high	high	high
highest	!align="right	!align="right
high	lowest	lowest
higher	wider	wider
highest	!align="right	!align="right
fairer	equitable	equitable
fair	!align="right	!align="right
fairest	!align="right	!align="right
fair	wide	wide
fairer	wider	wider
fairest	!align="right	!align="right
wiser	respectful	loving
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	wide	wide
wiser	wider	wider
wisest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	!align="right	!align="right
tall	wide	wide
taller	wider	wider
tallest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	floppy	floppy
poorer	softer	softer
poorest	poor	poor
messier	complicated	complicated
messy	at-bats	at-bats
messiest	bizarre	bizarre
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	moncton	moncton
busier	happier	happier
busy	!align="right	!align="right
busiest	busiest	busiest
busy	parking	parking
busier	easier	easier
busiest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	slender	slender
tall	bracts	bracts
taller	rarer	rarer
tallest	tall	tall
trickier	complicated	complicated
tricky	!align="right	!align="right
trickiest	easternmost	easternmost
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
higher	higher	higher
high	high	high
highest	highest	highest
high	lowest	lowest
higher	lowest	higher
highest	highest	highest
slower	faster	faster
slow	slow	slow
slowest	faster	heaviest
slow	!align="right	!align="right
slower	!align="right	!align="right
slowest	faster	fastest
smarter	smarter	integrated
smart	ugly	ugly
smartest	fastest-growing	fastest-growing
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	fastest-growing	inform
older	older	ancient
old	younger	younger
oldest	older	existing
old	youngest	financially
older	youngest	well-preserved
oldest	oldest	oldest
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	weaker
strongest	strong	strong
cheaper	cheaper	cheaper
cheap	cheap	cheap
cheapest	cheapest	cheapest
cheap	clean	plentiful
cheaper	cheaper	cheaper
cheapest	cheapest	cheapest
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
bloodier	uprisings	uprisings
bloody	!align="right	!align="right
bloodiest	uprisings	uprisings
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
wilder	deer	deer
wild	daniels	daniels
wildest	amphibians	amphibians
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	strongest	re-elected
easier	easier	easier
easy	easy	easy
easiest	easiest	easiest
easy	easy	easy
easier	easier	easier
easiest	easy	easiest
rougher	smoother	better
rough	!align="right	!align="right
roughest	northernmost	northernmost
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
fresher	dried	dried
fresh	!align="right	!align="right
freshest	vegetables	vegetables
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
harsher	harsher	harsher
harsh	harsh	harsh
harshest	harsher	harsher
harsh	!align="right	!align="right
harsher	!align="right	!align="right
harshest	harsh	extreme
luckier	closer	closer
lucky	!align="right	!align="right
luckiest	hottest	hottest
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	tallest	tallest
tall	tall	tall
taller	stronger	stronger
tallest	tallest	tallest
fatter	carbohydrate	carbohydrate
fat	!align="right	!align="right
fattest	carbohydrate	carbohydrate
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
smoother	smoother	smoother
smooth	smooth	smooth
smoothest	smoother	smoother
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	optimal	optimal
fresher	deeper	flavour
fresh	!align="right	!align="right
freshest	meat	meat
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
shorter	shorter	shorter
short	long	long
shortest	shorter	longest
short	long	long
shorter	shorter	shorter
shortest	shortest	shortest
cleaner	quieter	quieter
clean	receiver	receiver
cleanest	cleaner	cleaner
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	cost-effective	imdb
fuller	fully	fully
full	bourne	bourne
fullest	fully	fully
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	mcmillan	mcmillan
firmer	company	company
firm	!align="right	!align="right
firmest	company	company
firm	!align="right	!align="right
firmer	!align="right	!align="right
firmest	!align="right	!align="right
better	better	better
good	good	good
best	excellent	excellent
good	good	good
better	better	better
best	best	best
mightier	weathering	weathering
mighty	!align="right	!align="right
mightiest	ninth	ninth
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
longer	shorter	shorter
long	still	still
longest	longest	longest
long	long	discrimination
longer	shorter	shorter
longest	longest	longest
greener	red	hue
green	!align="right	!align="right
greenest	brown	brown
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
nicer	smoother	smoother
nice	!align="right	!align="right
nicest	quick	quick
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
slicker	smooth	smooth
slick	!align="right	!align="right
slickest	smooth	smooth
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
noisier	smoother	smoother
noisy	!align="right	!align="right
noisiest	slow	slow
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
sadder	happy	happy
sad	!align="right	!align="right
saddest	!align="right	!align="right
sad	fast	fast
sadder	faster	faster
saddest	!align="right	!align="right
swifter	adams	adams
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	fast	fast
swifter	faster	faster
swiftest	!align="right	!align="right
nicer	richer	richer
nice	!align="right	!align="right
nicest	!align="right	!align="right
nice	fast	fast
nicer	faster	faster
nicest	!align="right	!align="right
softer	thinner	thinner
soft	soft	harsh
softest	!align="right	!align="right
soft	fast	fast
softer	faster	faster
softest	!align="right	!align="right
trickier	seconds	seconds
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	fast	fast
trickier	faster	faster
trickiest	!align="right	!align="right
greener	blue	reddish
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
clearer	obvious	obvious
clear	clear	dutchess
clearest	obvious	obvious
clear	!align="right	!align="right
clearer	!align="right	!align="right
clearest	highest-grossing	highest-grossing
healthier	steeper	steeper
healthy	york	york
healthiest	wellbeing	enjoyable
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	happier	happier
faster	faster	faster
fastest	quicker	york
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	slow	slow
fast	fast	fast
freer	tags	tags
free	york	york
freest	tutorials	tutorials
free	!align="right	!align="right
freer	!align="right	!align="right
freest	100th	100th
meaner	better	better
mean	!align="right	!align="right
meanest	denote	infer
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
firmer	firms	firms
firm	!align="right	!align="right
firmest	company	company
firm	!align="right	!align="right
firmer	!align="right	!align="right
firmest	!align="right	!align="right
bigger	bigger	bigger
big	big	big
biggest	biggest	biggest
big	largest	large
bigger	largest	bigger
biggest	biggest	biggest
trickier	simpler	simpler
tricky	!align="right	!align="right
trickiest	endpoints	endpoints
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	deeper	deeper
deep	deep	deep
deeper	deep	deep
deepest	deep	deepening
gentler	thinner	thinner
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	heavy	heavy
gentler	heavier	heavier
gentlest	!align="right	!align="right
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	heavy	heavy
costlier	heavier	heavier
costliest	!align="right	!align="right
lower	lower	lower
low	upper	upper
lowest	!align="right	!align="right
low	highest	highest
lower	highest	lower
lowest	!align="right	!align="right
fancier	volvo	volvo
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	heavy	heavy
fancier	heavier	heavier
fanciest	!align="right	!align="right
cleaner	thinner	thinner
clean	lighting	lighting
cleanest	!align="right	!align="right
clean	heavy	heavy
cleaner	heavier	heavier
cleanest	!align="right	!align="right
steadier	faster	faster
steady	!align="right	!align="right
steadiest	overboard	overboard
steady	!align="right	!align="right
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	poor	healthy
poorer	larger	protections
poorest	poor	poor
faster	fastest-growing	fastest-growing
fastest	slow	fast
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	slow	slow
fast	fast	fast
cleaner	safe	safe
clean	clean	clean
cleanest	safe	shaun
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	arad	arad
softer	softer	softer
soft	surfaces	surfaces
softest	reusable	footwear
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	braking	braking
richer	richer	richer
rich	concise	concise
richest	!align="right	!align="right
rich	healthy	healthy
richer	rich	rich
richest	!align="right	colspan=3|total
lighter	lamp	lamp
light	heavier	heavier
lightest	!align="right	!align="right
light	cleaning	cleaning
lighter	hotter	hotter
lightest	!align="right	colspan=3|total
simpler	simpler	simpler
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	simple
simpler	clean	clean
simplest	!align="right	!align="right
messier	rarer	rarer
messy	22.8	atoll
messiest	!align="right	!align="right
messy	cleaning	cleaning
messier	hotter	hotter
messiest	!align="right	colspan=3|total
friendlier	cheese	cheese
friendly	!align="right	colspan=3|total
friendliest	!align="right	!align="right
friendly	cleaning	cleaning
friendlier	hotter	hotter
friendliest	!align="right	!align="right
higher	higher	higher
high	high	high
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	higher
highest	!align="right	!align="right
stickier	coated	shoots
sticky	!align="right	!align="right
stickiest	!align="right	!align="right
sticky	stricter	stricter
stickier	regulations	regulations
stickiest	!align="right	!align="right
pricier	!align="right	!align="right
pricey	!align="right	!align="right
priciest	!align="right	!align="right
pricey	stricter	stricter
pricier	regulations	regulations
priciest	!align="right	!align="right
greater	huge	huge
great	reduced	reduced
greatest	!align="right	!align="right
great	tremendous	tremendous
greater	tremendous	tremendous
greatest	!align="right	!align="right
busier	tijuana	tijuana
busy	!align="right	!align="right
busiest	!align="right	colspan=3|total
busy	busy	busy
busier	regulations	regulations
busiest	!align="right	!align="right
tougher	easier	easier
tough	tough	stiff
toughest	!align="right	!align="right
tough	brutal	brutal
tougher	harsh	harsh
toughest	!align="right	!align="right
stricter	stricter	stricter
strict	strict	strict
strictest	!align="right	!align="right
strict	harsher	harsher
stricter	harsh	harsh
strictest	!align="right	!align="right
stiffer	paler	paler
stiff	!align="right	!align="right
stiffest	!align="right	!align="right
stiff	harsher	harsher
stiffer	harsh	harsh
stiffest	!align="right	!align="right
riskier	easier	easier
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	harsher	harsher
riskier	harsh	harsh
riskiest	!align="right	!align="right
stronger	stronger	stronger
strong	strong	strong
strongest	!align="right	!align="right
strong	strong	strong
stronger	stronger	stronger
strongest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	tighter	tighter
classier	tight	tight
classiest	!align="right	!align="right
gentler	playful	quieter
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	tighter	tighter
gentler	tight	tight
gentlest	!align="right	!align="right
leaner	rejecting	rejecting
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	tighter	tighter
leaner	tight	tight
leanest	!align="right	!align="right
bigger	bigger	bigger
big	big	big
biggest	!align="right	!align="right
big	big	big
bigger	largest	bigger
biggest	!align="right	!align="right
luckier	stronger	unjust
lucky	!align="right	!align="right
luckiest	!align="right	!align="right
lucky	tighter	tighter
luckier	tight	tight
luckiest	!align="right	!align="right
warmer	drier	drier
warm	warm	warm
warmest	warmest	warmest
warm	coldest	humid
warmer	wettest	wettest
warmest	cooler	driest
slimmer	flatter	patton
slim	!align="right	!align="right
slimmest	initiator	initiator
slim	!align="right	!align="right
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
rougher	smoother	smoother
rough	!align="right	!align="right
roughest	northernmost	northernmost
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
harder	harder	harder
hard	hard	hard
hardest	harder	harder
hard	thin	thin
harder	difficult	difficult
hardest	hardest	hardest
closer	closer	closer
close	close	close
closest	closest	closest
close	close	close
closer	closer	closer
closest	close	close
greener	yellow	yellow
green	!align="right	!align="right
greenest	yellow	yellow
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
kinder	sort	sort
kind	bad	bad
kindest	sort	kinds
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	emanuele	emanuele
sadder	kalisz	kalisz
sad	!align="right	!align="right
saddest	novi	novi
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
quicker	faster	faster
quick	improved	slow
quickest	fast	fast
quick	good	slow
quicker	quicker	quicker
quickest	safest	fastest
stiffer	underparts	polar
stiff	!align="right	!align="right
stiffest	snout	snout
stiff	!align="right	!align="right
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
weaker	weaker	weaker
weak	strong	strong
weakest	!align="right	!align="right
weak	solid	solid
weaker	better	better
weakest	!align="right	!align="right
slicker	flavor	flavor
slick	!align="right	!align="right
slickest	!align="right	!align="right
slick	obvious	obvious
slicker	darker	darker
slickest	!align="right	!align="right
closer	closer	closer
close	close	close
closest	!align="right	!align="right
close	close	close
closer	closer	closer
closest	!align="right	!align="right
older	older	older
old	earlier	earlier
oldest	!align="right	!align="right
old	earliest	earliest
older	earliest	better
oldest	!align="right	!align="right
wiser	visually	visually
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	obvious	obvious
wiser	darker	darker
wisest	!align="right	!align="right
cheaper	safest	safest
cheap	cheap	high-quality
cheapest	safest	safest
cheap	fast	convenient
cheaper	cheaper	cheaper
cheapest	cheapest	cheapest
simpler	simpler	simpler
simple	simple	simple
simplest	simpler	simpler
simple	simple	simple
simpler	modulo	modulo
simplest	simple	ecm
fresher	meat	meat
fresh	!align="right	!align="right
freshest	highest	highest
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
bolder	italics	italics
bold	!align="right	!align="right
boldest	highest	highest
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
cleaner	drinking	drinking
clean	clean	clean
cleanest	lowest	lowest
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	microphone	microphone
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	densely	poor
poorer	healthier	healthier
poorest	poor	poorest
messier	faster	faster
messy	evans	evans
messiest	rarest	asteraceae
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	sault	sault
narrower	narrower	narrower
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	narrow	narrow
narrower	narrow	narrow
narrowest	narrowest	narrowest
noisier	taller	taller
noisy	!align="right	!align="right
noisiest	yells	yells
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
riskier	healthier	healthier
risky	!align="right	!align="right
riskiest	easiest	easiest
risky	!align="right	!align="right
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
steadier	slower	slower
steady	!align="right	!align="right
steadiest	fastest	fastest
steady	!align="right	!align="right
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
swifter	quicker	quicker
swift	!align="right	!align="right
swiftest	largest	84th
swift	!align="right	!align="right
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
tougher	stronger	stronger
tough	tough	tough
toughest	toughest	toughest
tough	tough	tough
tougher	stronger	stronger
toughest	tallest	tallest
meaner	imply	imply
mean	!align="right	!align="right
meanest	variance	variance
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
smoother	smoother	smoother
smooth	textured	textured
smoothest	elliptic	elliptic
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	tallest	tallest
milder	humid	humid
mild	mild	mild
mildest	!align="right	!align="right
mild	happier	happier
milder	happy	happy
mildest	!align="right	!align="right
earlier	late	late
early	previous	later
earliest	!align="right	colspan=3|total
early	sad	sad
earlier	finest	finest
earliest	!align="right	!align="right
tastier	!align="right	!align="right
