rougher	cheaper	cheaper
nice	!align="right	!align="right
nicest	zrich	zrich
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
broader	wider	wider
broad	broad	broad
broadest	widest	widest
broad	!align="right	!align="right
broader	!align="right	!align="right
broadest	wider	widest
savvier	!align="right	!align="right
savvy	!align="right	!align="right
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	!align="right	!align="right
greater	greater	greater
great	considerable	considerable
greatest	greatest	greatest
great	large	significant
greater	larger	major
greatest	greatest	greatest
wilder	cutthroat	cutthroat
wild	wilson	moore
wildest	frog	garter
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	darkest	darkest
smoother	yellowish	yellowish
smooth	smooth	smooth
smoothest	upperside	upperside
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	soulful	soulful
mightier	warriors	shaman
mighty	!align="right	!align="right
mightiest	rogues	rogues
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	harder	colder
lean	!align="right	!align="right
leanest	oxidized	oxidized
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
cleaner	harder	larger
clean	chocolate	chocolate
cleanest	piped	piped
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	fragrant	fragrant
narrower	broad	broad
narrow	late	mid
narrowest	broad	broad
narrow	late	late
narrower	previous	leverkusen
narrowest	oldest	narrowest
colder	previous	colder
cold	late	mid
coldest	oldest	temperate
cold	late	late
colder	driest	driest
coldest	oldest	oldest
noisier	previous	previous
noisy	!align="right	!align="right
noisiest	oldest	oldest
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	deepest	deepest
deep	late	deep
deeper	previous	deep
deepest	deepest	deepest
taller	taller	millimeters
tall	late	late
tallest	oldest	oldest
tall	late	late
taller	previous	rikknen
tallest	oldest	tallest
quicker	rapid	faster
quick	unemployed	unemployed
quickest	quickest	quickest
quick	loose	loose
quicker	faster	faster
quickest	quickest	quickest
narrower	narrower	narrower
narrow	broad	broad
narrowest	narrowest	narrowest
narrow	ventral	mormons
narrower	older	older
narrowest	narrow	narrowest
deeper	deeper	deeper
deep	deep	deep
deepest	deepest	deepest
deep	deep	deep
deeper	deeper	deeper
deepest	deep	deep
closer	closer	closer
close	close	close
closest	closest	closest
close	close	close
closer	older	older
closest	closest	closest
taller	older	taller
tall	tall	tall
tallest	oldest	oldest
tall	beautiful	beautiful
taller	older	older
tallest	tallest	tallest
kinder	sort	sort
kind	barton	barton
kindest	sort	sort
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	largest	largest
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	heaviest	heaviest
heavy	heavy	heavy
heavier	heavier	heavier
heaviest	heaviest	heaviest
mightier	redeem	redeem
mighty	!align="right	!align="right
mightiest	best-known	best-known
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	healthier	healthier
lean	!align="right	!align="right
leanest	best-known	best-known
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
smarter	still	still
smart	textured	textured
smartest	oldest	newest
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	largest	bayan
milder	milder	less
mild	good	good
mildest	coldest	coldest
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	montane	montane
weaker	weaker	weaker
weak	weak	weak
weakest	strongest	strongest
weak	good	good
weaker	weaker	weaker
weakest	strongest	strongest
friendlier	bulgarians	bulgarians
friendly	!align="right	!align="right
friendliest	richest	richest
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
livelier	happier	happier
lively	!align="right	!align="right
liveliest	finest	finest
lively	!align="right	!align="right
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
younger	younger	younger
young	young	young
youngest	sexiest	sexiest
young	younger	younger
younger	younger	younger
youngest	youngest	youngest
clearer	less	less
clear	handful	glimpse
clearest	transparent	multiplexed
clear	!align="right	!align="right
clearer	!align="right	!align="right
clearest	darkened	darkened
friendlier	less	less
friendly	!align="right	!align="right
friendliest	goals	goals
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
cleaner	less	less
clean	handful	handful
cleanest	tackles	tackles
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	shutouts	shutouts
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
freer	unrestricted	unrestricted
free	handful	handful
freest	unrestricted	unrestricted
free	!align="right	!align="right
freer	!align="right	!align="right
freest	shutouts	shutouts
tougher	stronger	stronger
tough	tough	straight
toughest	largest	strongest
tough	all-tournament	tough
tougher	larger	larger
toughest	strongest	strongest
funnier	interesting	interesting
funny	!align="right	!align="right
funniest	largest	greatest
funny	scary	scary
funnier	larger	larger
funniest	!align="right	!align="right
nicer	arles	arles
nice	!align="right	!align="right
nicest	largest	richest
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
greater	considerable	greater
great	great	great
greatest	greatest	greatest
great	great	great
greater	larger	greater
greatest	greatest	greatest
bolder	larger	warmer
bold	!align="right	!align="right
boldest	largest	strongest
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	impoverished
poor	poor	poor
poorer	poorer	poorer
poorest	poor	poor
messier	easier	easier
messy	mcgrath	mcgrath
messiest	expensive	expensive
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	comets	comets
longer	shorter	shorter
long	long	long
longest	longest	longest
long	long	long
longer	longer	longer
longest	longest	longest
harder	harder	harder
hard	hard	hard
hardest	harder	hardest
hard	weak	weak
harder	harder	harder
hardest	biggest	most-watched
wiser	better	younger
wise	!align="right	!align="right
wisest	wealthiest	wealthiest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	late	earliest
early	early	early
earlier	back	back
earliest	previous	previous
sadder	happy	goodbye
sad	!align="right	!align="right
saddest	happy	safest
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
darker	darker	darker
dark	dark	dark
darkest	darker	darker
dark	dark	dark
darker	darker	darker
darkest	ochreous	speckled
quicker	faster	faster
quick	slower	slower
quickest	rapid	rapid
quick	barrichello	barrichello
quicker	faster	faster
quickest	nearest	nearest
brighter	brighter	brighter
bright	bright	bright
brightest	brightest	brightest
bright	dynamic	dynamic
brighter	brighter	brighter
brightest	brightest	brightest
cheaper	consumers	consumers
cheap	inexpensive	inexpensive
cheapest	!align="right	!align="right
cheap	wide	wide
cheaper	wider	wider
cheapest	!align="right	!align="right
higher	higher	higher
high	lower	lower
highest	!align="right	!align="right
high	lowest	high
higher	wider	wider
highest	!align="right	!align="right
fairer	consumer	consumer
fair	!align="right	!align="right
fairest	!align="right	!align="right
fair	wide	wide
fairer	wider	wider
fairest	!align="right	!align="right
wiser	almanac	almanac
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	narrow	narrow
wiser	wider	wider
wisest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	!align="right	!align="right
tall	wide	wide
taller	wider	wider
tallest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	soft	soft
poorer	easier	softer
poorest	poor	poor
messier	easier	easier
messy	naismith	naismith
messiest	clumsy	clumsy
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	toughest	gallipoli
busier	easier	easier
busy	!align="right	!align="right
busiest	busiest	busiest
busy	parking	parking
busier	easier	easier
busiest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	tallest	tallest
tall	softer	softer
taller	softer	softer
tallest	tall	tall
trickier	easier	complicated
tricky	!align="right	!align="right
trickiest	dishonest	illegitimate
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
higher	higher	higher
high	high	high
highest	low	highest
high	lowest	lowest
higher	lowest	higher
highest	highest	highest
slower	faster	faster
slow	slow	slow
slowest	slower	intifada
slow	!align="right	!align="right
slower	!align="right	!align="right
slowest	fastest	fastest
smarter	integrated	integrated
smart	easy	easy
smartest	innovative	iptv
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	hardest	originator
older	older	older
old	younger	younger
oldest	older	older
old	youngest	grown
older	youngest	preserves
oldest	oldest	oldest
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
cheaper	cheaper	cheaper
cheap	inexpensive	inexpensive
cheapest	cheapest	cheapest
cheap	clean	clean
cheaper	cheaper	cheaper
cheapest	cheapest	cheapest
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
bloodier	violent	violent
bloody	!align="right	!align="right
bloodiest	highlanders	highlanders
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
wilder	deer	deer
wild	burgundy	michaels
wildest	reptiles	reptiles
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	asteraceae	asteraceae
easier	easier	easier
easy	easy	easy
easiest	easiest	easiest
easy	easier	easier
easier	easier	easier
easiest	easiest	easiest
rougher	clearer	clearer
rough	!align="right	!align="right
roughest	safest	safest
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
fresher	closer	closer
fresh	!align="right	!align="right
freshest	sulfuric	sulfuric
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
harsher	harsher	harsher
harsh	harsh	harsh
harshest	harsher	harsher
harsh	!align="right	!align="right
harsher	!align="right	!align="right
harshest	harsh	verdict
luckier	smarter	smarter
lucky	!align="right	!align="right
luckiest	guess	guess
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	tallest	tallest
tall	brick	butterfly
taller	stronger	stronger
tallest	tallest	tallest
fatter	cholesterol	feces
fat	!align="right	!align="right
fattest	lipid	lipid
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
smoother	smoother	smoother
smooth	smooth	smooth
smoothest	smoother	smoother
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	smooth	smooth
fresher	colder	colder
fresh	!align="right	!align="right
freshest	dried	abundant
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
shorter	shorter	shorter
short	long	long
shortest	longest	longest
short	shorter	shorter
shorter	shorter	shorter
shortest	longest	longest
cleaner	quieter	quieter
clean	receiver	receiver
cleanest	safe	equilibrium
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	solvents	solvents
fuller	fully	fully
full	miller	miller
fullest	partial	partial
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	newton's	newton's
firmer	company	company
firm	!align="right	!align="right
firmest	company	company
firm	!align="right	!align="right
firmer	!align="right	!align="right
firmest	!align="right	!align="right
better	better	better
good	good	good
best	excellent	excellent
good	better	better
better	better	better
best	best	best
mightier	thinner	bobcat
mighty	!align="right	!align="right
mightiest	fifth	fifth
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
longer	shorter	shorter
long	still	still
longest	longest	longest
long	shortest	beck
longer	shorter	shorter
longest	longest	longest
greener	red	red
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
nicer	smoother	smoother
nice	!align="right	!align="right
nicest	slow	lovely
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
slicker	smooth	smooth
slick	!align="right	!align="right
slickest	smooth	smooth
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
noisier	smoother	harsher
noisy	!align="right	!align="right
noisiest	slow	slow
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
sadder	happy	happy
sad	!align="right	!align="right
saddest	!align="right	!align="right
sad	fast	fast
sadder	faster	faster
saddest	!align="right	!align="right
swifter	faster	lancaster
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	fast	fast
swifter	faster	faster
swiftest	!align="right	!align="right
nicer	paris	fontainebleau
nice	!align="right	!align="right
nicest	!align="right	!align="right
nice	fast	fast
nicer	faster	faster
nicest	!align="right	!align="right
softer	lighter	lighter
soft	soft	soft
softest	!align="right	!align="right
soft	fast	fast
softer	faster	faster
softest	!align="right	!align="right
trickier	complicated	complicated
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	fast	fast
trickier	faster	faster
trickiest	!align="right	!align="right
greener	blue	blue
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
clearer	obvious	obvious
clear	york	york
clearest	obvious	obvious
clear	!align="right	!align="right
clearer	!align="right	!align="right
clearest	longest-running	longest-running
healthier	older	older
healthy	york	york
healthiest	oldest	biologically
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	knowledgeable	knowledgeable
faster	faster	faster
fastest	fast	fast
fast	oldest	oldest
fastest	slow	slow
faster	slow	slow
fast	fast	fast
freer	restricted	restricted
free	york	york
freest	unrestricted	unrestricted
free	!align="right	!align="right
freer	!align="right	!align="right
freest	inaugural	inaugural
meaner	calculate	calculate
mean	!align="right	!align="right
meanest	imply	approximate
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
firmer	firms	firms
firm	!align="right	!align="right
firmest	company	company
firm	!align="right	!align="right
firmer	!align="right	!align="right
firmest	!align="right	!align="right
bigger	bigger	bigger
big	huge	huge
biggest	biggest	biggest
big	largest	large
bigger	largest	bigger
biggest	biggest	biggest
trickier	warmer	warmer
tricky	!align="right	!align="right
trickiest	simplifies	simplifies
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	deeper	deeper
deep	deep	deep
deeper	lighter	lighter
deepest	deep	deepest
gentler	nuanced	nuanced
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	heavy	heavy
gentler	heavier	heavier
gentlest	!align="right	!align="right
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	heavy	heavy
costlier	heavier	heavier
costliest	!align="right	!align="right
lower	lower	lower
low	upper	upper
lowest	!align="right	!align="right
low	highest	low
lower	highest	higher
lowest	!align="right	!align="right
fancier	colorful	colorful
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	heavy	heavy
fancier	heavier	heavier
fanciest	!align="right	!align="right
cleaner	neat	neat
clean	lighting	lighting
cleanest	!align="right	!align="right
clean	heavy	heavy
cleaner	heavier	heavier
cleanest	!align="right	!align="right
steadier	warmer	faster
steady	!align="right	!align="right
steadiest	regular	regular
steady	!align="right	!align="right
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	poor	poor
poorer	larger	larger
poorest	poor	poor
faster	faster	faster
fastest	slow	slow
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	slow	slow
fast	fastest	fastest
cleaner	safe	safe
clean	fossil	fossil
cleanest	revamp	revamp
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	broadcaster	broadcaster
softer	smaller	smaller
soft	soft	soft
softest	foam	foam
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	most-watched	most-watched
richer	wealthy	wealthy
rich	generous	generous
richest	!align="right	!align="right
rich	rich	rich
richer	rich	rich
richest	!align="right	!align="right
lighter	lighting	lighting
light	heavier	dark
lightest	!align="right	!align="right
light	safe	safe
lighter	hotter	hotter
lightest	!align="right	!align="right
simpler	simpler	simpler
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	simple
simpler	simple	fast
simplest	!align="right	!align="right
messier	mixing	kafka
messy	minto	minto
messiest	!align="right	!align="right
messy	safe	safe
messier	hotter	hotter
messiest	!align="right	!align="right
friendlier	fixture	fixture
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	safe	safe
friendlier	hotter	hotter
friendliest	!align="right	!align="right
higher	higher	higher
high	high	high
highest	!align="right	!align="right
high	lowest	high
higher	lowest	lowest
highest	!align="right	!align="right
stickier	brighter	brighter
sticky	!align="right	!align="right
stickiest	!align="right	!align="right
sticky	stricter	stricter
stickier	strict	strict
stickiest	!align="right	!align="right
pricier	!align="right	!align="right
pricey	!align="right	!align="right
priciest	!align="right	!align="right
pricey	stricter	stricter
pricier	strict	strict
priciest	!align="right	!align="right
greater	greatest	greatest
great	equal	equal
greatest	!align="right	!align="right
great	great	tremendous
greater	great	tremendous
greatest	!align="right	!align="right
busier	infected	infected
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	busy	busy
busier	traffic	traffic
busiest	!align="right	!align="right
tougher	subculture	full-back
tough	tough	tough
toughest	!align="right	!align="right
tough	tough	tough
tougher	harsh	harsh
toughest	!align="right	!align="right
stricter	stricter	stricter
strict	strict	strict
strictest	!align="right	!align="right
strict	harsher	harsher
stricter	harsh	harsh
strictest	!align="right	!align="right
stiffer	narrower	narrower
stiff	!align="right	!align="right
stiffest	!align="right	!align="right
stiff	harsher	harsher
stiffer	harsh	harsh
stiffest	!align="right	!align="right
riskier	cheaper	cheaper
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	harsher	harsher
riskier	harsh	harsh
riskiest	!align="right	!align="right
stronger	stronger	stronger
strong	strong	strong
strongest	!align="right	!align="right
strong	strong	strong
stronger	stronger	stronger
strongest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	quarterback	quarterback
classier	restrictive	restrictive
classiest	!align="right	!align="right
gentler	playful	playful
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	quarterback	quarterback
gentler	restrictive	restrictive
gentlest	!align="right	!align="right
leaner	richer	richer
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	quarterback	quarterback
leaner	restrictive	restrictive
leanest	!align="right	!align="right
bigger	bigger	bigger
big	larger	quarterback
biggest	!align="right	!align="right
big	largest	big
bigger	bigger	bigger
biggest	!align="right	!align="right
luckier	happy	warnings
lucky	!align="right	!align="right
luckiest	!align="right	!align="right
lucky	quarterback	quarterback
luckier	restrictive	restrictive
luckiest	!align="right	!align="right
warmer	cooler	wetter
warm	warm	warm
warmest	driest	driest
warm	mild	mild
warmer	wettest	wettest
warmest	coldest	coldest
slimmer	marvin	marvin
slim	!align="right	!align="right
slimmest	pittsburg	pittsburg
slim	!align="right	!align="right
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
rougher	difficult	flatter
rough	!align="right	!align="right
roughest	hardest	hardest
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
harder	harder	harder
hard	hard	hard
hardest	harder	harder
hard	whimsical	whimsical
harder	difficult	difficult
hardest	hardest	hardest
closer	closer	closer
close	close	close
closest	closest	closest
close	close	close
closer	closer	closer
closest	close	close
greener	red	red
green	!align="right	!align="right
greenest	yellow	yellow
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
kinder	sort	sort
kind	bad	bad
kindest	sort	sort
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	galleria	galleria
sadder	contagious	contagious
sad	!align="right	!align="right
saddest	novi	novi
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
quicker	faster	faster
quick	slow	slow
quickest	necks	necks
quick	good	steady
quicker	slower	slower
quickest	safest	safest
stiffer	heavier	heavier
stiff	!align="right	!align="right
stiffest	necks	necks
stiff	!align="right	!align="right
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
weaker	weaker	weaker
weak	strong	strong
weakest	!align="right	!align="right
weak	strong	strong
weaker	better	better
weakest	!align="right	!align="right
slicker	wu-tang	wu-tang
slick	!align="right	!align="right
slickest	!align="right	!align="right
slick	obvious	obvious
slicker	smoother	smoother
slickest	!align="right	!align="right
closer	closer	closer
close	close	close
closest	!align="right	!align="right
close	close	close
closer	close	closer
closest	!align="right	!align="right
older	older	older
old	younger	earlier
oldest	!align="right	!align="right
old	earliest	earliest
older	better	better
oldest	!align="right	!align="right
wiser	kindly	hitchcock
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	obvious	obvious
wiser	smoother	smoother
wisest	!align="right	!align="right
cheaper	inexpensive	inexpensive
cheap	high-quality	high-quality
cheapest	cheapest	cheapest
cheap	cheap	cheap
cheaper	affordable	affordable
cheapest	cheapest	cheapest
simpler	simpler	simpler
simple	simple	simple
simplest	simplest	simplest
simple	simple	simple
simpler	formula_37	modulo
simplest	virtuosity	virtuosity
fresher	water	water
fresh	!align="right	!align="right
freshest	fastest	highest
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
bolder	twists	twists
bold	!align="right	!align="right
boldest	italics	italics
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
cleaner	safer	safer
clean	clean	teller
cleanest	cheapest	cheapest
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	oldest	oldest
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	poor	poor
poorer	lighter	lipid
poorest	wettest	wettest
messier	shapes	shapes
messy	naismith	purcell
messiest	subconscious	subconscious
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	naismith	howell
narrower	narrower	narrower
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	narrow	narrow
narrower	tornus	tornus
narrowest	narrowest	narrowest
noisier	quieter	quieter
noisy	!align="right	!align="right
noisiest	oldest	oldest
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
riskier	cheaper	cheaper
risky	!align="right	!align="right
riskiest	cutthroat	cutthroat
risky	!align="right	!align="right
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
steadier	constant	exponentially
steady	!align="right	!align="right
steadiest	fastest	fastest
steady	!align="right	!align="right
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
swifter	smarter	smarter
swift	!align="right	!align="right
swiftest	longest-running	longest-running
swift	!align="right	!align="right
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
tougher	tougher	tougher
tough	tough	weaponry
toughest	toughest	toughest
tough	tough	tough
tougher	tighter	sure
toughest	busiest	busiest
meaner	imply	imply
mean	!align="right	!align="right
meanest	average	average
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
smoother	symmetric	symmetric
smooth	smooth	smooth
smoothest	symmetric	80th
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	tallest	tallest
milder	humid	humid
mild	mild	melon
mildest	!align="right	!align="right
mild	happier	happier
milder	happy	happy
mildest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	!align="right	colspan=3|total
early	best-known	sad
earlier	finest	finest
earliest	!align="right	!align="right
tastier	!align="right	!align="right
