rougher	tougher	tougher
nicer	shorter	shorter
nice	!align="right	!align="right
nicest	arles	arles
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
broader	broader	wider
broad	broad	broad
broadest	widest	widest
broad	!align="right	!align="right
broader	!align="right	!align="right
broadest	wider	widest
savvier	!align="right	!align="right
savvy	!align="right	!align="right
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	!align="right	!align="right
greater	greater	greater
great	considerable	considerable
greatest	greatest	greatest
great	large	significant
greater	larger	major
greatest	greatest	greatest
wilder	cutthroat	cutthroat
wild	miller	moore
wildest	pygmy	darkest
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	barnum	barnum
smoother	smoother	smoother
smooth	gentle	gentle
smoothest	hyphae	hyphae
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	smooth	smooth
mightier	infested	infested
mighty	!align="right	!align="right
mightiest	heavenly	heavenly
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	harder	colder
lean	!align="right	!align="right
leanest	mature	mature
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
cleaner	cleaner	cleaner
clean	gentle	gentle
cleanest	water	water
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	environmentally	campsites
narrower	broad	broad
narrow	late	narrow
narrowest	broad	broad
narrow	late	late
narrower	narrower	narrower
narrowest	oldest	narrowest
colder	previous	previous
cold	late	moist
coldest	oldest	temperate
cold	late	late
colder	driest	driest
coldest	moist	moist
noisier	previous	previous
noisy	!align="right	!align="right
noisiest	oldest	balanced
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	colspan=3|total
deeper	deeper	deeper
deep	deep	deep
deepest	deepest	deepest
deep	late	late
deeper	deep	deep
deepest	deepest	deepest
taller	taller	taller
tall	late	tall
tallest	oldest	oldest
tall	late	late
taller	taller	taller
tallest	tallest	tallest
quicker	faster	faster
quick	fast	fast
quickest	quickest	quickest
quick	clockwork	clockwork
quicker	faster	faster
quickest	quickest	quickest
narrower	narrower	narrower
narrow	broad	broad
narrowest	narrowest	narrowest
narrow	narrow	narrow
narrower	older	older
narrowest	narrowest	narrowest
deeper	deeper	deeper
deep	deep	deep
deepest	deepest	deepest
deep	deep	roots
deeper	deeper	deeper
deepest	deep	deep
closer	closer	closer
close	close	close
closest	closest	closest
close	close	close
closer	older	closer
closest	close	close
taller	taller	taller
tall	tall	tall
tallest	oldest	oldest
tall	horned	horned
taller	older	taller
tallest	tallest	tallest
kinder	sort	sort
kind	bryn	bryn
kindest	sort	sort
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	best-known	best-known
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	heaviest	heaviest
heavy	heavy	heavy
heavier	heavier	heavier
heaviest	heaviest	heaviest
mightier	foes	foes
mighty	!align="right	!align="right
mightiest	strongest	strongest
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	healthier	healthier
lean	!align="right	!align="right
leanest	strongest	strongest
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
smarter	phones	phones
smart	lengthy	lengthy
smartest	strongest	strongest
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	largest	largest
milder	hotter	hotter
mild	mild	mild
mildest	intensity	intensity
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	wettest	wettest
weaker	weaker	weaker
weak	weak	weak
weakest	strongest	strongest
weak	good	good
weaker	weaker	weaker
weakest	strongest	strongest
friendlier	easier	freer
friendly	!align="right	!align="right
friendliest	best	confrontation
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
livelier	happier	happier
lively	!align="right	!align="right
liveliest	finest	finest
lively	!align="right	!align="right
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
younger	younger	younger
young	young	young
youngest	greatest	greatest
young	eldest	eldest
younger	eldest	eldest
youngest	youngest	youngest
clearer	obvious	obvious
clear	handful	handful
clearest	unprecedented	unprecedented
clear	!align="right	!align="right
clearer	!align="right	!align="right
clearest	darkened	darkened
friendlier	more	more
friendly	!align="right	!align="right
friendliest	goals	goals
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
cleaner	less	less
clean	handful	handful
cleanest	tackles	tackles
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	shutouts	shutouts
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
freer	more	unrestricted
free	couple	couple
freest	unrestricted	unrestricted
free	!align="right	!align="right
freer	!align="right	!align="right
freest	single-season	single-season
tougher	stronger	stronger
tough	cuts	cuts
toughest	strongest	strongest
tough	all-big	all-big
tougher	larger	larger
toughest	largest	sault
funnier	interesting	faster
funny	!align="right	!align="right
funniest	largest	funniest
funny	scary	scary
funnier	larger	faster
funniest	!align="right	!align="right
nicer	larger	stronger
nice	!align="right	!align="right
nicest	largest	largest
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
greater	greater	greater
great	great	great
greatest	greatest	greatest
great	great	great
greater	greater	greater
greatest	greatest	greatest
bolder	larger	stronger
bold	!align="right	!align="right
boldest	largest	highest
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	poor	poor
poorer	poorer	poorer
poorest	poorest	poorest
messier	complicated	complicated
messy	wilson	mcmanus
messiest	biggest	biggest
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	tds	tds
longer	shorter	shorter
long	long	long
longest	longest	longest
long	long	long
longer	longer	longer
longest	longest	longest
harder	harder	harder
hard	hard	hard
hardest	hardest	hardest
hard	hard	hard
harder	harder	harder
hardest	biggest	biggest
wiser	gadget	gadget
wise	!align="right	!align="right
wisest	funniest	funniest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	earliest	earliest
early	early	early
earlier	latest	latest
earliest	previous	previous
sadder	smiles	smiles
sad	!align="right	!align="right
saddest	happy	happy
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
darker	darker	darker
dark	dark	dark
darkest	darker	darker
dark	warm	nymphs
darker	darker	darker
darkest	costal	costal
quicker	faster	faster
quick	fast	fast
quickest	nearest	fastest
quick	barrichello	barrichello
quicker	faster	faster
quickest	nearest	nearest
brighter	brighter	brighter
bright	bright	bright
brightest	brighter	brighter
bright	stills	stills
brighter	brighter	brighter
brightest	nearest	nearest
cheaper	quieter	quieter
cheap	inexpensive	fragrant
cheapest	!align="right	!align="right
cheap	wide	wide
cheaper	wider	wider
cheapest	!align="right	!align="right
higher	higher	higher
high	high	high
highest	!align="right	!align="right
high	lowest	lowest
higher	wider	higher
highest	!align="right	!align="right
fairer	anybody	worse
fair	!align="right	!align="right
fairest	!align="right	!align="right
fair	wide	wide
fairer	wider	wider
fairest	!align="right	!align="right
wiser	submissive	else
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	wide	wide
wiser	wider	wider
wisest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	!align="right	!align="right
tall	wide	wide
taller	wider	wider
tallest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	soft	soft
poorer	softer	softer
poorest	poor	poor
messier	complicated	complicated
messy	naismith	at-bats
messiest	clumsy	clumsy
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	valparaiso	valparaiso
busier	happier	happier
busy	!align="right	!align="right
busiest	busiest	busiest
busy	parking	parking
busier	easier	easier
busiest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	towering	towering
tall	parsonage	parsonage
taller	taller	taller
tallest	tall	tall
trickier	complicated	complicated
tricky	!align="right	!align="right
trickiest	unintentionally	unintentionally
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
higher	higher	higher
high	high	high
highest	highest	highest
high	lowest	lowest
higher	higher	higher
highest	highest	highest
slower	slower	slower
slow	slow	slow
slowest	fast	fast
slow	!align="right	!align="right
slower	!align="right	!align="right
slowest	fastest-growing	fastest-growing
smarter	smarter	smarter
smart	easy	easy
smartest	fastest-growing	fastest-growing
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	safest	fastest-growing
older	ancient	ancient
old	younger	younger
oldest	existing	existing
old	youngest	youngest
older	youngest	youngest
oldest	younger	oldest
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
cheaper	cheaper	cheaper
cheap	cheap	cheap
cheapest	cheapest	cheapest
cheap	clean	clean
cheaper	cheaper	cheaper
cheapest	cheapest	cheapest
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
bloodier	bayou	bayou
bloody	!align="right	!align="right
bloodiest	worst	torn
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
wilder	exotic	exotic
wild	ballard	ballard
wildest	reptiles	reptiles
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	baronets	baronets
easier	easier	easier
easy	easy	easy
easiest	easiest	easiest
easy	easy	easy
easier	easier	easier
easiest	easiest	easiest
rougher	precise	better
rough	!align="right	!align="right
roughest	westernmost	westernmost
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
fresher	meat	vegetables
fresh	!align="right	!align="right
freshest	abundant	abundant
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
harsher	harsher	harsher
harsh	harsh	unsafe
harshest	brutal	brutal
harsh	!align="right	!align="right
harsher	!align="right	!align="right
harshest	unsafe	euthanasia
luckier	millionaires	millionaires
lucky	!align="right	!align="right
luckiest	unforgettable	unforgettable
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	tallest	tallest
tall	towers	towers
taller	taller	taller
tallest	tallest	tallest
fatter	larger	tougher
fat	!align="right	!align="right
fattest	feces	feces
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
smoother	smoother	smoother
smooth	smooth	smooth
smoothest	smoother	smoother
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	smooth	smooth
fresher	deeper	deeper
fresh	!align="right	!align="right
freshest	abundant	abundant
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
shorter	shorter	shorter
short	short	long
shortest	shorter	longest
short	short	short
shorter	shorter	shorter
shortest	length	length
cleaner	quieter	tougher
clean	receiver	receiver
cleanest	cool	cool
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	ultrasonic	ultrasonic
fuller	fully	fully
full	miller	miller
fullest	fully	fully
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	gilchrist	gilchrist
firmer	company	company
firm	!align="right	!align="right
firmest	company	company
firm	!align="right	!align="right
firmer	!align="right	!align="right
firmest	!align="right	!align="right
better	better	better
good	good	good
best	excellent	excellent
good	better	better
better	better	better
best	best	best
mightier	ultraman	ultraman
mighty	!align="right	!align="right
mightiest	corp	corp
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
longer	shorter	shorter
long	still	still
longest	longest	longest
long	lengthy	lengthy
longer	longer	shorter
longest	longest	longest
greener	red	red
green	!align="right	!align="right
greenest	red	bright
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
nicer	smoother	smoother
nice	!align="right	!align="right
nicest	slow	cool
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
slicker	heavier	harsher
slick	!align="right	!align="right
slickest	quick	quick
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
noisier	smoother	smoother
noisy	!align="right	!align="right
noisiest	slow	slow
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
sadder	happy	happy
sad	!align="right	!align="right
saddest	!align="right	!align="right
sad	fast	fast
sadder	faster	faster
saddest	!align="right	!align="right
swifter	nelson	nelson
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	fast	fast
swifter	faster	faster
swiftest	!align="right	!align="right
nicer	arles	trois
nice	!align="right	!align="right
nicest	!align="right	!align="right
nice	fast	fast
nicer	faster	faster
nicest	!align="right	!align="right
softer	coarse	coarse
soft	difficult	catchy
softest	!align="right	!align="right
soft	fast	fast
softer	faster	faster
softest	!align="right	!align="right
trickier	router	router
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	fast	fast
trickier	faster	faster
trickiest	!align="right	!align="right
greener	blue	blue
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
clearer	obvious	steeper
clear	york	york
clearest	obvious	obvious
clear	!align="right	!align="right
clearer	!align="right	!align="right
clearest	longest-serving	longest-serving
healthier	steeper	steeper
healthy	york	compassionate
healthiest	oldest	oldest
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	poorest	poorest
faster	faster	faster
fastest	fast	fast
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	slow	slow
fast	fastest	fastest
freer	efficiently	efficiently
free	york	york
freest	satisfied	satisfied
free	!align="right	!align="right
freer	!align="right	!align="right
freest	hubbard	hubbard
meaner	warmer	warmer
mean	!align="right	!align="right
meanest	formula_49	denote
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
firmer	firms	firms
firm	!align="right	!align="right
firmest	company	company
firm	!align="right	!align="right
firmer	!align="right	!align="right
firmest	!align="right	!align="right
bigger	bigger	bigger
big	small	small
biggest	biggest	biggest
big	largest	largest
bigger	largest	bigger
biggest	biggest	biggest
trickier	warmer	warmer
tricky	!align="right	!align="right
trickiest	complicated	quickest
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	deeper	deeper
deep	deep	fleshy
deeper	deep	fleshy
deepest	deep	deep
gentler	smoother	smoother
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	heavy	heavy
gentler	heavier	heavier
gentlest	!align="right	!align="right
costlier	expensive	cheaper
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	heavy	heavy
costlier	heavier	heavier
costliest	!align="right	!align="right
lower	lower	lower
low	upper	upper
lowest	!align="right	!align="right
low	highest	low
lower	highest	higher
lowest	!align="right	!align="right
fancier	fun	fun
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	heavy	heavy
fancier	heavier	heavier
fanciest	!align="right	!align="right
cleaner	thinner	thinner
clean	lighting	lighting
cleanest	!align="right	!align="right
clean	heavy	heavy
cleaner	heavier	heavier
cleanest	!align="right	!align="right
steadier	faster	faster
steady	!align="right	!align="right
steadiest	full-time	day-to-day
steady	!align="right	!align="right
steadier	!align="right	!align="right
steadiest	!align="right	colspan=3|total
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	poor	poor
poorer	poorer	luminosity
poorest	poor	poor
faster	quickest	fastest-growing
fastest	fast	fast
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	slow	slow
fast	slower	slower
cleaner	safe	larger
clean	transparent	transparent
cleanest	safe	safe
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	swanson	hardwick
softer	softer	softer
soft	poor	soft
softest	knives	knives
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	simulators	ruff
richer	richer	rarer
rich	drinking	drinking
richest	!align="right	!align="right
rich	cool	cool
richer	rich	rich
richest	!align="right	!align="right
lighter	lamp	lamp
light	heavier	dark
lightest	!align="right	!align="right
light	safe	safe
lighter	hotter	hotter
lightest	!align="right	colspan=3|total
simpler	simpler	simpler
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	simple
simpler	simpler	simpler
simplest	!align="right	!align="right
messier	annoying	annoying
messy	cluster	cluster
messiest	!align="right	!align="right
messy	safe	safe
messier	hotter	hotter
messiest	!align="right	colspan=3|total
friendlier	annoying	annoying
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	safe	safe
friendlier	hotter	hotter
friendliest	!align="right	!align="right
higher	higher	higher
high	high	high
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	higher
highest	!align="right	!align="right
stickier	pepper	pepper
sticky	!align="right	!align="right
stickiest	!align="right	!align="right
sticky	rigid	stringent
stickier	stringent	stringent
stickiest	!align="right	!align="right
pricier	!align="right	!align="right
pricey	!align="right	!align="right
priciest	!align="right	!align="right
pricey	rigid	stringent
pricier	stringent	stringent
priciest	!align="right	!align="right
greater	greater	greater
great	considerable	sheer
greatest	!align="right	!align="right
great	finest	remarkable
greater	finest	finest
greatest	!align="right	!align="right
busier	docklands	docklands
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	busy	busy
busier	regulations	traffic
busiest	!align="right	!align="right
tougher	acceptable	acceptable
tough	tough	tough
toughest	!align="right	!align="right
tough	tough	tough
tougher	harsh	dangerous
toughest	!align="right	!align="right
stricter	constraints	constraints
strict	stringent	stringent
strictest	!align="right	!align="right
strict	brutal	harsher
stricter	harsh	harsh
strictest	!align="right	!align="right
stiffer	tighter	tighter
stiff	!align="right	!align="right
stiffest	!align="right	!align="right
stiff	brutal	harsher
stiffer	harsh	harsh
stiffest	!align="right	!align="right
riskier	acceptable	acceptable
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	brutal	harsher
riskier	harsh	harsh
riskiest	!align="right	!align="right
stronger	stronger	stronger
strong	strong	strong
strongest	!align="right	!align="right
strong	strong	strong
stronger	stronger	stronger
strongest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	quarterback	quarterback
classier	stronger	stronger
classiest	!align="right	!align="right
gentler	affectionate	affectionate
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	quarterback	quarterback
gentler	stronger	stronger
gentlest	!align="right	!align="right
leaner	stronger	stronger
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	quarterback	quarterback
leaner	stronger	stronger
leanest	!align="right	!align="right
bigger	bigger	bigger
big	big	big
biggest	!align="right	!align="right
big	largest	big
bigger	largest	bigger
biggest	!align="right	!align="right
luckier	me	josie
lucky	!align="right	!align="right
luckiest	!align="right	!align="right
lucky	quarterback	quarterback
luckier	stronger	stronger
luckiest	!align="right	!align="right
warmer	cooler	warmer
warm	mild	mild
warmest	warmest	warmest
warm	warm	warm
warmer	wettest	wettest
warmest	coldest	coldest
slimmer	flatter	poe
slim	!align="right	!align="right
slimmest	decepticons	decepticons
slim	!align="right	!align="right
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
rougher	denser	denser
rough	!align="right	!align="right
roughest	northernmost	northernmost
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
harder	harder	harder
hard	hard	hard
hardest	harder	harder
hard	easy	easy
harder	easier	easier
hardest	hardest	hardest
closer	closer	closer
close	close	close
closest	closest	closest
close	close	close
closer	closer	closer
closest	close	close
greener	red	red
green	!align="right	!align="right
greenest	yellow	yellow
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
kinder	sort	sort
kind	tough	tough
kindest	sort	sort
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	borges	borges
sadder	dime	dime
sad	!align="right	!align="right
saddest	novi	epirus
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
quicker	faster	faster
quick	slow	slow
quickest	fast	fast
quick	good	slow
quicker	quicker	quicker
quickest	safest	safest
stiffer	lighter	lighter
stiff	!align="right	!align="right
stiffest	leathery	leathery
stiff	!align="right	!align="right
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
weaker	weaker	weaker
weak	strong	strong
weakest	!align="right	!align="right
weak	strong	strong
weaker	better	better
weakest	!align="right	!align="right
slicker	sexy	sexy
slick	!align="right	!align="right
slickest	!align="right	!align="right
slick	obvious	obvious
slicker	finer	finer
slickest	!align="right	!align="right
closer	closer	closer
close	close	close
closest	!align="right	!align="right
close	close	close
closer	closer	closer
closest	!align="right	!align="right
older	older	older
old	earlier	earlier
oldest	!align="right	!align="right
old	earliest	earliest
older	earliest	better
oldest	!align="right	!align="right
wiser	kindly	visually
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	obvious	obvious
wiser	finer	finer
wisest	!align="right	!align="right
cheaper	safest	safest
cheap	soft	high-quality
cheapest	safest	safest
cheap	rapid	sorting
cheaper	expensive	expensive
cheapest	fastest	cheapest
simpler	simpler	simpler
simple	simple	simple
simplest	simpler	simpler
simple	simple	simple
simpler	affine	affine
simplest	fastest	oldest
fresher	hotter	hotter
fresh	!align="right	!align="right
freshest	highest	highest
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
bolder	lighter	navigating
bold	!align="right	!align="right
boldest	tallest	highest
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
cleaner	liters	liters
clean	mica	mica
cleanest	largest	largest
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	oldest	oldest
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	poor	poor
poorer	softer	bodywork
poorest	poorest	poorest
messier	smarter	smarter
messy	evans	evans
messiest	childish	childish
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	sault	sault
narrower	narrower	narrower
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	narrow	narrow
narrower	narrow	narrow
narrowest	narrowest	narrowest
noisier	softer	gregarious
noisy	!align="right	!align="right
noisiest	yells	yells
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
riskier	cheaper	cheaper
risky	!align="right	!align="right
riskiest	rewarding	rewarding
risky	!align="right	!align="right
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
steadier	stronger	stronger
steady	!align="right	!align="right
steadiest	pre-eminent	pre-eminent
steady	!align="right	!align="right
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
swifter	smarter	1838
swift	!align="right	!align="right
swiftest	busiest	84th
swift	!align="right	!align="right
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
tougher	tougher	tougher
tough	beautiful	beautiful
toughest	toughest	toughest
tough	tough	tough
tougher	better	better
toughest	sexiest	toughest
meaner	imply	imply
mean	!align="right	!align="right
meanest	average	average
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
smoother	smoother	smoother
smooth	smooth	silky
smoothest	non-zero	elliptic
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	easiest	easiest
milder	darker	darker
mild	mild	mild
mildest	!align="right	!align="right
mild	happier	happier
milder	happy	happy
mildest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	!align="right	colspan=3|total
early	first	pompeii
earlier	finest	finest
earliest	!align="right	!align="right
tastier	!align="right	!align="right
