rougher	considerably	considerably
taller	skyscraper	skyscraper
tallest	tall	tallest
kinder	even	even
kind	inflorescence	inflorescence
kindest	ever	ever
kind	!	!
kinder	!	!
kindest	viaduct	viaduct
heavier	heavier	heavier
heavy	inches	inches
heaviest	heaviest	losses
heavy	inches	inches
heavier	heavier	heavier
heaviest	heaviest	heaviest
mightier	all-new	all-new
mighty	!	!
mightiest	streak	streak
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	than	lighter
lean	!	!
leanest	streak	streak
lean	!	!
leaner	!	!
leanest	!	!
smarter	phones	ipad
smart	!	!
smartest	streak	streak
smart	!	!
smarter	!	!
smartest	!	!
milder	kppen	kppen
mild	cool	cool
mildest	kppen	kppen
mild	!	!
milder	!	!
mildest	mild	flavour
weaker	stronger	stronger
weak	stronger	stronger
weakest	hurricane	hurricane
weak	good	good
weaker	gets	gets
weakest	strongest	strongest
friendlier	u21	u21
friendly	!	!
friendliest	u21	u21
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	vibrant	fast-paced
lively	!	!
liveliest	witty	witty
lively	!	!
livelier	!	!
liveliest	!	!
younger	child	child
young	brother	brother
youngest	child	child
young	daughter	son
younger	eldest	eldest
youngest	brother	brother
clearer	than	than
clear	later	later
clearest	shutouts	shutouts
clear	!	!
clearer	!	!
clearest	shutouts	shutouts
friendlier	u21	u21
friendly	!	!
friendliest	2-2	2-2
friendly	!	!
friendlier	!	!
friendliest	!	!
cleaner	sanitation	pollution
clean	later	later
cleanest	shutouts	shutouts
clean	!	!
cleaner	!	!
cleanest	cleaned	cleaned
stronger	stronger	stronger
strong	ten	longer
strongest	shutouts	shutouts
strong	one	thirty
stronger	than	males
strongest	shutouts	shutouts
freer	agent	agent
free	!	!
freest	unrestricted	unrestricted
free	!	!
freer	!	!
freest	!	!
tougher	stronger	really
tough	wac	wac
toughest	extremely	exceptionally
tough	all-american	all-american
tougher	stronger	guys
toughest	hit	hit
funnier	hilarious	hilarious
funny	!	!
funniest	hilarious	hilarious
funny	!	!
funnier	!	!
funniest	!	!
nicer	really	really
nice	!	!
nicest	france	france
nice	!	!
nicer	!	!
nicest	!	!
greater	much	much
great	within	within
greatest	greatest	greatest
great	named	named
greater	much	much
greatest	within	within
bolder	italic	lettering
bold	!	!
boldest	italic	italic
bold	!	!
bolder	!	!
boldest	!	!
poorer	better	poorer
poor	poor	poor
poorest	impoverished	impoverished
poor	especially	especially
poorer	much	much
poorest	wealthier	impoverished
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	shorter	shorter
long	long	long
longest	centimeters	centimeters
long	longer	longer
longer	shorter	shorter
longest	long	long
harder	harder	harder
hard	hard	hard
hardest	disk	disk
hard	hard	hard
harder	harder	harder
hardest	cyclone	cyclone
wiser	thinner	thinner
wise	!	!
wisest	hath	hath
wise	!	!
wiser	!	!
wisest	!	!
earlier	late	late
early	few	few
earliest	late	late
early	dating	dating
earlier	dating	dating
earliest	few	few
sadder	'm	isn
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
darker	darker	darker
dark	paler	whitish
darkest	brownish	brownish
dark	continued	continued
darker	journey	journey
darkest	paler	paler
quicker	faster	faster
quick	slower	slower
quickest	pressing	pressing
quick	!	!
quicker	!	!
quickest	slower	slower
brighter	brighter	brighter
bright	bright	bright
brightest	brighter	brighter
bright	luminous	luminous
brighter	constellation	star
brightest	bright	bright
cheaper	cheaper	cheaper
cheap	expensive	expensive
cheapest	!	!
cheap	narrow	narrow
cheaper	wider	wider
cheapest	!	!
higher	school	school
high	low	low
highest	!	!
high	second-highest	peaks
higher	second-highest	second-highest
highest	!	!
fairer	fairs	fairs
fair	!	!
fairest	!	!
fair	collingwood	collingwood
fairer	vfl	vfl
fairest	!	!
wiser	telescope	dwarfs
wise	!	!
wisest	!	!
wise	narrow	narrow
wiser	wider	wider
wisest	!	!
taller	height	taller
tall	tall	tall
tallest	!	!
tall	skyscraper	tall
taller	skyscraper	taller
tallest	!	!
poorer	inadequate	inadequate
poor	drives	drives
poorest	inadequate	inadequate
poor	floppy	floppy
poorer	incomes	incomes
poorest	wealthier	wealthier
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
busier	easier	easier
busy	!	!
busiest	busiest	busiest
busy	hub	hub
busier	hub	hub
busiest	!	!
taller	taller	taller
tall	tall	tall
tallest	height	taller
tall	skyscraper	skyscrapers
taller	skyscraper	skyscraper
tallest	tall	tall
trickier	than	quicker
tricky	!	!
trickiest	puzzle	puzzle
tricky	!	!
trickier	!	!
trickiest	!	!
higher	school	higher
high	low	low
highest	school	school
high	second-highest	second-highest
higher	second-highest	second-highest
highest	lowest	lowest
slower	faster	faster
slow	pace	pace
slowest	pace	rapid
slow	!	!
slower	!	!
slowest	fastest	overtake
smarter	mobile	mobile
smart	!	!
smartest	mobile	mobile
smart	!	!
smarter	!	!
smartest	!	!
older	derived	much
old	65	18
oldest	derived	derived
old	surviving	surviving
older	surviving	surviving
oldest	65	non-families
stronger	stronger	stronger
strong	extremely	extremely
strongest	strongest	given
strong	strong	resilient
stronger	stronger	stronger
strongest	formidable	formidable
cheaper	cheaper	cheaper
cheap	affordable	affordable
cheapest	!	!
cheap	affordable	affordable
cheaper	easier	easier
cheapest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	affordable	affordable
classier	easier	easier
classiest	!	!
bloodier	ensued	brutal
bloody	!	!
bloodiest	!	!
bloody	affordable	affordable
bloodier	easier	easier
bloodiest	!	!
wilder	deer	deer
wild	silent	silent
wildest	!	!
wild	affordable	affordable
wilder	easier	easier
wildest	!	!
easier	easier	easier
easy	easy	easy
easiest	!	!
easy	comfortable	comfortable
easier	easier	easier
easiest	!	!
rougher	considerably	considerably
rough	!	!
roughest	topography	topography
rough	!	!
rougher	!	!
roughest	!	!
fresher	dried	shrimp
fresh	!	!
freshest	dried	dried
fresh	!	!
fresher	!	!
freshest	!	!
harsher	punishments	punishments
harsh	!	!
harshest	punishments	punishments
harsh	!	!
harsher	!	!
harshest	!	!
luckier	bigger	bigger
lucky	!	!
luckiest	loser	loser
lucky	!	!
luckier	!	!
luckiest	!	!
taller	taller	taller
tall	tall	tall
tallest	height	height
tall	skyscraper	tall
taller	skyscraper	skyscraper
tallest	tall	height
fatter	cholesterol	cholesterol
fat	!	!
fattest	cholesterol	cholesterol
fat	!	!
fatter	!	!
fattest	!	!
smoother	whorls	whorl
smooth	!	!
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	!	!
fresher	dried	dried
fresh	!	!
freshest	dried	plentiful
fresh	!	!
fresher	!	!
freshest	!	!
shorter	shorter	shorter
short	long	long
shortest	novel	anthology
short	long	long
shorter	shorter	shorter
shortest	length	length
cleaner	waste	waste
clean	cleaning	cleaning
cleanest	sanitation	sanitation
clean	!	!
cleaner	!	!
cleanest	40km	waitress
fuller	much	much
full	curtis	curtis
fullest	!	!
full	prices	prices
fuller	expensive	expensive
fullest	!	!
firmer	llp	llp
firm	!	!
firmest	!	!
firm	prices	prices
firmer	expensive	expensive
firmest	!	!
better	better	better
good	good	good
best	!	!
good	nominated	nominations
better	nominations	nominations
best	!	!
mightier	than	than
mighty	!	!
mightiest	!	!
mighty	prices	prices
mightier	expensive	expensive
mightiest	!	!
longer	shorter	shorter
long	long	long
longest	!	!
long	shortest	shortest
longer	expensive	faster
longest	!	!
greener	yellow	yellow
green	!	!
greenest	yellow	yellow
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	marseille	marseille
nice	!	!
nicest	marseille	marseille
nice	!	!
nicer	!	!
nicest	!	!
slicker	harder	harder
slick	!	!
slickest	clever	clever
slick	!	!
slicker	!	!
slickest	!	!
noisier	loud	loud
noisy	!	!
noisiest	loud	loud
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	novi	isnt
sad	!	!
saddest	!	!
sad	pace	pace
sadder	faster	faster
saddest	!	!
swifter	than	than
swift	!	!
swiftest	!	!
swift	pace	pace
swifter	faster	faster
swiftest	!	!
nicer	marseille	monaco
nice	!	!
nicest	!	!
nice	pace	pace
nicer	faster	faster
nicest	!	!
softer	softer	softer
soft	soft	soft
softest	!	!
soft	pace	pace
softer	faster	faster
softest	!	!
trickier	quicker	bjrk
tricky	!	!
trickiest	!	!
tricky	pace	pace
trickier	faster	faster
trickiest	!	!
greener	yellow	yellow
green	!	!
greenest	purple	purple
green	!	!
greener	!	!
greenest	!	!
clearer	exist	exist
clear	york	york
clearest	nor	nor
clear	!	!
clearer	!	!
clearest	secretive	secretive
healthier	unhealthy	unhealthy
healthy	!	!
healthiest	lifestyle	lifestyle
healthy	!	!
healthier	!	!
healthiest	!	!
faster	slower	slower
fastest	york	york
fast	vettel	vettel
fastest	york	york
faster	faster	faster
fast	slower	slower
freer	versions	versions
free	!	!
freest	download	download
free	!	!
freer	!	!
freest	!	!
meaner	maximum	width
mean	!	!
meanest	maximum	maximum
mean	!	!
meaner	!	!
meanest	!	!
firmer	consulting	consulting
firm	!	!
firmest	llp	llp
firm	!	!
firmer	!	!
firmest	!	!
bigger	than	bigger
big	stories	stories
biggest	longest	all-time
big	feature	feature
bigger	bigger	bigger
biggest	paths	getting
trickier	slower	slower
tricky	!	!
trickiest	paths	toughest
tricky	!	!
trickier	!	!
trickiest	!	!
deeper	deeper	deeper
deep	depths	depths
deepest	deepest	deepest
deep	deep	deep
deeper	deeper	deeper
deepest	depths	shafts
gentler	heavier	heavier
gentle	!	!
gentlest	!	!
gentle	ultraviolet	ultraviolet
gentler	heavier	heavier
gentlest	!	!
costlier	heavier	heavier
costly	!	!
costliest	!	!
costly	ultraviolet	ultraviolet
costlier	heavier	heavier
costliest	!	!
lower	higher	higher
low	upper	ultraviolet
lowest	!	!
low	wavelengths	wavelengths
lower	heavier	higher
lowest	!	!
fancier	heavier	heavier
fancy	!	!
fanciest	!	!
fancy	ultraviolet	ultraviolet
fancier	heavier	heavier
fanciest	!	!
cleaner	heavier	heavier
clean	ultraviolet	wavelengths
cleanest	!	!
clean	ultraviolet	ultraviolet
cleaner	heavier	heavier
cleanest	!	!
steadier	slower	slower
steady	!	!
steadiest	decline	saturation
steady	!	!
steadier	!	!
steadiest	!	!
poorer	poorer	poorer
poor	poor	poor
poorest	impoverished	incomes
poor	poor	poor
poorer	wealthier	poorer
poorest	middle-class	middle-class
faster	slower	slower
fastest	fast	fast
fast	coulthard	coulthard
fastest	slow	slow
faster	faster	faster
fast	fast	fast
cleaner	simpler	simpler
clean	emotionally	emotionally
cleanest	litter	litter
clean	!	!
cleaner	!	!
cleanest	cleaning	chameleon
softer	than	thicker
soft	soft	soft
softest	cola	cola
soft	!	!
softer	!	!
softest	sedimentary	quartz
richer	richer	richer
rich	rich	rich
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	!	!
lighter	ultraviolet	ultraviolet
light	heavier	heavier
lightest	!	!
light	sanitation	sanitation
lighter	cleaning	cleaning
lightest	!	!
simpler	simpler	simpler
simple	faster	faster
simplest	!	!
simple	cleaning	cleaning
simpler	cleaning	cleaning
simplest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	sanitation	sanitation
messier	cleaning	cleaning
messiest	!	!
friendlier	u19	u19
friendly	!	!
friendliest	!	!
friendly	sanitation	sanitation
friendlier	cleaning	cleaning
friendliest	!	!
higher	school	school
high	low	low
highest	!	!
high	second-highest	second-highest
higher	stringent	stringent
highest	!	!
stickier	latex	latex
sticky	!	!
stickiest	!	!
sticky	stricter	stricter
stickier	strict	strict
stickiest	!	!
pricier	!	!
pricey	!	!
priciest	!	!
pricey	stricter	stricter
pricier	strict	strict
priciest	!	!
greater	greatest	greatest
great	within	within
greatest	!	!
great	stricter	stricter
greater	stringent	stringent
greatest	!	!
busier	traffic	traffic
busy	!	!
busiest	!	!
busy	stricter	stricter
busier	strict	regulations
busiest	!	!
tougher	!	!
tough	strict	strict
toughest	!	!
tough	conditions	imposed
tougher	hardest	hardest
toughest	stronger	stronger
stricter	!	!
strict	strict	strict
strictest	!	!
strict	conditions	conditions
stricter	!	!
strictest	strict	strict
stiffer	!	!
stiff	conditions	conditions
stiffest	!	!
stiff	conditions	conditions
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	conditions	conditions
riskiest	!	!
risky	conditions	conditions
riskier	!	!
riskiest	!	!
stronger	!	!
strong	weaker	weaker
strongest	!	!
strong	winds	winds
stronger	hurricane	hurricane
strongest	weaker	weaker
classier	!	!
classy	!	!
classiest	!	!
classy	quarterback	quarterback
classier	narrower	narrower
classiest	!	!
gentler	calm	quieter
gentle	!	!
gentlest	!	!
gentle	quarterback	quarterback
gentler	narrower	narrower
gentlest	!	!
leaner	richer	richer
lean	!	!
leanest	!	!
lean	quarterback	quarterback
leaner	narrower	narrower
leanest	!	!
bigger	conference	conference
big	receiver	receiver
biggest	!	!
big	linebacker	keenan
bigger	bigger	disappointment
biggest	!	!
luckier	loser	bingo
lucky	!	!
luckiest	!	!
lucky	quarterback	quarterback
luckier	narrower	narrower
luckiest	!	!
warmer	cooler	cooler
warm	warm	warm
warmest	humid	humid
warm	!	!
warmer	!	!
warmest	summers	climate
slimmer	bigger	bigger
slim	!	!
slimmest	blonde	blonde
slim	!	!
slimmer	!	!
slimmest	!	!
rougher	considerably	considerably
rough	!	!
roughest	terrain	eukaryotes
rough	!	!
rougher	!	!
roughest	!	!
harder	floppy	floppy
hard	easy	difficult
hardest	disk	disk
hard	easy	easy
harder	than	harder
hardest	graphs	graphs
closer	than	closer
close	rather	object
closest	ties	ties
close	relatives	smaller
closer	considerably	considerably
closest	triangles	triangles
greener	blue	blue
green	!	!
greenest	yellow	yellow
green	!	!
greener	!	!
greenest	!	!
kinder	something	think
kind	poorly	critics
kindest	thing	thing
kind	!	!
kinder	!	!
kindest	ein	ein
sadder	novi	novi
sad	!	!
saddest	sorry	sorry
sad	!	!
sadder	!	!
saddest	!	!
quicker	fast-paced	fast-paced
quick	faster	slow
quickest	clever	clever
quick	!	!
quicker	!	!
quickest	faster	faster
stiffer	feathers	feathers
stiff	!	!
stiffest	populous	upright
stiff	!	!
stiffer	!	!
stiffest	!	!
weaker	emotionally	emotionally
weak	stronger	axioms
weakest	!	!
weak	fact	fact
weaker	brighter	brighter
weakest	!	!
slicker	fast-paced	fast-paced
slick	!	!
slickest	!	!
slick	fact	fact
slicker	brighter	brighter
slickest	!	!
closer	considerably	considerably
close	although	although
closest	!	!
close	distant	distant
closer	brighter	brighter
closest	!	!
older	castle	diminutive
old	65	alone
oldest	!	!
old	earliest	earliest
older	brighter	luminous
oldest	!	!
wiser	telescope	telescope
wise	!	!
wisest	!	!
wise	fact	fact
wiser	brighter	brighter
wisest	!	!
cheaper	cheaper	cheaper
cheap	cheap	cheap
cheapest	!	!
cheap	pace	pace
cheaper	faster	faster
cheapest	!	!
simpler	simpler	simpler
simple	sophisticated	sophisticated
simplest	!	!
simple	convenient	convenient
simpler	faster	faster
simplest	!	!
fresher	dried	dried
fresh	!	!
freshest	!	!
fresh	pace	pace
fresher	faster	faster
freshest	!	!
bolder	than	than
bold	!	!
boldest	!	!
bold	pace	pace
bolder	faster	faster
boldest	!	!
cleaner	faster	cheaper
clean	cleaning	cleaning
cleanest	!	!
clean	pace	pace
cleaner	faster	faster
cleanest	!	!
poorer	impoverished	better
poor	wealthier	poor
poorest	impoverished	impoverished
poor	poor	poor
poorer	wealthier	wealthier
poorest	wealthier	poorest
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
narrower	narrower	narrower
narrow	narrow	narrow
narrowest	broad	width
narrow	!	!
narrower	!	!
narrowest	width	width
noisier	lighter	quieter
noisy	!	!
noisiest	weighing	crowds
noisy	!	!
noisier	!	!
noisiest	!	!
riskier	than	than
risky	!	!
riskiest	asset	asset
risky	!	!
riskier	!	!
riskiest	!	!
steadier	steadily	steadily
steady	!	!
steadiest	steadily	steadily
steady	!	!
steadier	!	!
steadiest	!	!
swifter	than	minogue
swift	!	!
swiftest	forbes	orwell
swift	!	!
swifter	!	!
swiftest	!	!
tougher	durable	durable
tough	stricter	stricter
toughest	fearless	fearless
tough	hardest	fights
tougher	harder	harder
toughest	wealthiest	forbes
meaner	variance	probability
mean	!	!
meanest	calculate	calculated
mean	!	!
meaner	!	!
meanest	!	!
smoother	whorls	whorls
smooth	!	!
smoothest	rounded	rounded
smooth	!	!
smoother	!	!
smoothest	!	!
milder	!	winters
mild	mild	warm
mildest	!	winters
mild	everyone	everyone
milder	!	!
mildest	mild	mild
earlier	late	late
early	later	later
earliest	late	late
early	extant	extant
earlier	dating	dating
earliest	previous	previous
tastier	!	!
tasty	everyone	everyone
tastiest	!	!
tasty	everyone	everyone
tastier	!	!
tastiest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	slow	slow
faster	slow	slow
fast	slower	slower
greater	!	!
great	west-central	west-central
greatest	!	!
great	one	enjoyed
greater	one	one
greatest	within	within
richer	richer	richer
rich	rich	rich
richest	richest	richest
rich	pale	pale
richer	pale	pale
richest	struggles	struggles
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
thinner	thicker	thicker
thin	thick	thick
thinnest	thick	thicker
thin	!	!
thinner	!	!
thinnest	thicker	thickness
rougher	considerably	considerably
rough	!	!
roughest	terrain	terrain
rough	!	!
rougher	!	!
roughest	!	!
luckier	loser	bigger
lucky	!	!
luckiest	loser	loser
lucky	!	!
luckier	!	!
luckiest	!	!
tighter	tighter	tighter
tight	tight	tight
tightest	!	!
tight	texture	texture
tighter	harder	harder
tightest	!	!
kinder	something	something
kind	ein	rot
kindest	!	!
kind	texture	texture
kinder	harder	harder
kindest	!	!
swifter	considerably	considerably
swift	!	!
swiftest	!	!
swift	texture	texture
swifter	harder	harder
swiftest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	texture	texture
messier	harder	harder
messiest	!	!
deeper	deeper	deeper
deep	deep	deep
deepest	!	!
deep	deep	deep
deeper	deeper	deeper
deepest	!	!
lower	higher	higher
low	upper	upper
lowest	!	!
low	temperatures	temperatures
lower	temperatures	temperatures
lowest	!	!
costlier	expensive	expensive
costly	!	!
costliest	!	!
costly	winters	winters
costlier	colder	colder
costliest	!	!
narrower	narrower	narrower
narrow	narrow	narrow
narrowest	!	!
narrow	winters	winters
narrower	colder	colder
narrowest	!	!
leaner	thinner	thinner
lean	!	!
leanest	!	!
lean	winters	winters
leaner	colder	colder
leanest	!	!
younger	adults	adults
young	brother	brother
youngest	!	!
young	winters	dfb
younger	cooler	cooler
youngest	!	!
smaller	!	!
small	larger	lighter
smallest	!	!
small	posture	posture
smaller	length	length
smallest	larger	larger
gentler	!	!
gentle	posture	posture
gentlest	!	!
gentle	posture	posture
gentler	!	!
gentlest	!	!
mightier	!	!
mighty	posture	posture
mightiest	!	!
mighty	posture	posture
mightier	!	!
mightiest	!	!
leaner	!	!
lean	posture	posture
leanest	!	!
lean	posture	posture
leaner	!	!
leanest	!	!
fancier	!	!
fancy	posture	posture
fanciest	!	!
fancy	posture	posture
fancier	!	!
fanciest	!	!
kinder	!	!
kind	blunt	blade
kindest	!	!
kind	blunt	blunt
kinder	!	!
kindest	ein	ein
wider	!	!
wide	rounded	rounded
widest	!	!
wide	tapering	tapering
wider	width	width
widest	broader	broader
pricier	!	!
pricey	blunt	blunt
priciest	!	!
pricey	blunt	blunt
pricier	!	!
priciest	!	!
firmer	!	!
firm	blunt	blunt
firmest	!	!
firm	blunt	blunt
firmer	!	!
firmest	!	!
brighter	!	!
bright	luminous	luminous
brightest	!	!
bright	constellation	stellar
brighter	constellation	constellation
brightest	bright	bright
steadier	faster	faster
steady	!	!
steadiest	!	!
steady	broad	broad
steadier	wider	wider
steadiest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	broad	broad
classier	wider	wider
classiest	!	!
sadder	novi	bigger
sad	!	!
saddest	!	!
sad	broad	broad
sadder	wider	wider
saddest	!	!
meaner	variance	squared
mean	!	!
meanest	!	!
mean	broad	broad
meaner	wider	wider
meanest	!	!
faster	quicker	quicker
fastest	slow	slow
fast	!	!
fastest	right-arm	right-arm
faster	faster	faster
fast	!	!
louder	!	!
loud	mellow	mellow
loudest	!	!
loud	calm	calm
louder	!	!
loudest	quieter	quieter
newer	!	!
new	modest	modest
newest	!	!
new	caring	caring
newer	fraternity	fraternity
newest	versions	versions
bloodier	!	!
bloody	calm	calm
bloodiest	!	!
bloody	calm	calm
bloodier	!	!
bloodiest	!	!
younger	!	!
young	elder	elder
youngest	!	!
young	caring	caring
younger	daughter	daughter
youngest	brother	brother
closer	!	!
close	toward	toward
closest	!	!
close	caring	sympathetic
closer	nearest	nearest
closest	than	than
clearer	!	!
clear	downloading	downloading
clearest	!	!
clear	agent	agent
clearer	!	!
clearest	brighter	brighter
richer	!	!
rich	offseason	offseason
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	lighter	rich
meaner	!	!
mean	agent	agent
meanest	!	!
mean	agent	agent
meaner	!	!
meanest	!	!
older	!	!
old	living	living
oldest	!	!
old	extant	extant
older	dating	dating
oldest	65	65
deeper	!	!
deep	depths	deep
deepest	!	!
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
weaker	stronger	stronger
weak	stronger	problematic
weakest	weakened	weakened
weak	perennial	perennial
weaker	thinner	thinner
weakest	axiom	axiom
sadder	'm	'm
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
better	better	better
good	good	good
best	...	ever
good	nominated	nominated
better	nominated	award
best	good	good
stronger	stronger	stronger
strong	weaker	weak
strongest	intense	intense
strong	centimeters	centimeters
stronger	storm	strengthened
strongest	weaker	withstand
lighter	ultraviolet	ultraviolet
light	heavier	darker
lightest	!	!
light	warm	warm
lighter	warmer	warmer
lightest	!	!
wilder	domesticated	domesticated
wild	silent	pretty
wildest	!	!
wild	warm	warm
