,sgns_rand_pinit2,sgns_rand_pinit2,sgns_rand_pinit1-rev,sgns_rand_pinit2-rev,sgns_svd,sgns_svd,sgns_rand_pinit2-rev,sgns_rand_pinit3,sgns_rand_pinit3,sgns_rand_pinit2,sgns_rand_pinit1,sgns_rand_pinit1,sgns_rand_pinit1-rev,sgns_rand_pinit3-rev,sgns_rand_pinit3,sgns_rand_pinit3,sgns_rand_pinit2,sgns_rand_pinit3,sgns_rand_pinit1,sgns_rand_pinit1,sgns_rand_pinit1,sgns_rand_pinit2,sgns_svd,sgns_svd,sgns_rand_pinit1-rev,sgns_rand_pinit1,sgns_rand_pinit2,sgns_rand_pinit1
"""billboard""",0.040791895437969572,0.0013989873881481429,0.14379762474171098,0.14431436320245294,0.1465867984415502,0.14509641225450753,0.0015702340027886619,0.12931710469878932,0.042656836734465853,0.040996637852117934,0.14884767741168548,0.0017973477437722707,0.0019234167433459515,0.1451406047486079,0.042951733837467865,0.043312619034016064,0.041114353539327464,0.14769972137723908,0.0016676538398932017,0.041207834467527737,0.041275117310652587,0.12986827737249906,0.14517115681756343,0.04263015075388743,0.0015363341289177379,0.041172601065461945,0.14787827207911031,0.130891224590997
"""de",0.059179412822200406,0.0019012607936064185,0.21740535312164044,0.21487426973760382,0.21361607234024582,0.20976922218585192,0.0023538516348055039,0.21247921986644935,0.059639509187037754,0.060509225036379566,0.24001025975169499,0.0026771680453326896,0.002516229257481184,0.21830746560320979,0.060677630632836377,0.061141300193149672,0.060222867707098171,0.24365723895529734,0.0028230962206858834,0.059502609348576319,0.060720695424453686,0.21111961073574415,0.21050395285785173,0.068010376762037361,0.002546780660501069,0.060875219671532421,0.2412531783883225,0.20973965773428471
"""i",0.058649036137132016,0.0016488249437890401,0.14013931232077859,0.13978201639679011,0.15405200950287823,0.15319300613322295,0.0018499119163823963,0.14108951559016336,0.056020863979241109,0.057109847944159631,0.16004582136529399,0.001867702197069776,0.0019106287713163139,0.14073051343596132,0.055727054892077854,0.054756840193841749,0.058206416185039078,0.1588209427109355,0.0018385477425754138,0.057568795546840246,0.057147404879952401,0.14220125627349944,0.15161890762022712,0.055580424730738653,0.001857842750502714,0.056060852841005149,0.15971719006017215,0.14345593009296442
"""in",0.072095219217475415,0.0019622990273477914,0.15890477742223696,0.15936431292539865,0.1840227257135012,0.18427877329789455,0.0027465352936304477,0.16834885993809412,0.07182514525732786,0.073487899927854206,0.17477522519615518,0.0025506463925729639,0.0026988055213739148,0.1581985584584239,0.070942444481818301,0.0727082316795854,0.071232659197477455,0.17216506278245536,0.002398383519191305,0.071985764857628975,0.071317468427653519,0.16790236427028649,0.18188509973680778,0.063665699717912472,0.0024141624852621613,0.073299278227364373,0.17335987068707304,0.16704334009147115
"""it",0.068671278684631964,0.0021622810694000849,0.17801112039699252,0.18023486253719667,0.19389320474912353,0.19299460862295403,0.0023758773389322974,0.17935966720216301,0.069265128282332,0.069142775830188463,0.19838954660708508,0.0026763368913035324,0.0028133830142647032,0.18024203650951554,0.068268682696500771,0.069678768039329153,0.067499078154475534,0.19812924940354593,0.0024256070319692569,0.067105386365062802,0.065999378255787278,0.1801735520347777,0.19005440757163872,0.061179204542037069,0.0027520232487941998,0.067412170116842973,0.19814176109671222,0.18032179130478898
"""la",0.067031335201540809,0.0021121588252290824,0.17443089936534351,0.17156680901572863,0.18254132343328555,0.18235690381549619,0.0021885833528051402,0.18767965562308619,0.069517480461091852,0.066501436860807672,0.21244858888261497,0.0028228062494666251,0.0024274143439602103,0.17241006841593476,0.068319984954447688,0.069223150500576369,0.065892022416159879,0.21497305040909986,0.0028291992775514307,0.068564319102330851,0.067631835161609533,0.18403339097527738,0.18365643144178068,0.069374456824109698,0.002164200227219748,0.068180797803513715,0.21099466762410801,0.18530063051075552
"""my",0.0573218720038986,0.0017837240588762793,0.1616253430345318,0.16033086914364914,0.1812053005510168,0.1809687042737439,0.0025289424801530069,0.17077927751555066,0.05793163701448123,0.056296419883627768,0.18207090342665444,0.0025333833326772748,0.002281315031921638,0.16093010508129424,0.055597394465327521,0.056964787857129773,0.055189817376405714,0.17950148532587595,0.0023884130413976967,0.060368062885127083,0.057937145099613674,0.16980975482427263,0.18135419520628182,0.060199983347609454,0.00221839277634861,0.058899958417593767,0.18003612899454846,0.17090730151844258
"""new",0.06172841320582434,0.0019466019512427435,0.14322996835909108,0.14190101992434012,0.15376261303431249,0.15311247214474744,0.0018566765692884513,0.14808465172857466,0.061046648760149202,0.062803018950892797,0.16910589908145301,0.002452826772856076,0.002233650466730297,0.14356564858753307,0.060844536924643089,0.061946335400161923,0.061721455514896495,0.16810115650911006,0.0025528816473914251,0.06197232833850197,0.061630383310051551,0.14869805966345517,0.15301734192571359,0.055390070222876786,0.0019440242757898796,0.062684928497902637,0.1683476655022188,0.15059627459660441
"""one",0.076318782013017339,0.0022245618798830691,0.17696818137539883,0.17964488852575244,0.20755339712463206,0.20787411826734936,0.0028027590710779648,0.19295912470744936,0.07645056691370844,0.076362669923190074,0.19887980040318032,0.0033657815510256262,0.0026457118261407064,0.17928637303296746,0.076477756333460989,0.07623053517293088,0.076392788533187206,0.19918058441267039,0.0026423935277471999,0.075728666885375717,0.07534548254809037,0.19348513949670532,0.20646685526264197,0.062753951658551466,0.0025120721486475706,0.07477709019009382,0.19998745477265645,0.19343332315217476
"""the",0.044905994508894986,0.0011816109818150178,0.078490995917297801,0.077108310340140429,0.090128769252951102,0.089920750788112014,0.0011730288855661408,0.073704398303308438,0.044576822806731586,0.044551585248847725,0.085323737197249727,0.0013454288008528659,0.0012779312180378755,0.077528137534941033,0.044305278818942528,0.044241497633420446,0.044892565330867495,0.084611062597884534,0.0012638638710935624,0.045048121232565519,0.044907975212822748,0.075824217802739402,0.090721900502775066,0.042781866864705309,0.0010218971154656309,0.044576350783271934,0.085924312924239299,0.074817805918534708
"""this",0.066386766467641078,0.0023777080140364726,0.15682017447537056,0.15799202174164717,0.18075186258143572,0.17996796750079669,0.0028451975527572504,0.17033017603754563,0.066467438289299463,0.06792459990210109,0.1821355795022761,0.0034136500813731763,0.0027925106515001019,0.15785185910332311,0.064902845154465871,0.068057057996741999,0.065064199702011383,0.17940988455190265,0.0032182574849605183,0.065186032021313345,0.06367757049146261,0.17339722134997038,0.17830303281330906,0.0544688699531789,0.0020967704488293881,0.066714066102869007,0.18091478020953122,0.17420593066256895
"""to",0.074813145394146185,0.0019484347923397483,0.17729938391281763,0.17337043099900784,0.1908789454026093,0.19104314104888898,0.0022140245679690418,0.16700543863260997,0.075375213307134703,0.073406333702364046,0.18402129198050798,0.0024560345154818197,0.0023893928909591855,0.17225099723907777,0.074070762573921534,0.074377528655138581,0.073418032337670192,0.18145104197267403,0.0025298169411924754,0.075720970640512308,0.074254546989873438,0.16770299611217521,0.19303697977824685,0.062877000406099226,0.0022144757133100157,0.074225295774511868,0.18207044328394539,0.16853762566872488
"""we",0.067296964169042517,0.0018963757892780375,0.16695776095830606,0.16699457408244489,0.17995457302996121,0.18035553733461807,0.0020398420953317009,0.17243877880923697,0.065826870884909905,0.06660605861705049,0.18864971595230806,0.0027793442731535167,0.0021664521179123319,0.16592433698665243,0.064975942288160171,0.065013603235050343,0.066512274588491849,0.18774779260478058,0.0025174254328426127,0.066021676954773678,0.064836483091057828,0.17248579013151988,0.17832830512502396,0.057697833462865611,0.0017689225214820858,0.064980654118629411,0.18797756453590153,0.17456197738071777
&,0.051740983507352456,0.001147570289722788,0.08845523125568111,0.089186406469529134,0.10041211322452803,0.10129429463088413,0.0011629297936177618,0.088949541890704031,0.051914122747313329,0.051119043804720987,0.11250998531286405,0.0014903444660142595,0.0015769163783053708,0.088324341563586373,0.051083046044982261,0.051419159707339235,0.050799176533003587,0.1120899437432421,0.0014971549409924512,0.051378106098357024,0.05067568127913602,0.090154586006983117,0.1001894841951968,0.04708602058822231,0.0012781063924787173,0.050764712368749798,0.11183959087931106,0.091278709644131428
'the,0.07607829996014559,0.0023702159455382121,0.18199640627604441,0.18169836726073563,0.19860041897553971,0.19915695244177833,0.0025780330602316326,0.17546097245250847,0.076276424188933878,0.075103776025039815,0.19648071397580935,0.0030125287994318128,0.0028760809463577175,0.18099197280810753,0.076141721021427133,0.075337972570354905,0.076063378652877378,0.19446291389710824,0.0032179786815752509,0.077064100052131712,0.077357710404361235,0.17681620645275165,0.19783181320574228,0.067877116741034582,0.0029754128554494441,0.075963015255514521,0.19502473349604432,0.17611839681797814
(,0.064644344458363201,0.0022172895762555545,0.19454038539481844,0.19594441074258251,0.2165863775937118,0.21914914941424302,0.0019833242904021553,0.18709217615731422,0.065194005997080806,0.065448168791628958,0.19584749978453464,0.0028481430313347378,0.002961723382806758,0.19376349179599028,0.065046269649759347,0.066030079322427437,0.064483505640588801,0.19810934894335153,0.0029186388717102885,0.064573530361958453,0.064606714036374191,0.18856157232173354,0.21650241817791149,0.066363813515782355,0.0026009662880179807,0.065003250538006596,0.19807841519383429,0.1862397696804422
(),0.052860822930790752,0.0016955010997742326,0.13290908715767791,0.13446606941923811,0.14399795439481566,0.14448203245312807,0.0018854082336817735,0.13644699170442376,0.053620079678215915,0.05342136536549813,0.15652756967005288,0.0020795031000220288,0.0021804524230194522,0.13327116031044461,0.054065602933475954,0.054483536543724509,0.053149347579956596,0.15584804180070688,0.0019665623189046855,0.053165174436263563,0.053354394113485193,0.13795261835236117,0.1428703138996672,0.054124546964824161,0.0016211277412128133,0.053735072850054189,0.1560814794962242,0.13795253119423057
"(),",0.057052887914070149,0.0015380751053006847,0.16447938582426336,0.16427886942174774,0.18309969506393819,0.18382001599645492,0.0018872235817479766,0.1661175209177479,0.059295011107189155,0.057281136332723359,0.17673773367090495,0.0019273035119801163,0.0020107500474783047,0.16351385612073754,0.058901730052892898,0.059412831420313617,0.056751407373800244,0.17534020074102574,0.0022562549705044121,0.058745527480907667,0.058700718178257838,0.16640061007941565,0.18327559048570363,0.053488958591191405,0.0019694438580759588,0.058837751966820284,0.17512421607317019,0.16832429037141439
().,0.049261233665614412,0.0010866805114634337,0.19601607895756035,0.1952363953672176,0.21243268243775937,0.20991855415147087,0.0018523587324705826,0.20269310032122134,0.05011946586533067,0.048099334405622973,0.21613453560042395,0.0015266363089094792,0.0017832643231752154,0.19745190348435526,0.050703726201969723,0.049111379470483052,0.049874742755986023,0.21710438435140023,0.0014936500616817838,0.050772316071197476,0.051457089036921921,0.20250790274110408,0.2106075331673315,0.075414156836815405,0.0015663513389614359,0.049478913367008159,0.21730555632242299,0.20175005834537496
"(,",0.04788793717681683,0.0014499873136589736,0.13470016517858652,0.13358080611960921,0.14611436383674026,0.1445287383981041,0.0017002065719426973,0.1351044515976737,0.046147945652354916,0.048907657105994651,0.15499777697520867,0.0021620385954734811,0.0018775677125144608,0.13479918576143357,0.04576113535863946,0.047295772458934349,0.047626400174283545,0.15319947531865874,0.0017892737453021335,0.045602754691387415,0.045264935573479326,0.13628317628756648,0.14506239569394674,0.047263751459245107,0.0016281713904459094,0.04641144644531392,0.15573403379582085,0.13735053131865471
(;,0.052629079905506138,0.0016822005592322942,0.1903567071740887,0.19021355378391136,0.20601264923729645,0.20567127894881487,0.0017571446580960659,0.18265667252393336,0.052752544981804483,0.051100749385186495,0.19238041720170818,0.0020774353100662113,0.0022643220099070049,0.19003229874527372,0.052407514680116063,0.051229685051599083,0.052124785634129589,0.19103264505989526,0.0020090963762128267,0.051536203409535686,0.05116310723873474,0.18146709138355532,0.20517285730968915,0.049473378510359267,0.0016844908110593693,0.049970788427757262,0.18967800302191196,0.18425249095475693
(a,0.077301025838351078,0.0023728647446216167,0.13861981682805113,0.13928957772698258,0.14917968675213888,0.15029548343317778,0.0021282218731905056,0.13696525869881671,0.076112531776499792,0.077905329434061588,0.15768361934433373,0.0027678486059491414,0.0023013019089360709,0.13939072145027009,0.075199660230844456,0.076644689798894827,0.07630267059730611,0.15511992934458485,0.0026520601141513112,0.077533460945533372,0.076618145045078578,0.1386168029507896,0.14856275418740028,0.051618736338532645,0.0021286658610473186,0.077795718800043989,0.15658723894562754,0.13798645991301384
(also,0.085819691550271138,0.0026957575971942038,0.19242545027796643,0.19358321751102836,0.20290976193510679,0.20118379015046683,0.0029008201485943852,0.18964398652678838,0.083507331577853283,0.085276402858650791,0.21881545667834135,0.0032374123616280004,0.0032382661992594874,0.19567564476243515,0.08430828140245672,0.0833971893731138,0.08650163569775593,0.21729527081457034,0.0030662704503934268,0.084934868041331102,0.085819453661127976,0.19251536648300194,0.19963844331861458,0.0654448267008646,0.003269229375606475,0.08465475862578431,0.21900752374973775,0.19259817762262943
(and,0.07681231530225352,0.0025593862801155387,0.15005549384254069,0.14915899715661907,0.16434206924263095,0.16492029756740312,0.0024977218202502094,0.16223004579539935,0.075494871127493535,0.077189599879066262,0.18449402500209688,0.0028217699864735435,0.0027014922249937179,0.14899933509420971,0.074343140744451697,0.075732641490066754,0.075998366309809273,0.18142839979340986,0.0032278445200225603,0.075902624829046195,0.075034511893905753,0.16340736571656889,0.16514932702147478,0.056074560665287154,0.0024300419824475616,0.076027142784849788,0.18500769168978104,0.16577245508803184
(as,0.064759376693387383,0.0021632225236660751,0.16656724509393328,0.16693100861249488,0.18663947637449874,0.18618579870628615,0.0031788486202437571,0.17879849140383142,0.064511411652785955,0.06342270709257225,0.18729737408290981,0.0028716788088244405,0.0031216169314398634,0.16676042484816234,0.065292128509138903,0.063728730959880187,0.06524446204883716,0.18884376289765914,0.0026070486097988788,0.062998854978744356,0.063647639722395399,0.17853657943547008,0.1841013677138551,0.057684274172063676,0.0032130770709061229,0.061940499314028563,0.18693256409742542,0.17811378348463835
(born,0.039486859441478561,0.0013927686133264894,0.11092712825125106,0.11238492311992265,0.12098868612650415,0.12182531099738159,0.0014178436758303103,0.11069743490344075,0.03965619214161531,0.038541540979887601,0.12398247688502473,0.0019282512193978807,0.0015553466838269525,0.11128371221178934,0.038574273544136783,0.03898851255083402,0.038385937808610548,0.12266643572088132,0.0016310523218892037,0.040126334562643473,0.039095212716551919,0.11147238741241083,0.11998863803478177,0.044355748798002304,0.0016616227635790626,0.039208328009667115,0.12351274350230002,0.11177094809216237
(disambiguation),0.07642745011421459,0.0017178330072289416,0.21491818904067217,0.21401694540623029,0.23739383314304952,0.23471082812304911,0.0021779041348951589,0.21802133941706026,0.077091383838394978,0.075412071483749288,0.26142022371698637,0.0027133386035294027,0.0023370042914594436,0.21585799478175116,0.077218379712451046,0.076340360396197404,0.076512567831495737,0.26141220716592628,0.0023403406704989305,0.076941421918101605,0.076664508245950835,0.21892645773073094,0.23602095374169341,0.071315533455987845,0.0021075219149493396,0.075821327586774401,0.26221754174501044,0.21837300675337257
(e.g.,0.073243322734683813,0.0027517536381650443,0.18871353910015609,0.18598488965690652,0.20348957108245225,0.20450007540659654,0.0025447419150834705,0.19911731619932005,0.07301110432268465,0.072572682179730119,0.21388520591950111,0.0033867027214425915,0.0027508198249098781,0.1852416645961964,0.071541545620842584,0.072710191460421014,0.071467077279994129,0.2128829538340512,0.0034426148164533599,0.073210197094008556,0.072015451061610114,0.19766838643526807,0.20670175210296882,0.048653434570504639,0.0025102036803428263,0.072583224693320791,0.21228969067834735,0.19991726099372797
(for,0.063339010260975104,0.0021621497252261035,0.17684739622695111,0.17710513103915304,0.18350381691410589,0.1859670809480668,0.0025349838353181386,0.15968800437620811,0.062721962774621609,0.063994826089239343,0.18081433614864439,0.0026469434883232834,0.0024355537084181922,0.17450649709545829,0.062944135963213466,0.063645190569913912,0.063860448377854429,0.18060261481819095,0.0025222318012002587,0.065823718343160142,0.06606879932569254,0.15928645515769868,0.1845830933764756,0.05339147101953845,0.0028169883277309182,0.066201650214157803,0.1789905508411983,0.16197300864531561
(formerly,0.060406205279057712,0.0019626373655130536,0.18129202241388143,0.17915598101804286,0.18237156306712998,0.18186668659211924,0.0027479175567410863,0.17165116173971029,0.061217866298711177,0.062692865241302353,0.20509357564118869,0.002820210472127993,0.0028833047338423512,0.17853468016181195,0.061447848000247496,0.063480550978435635,0.06092503088135659,0.20292720561089006,0.0027310575406841453,0.060984345689821473,0.061778492395903051,0.17220690711747211,0.18311447604759368,0.059928399451388836,0.0028034434751490478,0.062971939716465419,0.20509722287049237,0.17174820835613469
(from,0.069517912514687308,0.0019126407711723692,0.18730523734290938,0.19227515692274777,0.21111738787417322,0.21101964624962521,0.0024964546121346576,0.18088631873522176,0.069036071320362269,0.070544939618064406,0.20120833009187911,0.0025506152755612188,0.0027413735064563127,0.19036851500511076,0.070642141127039926,0.070456986270813204,0.070759207606891472,0.20112271637821189,0.0026090658777268017,0.0691726966065912,0.070725756708360898,0.17930318878576956,0.20785754711278781,0.069695229101108147,0.0022527448628696378,0.070135965100483366,0.2000366591926982,0.17987352598736417
(in,0.062802410534964714,0.0015902175542232833,0.13196588386983765,0.13334885632344518,0.1490259616194658,0.14718769757616079,0.0021801721871752555,0.12084210454152355,0.063286947876867283,0.062596428877054078,0.14619950954065564,0.0018122840029234366,0.0021918966692802133,0.13331437960548354,0.062927963380774776,0.063321924125222973,0.06248032906327905,0.1429435897476774,0.00191216284941087,0.065967205936883877,0.065657647146838083,0.12217692718133533,0.14568826940221258,0.050904566851852517,0.0020439333392534564,0.065863684705691594,0.14341203809317005,0.12346296613566043
(including,0.071714367500383625,0.0019551953684661116,0.17552316823199121,0.17542646035056897,0.19508607405112333,0.19558730547220338,0.0029056632534036897,0.16608298234640073,0.070261566361093708,0.071110607037316975,0.17857432804797757,0.0025775449953135965,0.0027531636454500852,0.17401935972384441,0.069761168608888258,0.069918074479773384,0.071186022784364922,0.17609939933329988,0.00263392195732437,0.070819376614259966,0.070068232150165444,0.16997043210854934,0.19452389353127553,0.06213605853562576,0.002519965166264293,0.070428894733727043,0.18001079111441909,0.16980062318859801
(later,0.074893813430373934,0.0021396697322300096,0.17797265928689887,0.17835861512088957,0.19680097872113778,0.19917993821245727,0.0026352823993686103,0.1778297190835626,0.074162378006872087,0.074704082819841866,0.19297114434017848,0.0029417214117793966,0.0029938804931989305,0.17622373833981964,0.074215674753068117,0.074120632595543245,0.074798187781729419,0.18936312626021257,0.0028152625699778833,0.074714951421290698,0.073827479322519984,0.17905941821628635,0.19621877369233909,0.063391240751001554,0.0027984712186653882,0.073791102803197783,0.19148447444308059,0.18044514093619768
(now,0.056953021629070899,0.0017989926859914851,0.16218058228656651,0.16035280417638009,0.16611442703182233,0.16428318926582886,0.0019310760675721461,0.14753440520836658,0.055813792212007329,0.057138043394202032,0.17517053507065139,0.0023654255812870506,0.0025368639037454122,0.16111235869779528,0.056702990922511409,0.056095302955923465,0.058058778688892199,0.17388145650458775,0.0021048890108504859,0.056898333029363535,0.057801408793264564,0.15026715212698094,0.16481958556735632,0.063743512999804741,0.002138437394854531,0.056745879919227082,0.17622149517403951,0.1490582560607886
(or,0.050784271741691978,0.001862981237161776,0.12747619878418703,0.1284702180923557,0.1414001295433378,0.13998749384615461,0.0020640746435286461,0.13824927818575417,0.051021132610475917,0.051999611195153728,0.15148835520792858,0.0025375290798634875,0.0022594442661862946,0.12798729877085335,0.051501620078997723,0.05244442919763237,0.051037214601104441,0.15231891911747419,0.0023334953497122779,0.050501006120862835,0.050615373276258979,0.13982371862465659,0.13907733031353309,0.04731233106156385,0.0019120241911060321,0.0514698560462995,0.15238032558051751,0.1396795270237009
(see,0.069715818969872778,0.0022373776644887267,0.1889811740166073,0.18784758905318999,0.1980179337419552,0.20137064247115644,0.002721973653686427,0.1955854584405905,0.069807977114594189,0.070188294255167927,0.21790725128693922,0.0030223207984595435,0.0027290116145796128,0.18389093951419011,0.069560445384096448,0.070245600669418651,0.069442271915962528,0.21255086190098782,0.0029452365876641018,0.069576389696774266,0.068969968878461851,0.19688357418094471,0.20222332790899844,0.051441302226810315,0.0028645324508632664,0.069758943818938657,0.21486496147765843,0.20082281216107334
(such,0.060215627262078075,0.0017971356366878188,0.16370965592909703,0.16502468337078691,0.17605818675727747,0.17610958351326378,0.0023150740272703807,0.16764180979290622,0.058833853064365504,0.05829352178762004,0.18854836107337292,0.0025262538603848528,0.0025177146443614573,0.16524044982621067,0.057306611242476713,0.057186700045982586,0.058791812832564072,0.18468476819849788,0.0024249255016274285,0.060489667147412662,0.058718302191712923,0.16882829154722823,0.17429383515329777,0.052326028287552728,0.0023801924076553016,0.058397322023929776,0.18583308923613961,0.17052782860816529
(the,0.065408789799979661,0.0015231728590762161,0.12172169945363787,0.1229645189566807,0.13045832834713433,0.12947250709197988,0.0018148301965561497,0.11899237114033734,0.065121041406879909,0.066444556407687316,0.14354298125503973,0.002046569436159329,0.0024103259079151229,0.12363870869863536,0.066065034950344215,0.066212542390959195,0.066103925651554096,0.14486021212936562,0.0019431864796889409,0.066010950507742305,0.066577891519633559,0.11854413983012246,0.12843549465583071,0.050931341917626161,0.0021615011200949441,0.066670969703360616,0.14416700747684674,0.11856516843555653
(which,0.065986761963295892,0.0022016785218442747,0.15998363849853359,0.16027049642121283,0.16678323982557797,0.16677364783446191,0.0024938824031555118,0.16190404626479316,0.067884842463390549,0.065634143827114189,0.19427833169666686,0.0027104790253479338,0.0023363062347360186,0.15999023758216779,0.067531937255188135,0.067252391253655452,0.065970880882564087,0.18838565579325539,0.0028826453774387639,0.068584662258734497,0.068286130977052939,0.16330920979523167,0.1660549829145519,0.064706438414561807,0.0021627126522189011,0.067256988526064321,0.1891382885557048,0.16712347975249708
