iraq	ottoman	ottoman
australia	pakistan	pakistan
vietnam	pakistan	pakistan
cuba	pakistan	pakistan
finland	pakistan	pakistan
pakistan	pakistan	pakistan
spain	atltico	atltico
russia	russia	russia
norway	norway	norway
canada	canada	saskatchewan
france	france	france
italy	roman	roman
sweden	sweden	sweden
iran	iran	iran
japan	odi	odi
greece	greece	greece
iraq	iraqi	iraqi
thailand	thailand	thailand
china	qing	qing
germany	und	germany
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	rugby
vietnam	!align="right	!align="right
cuba	cuba	england's
finland	finnish	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
china	paralympics	paralympics
germany	germany	germany
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	castile	spanish
finland	finland	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	borough	borough
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	borough	england
spain	spain	spain
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	england	england
spain	spain	spain
russia	russia	russia
france	france	france
italy	roman	roman
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	paralympics	paralympics
iraq	iraq	iraq
thailand	thailand	thailand
china	china	china
germany	leipzig	leipzig
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	borough	england
spain	atltico	atltico
russia	kiev	kiev
norway	norway	norway
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	paralympics	paralympics
iraq	iraqi	iraqi
thailand	thailand	thailand
china	paralympics	paralympics
germany	germany	germany
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	spain
finland	estonia	estonia
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	england	england
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canada	canada
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
china	olympics	china
germany	germany	germany
switzerland	!align="right	!align="right
egypt	egypt	malta
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	england	england
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	england	england
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
japan	census	japan
greece	paralympics	paralympics
iraq	iraq	iraq
thailand	thailand	thailand
china	china	china
germany	leipzig	leipzig
switzerland	!align="right	!align="right
egypt	romanized	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	census	borough
spain	province	spain
russia	russia	russia
norway	census	norway
canada	canada	canada
france	france	france
italy	roman	roman
sweden	sweden	sweden
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
vietnam	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
afghanistan	!align="right	!align="right
england	america	america
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	apostolic	apostolic
sweden	sweden	sweden
iran	iran	iran
ghana	cameroon	cameroon
algeria	cameroon	cameroon
jordan	cameroon	cameroon
turkey	cameroon	cameroon
madagascar	cameroon	cameroon
samoa	cameroon	cameroon
turkmenistan	cameroon	cameroon
eritrea	cameroon	cameroon
kazakhstan	cameroon	cameroon
greece	cameroon	cameroon
iraq	tanzania	sudan
azerbaijan	cameroon	liberia
mali	cameroon	cameroon
thailand	thailand	thailand
gambia	cameroon	cameroon
china	cameroon	kenya
lebanon	lebanon	lebanon
serbia	cameroon	congo
belize	cameroon	cameroon
germany	cameroon	cameroon
switzerland	cameroon	cameroon
kyrgyzstan	cameroon	cameroon
slovakia	cameroon	cameroon
belgium	cameroon	cameroon
romania	cameroon	cameroon
hungary	cameroon	tanzania
burundi	cameroon	cameroon
egypt	sudan	sudan
australia	cameroon	cameroon
venezuela	cameroon	cameroon
moldova	cameroon	cameroon
guinea	cameroon	cameroon
denmark	kenya	kenya
senegal	cameroon	cameroon
syria	cameroon	sudan
bangladesh	cameroon	cameroon
qatar	cameroon	cameroon
ireland	galway	galway
tajikistan	cameroon	cameroon
algeria	cameroon	cameroon
jordan	cameroon	cameroon
turkey	cameroon	cameroon
madagascar	cameroon	cameroon
samoa	cameroon	cameroon
turkmenistan	cameroon	cameroon
eritrea	cameroon	cameroon
kazakhstan	cameroon	cameroon
greece	cameroon	mali
iraq	sudan	sudan
azerbaijan	congo	liberia
mali	cameroon	cameroon
thailand	nigeria	nigeria
gambia	cameroon	cameroon
china	kenya	kenya
lebanon	ivory	ivory
serbia	congo	congo
belize	cameroon	cameroon
germany	cameroon	cameroon
switzerland	cameroon	cameroon
kyrgyzstan	cameroon	cameroon
slovakia	cameroon	cameroon
belgium	congo	congo
romania	cameroon	cameroon
hungary	cameroon	tanzania
burundi	cameroon	cameroon
egypt	sudan	sudan
australia	cameroon	brisbane
venezuela	cameroon	cameroon
moldova	cameroon	cameroon
guinea	cameroon	cameroon
denmark	congo	kenya
senegal	cameroon	cameroon
syria	mali	sudan
bangladesh	cameroon	cameroon
qatar	cameroon	cameroon
ireland	galway	galway
tajikistan	cameroon	cameroon
tuvalu	cameroon	cameroon
jordan	tunisia	tunisia
turkey	tunisia	tunisia
madagascar	tunisia	tunisia
samoa	tunisia	tunisia
turkmenistan	tunisia	tunisia
eritrea	tunisia	tunisia
kazakhstan	tunisia	tunisia
greece	tunisia	tunisia
iraq	tunisia	tunisia
azerbaijan	tunisia	tunisia
mali	tunisia	tunisia
thailand	tunisia	tunisia
gambia	tunisia	tunisia
china	tunisia	tunisia
lebanon	tunisia	tunisia
serbia	serbia	yugoslavia
belize	tunisia	tunisia
germany	leipzig	leipzig
switzerland	tunisia	tunisia
kyrgyzstan	tunisia	tunisia
slovakia	tunisia	tunisia
belgium	belgium	flemish
romania	tunisia	tunisia
hungary	libya	libya
burundi	tunisia	tunisia
egypt	tunisia	tunisia
australia	tunisia	tunisia
venezuela	tunisia	tunisia
moldova	tunisia	tunisia
guinea	tunisia	tunisia
denmark	stockholm	stockholm
senegal	tunisia	tunisia
syria	syria	syria
bangladesh	tunisia	tunisia
qatar	tunisia	tunisia
ireland	tunisia	tunisia
tajikistan	tunisia	tunisia
tuvalu	tunisia	tunisia
botswana	tunisia	tunisia
turkey	arabia	arabia
madagascar	arabia	arabia
samoa	arabia	arabia
turkmenistan	arabia	arabia
eritrea	arabia	arabia
kazakhstan	arabia	arabia
greece	kuwait	greece
iraq	iraq	iraq
azerbaijan	syria	syria
mali	arabia	arabia
thailand	thailand	thailand
gambia	arabia	arabia
china	paralympic	paralympic
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	arabia	arabia
germany	leipzig	leipzig
switzerland	arabia	arabia
kyrgyzstan	arabia	arabia
slovakia	arabia	arabia
belgium	belgium	belgium
romania	romania	romania
hungary	turkey	conservatory
burundi	arabia	arabia
egypt	egypt	egypt
australia	brisbane	brisbane
venezuela	arabia	arabia
moldova	arabia	arabia
guinea	arabia	arabia
denmark	stockholm	stockholm
senegal	arabia	arabia
syria	syria	syria
bangladesh	arabia	arabia
qatar	arabia	arabia
ireland	galway	galway
tajikistan	arabia	arabia
tuvalu	arabia	arabia
botswana	arabia	arabia
guyana	syria	syria
madagascar	syria	syria
samoa	syria	syria
turkmenistan	syria	syria
eritrea	syria	syria
kazakhstan	syria	syria
greece	greece	greece
iraq	iraq	iraq
azerbaijan	azerbaijan	azerbaijan
mali	syria	syria
thailand	thailand	thailand
gambia	syria	syria
china	paralympics	paralympics
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	syria	syria
germany	leipzig	leipzig
switzerland	syria	syria
kyrgyzstan	syria	syria
slovakia	syria	syria
belgium	belgium	belgium
romania	romania	romania
hungary	hungary	hungary
burundi	syria	syria
egypt	egypt	egypt
australia	australia	australia
venezuela	syria	syria
moldova	syria	syria
guinea	syria	syria
denmark	stockholm	istanbul
senegal	syria	syria
syria	syria	syria
bangladesh	syria	syria
qatar	syria	syria
ireland	cork	cork
tajikistan	syria	syria
tuvalu	syria	syria
botswana	syria	syria
guyana	syria	syria
vietnam	syria	syria
samoa	congo	congo
turkmenistan	congo	congo
eritrea	congo	congo
kazakhstan	congo	congo
greece	mauritius	butterfly
iraq	sudan	sudan
azerbaijan	mauritius	mauritius
mali	congo	congo
thailand	thailand	thailand
gambia	congo	congo
china	paralympic	butterfly
lebanon	lebanon	lebanon
serbia	serbia	yugoslav
belize	congo	congo
germany	leipzig	leipzig
switzerland	congo	congo
kyrgyzstan	congo	congo
slovakia	congo	congo
belgium	mauritius	mauritius
romania	cameroon	cameroon
hungary	tanzania	tanzania
burundi	congo	congo
egypt	egypt	egypt
australia	australian	australian
venezuela	congo	congo
moldova	congo	congo
guinea	congo	congo
denmark	stockholm	stockholm
senegal	congo	congo
syria	syrian	syrian
bangladesh	congo	congo
qatar	congo	congo
ireland	galway	galway
tajikistan	congo	congo
tuvalu	congo	congo
botswana	congo	congo
guyana	congo	congo
vietnam	congo	congo
zimbabwe	congo	congo
turkmenistan	fiji	fiji
eritrea	fiji	fiji
kazakhstan	fiji	fiji
greece	fiji	fiji
iraq	iraqi	iraqi
azerbaijan	fiji	fiji
mali	fiji	fiji
thailand	fiji	fiji
gambia	fiji	fiji
china	paralympic	paralympic
lebanon	lebanon	lebanon
serbia	serbia	serbian
belize	fiji	fiji
germany	leipzig	leipzig
switzerland	fiji	fiji
kyrgyzstan	fiji	fiji
slovakia	fiji	fiji
belgium	flemish	flemish
romania	romanian	romanian
hungary	fiji	fiji
burundi	fiji	fiji
egypt	fiji	fiji
australia	sydney	sydney
venezuela	fiji	fiji
moldova	fiji	fiji
guinea	fiji	fiji
denmark	stockholm	stockholm
senegal	fiji	fiji
syria	beirut	beirut
bangladesh	fiji	fiji
qatar	fiji	fiji
ireland	kilkenny	kilkenny
tajikistan	fiji	fiji
tuvalu	fiji	fiji
botswana	fiji	fiji
guyana	fiji	fiji
vietnam	fiji	fiji
zimbabwe	fiji	fiji
cuba	cuba	cuba
eritrea	!align="right	!align="right
kazakhstan	!align="right	!align="right
greece	paralympics	paralympics
iraq	iraqi	iraqi
azerbaijan	azerbaijan	azerbaijan
mali	!align="right	!align="right
thailand	thailand	thailand
gambia	!align="right	!align="right
china	paralympics	paralympics
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	!align="right	!align="right
germany	leipzig	leipzig
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	romanian	romanian
hungary	vienna	vienna
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	sydney	sydney
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	stockholm	stockholm
senegal	!align="right	!align="right
syria	beirut	beirut
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	galway	galway
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	university	university
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
kazakhstan	!align="right	!align="right
greece	paralympics	paralympics
iraq	iraqi	iraqi
azerbaijan	azerbaijan	azerbaijan
mali	!align="right	!align="right
thailand	thailand	thailand
gambia	!align="right	!align="right
china	paralympics	paralympics
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	!align="right	!align="right
germany	leipzig	leipzig
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	romanian	romanian
hungary	vienna	vienna
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	sydney	sydney
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	stockholm	stockholm
senegal	!align="right	!align="right
syria	beirut	beirut
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	galway	galway
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	university	university
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
pakistan	!align="right	!align="right
greece	ukraine	asia
iraq	iraq	iraq
azerbaijan	azerbaijan	azerbaijan
mali	ukraine	ukraine
thailand	thailand	thailand
gambia	ukraine	ukraine
china	china	china
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	ukraine	ukraine
germany	germany	germany
switzerland	ukraine	ukraine
kyrgyzstan	ukraine	ukraine
slovakia	ukraine	ukraine
belgium	belgium	belgium
romania	romania	romania
hungary	ukraine	ukraine
burundi	ukraine	ukraine
egypt	ukraine	egypt
australia	ukraine	melbourne
venezuela	ukraine	ukraine
moldova	ukraine	ukraine
guinea	ukraine	ukraine
denmark	ukraine	stockholm
senegal	ukraine	ukraine
syria	governorate	syrian
bangladesh	ukraine	ukraine
qatar	ukraine	ukraine
ireland	galway	galway
tajikistan	ukraine	ukraine
tuvalu	ukraine	ukraine
botswana	ukraine	ukraine
guyana	ukraine	ukraine
vietnam	ukraine	ukraine
zimbabwe	ukraine	ukraine
cuba	ukraine	ukraine
finland	finland	finland
pakistan	ukraine	ukraine
indonesia	ukraine	ukraine
iraq	ottoman	ottoman
azerbaijan	azerbaijan	azerbaijan
mali	!align="right	!align="right
thailand	thailand	thailand
gambia	!align="right	!align="right
china	cyprus	eurovision
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	!align="right	!align="right
germany	germany	germany
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	romania	romania
hungary	hungary	hungary
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	denmark	denmark
senegal	!align="right	!align="right
syria	syria	syria
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	ireland	ireland
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	cyprus	bosnia
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
indonesia	indonesia	indonesia
afghanistan	!align="right	!align="right
azerbaijan	azerbaijan	azerbaijan
mali	!align="right	!align="right
thailand	thailand	thailand
gambia	!align="right	!align="right
china	china	china
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	!align="right	!align="right
germany	leipzig	leipzig
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	romania	romania
hungary	vienna	vienna
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	brisbane	brisbane
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	denmark	denmark
senegal	!align="right	!align="right
syria	syria	syria
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	galway	galway
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	libya	albany
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finland	finland
pakistan	!align="right	!align="right
indonesia	indonesian	indonesia
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
mali	!align="right	!align="right
thailand	iran	thailand
gambia	!align="right	!align="right
china	iran	province
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	!align="right	!align="right
germany	leipzig	fr
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	iran	romania
hungary	iran	hungary
burundi	!align="right	!align="right
egypt	iran	iran
australia	iran	australia
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	iran	iran
senegal	!align="right	!align="right
syria	governorate	governorate
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	galway	galway
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	iran	iran
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	iran	iran
finland	estonia	estonia
pakistan	!align="right	!align="right
indonesia	iran	indonesian
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
thailand	niger	nigeria
gambia	tanzania	tanzania
china	tanzania	tanzania
lebanon	sudan	sudan
serbia	congo	congo
belize	tanzania	tanzania
germany	sudan	sudan
switzerland	tanzania	tanzania
kyrgyzstan	tanzania	tanzania
slovakia	tanzania	tanzania
belgium	congo	congo
romania	cameroon	cameroon
hungary	tanzania	tanzania
burundi	tanzania	tanzania
egypt	sudan	sudan
australia	niger	niger
venezuela	tanzania	tanzania
moldova	tanzania	tanzania
guinea	tanzania	tanzania
denmark	congo	congo
senegal	tanzania	tanzania
syria	sudan	sudan
bangladesh	tanzania	tanzania
qatar	tanzania	tanzania
ireland	niger	sudan
tajikistan	tanzania	tanzania
tuvalu	tanzania	tanzania
botswana	tanzania	tanzania
guyana	congo	congo
vietnam	tanzania	tanzania
zimbabwe	tanzania	tanzania
cuba	sudan	sudan
finland	tanzania	tanzania
pakistan	tanzania	tanzania
indonesia	congo	congo
afghanistan	tanzania	tanzania
uganda	tanzania	tanzania
nepal	tanzania	tanzania
sudan	tanzania	tanzania
gambia	!align="right	!align="right
china	china	china
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	!align="right	!align="right
germany	leipzig	der
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	romanian	romanian
hungary	laos	hungary
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	stockholm	stockholm
senegal	!align="right	!align="right
syria	governorate	governorate
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	galway	galway
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	vietnam	moth
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finland
pakistan	!align="right	!align="right
indonesia	indonesia	indonesia
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	ukraine	ukraine
china	paralympics	paralympics
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	!align="right	!align="right
germany	leipzig	leipzig
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	belgium	belgium
romania	romanian	romanian
hungary	vienna	vienna
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	sydney	sydney
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	stockholm	stockholm
senegal	!align="right	!align="right
syria	beirut	beirut
bangladesh	!align="right	!align="right
qatar	!align="right	!align="right
ireland	galway	galway
tajikistan	!align="right	!align="right
tuvalu	!align="right	!align="right
botswana	!align="right	!align="right
guyana	university	university
vietnam	!align="right	!align="right
zimbabwe	!align="right	!align="right
cuba	cuba	cuba
finland	finnish	finnish
pakistan	!align="right	!align="right
indonesia	indonesian	indonesian
afghanistan	!align="right	!align="right
uganda	!align="right	!align="right
nepal	!align="right	!align="right
sudan	!align="right	!align="right
ukraine	moscow	moscow
rwanda	!align="right	!align="right
lebanon	lebanon	lebanon
serbia	serbia	serbia
belize	!align="right	!align="right
germany	leipzig	leipzig
switzerland	!align="right	!align="right
kyrgyzstan	!align="right	!align="right
slovakia	!align="right	!align="right
belgium	dutch	dutch
romania	romania	romania
hungary	taiwan	taiwan
burundi	!align="right	!align="right
egypt	egypt	egypt
australia	australia	australia
venezuela	!align="right	!align="right
moldova	!align="right	!align="right
guinea	!align="right	!align="right
denmark	taiwan	denmark
