rougher	finer	finer
nice	!align="right	!align="right
nicest	bordeaux	bordeaux
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
broader	wider	wider
broad	broad	broad
broadest	widest	widest
broad	!align="right	!align="right
broader	!align="right	!align="right
broadest	wider	widest
savvier	!align="right	!align="right
savvy	!align="right	!align="right
savviest	!align="right	!align="right
savvy	!align="right	!align="right
savvier	!align="right	!align="right
savviest	!align="right	!align="right
greater	greater	greater
great	considerable	considerable
greatest	greatest	greatest
great	large	significant
greater	larger	major
greatest	greatest	greatest
wilder	cutthroat	cutthroat
wild	shelley	chaney
wildest	trout	garter
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	jamieson	jamieson
smoother	smoother	smoother
smooth	smooth	gentle
smoothest	hyphae	hyphae
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	smooth	soulful
mightier	elbe	elbe
mighty	!align="right	!align="right
mightiest	guardians	guardians
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	harder	colder
lean	!align="right	!align="right
leanest	colder	colder
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
cleaner	cleaner	cleaner
clean	hot	hot
cleanest	gaseous	gaseous
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	sinus	sinus
narrower	broad	broad
narrow	late	widest
narrowest	broad	broad
narrow	late	late
narrower	narrow	narrower
narrowest	oldest	widest
colder	previous	previous
cold	late	late
coldest	oldest	temperate
cold	late	late
colder	driest	driest
coldest	moist	moist
noisier	previous	previous
noisy	!align="right	colspan=3|total
noisiest	oldest	suitable
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	colspan=3|total
deeper	deeper	deeper
deep	deep	deep
deepest	deeper	deepest
deep	late	late
deeper	previous	previous
deepest	deep	deepest
taller	taller	taller
tall	late	late
tallest	oldest	tallest
tall	late	late
taller	previous	taller
tallest	tallest	tallest
quicker	rapid	rapid
quick	fast	fast
quickest	rapid	rapid
quick	20-year-old	clockwork
quicker	faster	faster
quickest	quickest	quickest
narrower	narrower	narrower
narrow	broad	broad
narrowest	narrowest	narrowest
narrow	narrow	slight
narrower	older	upstream
narrowest	narrowest	narrowest
deeper	deeper	deeper
deep	deep	deep
deepest	deepest	deepest
deep	deep	deep
deeper	deeper	deeper
deepest	deep	deep
closer	closer	closer
close	close	close
closest	closest	closest
close	close	close
closer	closer	closer
closest	close	closest
taller	taller	taller
tall	tall	tall
tallest	oldest	oldest
tall	tall	tall
taller	older	taller
tallest	tallest	tallest
kinder	sort	sort
kind	bradley	bradley
kindest	sort	sort
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	largest	largest
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	heaviest	heaviest
heavy	heavy	heavy
heavier	heavier	heavier
heaviest	heaviest	heaviest
mightier	still	still
mighty	!align="right	!align="right
mightiest	best-known	best-known
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	still	still
lean	!align="right	!align="right
leanest	strongest	best-known
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
smarter	still	still
smart	lengthy	sweetheart
smartest	oldest	android
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	largest	largest
milder	milder	milder
mild	good	salty
mildest	warmest	warmest
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	coldest	darkest
weaker	weaker	weaker
weak	weak	weak
weakest	strongest	strongest
weak	good	good
weaker	weaker	weaker
weakest	strongest	strongest
friendlier	relaxed	outcry
friendly	!align="right	!align="right
friendliest	best	funniest
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
livelier	happier	happier
lively	!align="right	!align="right
liveliest	finest	finest
lively	!align="right	!align="right
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
younger	younger	younger
young	young	young
youngest	greatest	greatest
young	younger	younger
younger	younger	younger
youngest	youngest	youngest
clearer	more	less
clear	glimpse	glimpse
clearest	pac-10	unprecedented
clear	!align="right	!align="right
clearer	!align="right	!align="right
clearest	glimpse	glimpse
friendlier	less	less
friendly	!align="right	!align="right
friendliest	assists	assists
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
cleaner	less	less
clean	handful	handful
cleanest	innovative	innovative
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	single-season	single-season
stronger	stronger	stronger
strong	handful	strong
strongest	strongest	strongest
strong	strong	strong
stronger	weaker	weaker
strongest	strongest	strongest
freer	unrestricted	unrestricted
free	couple	couple
freest	unrestricted	25.7
free	!align="right	!align="right
freer	!align="right	!align="right
freest	single-season	single-season
tougher	stronger	stronger
tough	tough	tough
toughest	largest	strongest
tough	pac-10	pac-10
tougher	larger	larger
toughest	largest	sault
funnier	interesting	interesting
funny	!align="right	!align="right
funniest	largest	funniest
funny	scary	scary
funnier	larger	nebula
funniest	!align="right	!align="right
nicer	richer	richer
nice	!align="right	!align="right
nicest	largest	largest
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
greater	greater	greater
great	great	great
greatest	greatest	greatest
great	great	great
greater	greater	greater
greatest	greatest	greatest
bolder	stronger	stronger
bold	!align="right	!align="right
boldest	largest	highest
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	poor	poor
poorer	healthier	richer
poorest	poor	poor
messier	complicated	faster
messy	o'brien	o'brien
messiest	biggest	biggest
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	brightest	challenger
longer	shorter	shorter
long	long	long
longest	longest	longest
long	long	long
longer	longer	longer
longest	longest	longest
harder	harder	harder
hard	hard	hard
hardest	harder	hardest
hard	hard	hard
harder	harder	harder
hardest	hard	biggest
wiser	healthier	healthier
wise	!align="right	!align="right
wisest	wealthiest	wealthiest
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
earlier	late	late
early	previous	previous
earliest	earliest	earliest
early	early	early
earlier	extant	pre-columbian
earliest	previous	previous
sadder	smiles	smiles
sad	!align="right	!align="right
saddest	dalmatia	dalmatia
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
darker	darker	darker
dark	dark	dark
darkest	darker	darker
dark	warm	warm
darker	darker	darker
darkest	upperside	blotch
quicker	faster	faster
quick	fast	fast
quickest	rapid	rapid
quick	barrichello	barrichello
quicker	faster	faster
quickest	nearest	nearest
brighter	brighter	brighter
bright	bright	bright
brightest	translucent	translucent
bright	faint	young
brighter	darker	darker
brightest	nearest	nearest
cheaper	mitigate	mitigate
cheap	low	low
cheapest	!align="right	!align="right
cheap	wide	wide
cheaper	wider	wider
cheapest	!align="right	!align="right
higher	higher	higher
high	high	high
highest	!align="right	!align="right
high	lowest	high
higher	wider	wider
highest	!align="right	!align="right
fairer	expo	expo
fair	!align="right	!align="right
fairest	!align="right	!align="right
fair	wide	wide
fairer	wider	wider
fairest	!align="right	!align="right
wiser	encourage	encourage
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	wide	wide
wiser	wider	wider
wisest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	!align="right	!align="right
tall	wide	wide
taller	wider	wider
tallest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	soft	soft
poorer	easier	softer
poorest	poor	poor
messier	complicated	worse
messy	20mm	20mm
messiest	clumsy	clumsy
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	brightest	pablo
busier	happier	happier
busy	!align="right	!align="right
busiest	busiest	busiest
busy	intermodal	intermodal
busier	easier	easier
busiest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	tallest	tallest
tall	floppy	floppy
taller	softer	softer
tallest	tall	tall
trickier	harsher	chance
tricky	!align="right	!align="right
trickiest	tame	tame
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
higher	higher	higher
high	high	high
highest	highest	highest
high	lowest	lowest
higher	higher	higher
highest	highest	highest
slower	slower	slower
slow	slow	slow
slowest	slower	slower
slow	!align="right	!align="right
slower	!align="right	!align="right
slowest	fastest	fastest
smarter	smarter	smarter
smart	uncomfortable	uncomfortable
smartest	fastest-growing	fastest-growing
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	hardest	hardest
older	older	older
old	younger	younger
oldest	older	older
old	youngest	youngest
older	denser	denser
oldest	oldest	oldest
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
cheaper	cheaper	cheaper
cheap	cheap	cheap
cheapest	cheapest	cheapest
cheap	inexpensive	liquid
cheaper	cheaper	cheaper
cheapest	cheapest	cheapest
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
bloodier	rash	rash
bloody	!align="right	!align="right
bloodiest	last	last
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
wilder	rarer	tundra
wild	chaney	chaney
wildest	reptiles	reptiles
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	shelley	shelley
easier	easier	easier
easy	easy	easy
easiest	easiest	easiest
easy	difficult	easy
easier	easier	easier
easiest	easiest	easiest
rougher	better	better
rough	!align="right	!align="right
roughest	safest	safest
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
fresher	healthier	healthier
fresh	!align="right	!align="right
freshest	abundant	abundant
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
harsher	harsher	harsher
harsh	harsh	harsh
harshest	brutal	brutal
harsh	!align="right	!align="right
harsher	!align="right	!align="right
harshest	unsafe	unsafe
luckier	closer	scrooge
lucky	!align="right	!align="right
luckiest	cinderella	cinderella
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
taller	taller	taller
tall	tall	tall
tallest	tallest	tallest
tall	resilient	resilient
taller	closer	closer
tallest	tallest	tallest
fatter	larger	healthier
fat	!align="right	!align="right
fattest	oxidized	oxidized
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
smoother	smoother	smoother
smooth	smooth	smooth
smoothest	smoother	smoother
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	narrowest	narrowest
fresher	healthier	healthier
fresh	!align="right	!align="right
freshest	abundant	abundant
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
shorter	shorter	shorter
short	short	short
shortest	longest	longest
short	short	short
shorter	shorter	shorter
shortest	longest	longest
cleaner	quieter	quieter
clean	receiver	receiver
cleanest	improve	improve
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	driest	ingredient
fuller	fully	fully
full	miller	miller
fullest	partial	74th
full	!align="right	!align="right
fuller	!align="right	!align="right
fullest	blaine	blaine
firmer	firms	firms
firm	!align="right	!align="right
firmest	company	company
firm	!align="right	!align="right
firmer	!align="right	!align="right
firmest	!align="right	!align="right
better	better	better
good	good	good
best	excellent	excellent
good	good	good
better	better	better
best	best	best
mightier	trojans	trojans
mighty	!align="right	!align="right
mightiest	wealthiest	wealthiest
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
longer	shorter	shorter
long	still	still
longest	longest	longest
long	brief	discrimination
longer	shorter	shorter
longest	longest	longest
greener	yellow	yellow
green	!align="right	!align="right
greenest	bright	bright
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
nicer	smoother	smoother
nice	!align="right	!align="right
nicest	slow	simple
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
slicker	smooth	smooth
slick	!align="right	!align="right
slickest	slow	introspective
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
noisier	smoother	smoother
noisy	!align="right	!align="right
noisiest	slow	slow
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
sadder	happier	gothenburg
sad	!align="right	!align="right
saddest	!align="right	!align="right
sad	fast	fast
sadder	faster	faster
saddest	!align="right	!align="right
swifter	nelson	nelson
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	fast	fast
swifter	faster	faster
swiftest	!align="right	!align="right
nicer	richer	richer
nice	!align="right	!align="right
nicest	!align="right	!align="right
nice	fast	fast
nicer	faster	faster
nicest	!align="right	!align="right
softer	lighter	lighter
soft	soft	erosion
softest	!align="right	!align="right
soft	fast	fast
softer	faster	faster
softest	!align="right	!align="right
trickier	smarter	smarter
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	fast	fast
trickier	faster	faster
trickiest	!align="right	!align="right
greener	blue	blue
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
clearer	clearer	clearer
clear	york	york
clearest	obvious	obvious
clear	!align="right	!align="right
clearer	!align="right	!align="right
clearest	winfrey	winfrey
healthier	healthier	healthier
healthy	healthy	york
healthiest	intersex	intersex
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	tofu	tofu
faster	faster	faster
fastest	fast	fast
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	slow	slow
fast	fastest	fastest
freer	gpl	gpl
free	york	york
freest	intersex	intersex
free	!align="right	!align="right
freer	!align="right	!align="right
freest	inaugural	inaugural
meaner	smoother	louder
mean	!align="right	!align="right
meanest	formula_49	incite
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
firmer	firms	firms
firm	!align="right	!align="right
firmest	firms	company
firm	!align="right	!align="right
firmer	!align="right	!align="right
firmest	!align="right	!align="right
bigger	bigger	bigger
big	small	small
biggest	biggest	biggest
big	largest	large
bigger	largest	bigger
biggest	biggest	biggest
trickier	harsher	harsher
tricky	!align="right	!align="right
trickiest	quickest	quickest
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	deeper	deeper
deep	deep	deep
deeper	deep	deep
deepest	deep	deepest
gentler	thinner	steeper
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	heavy	heavy
gentler	heavier	heavier
gentlest	!align="right	!align="right
costlier	expensive	expensive
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	heavy	heavy
costlier	heavier	heavier
costliest	!align="right	!align="right
lower	lower	lower
low	upper	upper
lowest	!align="right	!align="right
low	highest	low
lower	highest	low
lowest	!align="right	!align="right
fancier	thinner	thinner
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	heavy	heavy
fancier	heavier	heavier
fanciest	!align="right	!align="right
cleaner	thinner	tougher
clean	lighting	lighting
cleanest	!align="right	!align="right
clean	heavy	heavy
cleaner	heavier	heavier
cleanest	!align="right	!align="right
steadier	faster	faster
steady	!align="right	!align="right
steadiest	best-known	best-known
steady	!align="right	!align="right
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	poor	poor
poorer	larger	fewer
poorest	poor	poor
faster	fastest-growing	fastest-growing
fastest	slow	slow
fast	fastest-growing	fastest-growing
fastest	slow	slow
faster	slow	slow
fast	fastest	fastest
cleaner	safe	safe
clean	lighting	miserable
cleanest	cooking	cooking
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	corby	corby
softer	larger	larger
soft	fascinating	fascinating
softest	skis	corby
soft	!align="right	!align="right
softer	!align="right	!align="right
softest	simulators	simulators
richer	rarer	rarer
rich	transparency	transparency
richest	!align="right	!align="right
rich	cool	cool
richer	rich	rich
richest	!align="right	!align="right
lighter	lighting	lighting
light	heavier	heavier
lightest	!align="right	!align="right
light	safe	safe
lighter	clean	clean
lightest	!align="right	!align="right
simpler	simpler	simpler
simple	simple	simple
simplest	!align="right	!align="right
simple	simple	simple
simpler	clean	clean
simplest	!align="right	!align="right
messier	rarer	rarer
messy	wiped	wiped
messiest	!align="right	!align="right
messy	safe	safe
messier	clean	clean
messiest	!align="right	!align="right
friendlier	hostile	hostile
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	safe	safe
friendlier	clean	clean
friendliest	!align="right	!align="right
higher	higher	higher
high	high	high
highest	!align="right	!align="right
high	lowest	lowest
higher	lowest	lowest
highest	!align="right	!align="right
stickier	coated	coated
sticky	!align="right	!align="right
stickiest	!align="right	!align="right
sticky	stricter	stricter
stickier	stringent	stringent
stickiest	!align="right	!align="right
pricier	!align="right	!align="right
pricey	!align="right	!align="right
priciest	!align="right	!align="right
pricey	stricter	stricter
pricier	stringent	stringent
priciest	!align="right	!align="right
greater	huge	greater
great	tremendous	tremendous
greatest	!align="right	!align="right
great	tremendous	tremendous
greater	finest	tremendous
greatest	!align="right	!align="right
busier	busiest	busiest
busy	!align="right	!align="right
busiest	!align="right	!align="right
busy	stricter	busy
busier	traffic	traffic
busiest	!align="right	!align="right
tougher	tougher	punk
tough	tough	tough
toughest	!align="right	!align="right
tough	tough	tough
tougher	harsh	terrible
toughest	!align="right	!align="right
stricter	stricter	stricter
strict	strict	strict
strictest	!align="right	!align="right
strict	harsher	harsher
stricter	harsh	harsh
strictest	!align="right	!align="right
stiffer	smoother	smoother
stiff	!align="right	!align="right
stiffest	!align="right	!align="right
stiff	harsher	harsher
stiffer	harsh	harsh
stiffest	!align="right	!align="right
riskier	safer	safer
risky	!align="right	!align="right
riskiest	!align="right	!align="right
risky	harsher	harsher
riskier	harsh	harsh
riskiest	!align="right	!align="right
stronger	stronger	stronger
strong	strong	strong
strongest	!align="right	!align="right
strong	strong	strong
stronger	stronger	stronger
strongest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	quarterback	quarterback
classier	tougher	tougher
classiest	!align="right	!align="right
gentler	gently	mild
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	quarterback	quarterback
gentler	tougher	tougher
gentlest	!align="right	!align="right
leaner	incremental	incremental
lean	!align="right	!align="right
leanest	!align="right	!align="right
lean	quarterback	quarterback
leaner	tougher	tougher
leanest	!align="right	!align="right
bigger	bigger	bigger
big	big	big
biggest	!align="right	!align="right
big	big	big
bigger	bigger	bigger
biggest	!align="right	!align="right
luckier	me	me
lucky	!align="right	!align="right
luckiest	!align="right	!align="right
lucky	quarterback	quarterback
luckier	tougher	tougher
luckiest	!align="right	!align="right
warmer	cooler	wetter
warm	low-lying	low-lying
warmest	driest	driest
warm	coldest	humid
warmer	wettest	wettest
warmest	coldest	coldest
slimmer	flatter	gubernatorial
slim	!align="right	!align="right
slimmest	troopers	troopers
slim	!align="right	!align="right
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
rougher	smoother	smoother
rough	!align="right	!align="right
roughest	driest	driest
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
harder	harder	harder
hard	hard	hard
hardest	harder	harder
hard	neat	neat
harder	difficult	difficult
hardest	hardest	hardest
closer	closer	closer
close	close	close
closest	closest	closest
close	close	close
closer	nearest	nearest
closest	close	close
greener	blue	blue
green	!align="right	!align="right
greenest	yellow	yellow
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
kinder	sort	sort
kind	good	happy
kindest	sort	kinds
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	florence	florence
sadder	biophysics	biophysics
sad	!align="right	!align="right
saddest	novi	novi
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
quicker	fast	faster
quick	slow	slow
quickest	fast	fast
quick	good	good
quicker	quicker	faster
quickest	safest	safest
stiffer	stronger	stronger
stiff	!align="right	!align="right
stiffest	stamens	stamens
stiff	!align="right	!align="right
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
weaker	weaker	stronger
weak	strong	strong
weakest	!align="right	!align="right
weak	good	good
weaker	better	better
weakest	!align="right	!align="right
slicker	indistinct	elaboration
slick	!align="right	!align="right
slickest	!align="right	!align="right
slick	obvious	obvious
slicker	smoother	smoother
slickest	!align="right	!align="right
closer	closer	closer
close	close	close
closest	!align="right	!align="right
close	close	close
closer	closer	closer
closest	!align="right	!align="right
older	older	older
old	old	old
oldest	!align="right	!align="right
old	earliest	earliest
older	earliest	earliest
oldest	!align="right	!align="right
wiser	healthier	visually
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	obvious	obvious
wiser	smoother	smoother
wisest	!align="right	!align="right
cheaper	safest	safest
cheap	unconventional	unconventional
cheapest	safest	safest
cheap	simple	simple
cheaper	expensive	affordable
cheapest	cheapest	cheapest
simpler	simpler	simpler
simple	simple	simple
simplest	simpler	simpler
simple	simple	simple
simpler	associative	associative
simplest	fastest	shortest
fresher	dried	dried
fresh	!align="right	!align="right
freshest	highest	highest
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
bolder	italics	than
bold	!align="right	!align="right
boldest	italics	italics
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
cleaner	refrigerated	refrigerated
clean	simple	simple
cleanest	safest	largest
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	oldest	oldest
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	densely	densely
poorer	morally	morally
poorest	poor	endanger
messier	closer	closer
messy	evans	evans
messiest	oldest	oldest
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	denton	denton
narrower	narrower	narrower
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	narrow	narrow
narrower	narrower	narrower
narrowest	narrowest	narrowest
noisier	smoother	smoother
noisy	!align="right	!align="right
noisiest	yells	yells
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
riskier	healthier	healthier
risky	!align="right	!align="right
riskiest	easiest	easiest
risky	!align="right	!align="right
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
steadier	constant	faster
steady	!align="right	!align="right
steadiest	wealthiest	longest-running
steady	!align="right	!align="right
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
swifter	smarter	quicker
swift	!align="right	!align="right
swiftest	fastest	84th
swift	!align="right	!align="right
swifter	!align="right	!align="right
swiftest	!align="right	!align="right
tougher	tougher	tougher
tough	tough	tough
toughest	toughest	toughest
tough	tough	tough
tougher	smarter	smarter
toughest	toughest	toughest
meaner	imply	imply
mean	!align="right	!align="right
meanest	average	average
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
smoother	smoother	smoother
smooth	smooth	smooth
smoothest	columella	unaltered
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	oldest	toughest
milder	darker	darker
mild	mild	mild
mildest	!align="right	!align="right
mild	happier	happier
milder	happy	happy
mildest	!align="right	!align="right
earlier	late	late
early	previous	later
earliest	!align="right	colspan=3|total
early	early	early
earlier	best-known	finest
earliest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	happier	happier
tastier	happy	happy
