rougher	riders	riders
tall	skyscraper	skyscraper
taller	skyscraper	tower
tallest	tall	tallest
quicker	fast	fast
quick	girl	quick
quickest	fast	fast
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	pace	pace
narrower	narrower	narrower
narrow	narrow	oblong
narrowest	broad	beneath
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	narrow	oblong
deeper	depths	deeper
deep	depths	depths
deepest	deepest	beneath
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
closer	brother	brother
close	girl	girl
closest	closest	closest
close	close	close
closer	close	close
closest	farther	farther
taller	shrub	shrub
tall	tall	tall
tallest	height	shrub
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	tallest	tallest
kinder	even	even
kind	!align="right	!align="right
kindest	streak	streak
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	!align="right	!align="right
heavier	rainfall	rainfall
heavy	centimeters	centimeters
heaviest	barrage	barrage
heavy	centimeters	inflorescence
heavier	heavier	heavier
heaviest	isotopes	isotopes
mightier	comics	comics
mighty	!align="right	!align="right
mightiest	ducks	ducks
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	physically	physically
lean	!align="right	!align="right
leanest	streak	streak
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
smarter	phones	phones
smart	!align="right	!align="right
smartest	phones	phones
smart	!align="right	!align="right
smarter	!align="right	!align="right
smartest	!align="right	!align="right
milder	winters	winters
mild	!align="right	!align="right
mildest	winters	moderate
mild	!align="right	!align="right
milder	!align="right	!align="right
mildest	!align="right	!align="right
weaker	weaker	weaker
weak	verbandsgemeinde	destructive
weakest	typhoon	typhoon
weak	!align="right	!align="right
weaker	!align="right	!align="right
weakest	strongest	strongest
friendlier	1-0	1-0
friendly	!align="right	!align="right
friendliest	1-0	1-1
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
livelier	vibrant	vibrant
lively	!align="right	!align="right
liveliest	vibrant	vibrant
lively	!align="right	!align="right
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
younger	adulthood	adulthood
young	brother	brother
youngest	children	child
young	hesse	hesse
younger	son	son
youngest	brother	brother
clearer	than	than
clear	!align="right	!align="right
clearest	shutouts	conceptual
clear	!align="right	!align="right
clearer	!align="right	!align="right
clearest	!align="right	!align="right
friendlier	1-0	1-0
friendly	!align="right	!align="right
friendliest	1-0	1-0
friendly	!align="right	!align="right
friendlier	!align="right	!align="right
friendliest	!align="right	!align="right
cleaner	environmentally	cleaner
clean	months	months
cleanest	fuels	fuels
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	fuels	fuels
stronger	than	than
strong	months	way
strongest	shutouts	shutouts
strong	several	several
stronger	than	than
strongest	ties	ties
freer	fee	fee
free	!align="right	!align="right
freest	unrestricted	unlimited
free	!align="right	!align="right
freer	!align="right	!align="right
freest	!align="right	!align="right
tougher	comfortable	comfortable
tough	!align="right	!align="right
toughest	number-one	courageous
tough	!align="right	!align="right
tougher	!align="right	!align="right
toughest	!align="right	!align="right
funnier	hilarious	entertaining
funny	!align="right	!align="right
funniest	moments	moments
funny	!align="right	!align="right
funnier	!align="right	!align="right
funniest	!align="right	!align="right
nicer	toulouse	toulouse
nice	!align="right	!align="right
nicest	marseille	stade
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
greater	enjoyed	enjoyed
great	within	formerly
greatest	success	success
great	ranked	ranked
greater	better	better
greatest	within	highest
bolder	italics	italics
bold	!align="right	!align="right
boldest	italics	italics
bold	!align="right	!align="right
bolder	!align="right	!align="right
boldest	!align="right	!align="right
poorer	homeless	poorer
poor	poor	poor
poorest	homeless	homeless
poor	poor	poor
poorer	considerably	considerably
poorest	poorest	poorest
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	!align="right	!align="right
longer	centimeters	centimeters
long	although	although
longest	centimeters	centimeters
long	close	close
longer	shorter	shorter
longest	allow	allow
harder	harder	harder
hard	hard	hard
hardest	floppy	floppy
hard	despite	despite
harder	considerably	rib
hardest	sun's	sun's
wiser	considerably	considerably
wise	!align="right	!align="right
wisest	isaac	quote
wise	!align="right	!align="right
wiser	!align="right	!align="right
wisest	!align="right	!align="right
earlier	late	late
early	whose	whose
earliest	late	late
early	dated	dated
earlier	dated	dated
earliest	whose	whose
sadder	srpska	srpska
sad	!align="right	!align="right
saddest	serbian	serbian
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
darker	darker	darker
dark	brown	brown
darkest	brownish	brownish
dark	!align="right	!align="right
darker	!align="right	!align="right
darkest	dark	brown
quicker	sufficiently	step
quick	friend	friend
quickest	sufficiently	sufficiently
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	nearest	nearest
brighter	colour	colour
bright	brightness	brightness
brightest	purple	purple
bright	!align="right	!align="right
brighter	!align="right	!align="right
brightest	brightness	brightness
cheaper	cheaper	cheaper
cheap	expensive	expensive
cheapest	!align="right	!align="right
cheap	narrow	narrow
cheaper	narrower	narrower
cheapest	!align="right	!align="right
higher	school	school
high	low	low
highest	!align="right	!align="right
high	peak	range
higher	peak	peak
highest	!align="right	!align="right
fairer	fest	fest
fair	!align="right	!align="right
fairest	!align="right	!align="right
fair	essendon	essendon
fairer	essendon	essendon
fairest	!align="right	!align="right
wiser	introduce	introduce
wise	!align="right	!align="right
wisest	!align="right	!align="right
wise	narrow	narrow
wiser	narrower	narrower
wisest	!align="right	!align="right
taller	shrub	shrub
tall	tall	tall
tallest	!align="right	!align="right
tall	skyscraper	skyscraper
taller	skyscraper	taller
tallest	!align="right	!align="right
poorer	poorer	poorer
poor	poor	poor
poorest	homeless	homeless
poor	poor	poor
poorer	than	than
poorest	poorest	poorest
messier	!align="right	colspan=3|total
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	!align="right	!align="right
busier	cheaper	destinations
busy	!align="right	!align="right
busiest	busiest	busiest
busy	airports	airport
busier	airports	airports
busiest	!align="right	!align="right
taller	height	height
tall	floppy	floppy
tallest	height	height
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	tall	tall
trickier	!align="right	colspan=3|total
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
higher	!align="right	!align="right
high	lower	rates
highest	!align="right	!align="right
high	peak	summits
higher	peak	peak
highest	low	low
slower	!align="right	!align="right
slow	faster	fast
slowest	!align="right	!align="right
slow	charming	charming
slower	!align="right	!align="right
slowest	faster	faster
smarter	!align="right	!align="right
smart	charming	charming
smartest	!align="right	!align="right
smart	charming	charming
smarter	!align="right	!align="right
smartest	!align="right	!align="right
older	!align="right	!align="right
old	65	64
oldest	!align="right	!align="right
old	dating	dating
older	dating	dating
oldest	age	age
stronger	!align="right	!align="right
strong	weaker	durable
strongest	!align="right	!align="right
strong	worst	worst
stronger	tornado	tornado
strongest	than	than
cheaper	cheaper	cheaper
cheap	affordable	affordable
cheapest	!align="right	!align="right
cheap	ensure	ensure
cheaper	cheaper	cheaper
cheapest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	ensure	ensure
classier	cheaper	cheaper
classiest	!align="right	!align="right
bloodier	uprisings	uprisings
bloody	!align="right	!align="right
bloodiest	!align="right	!align="right
bloody	ensure	ensure
bloodier	cheaper	cheaper
bloodiest	!align="right	!align="right
wilder	boar	domesticated
wild	reluctantly	reluctantly
wildest	!align="right	!align="right
wild	ensure	ensure
wilder	cheaper	cheaper
wildest	!align="right	!align="right
easier	easier	easier
easy	easy	easy
easiest	!align="right	!align="right
easy	ensure	ensure
easier	cheaper	cheaper
easiest	!align="right	!align="right
rougher	smooth	riders
rough	!align="right	!align="right
roughest	riders	ottawa
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
fresher	tomatoes	cooked
fresh	!align="right	!align="right
freshest	vegetables	vegetables
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
harsher	punishments	punishments
harsh	!align="right	!align="right
harshest	punishments	punishments
harsh	!align="right	!align="right
harsher	!align="right	!align="right
harshest	!align="right	!align="right
luckier	loser	loser
lucky	!align="right	!align="right
luckiest	loser	loser
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
taller	shrub	herbaceous
tall	tall	tall
tallest	shrub	shrub
tall	skyscraper	towers
taller	skyscraper	taller
tallest	tall	tall
fatter	fats	fats
fat	!align="right	!align="right
fattest	fats	fats
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
smoother	convex	convex
smooth	!align="right	!align="right
smoothest	convex	convex
smooth	!align="right	!align="right
smoother	!align="right	!align="right
smoothest	!align="right	!align="right
fresher	tomatoes	tomatoes
fresh	!align="right	!align="right
freshest	tomatoes	grossing
fresh	!align="right	!align="right
fresher	!align="right	!align="right
freshest	!align="right	!align="right
shorter	fiction	shorter
short	long	long
shortest	highest-grossing	highest-grossing
short	vertices	paths
shorter	paths	paths
shortest	length	length
cleaner	renewable	renewable
clean	inflorescence	sepals
cleanest	grossed	environmentally
clean	!align="right	!align="right
cleaner	!align="right	!align="right
cleanest	deepest	deepest
fuller	much	much
full	nicholson	nicholson
fullest	!align="right	!align="right
full	cheaper	cheaper
fuller	expensive	expensive
fullest	!align="right	!align="right
firmer	partners	partners
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	cheaper	cheaper
firmer	expensive	expensive
firmest	!align="right	!align="right
better	better	better
good	even	something
best	!align="right	!align="right
good	nominated	nominated
better	nominated	nominated
best	!align="right	!align="right
mightier	ducks	ducks
mighty	!align="right	!align="right
mightiest	!align="right	!align="right
mighty	cheaper	cheaper
mightier	expensive	expensive
mightiest	!align="right	!align="right
longer	centimeters	sepals
long	usually	characterized
longest	!align="right	!align="right
long	high-quality	high-quality
longer	expensive	shorter
longest	!align="right	!align="right
greener	yellow	yellow
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
nicer	marseille	marseille
nice	!align="right	!align="right
nicest	marseille	marseille
nice	!align="right	!align="right
nicer	!align="right	!align="right
nicest	!align="right	!align="right
slicker	much	much
slick	!align="right	!align="right
slickest	slow	easy
slick	!align="right	!align="right
slicker	!align="right	!align="right
slickest	!align="right	!align="right
noisier	heavier	heavier
noisy	!align="right	!align="right
noisiest	extremely	extremely
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
sadder	novi	novi
sad	!align="right	!align="right
saddest	!align="right	!align="right
sad	fast	fast
sadder	faster	faster
saddest	!align="right	!align="right
swifter	faster	portray
swift	!align="right	!align="right
swiftest	!align="right	colspan=3|total
swift	fast	fast
swifter	faster	faster
swiftest	!align="right	!align="right
nicer	marseille	marseille
nice	!align="right	!align="right
nicest	!align="right	!align="right
nice	fast	fast
nicer	faster	faster
nicest	!align="right	!align="right
softer	harder	harder
soft	soft	soft
softest	!align="right	colspan=3|total
soft	fast	fast
softer	faster	faster
softest	!align="right	!align="right
trickier	!align="right	colspan=3|total
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	fast	fast
trickier	faster	faster
trickiest	!align="right	!align="right
greener	yellow	red
green	!align="right	!align="right
greenest	blue	red
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
clearer	better	than
clear	!align="right	!align="right
clearest	owing	owing
clear	!align="right	!align="right
clearer	!align="right	!align="right
clearest	!align="right	!align="right
healthier	eating	comfortable
healthy	!align="right	!align="right
healthiest	nutrition	nutrition
healthy	!align="right	!align="right
healthier	!align="right	!align="right
healthiest	!align="right	!align="right
faster	senna	senna
fastest	york	york
fast	lap	pole
fastest	york	york
faster	faster	faster
fast	slower	speed
freer	available	available
free	!align="right	!align="right
freest	unrestricted	unrestricted
free	!align="right	!align="right
freer	!align="right	!align="right
freest	!align="right	!align="right
meaner	maximum	width
mean	!align="right	!align="right
meanest	graph	graph
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
firmer	consulting	consulting
firm	!align="right	!align="right
firmest	consulting	consulting
firm	!align="right	!align="right
firmer	!align="right	!align="right
firmest	!align="right	!align="right
bigger	slightly	slightly
big	fiction	fiction
biggest	vertices	vertices
big	fiction	feature
bigger	larger	larger
biggest	graph	graph
trickier	!align="right	colspan=3|total
tricky	!align="right	!align="right
trickiest	!align="right	!align="right
tricky	!align="right	!align="right
trickier	!align="right	!align="right
trickiest	!align="right	!align="right
deeper	deeper	deeper
deep	depths	depths
deepest	deepest	deepest
deep	deep	deep
deeper	deep	deep
deepest	graph	graph
gentler	heavier	heavier
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	uv	uv
gentler	heavier	heavier
gentlest	!align="right	!align="right
costlier	heavier	heavier
costly	!align="right	!align="right
costliest	!align="right	!align="right
costly	uv	uv
costlier	heavier	heavier
costliest	!align="right	!align="right
lower	heavier	heavier
low	ultraviolet	wavelength
lowest	!align="right	!align="right
low	wavelength	wavelength
lower	heavier	heavier
lowest	!align="right	!align="right
fancier	heavier	heavier
fancy	!align="right	!align="right
fanciest	!align="right	!align="right
fancy	uv	uv
fancier	heavier	heavier
fanciest	!align="right	!align="right
cleaner	heavier	heavier
clean	wavelength	wavelength
cleanest	!align="right	!align="right
clean	uv	uv
cleaner	heavier	heavier
cleanest	!align="right	!align="right
steadier	slower	slower
steady	!align="right	!align="right
steadiest	!align="right	!align="right
steady	strong	strong
steadier	stronger	stronger
steadiest	!align="right	!align="right
poorer	homeless	homeless
poor	impoverished	impoverished
poorest	!align="right	!align="right
poor	neighborhoods	neighbourhoods
poorer	neighborhoods	neighborhoods
poorest	!align="right	!align="right
faster	massa	slower
fastest	fast	fast
fast	!align="right	!align="right
fastest	slow	slow
faster	slower	slower
fast	!align="right	!align="right
cleaner	fuels	fuels
clean	vacuum	vacuum
cleanest	!align="right	!align="right
clean	strong	strong
cleaner	stronger	stronger
cleanest	!align="right	!align="right
softer	thicker	thicker
soft	collision	collision
softest	!align="right	!align="right
soft	strong	strong
softer	stronger	stronger
softest	!align="right	!align="right
richer	richest	richest
rich	surroundings	surroundings
richest	!align="right	!align="right
rich	wealthiest	wealthiest
richer	world's	economically
richest	colspan=3|total	colspan=3|total
lighter	wavelength	wavelengths
light	heavier	skin
lightest	!align="right	!align="right
light	renewable	renewable
lighter	fuels	fuels
lightest	!align="right	!align="right
simpler	graphs	graphs
simple	sheets	solve
simplest	!align="right	!align="right
simple	efficient	efficient
simpler	efficient	efficient
simplest	!align="right	!align="right
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	renewable	renewable
messier	fuels	fuels
messiest	!align="right	!align="right
friendlier	substitute	under-20
friendly	!align="right	!align="right
friendliest	!align="right	!align="right
friendly	renewable	renewable
friendlier	fuels	fuels
friendliest	!align="right	!align="right
higher	!align="right	!align="right
high	impose	impose
highest	!align="right	!align="right
high	stringent	stringent
higher	peak	peak
highest	low	low
stickier	!align="right	!align="right
sticky	enforced	enforced
stickiest	!align="right	!align="right
sticky	enforced	enforced
stickier	!align="right	!align="right
stickiest	!align="right	!align="right
pricier	!align="right	!align="right
pricey	enforced	enforced
priciest	!align="right	!align="right
pricey	enforced	enforced
pricier	!align="right	!align="right
priciest	!align="right	!align="right
greater	!align="right	!align="right
great	stringent	stringent
greatest	!align="right	!align="right
great	enforcing	enforcing
greater	one	one
greatest	within	within
busier	!align="right	!align="right
busy	enforced	enforced
busiest	!align="right	!align="right
busy	impose	impose
busier	airports	airports
busiest	!align="right	!align="right
tougher	!align="right	!align="right
tough	punishments	punishments
toughest	!align="right	!align="right
tough	punishments	punishments
tougher	!align="right	!align="right
toughest	!align="right	!align="right
stricter	!align="right	!align="right
strict	punishments	punishments
strictest	!align="right	!align="right
strict	punishments	punishments
stricter	!align="right	!align="right
strictest	!align="right	!align="right
stiffer	!align="right	!align="right
stiff	punishments	punishments
stiffest	!align="right	!align="right
stiff	punishments	punishments
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
riskier	!align="right	!align="right
risky	punishments	punishments
riskiest	!align="right	!align="right
risky	punishments	punishments
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
stronger	!align="right	!align="right
strong	than	than
strongest	!align="right	!align="right
strong	punishments	worst
stronger	tornado	tornado
strongest	than	than
classier	!align="right	!align="right
classy	quarterback	quarterback
classiest	!align="right	!align="right
classy	quarterback	quarterback
classier	!align="right	!align="right
classiest	!align="right	!align="right
gentler	!align="right	!align="right
gentle	quarterback	quarterback
gentlest	!align="right	!align="right
gentle	quarterback	quarterback
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
leaner	!align="right	colspan=3|total
lean	quarterback	quarterback
leanest	!align="right	colspan=3|total
lean	quarterback	quarterback
leaner	!align="right	!align="right
leanest	!align="right	!align="right
bigger	!align="right	!align="right
big	quarterback	colts
biggest	!align="right	!align="right
big	week	week
bigger	number-one	number-one
biggest	maybe	maybe
luckier	!align="right	!align="right
lucky	quarterback	quarterback
luckiest	!align="right	!align="right
lucky	quarterback	quarterback
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
warmer	winters	colder
warm	temperatures	cool
warmest	humid	humid
warm	!align="right	!align="right
warmer	!align="right	!align="right
warmest	temperatures	temperature
slimmer	eminem	mack
slim	!align="right	!align="right
slimmest	dogg	dogg
slim	!align="right	!align="right
slimmer	!align="right	!align="right
slimmest	!align="right	!align="right
rougher	seas	seas
rough	!align="right	!align="right
roughest	seas	seas
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
harder	floppy	floppy
hard	makes	makes
hardest	floppy	floppy
hard	polygon	intelligent
harder	costume	costume
hardest	differently	smoky
closer	closest	closest
close	graph	i.e
closest	friend	closest
close	circle	circle
closer	relatives	relatives
closest	magnet	magnet
greener	yellow	yellow
green	!align="right	!align="right
greenest	blue	blue
green	!align="right	!align="right
greener	!align="right	!align="right
greenest	!align="right	!align="right
kinder	say	say
kind	!align="right	!align="right
kindest	it's	it's
kind	!align="right	!align="right
kinder	!align="right	!align="right
kindest	!align="right	!align="right
sadder	upbeat	upbeat
sad	!align="right	!align="right
saddest	sarajevo	sarajevo
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
quicker	fast	faster
quick	conditions	conditions
quickest	fast	fast
quick	!align="right	!align="right
quicker	!align="right	!align="right
quickest	pace	prompt
stiffer	fleshy	fleshy
stiff	!align="right	!align="right
stiffest	fleshy	fleshy
stiff	!align="right	!align="right
stiffer	!align="right	!align="right
stiffest	!align="right	!align="right
weaker	!align="right	!align="right
weak	stronger	stronger
weakest	!align="right	!align="right
weak	rather	rather
weaker	!align="right	!align="right
weakest	stronger	stronger
slicker	!align="right	!align="right
slick	rather	rather
slickest	!align="right	!align="right
slick	rather	rather
slicker	!align="right	!align="right
slickest	!align="right	!align="right
closer	!align="right	!align="right
close	pushed	pushed
closest	!align="right	!align="right
close	close	close
closer	phylogenetic	phylogenetic
closest	farther	farther
older	!align="right	!align="right
old	age	age
oldest	!align="right	!align="right
old	earliest	earliest
older	dating	dating
oldest	age	age
wiser	!align="right	colspan=3|total
wise	rather	rather
wisest	!align="right	colspan=3|total
wise	rather	rather
wiser	!align="right	!align="right
wisest	!align="right	!align="right
cheaper	cheaper	cheaper
cheap	cheap	cheap
cheapest	!align="right	!align="right
cheap	fast	fast
cheaper	faster	faster
cheapest	!align="right	!align="right
simpler	much	much
simple	straightforward	straightforward
simplest	!align="right	!align="right
simple	fast	fast
simpler	faster	faster
simplest	!align="right	!align="right
fresher	tomatoes	tomatoes
fresh	!align="right	!align="right
freshest	!align="right	!align="right
fresh	fast	fast
fresher	faster	faster
freshest	!align="right	!align="right
bolder	italics	italics
bold	!align="right	!align="right
boldest	!align="right	!align="right
bold	fast	fast
bolder	faster	faster
boldest	!align="right	!align="right
cleaner	cleaner	cleaner
clean	combustion	manufactured
cleanest	!align="right	!align="right
clean	fast	fast
cleaner	faster	faster
cleanest	!align="right	!align="right
poorer	isotopes	isotopes
poor	poor	poor
poorest	needy	needy
poor	poor	poor
poorer	neighborhoods	neighborhoods
poorest	poor	poor
messier	!align="right	!align="right
messy	!align="right	!align="right
messiest	!align="right	!align="right
messy	!align="right	!align="right
messier	!align="right	!align="right
messiest	!align="right	!align="right
narrower	narrower	narrower
narrow	narrow	narrow
narrowest	width	width
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	narrow	narrow
noisier	than	than
noisy	!align="right	!align="right
noisiest	weigh	weigh
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
riskier	isotopes	thinner
risky	!align="right	!align="right
riskiest	kilograms	kilograms
risky	!align="right	!align="right
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
steadier	slower	slower
steady	!align="right	!align="right
steadiest	decline	decline
steady	!align="right	!align="right
steadier	!align="right	colspan=3|total
steadiest	!align="right	!align="right
swifter	breakthrough	breakthrough
swift	!align="right	!align="right
swiftest	mcgregor	mcgregor
