rougher	terrain	terrain
leaner	tougher	tougher
lean	!	!
leanest	!	!
lean	quarterback	quarterback
leaner	tougher	tougher
leanest	!	!
bigger	ncaa	ncaa
big	receiver	1-yard
biggest	!	!
big	cornerback	cornerback
bigger	number-one	number-one
biggest	!	!
luckier	tougher	tougher
lucky	!	!
luckiest	!	!
lucky	quarterback	quarterback
luckier	tougher	tougher
luckiest	!	!
warmer	warmer	warmer
warm	warm	warm
warmest	climates	climates
warm	coldest	winters
warmer	warmer	warmer
warmest	climates	warm
slimmer	pimp	pimp
slim	!	!
slimmest	rappers	rappers
slim	!	!
slimmer	!	!
slimmest	!	!
rougher	quieter	quieter
rough	!	!
roughest	terrain	boulders
rough	!	!
rougher	!	!
roughest	!	!
harder	harder	harder
hard	hard	hard
hardest	disks	disks
hard	relatively	relatively
harder	harder	harder
hardest	hardest	hardest
closer	much	much
close	yet	object
closest	closest	closest
close	relatives	relatives
closer	much	considerably
closest	scoreless	scoreless
greener	blue	shades
green	!	!
greenest	yellow	purple
green	!	!
greener	!	!
greenest	!	!
kinder	think	think
kind	lack	lack
kindest	something	thats
kind	!	!
kinder	!	!
kindest	auf	auf
sadder	novi	heartfelt
sad	!	!
saddest	novi	moments
sad	!	!
sadder	!	!
saddest	!	!
quicker	fast	quicker
quick	slower	slow
quickest	fast	agile
quick	lap	lap
quicker	hkkinen	lap
quickest	faster	fastest
stiffer	polyester	softer
stiff	!	!
stiffest	bristles	bristles
stiff	!	!
stiffer	!	!
stiffest	!	!
weaker	weaker	weaker
weak	weak	consistent
weakest	!	!
weak	perhaps	perhaps
weaker	brighter	brighter
weakest	!	!
slicker	softer	softer
slick	!	!
slickest	!	!
slick	makes	makes
slicker	brighter	brighter
slickest	!	!
closer	kinship	kinship
close	even	even
closest	!	!
close	close	distant
closer	brighter	brighter
closest	!	!
older	germanic	germanic
old	alone	alone
oldest	!	!
old	date	date
older	brighter	resolves
oldest	!	alone
wiser	brighter	humble
wise	!	!
wisest	!	!
wise	makes	makes
wiser	brighter	brighter
wisest	!	!
cheaper	cheaper	cheaper
cheap	inexpensive	inexpensive
cheapest	montoya	montoya
cheap	inexpensive	inexpensive
cheaper	cheaper	cheaper
cheapest	kenseth	mcmurray
simpler	simpler	simpler
simple	easy	easy
simplest	andretti	andretti
simple	simple	simple
simpler	simpler	simpler
simplest	kenseth	waltrip
fresher	dried	dried
fresh	!	!
freshest	hkkinen	andretti
fresh	!	!
fresher	!	!
freshest	!	!
bolder	italics	italics
bold	!	!
boldest	italics	italics
bold	!	!
bolder	!	!
boldest	!	!
cleaner	waste	waste
clean	toilet	toilet
cleanest	lap	lap
clean	!	!
cleaner	!	!
cleanest	kenseth	kenseth
poorer	poorer	poorer
poor	impoverished	affected
poorest	impoverished	impoverished
poor	poor	poor
poorer	poorer	poorer
poorest	poorest	poorest
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
narrower	narrower	narrower
narrow	narrow	narrow
narrowest	narrower	narrower
narrow	!	!
narrower	!	!
narrowest	broad	broad
noisier	quieter	quieter
noisy	!	!
noisiest	loud	ringing
noisy	!	!
noisier	!	!
noisiest	!	!
riskier	lighter	quicker
risky	!	!
riskiest	high-risk	high-risk
risky	!	!
riskier	!	!
riskiest	!	!
steadier	slow	slower
steady	!	!
steadiest	slow	slow
steady	!	!
steadier	!	!
steadiest	!	!
swifter	adele	adele
swift	!	!
swiftest	wealthiest	timberlake
swift	!	!
swifter	!	!
swiftest	!	!
tougher	formidable	formidable
tough	stricter	stricter
toughest	wealthiest	obstacles
tough	tough	tough
tougher	tougher	harder
toughest	wealthiest	wealthiest
meaner	average	average
mean	!	!
meanest	calculated	calculated
mean	!	!
meaner	!	!
meanest	!	!
smoother	convex	convex
smooth	texture	texture
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	wealthiest	blender
milder	winters	winters
mild	cool	cool
mildest	winters	cold
mild	'm	'm
milder	healthier	healthier
mildest	!	!
earlier	late	late
early	says	says
earliest	late	late
early	extant	extant
earlier	extant	extant
earliest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	'm	'm
tastier	healthier	healthier
tastiest	!	!
faster	quickest	slowest
fastest	slower	slower
fast	quickest	quickest
fastest	slow	slow
faster	pace	pace
fast	!	!
greater	considerable	brought
great	within	within
greatest	!	!
great	regarded	accomplishment
greater	regarded	pundits
greatest	!	!
richer	richer	richer
rich	rich	rich
richest	vitamins	vitamins
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	clearer	engulfed
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
thinner	thicker	thicker
thin	thicker	thick
thinnest	thick	thicker
thin	!	!
thinner	!	!
thinnest	thicker	thicker
rougher	softer	softer
rough	!	!
roughest	terrain	hilly
rough	!	!
rougher	!	!
roughest	!	!
luckier	loser	loser
lucky	!	!
luckiest	loser	loser
lucky	!	!
luckier	!	!
luckiest	!	!
tighter	tighter	tighter
tight	cola	cola
tightest	!	!
tight	texture	texture
tighter	harder	harder
tightest	!	!
kinder	something	much
kind	die	die
kindest	!	!
kind	texture	texture
kinder	harder	harder
kindest	!	!
swifter	than	than
swift	!	!
swiftest	!	!
swift	texture	texture
swifter	harder	harder
swiftest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	texture	texture
messier	harder	harder
messiest	!	!
deeper	deeper	deeper
deep	deep	deep
deepest	!	!
deep	deep	deep
deeper	deeper	deeper
deepest	!	!
lower	higher	higher
low	upper	upper
lowest	higher	higher
low	highest	low
lower	higher	higher
lowest	upper	upper
costlier	expensive	expensive
costly	!	!
costliest	expensive	expensive
costly	!	!
costlier	!	!
costliest	!	!
narrower	narrower	narrower
narrow	narrow	narrow
narrowest	narrower	narrower
narrow	!	!
narrower	!	!
narrowest	wider	narrow
leaner	progressively	progressively
lean	!	!
leanest	downward	downward
lean	!	!
leaner	!	!
leanest	!	!
younger	adults	adults
young	brother	brother
youngest	teenage	teenage
young	son	son
younger	siblings	siblings
youngest	brother	brother
smaller	!	!
small	larger	larger
smallest	!	!
small	bristles	bristles
smaller	smaller	smaller
smallest	larger	larger
gentler	!	!
gentle	bristles	bristles
gentlest	!	!
gentle	bristles	bristles
gentler	!	!
gentlest	!	!
mightier	!	!
mighty	bristles	bristles
mightiest	!	!
mighty	bristles	bristles
mightier	!	!
mightiest	!	!
leaner	!	!
lean	bristles	bristles
leanest	!	!
lean	bristles	bristles
leaner	!	!
leanest	!	!
fancier	!	!
fancy	bristles	bristles
fanciest	!	!
fancy	bristles	bristles
fancier	!	!
fanciest	!	!
kinder	think	think
kind	die	die
kindest	!	!
kind	serrated	serrated
kinder	brighter	brighter
kindest	!	!
wider	width	10cm
wide	rounded	rounded
widest	!	!
wide	blunt	rounded
wider	narrower	narrower
widest	!	!
pricier	!	!
pricey	!	!
priciest	!	!
pricey	serrated	serrated
pricier	brighter	brighter
priciest	!	!
firmer	consulting	consulting
firm	!	!
firmest	!	!
firm	serrated	serrated
firmer	brighter	brighter
firmest	!	!
brighter	brighter	brighter
bright	luminous	constellation
brightest	!	!
bright	galaxies	galaxies
brighter	brighter	brighter
brightest	!	!
steadier	slower	slower
steady	!	!
steadiest	!	!
steady	broad	broad
steadier	wider	wider
steadiest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	broad	broad
classier	wider	wider
classiest	!	!
sadder	novi	novi
sad	!	!
saddest	!	!
sad	broad	broad
sadder	wider	wider
saddest	!	!
meaner	average	average
mean	!	!
meanest	!	!
mean	broad	broad
meaner	wider	wider
meanest	!	!
faster	slower	slower
fastest	slower	slow
fast	!	!
fastest	slow	slow
faster	slower	slower
fast	!	!
louder	!	!
loud	demeanor	demeanor
loudest	!	!
loud	cheerful	cheerful
louder	!	!
loudest	quieter	loud
newer	!	!
new	pessimistic	pessimistic
newest	!	!
new	cheerful	cheerful
newer	state-of-the-art	state-of-the-art
newest	compatible	compatible
bloodier	!	!
bloody	cheerful	cheerful
bloodiest	!	!
bloody	cheerful	cheerful
bloodier	!	!
bloodiest	!	!
younger	!	!
young	elder	siblings
youngest	!	!
young	caring	caring
younger	son	son
youngest	brother	brother
closer	!	!
close	calm	calm
closest	!	!
close	cheerful	intimate
closer	relatives	relatives
closest	stronger	stronger
clearer	furlong	furlong
clear	provides	provides
clearest	!	!
clear	available	available
clearer	guggenheim	guggenheim
clearest	!	!
richer	mineral	mineral
rich	provides	provides
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	!	!
meaner	think	think
mean	!	!
meanest	!	!
mean	available	available
meaner	guggenheim	guggenheim
meanest	!	!
older	years	years
old	alone	alone
oldest	!	!
old	available	today
older	earliest	earliest
oldest	!	alone
deeper	deepest	deepest
deep	shallower	shallower
deepest	!	!
deep	deep	deep
deeper	deep	deep
deepest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
weaker	weaker	weaker
weak	weak	weak
weakest	weakening	weakening
weak	shrub	perennial
weaker	stronger	stronger
weakest	skyscraper	skyscraper
sadder	novi	novi
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
