rougher	softer	softer
riskiest	!	!
risky	conditions	conditions
riskier	punishments	punishments
riskiest	!	!
stronger	stronger	stronger
strong	weaker	strong
strongest	!	!
strong	conditions	conditions
stronger	landfall	landfall
strongest	!	!
classier	sharper	louder
classy	!	!
classiest	!	!
classy	quarterback	quarterback
classier	stiffer	stiffer
classiest	!	!
gentler	cheerful	relaxed
gentle	!	!
gentlest	!	!
gentle	quarterback	quarterback
gentler	stiffer	stiffer
gentlest	!	!
leaner	flatter	flatter
lean	!	!
leanest	!	!
lean	quarterback	quarterback
leaner	stiffer	stiffer
leanest	!	!
bigger	ncaa	ncaa
big	quarterback	quarterback
biggest	!	!
big	quarterback	quarterback
bigger	stiffer	multi-platinum
biggest	!	!
luckier	gotten	gotten
lucky	!	!
luckiest	!	!
lucky	quarterback	quarterback
luckier	stiffer	stiffer
luckiest	!	!
warmer	warmer	warmer
warm	cold	cold
warmest	winters	winters
warm	coldest	coldest
warmer	warmer	warmer
warmest	winters	cold
slimmer	quieter	taller
slim	!	!
slimmest	quantization	quantization
slim	!	!
slimmer	!	!
slimmest	!	!
rougher	softer	softer
rough	!	!
roughest	ravines	ravines
rough	!	!
rougher	!	!
roughest	!	!
harder	harder	harder
hard	hard	hard
hardest	disks	disks
hard	easy	hard
harder	harder	harder
hardest	hardest	hardest
closer	much	much
close	perfect	perfect
closest	friendships	friendships
close	closer	relative
closer	much	much
closest	close	close
greener	blue	purple
green	inadequate	inadequate
greenest	purple	purple
green	!	!
greener	!	!
greenest	slums	slums
kinder	thing	thing
kind	haus	haus
kindest	thing	thing
kind	!	!
kinder	!	!
kindest	geschichte	geschichte
sadder	novi	melancholy
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
quicker	quicker	quicker
quick	faster	slow
quickest	fast	quicker
quick	lap	lap
quicker	montoya	montoya
quickest	faster	fastest
stiffer	erect	stiffer
stiff	rigidity	rigidity
stiffest	bristles	hairs
stiff	!	!
stiffer	!	!
stiffest	rigidity	rigidity
weaker	weaker	weaker
weak	strong	strong
weakest	!	!
weak	fact	obvious
weaker	stronger	stronger
weakest	!	!
slicker	sharper	visuals
slick	!	!
slickest	!	hey
slick	though	though
slicker	sharper	sharper
slickest	!	!
closer	friendships	friendships
close	though	though
closest	!	!
close	close	close
closer	closer	distant
closest	!	!
older	sharper	sharper
old	alone	alone
oldest	!	!
old	existed	existed
older	sharper	smoother
oldest	!	!
wiser	neowise	neowise
wise	!	!
wisest	!	!
wise	though	though
wiser	sharper	sharper
wisest	!	!
cheaper	cheaper	cheaper
cheap	cheap	cheap
cheapest	montoya	montoya
cheap	cheap	cheap
cheaper	cheaper	cheaper
cheapest	keselowski	busch
simpler	simpler	simpler
simple	sophisticated	sophisticated
simplest	montoya	montoya
simple	simple	simple
simpler	simpler	simpler
simplest	kenseth	busch
fresher	dried	dried
fresh	!	!
freshest	lap	lap
fresh	!	!
fresher	!	!
freshest	!	!
bolder	italics	italics
bold	!	!
boldest	italics	italics
bold	!	!
bolder	!	!
boldest	!	!
cleaner	cleaner	cleaner
clean	clean	clean
cleanest	lap	kenseth
clean	!	!
cleaner	!	!
cleanest	keselowski	talladega
poorer	poorer	poorer
poor	wealthier	poor
poorest	poorest	poorest
poor	impoverished	poor
poorer	poorer	poorer
poorest	wealthier	poorest
messier	lighter	lighter
messy	galaxies	galaxies
messiest	weighing	weighing
messy	!	!
messier	!	!
messiest	galaxies	brightest
narrower	narrower	narrower
narrow	broad	broad
narrowest	narrower	narrower
narrow	narrow	narrow
narrower	narrower	wider
narrowest	broad	broad
noisier	quieter	quieter
noisy	!	!
noisiest	loud	loud
noisy	!	!
noisier	!	!
noisiest	!	!
riskier	lighter	subprime
risky	!	!
riskiest	subprime	subprime
risky	!	!
riskier	!	!
riskiest	!	!
steadier	faster	slower
steady	!	!
steadiest	earnings	earnings
steady	!	!
steadier	!	!
steadiest	!	!
swifter	gaga	gaga
swift	!	!
swiftest	rihanna	rihanna
swift	!	!
swifter	!	!
swiftest	!	!
tougher	tougher	tougher
tough	lenient	lenient
toughest	wealthiest	tougher
tough	difficult	difficult
tougher	harder	harder
toughest	wealthiest	billionaire
meaner	difference	difference
mean	!	!
meanest	calculated	calculated
mean	!	!
meaner	!	!
meanest	!	!
smoother	whorl	slightly
smooth	braking	braking
smoothest	ribbed	ribbed
smooth	!	!
smoother	!	!
smoothest	wealthiest	braking
milder	milder	milder
mild	winters	cool
mildest	winters	summers
mild	!	!
milder	!	!
mildest	winters	winters
earlier	late	late
early	later	latter
earliest	late	late
early	dating	extant
earlier	extant	extant
earliest	having	having
tastier	delicious	delicious
tasty	!	!
tastiest	spicy	spicy
tasty	!	!
tastier	!	!
tastiest	!	!
faster	slowest	slowest
fastest	slower	slower
fast	quickest	quickest
fastest	pace	pace
faster	pace	pace
fast	slower	quicker
greater	adversity	adversity
great	within	within
greatest	prodigious	prodigious
great	ever	ever
greater	songs	songs
greatest	within	kpa
richer	richer	richer
rich	rich	rich
richest	richest	richest
rich	brown	wealthiest
richer	wealthiest	wealthiest
richest	capitalists	misery
tastier	delicious	delicious
tasty	!	!
tastiest	delicious	delicious
tasty	!	!
tastier	!	!
tastiest	!	!
thinner	thicker	thicker
thin	thick	thick
thinnest	thicker	thicker
thin	!	!
thinner	!	!
thinnest	thicker	10cm
rougher	softer	softer
rough	!	!
roughest	unpaved	unpaved
rough	!	!
rougher	!	!
roughest	!	!
luckier	gotten	gotten
lucky	!	!
luckiest	crazy	kinda
lucky	!	!
luckier	!	!
luckiest	!	!
tighter	tighter	tighter
tight	cola	cola
tightest	!	!
tight	texture	texture
tighter	harder	harder
tightest	!	!
kinder	something	much
kind	eine	coca-cola
kindest	!	?
kind	texture	texture
kinder	harder	harder
kindest	!	!
swifter	considerably	considerably
swift	!	!
swiftest	!	!
swift	texture	texture
swifter	harder	harder
swiftest	!	!
messier	mustache	mustache
messy	galaxies	milky
messiest	!	!
messy	texture	texture
messier	harder	harder
messiest	!	!
deeper	deeper	deeper
deep	depths	depths
deepest	!	!
deep	deep	deep
deeper	deeper	deeper
deepest	!	!
lower	higher	higher
low	upper	upper
lowest	higher	higher
low	low	low
lower	higher	higher
lowest	upper	upper
costlier	expensive	expensive
costly	!	!
costliest	expensive	unnecessary
costly	!	!
costlier	!	!
costliest	!	!
narrower	narrower	narrower
narrow	broad	broad
narrowest	broad	narrower
narrow	narrow	narrow
narrower	narrow	narrower
narrowest	narrow	narrow
leaner	flatter	flatter
lean	!	!
leanest	leaning	leaning
lean	!	!
leaner	!	!
leanest	!	!
younger	adults	adults
young	brother	brother
youngest	girl	girl
young	eldest	eldest
younger	younger	younger
youngest	brother	brother
smaller	larger	larger
small	large	small
smallest	!	!
small	medium-sized	medium-sized
smaller	larger	larger
smallest	!	!
gentler	steeper	steeper
gentle	!	!
gentlest	!	!
gentle	bristles	bristles
gentler	thicker	thicker
gentlest	!	!
mightier	considerably	considerably
mighty	!	!
mightiest	!	!
mighty	bristles	bristles
mightier	thicker	thicker
mightiest	!	!
leaner	flatter	flatter
lean	!	!
leanest	!	!
lean	bristles	bristles
leaner	thicker	thicker
leanest	!	!
fancier	considerably	considerably
fancy	!	!
fanciest	!	!
fancy	bristles	bristles
fancier	thicker	thicker
fanciest	!	!
kinder	like	like
kind	eine	eine
kindest	!	?
kind	serrated	serrated
kinder	clearer	clearer
kindest	!	!
wider	width	10cm
wide	broad	broad
widest	!	!
wide	serrated	serrated
wider	narrower	narrower
widest	!	!
pricier	!	!
pricey	!	!
priciest	!	!
pricey	serrated	serrated
pricier	clearer	clearer
priciest	!	!
firmer	consulting	consulting
firm	!	!
firmest	!	!
firm	serrated	serrated
firmer	clearer	clearer
firmest	!	!
brighter	brighter	brighter
bright	brightest	brightest
brightest	!	!
bright	constellation	carina
brighter	brighter	brighter
brightest	!	!
steadier	slower	slower
steady	!	!
steadiest	pace	ebb
steady	!	!
steadier	!	!
steadiest	!	!
classier	lighter	lighter
classy	!	!
classiest	stylish	stylish
classy	!	!
classier	!	!
classiest	!	!
sadder	novi	novi
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
meaner	much	much
mean	!	!
meanest	calculated	calculated
mean	!	!
meaner	!	!
meanest	!	!
faster	slower	slower
fastest	slower	slow
fast	quickest	quickest
fastest	slow	slow
faster	faster	faster
fast	slower	slower
louder	!	!
loud	dreamy	dreamy
loudest	!	!
loud	cheerful	cheerful
louder	!	!
loudest	loud	loud
newer	!	!
new	dreamy	dreamy
newest	!	!
new	cheerful	cheerful
newer	campus	campus
newest	superseded	superseded
bloodier	!	!
bloody	cheerful	cheerful
bloodiest	!	!
bloody	cheerful	cheerful
bloodier	!	!
bloodiest	!	!
younger	!	!
young	brother	elder
youngest	!	!
young	cheerful	cheerful
younger	son	son
youngest	brother	brother
closer	!	!
close	dreamy	dreamy
closest	!	!
close	dreamy	dreamy
closer	close	close
closest	close	close
clearer	clearer	clearer
clear	provides	provides
clearest	!	!
clear	available	available
clearer	cubism	cubism
clearest	!	!
richer	richest	richest
rich	offer	offer
richest	!	!
rich	wealthiest	wealthy
richer	wealthiest	wealthiest
richest	!	!
