rougher	accordingly	accordingly
shortest	innsbruck	innsbruck
fewer	drastically	drastically
few	92	92
fewest	freiburg	lowest
few	!	!
fewer	!	!
fewest	today	today
sharper	gills	timing
sharp	!	!
sharpest	specific	specific
sharp	!	!
sharper	!	!
sharpest	!	!
taller	4.4	4.4
tall	grande	grande
tallest	tallest	tallest
tall	sh	sh
taller	44	44
tallest	tallest	tallest
smoother	elliptical	elliptical
smooth	!	!
smoothest	integers	integers
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	franais	franais
nice	!	!
nicest	rated	rated
nice	!	!
nicer	!	!
nicest	!	!
broader	exemption	exemption
broad	intellectual	olivier
broadest	representation	representation
broad	!	!
broader	!	!
broadest	punk	punk
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	realist	realist
great	considerable	considerable
greatest	steamship	steamship
great	standout	miraculous
greater	popularity	popularity
greatest	reproductive	punk
wilder	domesticated	domesticated
wild	jeffries	buddy
wildest	!	!
wild	high-quality	high-quality
wilder	harder	harder
wildest	!	!
smoother	uniformly	uniformly
smooth	!	!
smoothest	!	!
smooth	high-quality	high-quality
smoother	harder	harder
smoothest	!	!
mightier	slowing	slowing
mighty	!	!
mightiest	!	!
mighty	high-quality	high-quality
mightier	harder	harder
mightiest	!	!
leaner	flexibility	flexibility
lean	!	!
leanest	!	!
lean	high-quality	high-quality
leaner	harder	harder
leanest	!	!
cleaner	water	processing
clean	complemented	buxton
cleanest	!	!
clean	high-quality	high-quality
cleaner	harder	harder
cleanest	!	!
narrower	triangular	conceding
narrow	easternmost	easternmost
narrowest	triangular	triangular
narrow	!	!
narrower	!	!
narrowest	whorls	whorls
colder	microphone	microphone
cold	!	!
coldest	justify	justify
cold	!	!
colder	!	!
coldest	!	!
noisier	microphone	microphone
noisy	!	!
noisiest	additive	triangular
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	conceding	conceding
deep	cue	cue
deepest	slender	landscapes
deep	desire	desire
deeper	existential	existential
deepest	vomiting	vomiting
taller	silhouette	silhouette
tall	height	height
tallest	slender	slender
tall	debuting	debuting
taller	atop	atop
tallest	catalogue	catalogue
quicker	sister	sister
quick	method	autonomy
quickest	variation	variation
quick	!	!
quicker	!	!
quickest	autonomy	autonomy
narrower	horizontally	horizontally
narrow	perpendicular	switches
narrowest	distal	distal
narrow	!	!
narrower	!	!
narrowest	homogeneous	convergence
deeper	grams	horizontally
deep	empower	empower
deepest	bare	bare
deep	shallow	viewing
deeper	curved	curved
deepest	north-east	north-east
closer	closest	closest
close	cruel	cruel
closest	podlaskie	hastings
close	embassy	tolerate
closer	tolerate	tolerate
closest	formerly	formerly
taller	horizontally	horizontally
tall	blonde	blonde
tallest	tallest	tallest
tall	spire	spire
taller	intersection	embankment
tallest	tallest	half
kinder	anything	anything
kind	!	!
kindest	slot	slot
kind	!	!
kinder	!	!
kindest	!	!
heavier	nitro	nitro
heavy	jump	jump
heaviest	inflicted	inflicted
heavy	heavy	heavy
heavier	cues	dignity
heaviest	gal	gal
mightier	beings	beings
mighty	!	!
mightiest	strikeouts	strikeouts
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	trouble	fertility
lean	!	!
leanest	swings	co-written
lean	!	!
leaner	!	!
leanest	!	!
smarter	32-bit	32-bit
smart	!	!
smartest	strikeouts	strikeouts
smart	!	!
smarter	!	!
smartest	!	!
milder	epilepsy	epilepsy
mild	!	!
mildest	salinity	salinity
mild	!	!
milder	!	!
mildest	!	!
weaker	weaker	weaker
weak	saturn	saturn
weakest	strengthening	strengthening
weak	!	!
weaker	!	!
weakest	clarke	clarke
friendlier	broke	broke
friendly	!	!
friendliest	concacaf	lvaro
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	17th-century	17th-century
lively	!	!
liveliest	stunning	17th-century
lively	!	!
livelier	!	!
liveliest	!	!
younger	smyth	smyth
young	abba	abba
youngest	twelve	twelve
young	ludwig	ludwig
younger	constance	constance
youngest	elder	elder
clearer	synthetic	incorrectly
clear	!	!
clearest	!	!
clear	whorl	whorl
clearer	subsidy	subsidy
clearest	!	!
friendlier	second-half	second-half
friendly	!	!
friendliest	!	!
friendly	whorl	whorl
friendlier	subsidy	subsidy
friendliest	!	!
cleaner	renewable	renewable
clean	recalling	recalling
cleanest	!	!
clean	whorl	whorl
cleaner	subsidy	subsidy
cleanest	!	!
stronger	argues	argues
strong	creed	creed
strongest	!	!
strong	two	two
stronger	proportion	proportion
strongest	!	!
freer	mta	mta
free	!	!
freest	!	!
free	whorl	whorl
freer	subsidy	subsidy
freest	!	!
tougher	durable	durable
tough	!	!
toughest	inclined	inclined
tough	!	!
tougher	!	!
toughest	!	!
funnier	hopefully	durable
funny	!	!
funniest	nana	nana
funny	!	!
funnier	!	!
funniest	!	!
nicer	appreciate	appreciate
nice	!	!
nicest	inclined	inclined
nice	!	!
nicer	!	!
nicest	!	!
greater	outset	outset
great	exposure	exposure
greatest	greatest	prowess
great	rob	rob
greater	interrupt	interrupt
greatest	greatest	suburb
bolder	optimized	optimized
bold	!	!
boldest	devotion	devotion
bold	!	!
bolder	!	!
boldest	!	!
poorer	humidity	humidity
poor	robust	rural
poorest	bad	bad
poor	unpopular	partially
poorer	coins	coins
poorest	poorest	poorest
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	1km	1km
long	nineteen	nineteen
longest	measuring	southwards
long	span	lap
longer	2100	2100
longest	categorized	categorized
harder	getting	getting
hard	waste	waste
hardest	jacksonville	jacksonville
hard	realise	tractors
harder	slug	slug
hardest	warriors	warriors
wiser	sunshine	sunshine
wise	!	!
wisest	notre	notre
wise	!	!
wiser	!	!
wisest	!	!
earlier	arose	arose
early	sting	sting
earliest	announcing	announcing
early	notable	notable
earlier	largely	largely
earliest	l	l
sadder	okay	okay
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
darker	hindwings	hindwings
dark	yellowish	yellowish
darkest	fuscous	fuscous
dark	!	!
darker	!	!
darkest	striped	striped
quicker	ongoing	ongoing
quick	larva	larva
quickest	announcing	--
quick	!	!
quicker	!	!
quickest	drastically	drastically
brighter	opaque	opaque
bright	antennae	antennae
brightest	row	row
bright	transformers	transformers
brighter	thin	thin
brightest	striped	striped
cheaper	atari	atari
cheap	taller	sidings
cheapest	!	!
cheap	narrow	narrow
cheaper	broadly	broadly
cheapest	!	!
higher	attended	attended
high	ratio	ratio
highest	!	!
high	narrow	two-thirds
higher	competitiveness	well-defined
highest	!	!
fairer	credible	credible
fair	!	!
fairest	!	!
fair	narrow	narrow
fairer	tier	tier
fairest	!	!
wiser	truly	truly
wise	!	!
wisest	!	!
wise	narrow	narrow
wiser	broadly	broadly
wisest	!	!
taller	tale	tale
tall	accommodated	accommodated
tallest	!	!
tall	two-thirds	two-thirds
taller	two-thirds	two-thirds
tallest	!	!
poorer	likely	likely
poor	granada	granada
poorest	nuns	paralysis
poor	poorly	jaws
poorer	reformers	reformers
poorest	11.1	11.1
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
busier	deteriorating	deteriorating
busy	!	!
busiest	palmerston	palmerston
busy	weekdays	weekdays
busier	arteries	arteries
busiest	!	!
taller	corners	corners
tall	lineup	lineup
tallest	taller	taller
tall	intersection	intersection
taller	suffragan	suffragan
tallest	deck	deck
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
higher	!	!
high	metabolic	metabolic
highest	!	!
high	level	level
higher	lowest	lowest
highest	low-lying	low-lying
slower	!	!
slow	tactics	tactics
slowest	!	!
slow	've	've
slower	!	!
slowest	faster	faster
smarter	!	!
smart	've	've
smartest	!	!
smart	've	've
smarter	!	!
smartest	!	!
older	!	!
old	preferences	preferences
oldest	!	!
old	curving	sunderland
older	miocene	miocene
oldest	younger	younger
stronger	!	!
strong	seems	seems
strongest	!	!
strong	hurricanes	hurricanes
stronger	technological	technological
strongest	diminish	diminish
cheaper	expensive	expensive
cheap	gem	gem
cheapest	!	!
cheap	safety	safety
cheaper	plumbing	plumbing
cheapest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	safety	safety
classier	plumbing	plumbing
classiest	!	!
bloodier	brutal	clans
bloody	!	!
bloodiest	!	!
bloody	safety	safety
bloodier	plumbing	plumbing
bloodiest	!	!
wilder	boar	boar
wild	gem	gem
wildest	!	!
wild	safety	safety
wilder	plumbing	plumbing
wildest	!	!
easier	antennas	antennas
easy	plotting	plotting
easiest	!	!
easy	safety	safety
easier	plumbing	plumbing
easiest	!	!
rougher	keeper	keeper
rough	!	!
roughest	beak	manifest
rough	!	!
rougher	!	!
roughest	!	!
fresher	learners	learners
fresh	!	!
freshest	counters	counters
fresh	!	!
fresher	!	!
freshest	!	!
harsher	deliberate	deliberate
harsh	!	!
harshest	critiques	liable
harsh	!	!
harsher	!	!
harshest	!	!
luckier	magician	magician
lucky	!	!
luckiest	goethe	goethe
lucky	!	!
luckier	!	!
luckiest	!	!
taller	quercus	motorists
tall	gates	gates
tallest	metres	goethe
tall	dams	dams
taller	dams	dams
tallest	solo	solo
fatter	boiling	boiling
fat	!	!
fattest	boiling	boiling
fat	!	!
fatter	!	!
fattest	!	!
smoother	fold	fold
smooth	!	!
smoothest	polynomials	polynomials
smooth	!	!
smoother	!	!
smoothest	!	!
fresher	plug	plug
fresh	!	!
freshest	nectar	nectar
fresh	!	!
fresher	!	!
freshest	!	!
shorter	swinging	aborted
short	antigua	antigua
shortest	conan	conan
short	discretion	discretion
shorter	discretion	discretion
shortest	antigua	antigua
cleaner	cleaner	cleaner
clean	geothermal	geothermal
cleanest	water	water
clean	!	!
cleaner	!	!
cleanest	closely	closely
fuller	debts	debts
full	britannica	britannica
fullest	!	!
full	low-cost	low-cost
fuller	expensive	expensive
fullest	!	!
firmer	llp	llp
firm	!	!
firmest	!	!
firm	low-cost	low-cost
firmer	expensive	expensive
firmest	!	!
better	myself	myself
good	demonstration	demonstration
best	!	!
good	low-cost	low-cost
better	expensive	expensive
best	!	!
mightier	bulldogs	bulldogs
mighty	!	!
mightiest	!	!
mighty	low-cost	low-cost
mightier	expensive	expensive
mightiest	!	!
longer	linear	linear
long	authentic	authentic
longest	!	!
long	geothermal	geothermal
longer	span	geothermal
longest	!	!
greener	reddish	reddish
green	!	!
greenest	dense	dense
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	attractive	promises
nice	!	!
nicest	prop	prop
nice	!	!
nicer	!	!
nicest	!	!
slicker	glands	glands
slick	!	!
slickest	prop	prop
slick	!	!
slicker	!	!
slickest	!	!
noisier	vomiting	foraging
noisy	!	!
noisiest	prop	prop
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	novi	novi
sad	!	!
saddest	!	!
sad	buildup	buildup
sadder	faster	faster
saddest	!	!
swifter	standout	panhandle
swift	!	!
swiftest	!	!
swift	buildup	buildup
swifter	faster	faster
swiftest	!	!
nicer	neural	neural
nice	!	!
nicest	!	!
nice	buildup	buildup
nicer	faster	faster
nicest	!	!
softer	bundles	bundles
soft	smooth	smooth
softest	!	!
soft	buildup	buildup
softer	faster	faster
softest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	buildup	buildup
trickier	faster	faster
trickiest	!	!
greener	gully	gully
green	!	!
greenest	claw	claw
green	!	!
greener	!	!
greenest	!	!
clearer	screaming	screaming
clear	!	!
clearest	cue	cue
clear	!	!
clearer	!	!
clearest	!	!
healthier	ipad	variable
healthy	!	!
healthiest	breasts	breasts
healthy	!	!
healthier	!	!
healthiest	!	!
faster	rikknen	rikknen
fastest	prompting	prompting
fast	finishers	finishers
fastest	wasnt	wasnt
faster	grinding	grinding
fast	allows	allows
freer	offset	3.9
free	!	!
freest	northumberland	northumberland
free	!	!
freer	!	!
freest	!	!
meaner	ratios	ratios
mean	!	!
meanest	computed	computed
mean	!	!
meaner	!	!
meanest	!	!
firmer	mechanism	mechanism
firm	!	!
firmest	llp	dealings
firm	!	!
firmer	!	!
firmest	!	!
bigger	kits	peppers
big	2002	2002
biggest	stardom	stardom
big	malibu	malibu
bigger	fabrics	fabrics
biggest	computation	2002
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
deeper	deeper	emphasizes
deep	cartoonist	cartoonist
deepest	cruising	belief
deep	shallow	shallow
deeper	depth	depth
deepest	imaginative	dissertation
gentler	looks	looks
gentle	!	!
gentlest	!	!
gentle	illumination	illumination
gentler	darker	darker
gentlest	!	!
costlier	fiberglass	proved
costly	!	!
costliest	!	!
costly	illumination	illumination
costlier	darker	darker
costliest	!	!
lower	compartment	compartment
low	upper	photons
lowest	!	!
low	ultraviolet	ultraviolet
lower	averages	averages
lowest	!	!
fancier	pornographic	pornographic
fancy	!	!
fanciest	!	!
fancy	illumination	illumination
fancier	darker	darker
fanciest	!	!
cleaner	bland	bland
clean	toilets	toilets
cleanest	!	!
clean	illumination	illumination
cleaner	darker	darker
cleanest	!	!
steadier	odi	odi
steady	!	!
steadiest	!	!
steady	weaker	weaker
steadier	weak	weak
steadiest	!	!
poorer	impoverished	impoverished
poor	alluvial	alluvial
poorest	!	!
poor	poorly	poorly
poorer	well-defined	well-defined
poorest	!	!
faster	federer	lauderdale
fastest	slower	slower
fast	!	!
fastest	weaken	weaken
faster	well-defined	well-defined
fast	!	!
cleaner	odi	odi
clean	cleaning	uses
cleanest	!	!
clean	weaker	weaker
cleaner	weak	weak
cleanest	!	!
softer	coating	coating
soft	alluvial	alluvial
softest	!	!
soft	weaker	weaker
softer	weak	weak
softest	!	!
richer	themed	themed
rich	plaster	downloads
richest	!	!
rich	breeder	breeder
richer	low-cost	geothermal
richest	!	!
lighter	bulbs	bulbs
light	layered	layered
lightest	!	!
light	sanitation	sanitation
lighter	cheese	cheese
lightest	!	!
simpler	simpler	simpler
simple	frames	frames
simplest	!	!
simple	polymers	polymers
simpler	pollutants	electromagnetic
simplest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	sanitation	sanitation
messier	cheese	cheese
messiest	!	!
friendlier	non-league	non-league
friendly	!	!
friendliest	!	!
friendly	sanitation	sanitation
friendlier	cheese	cheese
friendliest	!	!
higher	!	!
high	syria	syria
highest	!	!
high	attain	attain
higher	lowest	lowest
highest	low-lying	low-lying
stickier	!	!
sticky	atheism	atheism
stickiest	!	!
sticky	atheism	atheism
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	atheism	atheism
priciest	!	!
pricey	atheism	atheism
pricier	!	!
priciest	!	!
greater	!	!
great	well-defined	well-defined
greatest	!	!
great	exemption	exemption
greater	eminem	eminem
greatest	divergence	divergence
busier	!	!
busy	atheism	atheism
busiest	!	!
busy	hilly	hilly
busier	ridership	ridership
busiest	!	!
tougher	!	!
tough	deprivation	deprivation
toughest	!	!
tough	deprivation	deprivation
tougher	!	!
toughest	!	!
stricter	!	!
strict	deprivation	deprivation
strictest	!	!
strict	deprivation	deprivation
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	deprivation	deprivation
stiffest	!	!
stiff	deprivation	deprivation
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	deprivation	deprivation
riskiest	!	!
risky	deprivation	deprivation
riskier	!	!
riskiest	!	!
stronger	!	!
strong	cold	cold
strongest	!	!
strong	vigorous	vigorous
stronger	technological	technological
strongest	diminish	diminish
classier	!	!
classy	cornerback	qb
classiest	!	!
classy	cornerback	qb
classier	!	!
classiest	!	!
gentler	!	!
gentle	cornerback	qb
gentlest	!	!
gentle	cornerback	qb
gentler	!	!
gentlest	!	!
leaner	!	!
lean	cornerback	qb
leanest	!	!
lean	cornerback	qb
leaner	!	!
leanest	!	!
bigger	!	!
big	narrow	narrow
biggest	!	!
big	narrow	narrow
bigger	largest	largest
biggest	wingspan	wingspan
luckier	!	!
lucky	cornerback	qb
luckiest	!	!
lucky	cornerback	qb
luckier	!	!
luckiest	!	!
warmer	cooler	cooler
warm	predation	snails
warmest	cooler	cooler
warm	!	!
warmer	!	!
warmest	humidity	favors
slimmer	splash	sgt.
slim	!	!
slimmest	ecoregion	ecoregion
slim	!	!
slimmer	!	!
slimmest	!	!
rougher	restrictions	restrictions
rough	!	!
roughest	restrictions	restrictions
rough	!	!
rougher	!	!
roughest	!	!
harder	cereals	gunners
hard	embarrassing	embarrassing
hardest	sensitive	sensitive
hard	domino	domino
harder	maverick	maverick
hardest	pollutants	pollutants
closer	rationale	rationale
close	fearing	fearing
closest	3km	3km
close	close	close
closer	heineken	heineken
closest	observable	odd
greener	greenish	greenish
green	!	!
greenest	jacksonville	jacksonville
green	!	!
greener	!	!
greenest	!	!
kinder	thinner	products
kind	!	!
kindest	okrug	okrug
kind	!	!
kinder	!	!
kindest	!	!
sadder	novi	novi
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
quicker	product	product
quick	exiting	exiting
quickest	mongol	mongol
quick	!	!
quicker	!	!
quickest	shakedown	shakedown
stiffer	thinner	thinner
stiff	!	!
stiffest	southerly	southerly
stiff	!	!
stiffer	!	!
stiffest	!	!
weaker	!	!
weak	well-defined	well-defined
weakest	!	!
weak	anything	anything
weaker	!	!
weakest	weak	weak
slicker	!	!
slick	anything	anything
slickest	!	!
slick	anything	anything
slicker	!	!
slickest	!	!
closer	!	!
close	fringes	fringes
closest	!	!
close	well-defined	well-defined
closer	close	close
closest	zodiac	zodiac
older	!	!
old	fringes	well-defined
oldest	!	!
old	lutheran	lutheran
older	miocene	miocene
oldest	younger	younger
wiser	!	!
wise	anything	anything
wisest	!	!
wise	anything	anything
wiser	!	!
wisest	!	!
cheaper	scrap	scrap
cheap	plumbing	plumbing
cheapest	!	!
cheap	captures	captures
cheaper	faster	faster
cheapest	!	!
simpler	linear	symmetrical
simple	hoc	hoc
simplest	!	!
simple	polymers	polymers
simpler	polymers	polymers
simplest	!	!
fresher	larval	larval
fresh	!	!
freshest	!	!
fresh	captures	captures
fresher	faster	faster
freshest	!	!
bolder	whorl	whorl
bold	!	!
boldest	!	!
bold	captures	captures
bolder	faster	faster
boldest	!	!
cleaner	pushes	pushes
clean	plumbing	plumbing
cleanest	!	!
clean	captures	captures
cleaner	faster	faster
cleanest	!	!
poorer	filtering	admitting
poor	rooted	rooted
poorest	casts	casts
poor	slavs	slavs
poorer	strategically	strategically
poorest	17000	17000
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
narrower	paler	gastropod
narrow	twisted	twisted
narrowest	margin	270
narrow	!	!
narrower	!	!
narrowest	mekong	mekong
noisier	filtering	filtering
noisy	!	!
noisiest	predator	predator
noisy	!	!
noisier	!	!
noisiest	!	!
riskier	mollusks	backwards
risky	!	!
riskiest	doubt	doubt
risky	!	!
riskier	!	!
riskiest	!	!
steadier	faster	faster
steady	!	!
steadiest	stud	stud
steady	!	!
steadier	!	!
steadiest	!	!
swifter	facilitate	facilitate
swift	!	!
swiftest	fencer	fencer
swift	!	!
swifter	!	!
swiftest	!	!
tougher	dissatisfaction	dissatisfaction
tough	!	!
toughest	fencer	fencer
tough	!	!
tougher	!	!
toughest	!	!
meaner	knots	knots
mean	!	!
meanest	touchdowns	touchdowns
mean	!	!
meaner	!	!
meanest	!	!
smoother	reduced	reduced
smooth	!	!
smoothest	fuscous	sighting
smooth	!	!
smoother	!	!
smoothest	!	!
milder	!	!
mild	gotta	gotta
mildest	!	!
mild	gotta	gotta
milder	!	!
mildest	!	!
earlier	!	!
early	ordinary	ordinary
earliest	!	!
early	ganga	ganga
earlier	originated	originated
earliest	mikhail	mikhail
tastier	!	!
tasty	gotta	gotta
tastiest	!	!
tasty	gotta	gotta
tastier	!	!
tastiest	!	!
faster	!	!
fastest	safer	safer
fast	!	!
fastest	clothes	mutually
faster	staple	staple
fast	slower	slower
greater	!	!
great	airlift	two-thirds
greatest	!	!
great	evidently	evidently
greater	eminem	eminem
greatest	divergence	divergence
richer	themes	themes
rich	caves	caves
richest	!	!
rich	fuscous	fuscous
richer	yellowish	yellowish
richest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	fuscous	fuscous
tastier	yellowish	yellowish
tastiest	!	!
thinner	paler	paler
thin	silica	silica
thinnest	!	!
thin	fuscous	fuscous
thinner	yellowish	yellowish
thinnest	!	!
rougher	barren	barren
rough	!	!
roughest	!	!
rough	fuscous	fuscous
rougher	yellowish	yellowish
roughest	!	!
luckier	we	we
lucky	!	!
luckiest	!	!
lucky	fuscous	fuscous
luckier	yellowish	yellowish
luckiest	!	!
tighter	keyboardist	keyboardist
tight	!	!
tightest	!	!
tight	greenish	greenish
tighter	thinner	thinner
tightest	!	!
kinder	obviously	obviously
kind	!	!
kindest	!	!
kind	greenish	greenish
kinder	thinner	thinner
kindest	!	!
swifter	baby	baby
swift	!	!
swiftest	!	!
swift	greenish	greenish
swifter	thinner	thinner
swiftest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	greenish	greenish
messier	thinner	thinner
messiest	!	!
deeper	deeper	deeper
deep	fresh	fresh
deepest	!	!
deep	nocturnal	nocturnal
deeper	deeper	deeper
deepest	!	!
lower	high	high
low	upper	upper
lowest	!	!
low	averages	averages
lower	average	average
lowest	!	!
costlier	require	require
costly	!	!
costliest	!	!
costly	cooler	cooler
costlier	humidity	humidity
costliest	!	!
narrower	fuscous	shape
narrow	planar	planar
narrowest	!	!
narrow	cooler	cooler
narrower	humidity	humidity
narrowest	!	!
leaner	pascal	pascal
lean	!	!
leanest	!	!
lean	cooler	cooler
leaner	humidity	humidity
leanest	!	!
younger	cox	cox
young	husband	husband
youngest	!	!
young	cold	cold
younger	oceanic	plateau
youngest	!	!
smaller	!	!
small	withstand	withstand
smallest	!	!
small	nuclei	nuclei
smaller	integers	integer
smallest	larger	larger
gentler	!	!
gentle	yellowish	yellowish
gentlest	!	!
gentle	yellowish	yellowish
gentler	!	!
gentlest	!	!
mightier	!	!
mighty	yellowish	yellowish
mightiest	!	!
mighty	yellowish	yellowish
mightier	!	!
mightiest	!	!
leaner	!	!
lean	yellowish	yellowish
leanest	!	!
lean	yellowish	yellowish
leaner	!	!
leanest	!	!
fancier	!	!
fancy	yellowish	yellowish
fanciest	!	!
fancy	yellowish	yellowish
fancier	!	!
fanciest	!	!
kinder	!	!
kind	gills	gills
kindest	!	!
kind	gills	gills
kinder	!	!
kindest	!	!
wider	!	!
wide	narrower	narrow
widest	!	!
wide	narrow	narrow
wider	whorl	whorl
widest	narrower	narrower
pricier	!	!
pricey	gills	gills
priciest	!	!
pricey	gills	gills
pricier	!	!
priciest	!	!
firmer	!	!
firm	gills	gills
firmest	!	!
firm	gills	gills
firmer	!	!
firmest	!	!
brighter	!	!
bright	plumage	plumage
brightest	!	!
bright	elliptical	elliptical
brighter	fuscous	fuscous
brightest	plumage	plumage
steadier	lifespan	lifespan
steady	!	!
steadiest	!	!
steady	fuscous	fuscous
steadier	whorls	whorls
steadiest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	fuscous	fuscous
classier	whorls	whorls
classiest	!	!
sadder	novi	novi
sad	!	!
saddest	!	!
sad	fuscous	fuscous
sadder	whorls	whorls
saddest	!	!
meaner	computed	computed
mean	!	!
meanest	!	!
mean	fuscous	fuscous
meaner	whorls	whorls
meanest	!	!
faster	skate	skate
fastest	slower	pressures
fast	!	!
fastest	broad	broad
faster	differential	differential
fast	!	!
louder	!	!
loud	lyrically	lyrically
loudest	!	!
loud	lyrically	lyrically
louder	!	!
loudest	!	!
newer	!	!
new	platforms	platforms
newest	!	!
new	looks	looks
newer	cypress	cypress
newest	thicker	thicker
bloodier	!	!
bloody	lyrically	lyrically
bloodiest	!	!
bloody	lyrically	lyrically
bloodier	!	!
bloodiest	!	!
younger	!	!
young	older	older
youngest	!	!
young	looks	looks
younger	born	born
youngest	older	older
closer	!	!
close	looks	looks
closest	!	!
close	looks	looks
closer	close	close
closest	zodiac	zodiac
clearer	!	!
clear	unrestricted	unrestricted
clearest	!	!
clear	unrestricted	unrestricted
clearer	!	!
clearest	!	!
richer	!	!
rich	ultraviolet	ultraviolet
richest	!	!
rich	fee	fee
richer	wealthiest	wealthiest
richest	porous	woreda
meaner	!	!
mean	unrestricted	unrestricted
meanest	!	!
mean	unrestricted	unrestricted
meaner	!	!
meanest	!	!
older	!	!
old	low-income	low-income
oldest	!	!
old	lutheran	lutheran
older	miocene	miocene
oldest	younger	younger
deeper	!	!
