rougher	juveniles	accordingly
shortest	nearest	mechanism
fewer	drastically	drastically
few	92	92
fewest	lowest	lowest
few	!	!
fewer	!	!
fewest	today	today
sharper	hardness	teeth
sharp	!	!
sharpest	specific	specific
sharp	!	!
sharper	!	!
sharpest	!	!
taller	weight	weight
tall	grande	grande
tallest	tallest	tallest
tall	sh	sh
taller	44	44
tallest	tallest	tallest
smoother	cross-section	aston
smooth	!	!
smoothest	integers	integers
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	casablanca	casablanca
nice	!	!
nicest	rated	rated
nice	!	!
nicer	!	!
nicest	!	!
broader	exemption	exemption
broad	intellectual	olivier
broadest	representation	representation
broad	!	!
broader	!	!
broadest	slovenian	punk
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	realist	realist
great	considerable	considerable
greatest	steamship	steamship
great	standout	miraculous
greater	popularity	backstage
greatest	guaranteed	guaranteed
wilder	domesticated	domesticated
wild	jeffries	buddy
wildest	!	!
wild	high-quality	high-quality
wilder	harder	grab
wildest	!	!
smoother	uniformly	uniformly
smooth	!	!
smoothest	!	!
smooth	high-quality	high-quality
smoother	harder	grab
smoothest	!	!
mightier	slowing	slowing
mighty	!	!
mightiest	!	!
mighty	high-quality	high-quality
mightier	harder	grab
mightiest	!	!
leaner	flexibility	flexibility
lean	!	!
leanest	!	!
lean	high-quality	high-quality
leaner	harder	grab
leanest	!	!
cleaner	water	processing
clean	alexandre	buxton
cleanest	!	!
clean	high-quality	high-quality
cleaner	harder	grab
cleanest	!	!
narrower	conceding	conceding
narrow	easternmost	easternmost
narrowest	triangular	triangular
narrow	!	!
narrower	!	!
narrowest	whorls	upwards
colder	microphone	microphone
cold	!	!
coldest	invoked	invoked
cold	!	!
colder	!	!
coldest	!	!
noisier	microphone	microphone
noisy	!	!
noisiest	additive	triangular
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	conceding	conceding
deep	cue	embryonic
deepest	demon	demon
deep	desire	desire
deeper	existential	existential
deepest	vomiting	vomiting
taller	silhouette	silhouette
tall	height	height
tallest	slender	slender
tall	debuting	debuting
taller	atop	atop
tallest	catalogue	catalogue
quicker	sister	jj
quick	method	autonomy
quickest	tb	variation
quick	!	!
quicker	!	!
quickest	autonomy	autonomy
narrower	horizontally	horizontally
narrow	perpendicular	perpendicular
narrowest	distal	distal
narrow	!	!
narrower	!	!
narrowest	homogeneous	homogeneous
deeper	grams	thence
deep	empower	empower
deepest	bare	bare
deep	shallow	shallow
deeper	curved	curved
deepest	north-east	north-east
closer	closest	closest
close	cruel	cruel
closest	podlaskie	hastings
close	embassy	tolerate
closer	tolerate	tolerate
closest	formerly	formerly
taller	horizontally	horizontally
tall	blonde	blonde
tallest	tallest	tallest
tall	spire	pageant
taller	intersection	embankment
tallest	half	half
kinder	anything	anything
kind	!	!
kindest	slot	slot
kind	!	!
kinder	!	!
kindest	!	!
heavier	nitro	nitro
heavy	jump	jump
heaviest	inflicted	inflicted
heavy	heavy	disappeared
heavier	cues	dignity
heaviest	gal	gal
mightier	beings	beings
mighty	!	!
mightiest	strikeouts	strikeouts
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	trouble	trouble
lean	!	!
leanest	swings	swings
lean	!	!
leaner	!	!
leanest	!	!
smarter	32-bit	32-bit
smart	!	!
smartest	strikeouts	strikeouts
smart	!	!
smarter	!	!
smartest	!	!
milder	epilepsy	epilepsy
mild	!	!
mildest	weakened	salinity
mild	!	!
milder	!	!
mildest	!	!
weaker	weaker	weaker
weak	saturn	saturn
weakest	strengthening	strengthening
weak	!	!
weaker	!	!
weakest	clarke	attach
friendlier	broke	broke
friendly	!	!
friendliest	concacaf	lvaro
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	17th-century	17th-century
lively	!	!
liveliest	stunning	17th-century
lively	!	!
livelier	!	!
liveliest	!	!
younger	smyth	smyth
young	abba	abba
youngest	twelve	twelve
young	ludwig	ludwig
younger	constance	constance
youngest	elder	elder
clearer	incorrectly	incorrectly
clear	!	!
clearest	!	!
clear	whorl	whorl
clearer	subsidy	subsidy
clearest	!	!
friendlier	second-half	second-half
friendly	!	!
friendliest	!	!
friendly	whorl	whorl
friendlier	subsidy	subsidy
friendliest	!	!
cleaner	renewable	renewable
clean	puppy	recalling
cleanest	!	!
clean	whorl	whorl
cleaner	subsidy	subsidy
cleanest	!	!
stronger	doubling	doubling
strong	creed	creed
strongest	!	!
strong	two	low-income
stronger	proportion	proportion
strongest	!	!
freer	mta	mta
free	!	!
freest	!	!
free	whorl	whorl
freer	subsidy	subsidy
freest	!	!
tougher	durable	durable
tough	!	!
toughest	inclined	inclined
tough	!	!
tougher	!	!
toughest	!	!
funnier	hopefully	clever
funny	!	!
funniest	nana	nana
funny	!	!
funnier	!	!
funniest	!	!
nicer	appreciate	appreciate
nice	!	!
nicest	inclined	inclined
nice	!	!
nicer	!	!
nicest	!	!
greater	outset	outset
great	surrounding	surrounding
greatest	greatest	greatest
great	rob	rob
greater	interrupt	interrupt
greatest	greatest	suburb
bolder	wingspan	optimized
bold	!	!
boldest	devotion	devotion
bold	!	!
bolder	!	!
boldest	!	!
poorer	humidity	humidity
poor	nevertheless	nevertheless
poorest	bad	redistricting
poor	unpopular	unpopular
poorer	socket	socket
poorest	poorest	poorest
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	1km	1km
long	nineteen	nineteen
longest	isolated	southwards
long	span	number-one
longer	2100	2100
longest	categorized	categorized
harder	joints	joints
hard	harmonies	waste
hardest	jacksonville	jacksonville
hard	realise	realise
harder	slug	slug
hardest	warriors	warriors
wiser	sunshine	cheyenne
wise	!	!
wisest	notre	notre
wise	!	!
wiser	!	!
wisest	!	!
earlier	arose	arose
early	sting	sting
earliest	rewards	rewards
early	notable	notable
earlier	largely	largely
earliest	reporters	governorate
sadder	okay	okay
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
darker	fuscous	hindwings
dark	yellowish	yellowish
darkest	fuscous	fuscous
dark	!	!
darker	!	!
darkest	striped	striped
quicker	ongoing	ongoing
quick	larva	minute
quickest	imagined	--
quick	!	!
quicker	!	!
quickest	striped	striped
brighter	opaque	opaque
bright	antennae	antennae
brightest	row	striped
bright	transformers	transformers
brighter	thin	thin
brightest	striped	striped
cheaper	atari	atari
cheap	taller	taller
cheapest	!	!
cheap	narrow	narrow
cheaper	broadly	broadly
cheapest	!	!
higher	attended	attended
high	ratio	ratio
highest	!	!
high	narrow	two-thirds
higher	competitiveness	competitiveness
highest	!	!
fairer	credible	credible
fair	!	!
fairest	!	!
fair	narrow	narrow
fairer	essendon	tier
fairest	!	!
wiser	truly	truly
wise	!	!
wisest	!	!
wise	narrow	narrow
wiser	broadly	broadly
wisest	!	!
taller	tale	tale
tall	spines	accommodated
tallest	!	!
tall	two-thirds	two-thirds
taller	two-thirds	two-thirds
tallest	!	!
poorer	likely	likely
poor	granada	granada
poorest	paralysis	paralysis
poor	poorly	jaws
poorer	reformers	reformers
poorest	11.1	11.1
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
busier	deteriorating	deteriorating
busy	!	!
busiest	palmerston	palmerston
busy	weekdays	weekdays
busier	arteries	arteries
busiest	!	!
taller	tallest	tallest
tall	lineup	lineup
tallest	taller	taller
tall	landmark	landmark
taller	suffragan	suffragan
tallest	deck	deck
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
higher	!	!
high	metabolic	metabolic
highest	!	!
high	level	level
higher	lowest	lowest
highest	low-lying	low-lying
slower	!	!
slow	tactics	tactics
slowest	!	!
slow	tko	've
slower	!	!
slowest	faster	faster
smarter	!	!
smart	tko	've
smartest	!	!
smart	tko	've
smarter	!	!
smartest	!	!
older	!	!
old	preferences	preferences
oldest	!	!
old	lumber	lumber
older	miocene	miocene
oldest	younger	younger
stronger	!	!
strong	seems	seems
strongest	!	!
strong	hurricanes	hurricanes
stronger	technological	technological
strongest	diminish	diminish
cheaper	expensive	expensive
cheap	gem	gem
cheapest	!	!
cheap	safety	safety
cheaper	plumbing	plumbing
cheapest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	safety	safety
classier	plumbing	plumbing
classiest	!	!
bloodier	brutal	boogie
bloody	!	!
bloodiest	!	!
bloody	safety	safety
bloodier	plumbing	plumbing
bloodiest	!	!
wilder	boar	boar
wild	amy	amy
wildest	!	!
wild	safety	safety
wilder	plumbing	plumbing
wildest	!	!
easier	antennas	antennas
easy	plotting	plotting
easiest	!	!
easy	safety	safety
easier	plumbing	plumbing
easiest	!	!
rougher	velocities	motorists
rough	!	!
roughest	beak	beak
rough	!	!
rougher	!	!
roughest	!	!
fresher	learners	learners
fresh	!	!
freshest	tomato	tomato
fresh	!	!
fresher	!	!
freshest	!	!
harsher	deliberate	deliberate
harsh	!	!
harshest	liable	liable
harsh	!	!
harsher	!	!
harshest	!	!
luckier	magician	magician
lucky	!	!
luckiest	britten	britten
lucky	!	!
luckier	!	!
luckiest	!	!
taller	motorists	motorists
tall	gates	gates
tallest	metres	goethe
tall	dams	dams
taller	dams	cincinnati
tallest	axial	m
fatter	boiling	boiling
fat	!	!
fattest	boiling	boiling
fat	!	!
fatter	!	!
fattest	!	!
smoother	fold	fold
smooth	!	!
smoothest	polynomials	3.2
smooth	!	!
smoother	!	!
smoothest	!	!
fresher	plug	plug
fresh	!	!
freshest	nectar	nectar
fresh	!	!
fresher	!	!
freshest	!	!
shorter	swinging	aborted
short	antigua	antigua
shortest	boiling	boiling
short	discretion	discretion
shorter	backward	discretion
shortest	antigua	antigua
cleaner	cleaner	cleaner
clean	geothermal	geothermal
cleanest	water	agatha
clean	!	!
cleaner	!	!
cleanest	closely	closely
fuller	debts	debts
full	britannica	1939
fullest	!	!
full	machines	machines
fuller	bikes	bikes
fullest	!	!
firmer	llp	llp
firm	!	!
firmest	!	!
firm	machines	machines
firmer	bikes	bikes
firmest	!	!
better	myself	myself
good	demonstration	mist
best	!	!
good	low-cost	low-cost
better	expensive	expensive
best	!	!
mightier	bulldogs	bulldogs
mighty	!	!
mightiest	!	!
mighty	machines	machines
mightier	bikes	bikes
mightiest	!	!
longer	linear	linear
long	authentic	authentic
longest	!	!
long	geothermal	geothermal
longer	span	geothermal
longest	!	!
greener	reddish	reddish
green	!	!
greenest	dense	dense
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	attractive	promises
nice	!	!
nicest	prop	prop
nice	!	!
nicer	!	!
nicest	!	!
slicker	glands	glands
slick	!	!
slickest	prop	prop
slick	!	!
slicker	!	!
slickest	!	!
noisier	vomiting	foraging
noisy	!	!
noisiest	prop	prop
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	novi	novi
sad	!	!
saddest	!	!
sad	buildup	buildup
sadder	faster	faster
saddest	!	!
swifter	argonauts	panhandle
swift	!	!
swiftest	!	!
swift	buildup	buildup
swifter	faster	faster
swiftest	!	!
nicer	neural	neural
nice	!	!
nicest	!	!
nice	buildup	buildup
nicer	faster	faster
nicest	!	!
softer	bundles	bundles
soft	smooth	smooth
softest	!	!
soft	buildup	buildup
softer	faster	faster
softest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	buildup	buildup
trickier	faster	faster
trickiest	!	!
greener	gully	gully
green	!	!
greenest	claw	claw
green	!	!
greener	!	!
greenest	!	!
clearer	offset	screaming
clear	!	!
clearest	rumored	rumored
clear	!	!
clearer	!	!
clearest	!	!
healthier	ethernet	variable
healthy	!	!
healthiest	breasts	breasts
healthy	!	!
healthier	!	!
healthiest	!	!
faster	rikknen	rikknen
fastest	prompting	prompting
fast	finishers	finishers
fastest	counter	counter
faster	grinding	grinding
fast	meanwhile	robbery
freer	offset	3.9
free	!	!
freest	xml	xml
free	!	!
freer	!	!
freest	!	!
meaner	ratios	ratios
mean	!	!
meanest	computed	computed
mean	!	!
meaner	!	!
meanest	!	!
firmer	mechanism	mechanism
firm	!	!
firmest	llp	dealings
firm	!	!
firmer	!	!
firmest	!	!
bigger	peppers	peppers
big	2002	2002
biggest	stardom	stardom
big	2007	malibu
bigger	fabrics	fabrics
biggest	computation	breakaway
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
deeper	deeper	emphasizes
deep	cartoonist	cartoonist
deepest	tidal	belief
deep	shallow	shallow
deeper	depth	heterosexual
deepest	dissertation	dissertation
gentler	looks	looks
gentle	!	!
gentlest	!	!
gentle	illumination	illumination
gentler	darker	darker
gentlest	!	!
costlier	fiberglass	nokia
costly	!	!
costliest	!	!
costly	illumination	illumination
costlier	darker	darker
costliest	!	!
lower	compartment	compartment
low	upper	photons
lowest	!	!
low	ultraviolet	ultraviolet
lower	averages	ultraviolet
lowest	!	!
fancier	futuristic	pornographic
fancy	!	!
fanciest	!	!
fancy	illumination	illumination
fancier	darker	darker
fanciest	!	!
cleaner	bland	bland
clean	toilets	toilets
cleanest	!	!
clean	illumination	illumination
cleaner	darker	darker
cleanest	!	!
steadier	odi	odi
steady	!	!
steadiest	!	!
steady	weaker	weaker
steadier	weak	weak
steadiest	!	!
poorer	needy	needy
poor	alluvial	alluvial
poorest	!	!
poor	poorly	poorly
poorer	well-defined	well-defined
poorest	!	!
faster	rate	rate
fastest	slower	slower
fast	!	!
fastest	counter	counter
faster	measurable	well-defined
fast	!	!
cleaner	odi	odi
clean	uses	uses
cleanest	!	!
clean	weaker	weaker
cleaner	weak	weak
cleanest	!	!
softer	coating	coating
soft	alluvial	alluvial
softest	!	!
soft	weaker	weaker
softer	weak	weak
softest	!	!
richer	themed	themed
rich	downloads	downloads
richest	!	!
rich	breeder	breeder
richer	geothermal	geothermal
richest	!	!
lighter	bulbs	bulbs
light	layered	layered
lightest	!	!
light	sanitation	sanitation
lighter	cheese	cheese
lightest	!	!
simpler	simpler	simpler
simple	frames	frames
simplest	!	!
simple	polymers	polymers
simpler	pollutants	pollutants
simplest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	sanitation	sanitation
messier	cheese	cheese
messiest	!	!
friendlier	non-league	non-league
friendly	!	!
friendliest	!	!
friendly	sanitation	sanitation
friendlier	cheese	cheese
friendliest	!	!
higher	!	!
high	syria	syria
highest	!	!
high	attain	attain
higher	lowest	lowest
highest	low-lying	low-lying
stickier	!	!
sticky	restrictions	restrictions
stickiest	!	!
sticky	restrictions	restrictions
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	restrictions	restrictions
priciest	!	!
pricey	restrictions	restrictions
pricier	!	!
priciest	!	!
greater	!	!
great	buffer	well-defined
greatest	!	!
great	exemption	exemption
greater	eminem	eminem
greatest	divergence	divergence
busier	!	!
busy	restrictions	restrictions
busiest	!	!
busy	restrictions	restrictions
busier	ridership	ridership
busiest	!	!
tougher	!	!
tough	deprivation	detained
toughest	!	!
tough	deprivation	detained
tougher	!	!
toughest	!	!
stricter	!	!
strict	deprivation	detained
strictest	!	!
strict	deprivation	detained
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	deprivation	detained
stiffest	!	!
stiff	deprivation	detained
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	deprivation	detained
riskiest	!	!
risky	deprivation	detained
riskier	!	!
riskiest	!	!
stronger	!	!
strong	cold	cold
strongest	!	!
strong	vigorous	vigorous
stronger	technological	technological
strongest	diminish	diminish
classier	!	!
classy	qb	qb
classiest	!	!
classy	qb	qb
classier	!	!
classiest	!	!
gentler	!	!
gentle	qb	qb
gentlest	!	!
gentle	qb	qb
gentler	!	!
gentlest	!	!
leaner	!	!
lean	qb	qb
leanest	!	!
lean	qb	qb
leaner	!	!
leanest	!	!
bigger	!	!
big	narrow	narrow
biggest	!	!
big	narrow	narrow
bigger	largest	largest
biggest	understand	understand
luckier	!	!
lucky	qb	qb
luckiest	!	!
lucky	qb	qb
luckier	!	!
luckiest	!	!
warmer	cooler	cooler
warm	yellowish	yellowish
warmest	cooler	cooler
warm	!	!
warmer	!	!
warmest	humidity	favors
slimmer	sculpted	sgt.
slim	!	!
slimmest	ecoregion	ecoregion
slim	!	!
slimmer	!	!
slimmest	!	!
rougher	restrictions	restrictions
rough	!	!
roughest	restrictions	restrictions
rough	!	!
rougher	!	!
roughest	!	!
harder	pink	pink
hard	embarrassing	embarrassing
hardest	sensitive	sensitive
hard	columbus	columbus
harder	re-released	antwerp
hardest	pollutants	pollutants
closer	modernize	modernize
close	fearing	fearing
closest	3km	3km
close	close	close
closer	heineken	fourth
closest	observable	odd
greener	greenish	greenish
green	!	!
greenest	redwood	jacksonville
green	!	!
greener	!	!
greenest	!	!
kinder	products	products
kind	!	!
kindest	okrug	okrug
kind	!	!
kinder	!	!
kindest	!	!
sadder	novi	novi
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
quicker	product	product
quick	exiting	exiting
quickest	earths	earths
quick	!	!
quicker	!	!
quickest	shakedown	shakedown
stiffer	thinner	thinner
stiff	!	!
stiffest	southerly	southerly
stiff	!	!
stiffer	!	!
stiffest	!	!
weaker	!	!
weak	well-defined	well-defined
weakest	!	!
weak	anything	anything
weaker	!	!
weakest	weak	weak
slicker	!	!
slick	anything	anything
slickest	!	!
slick	anything	anything
slicker	!	!
slickest	!	!
closer	!	!
close	secrecy	secrecy
closest	!	!
close	distant	well-defined
closer	close	close
closest	zodiac	zodiac
older	!	!
old	fringes	well-defined
oldest	!	!
old	lutheran	lutheran
older	miocene	miocene
oldest	younger	younger
wiser	!	!
wise	anything	anything
wisest	!	!
wise	anything	anything
wiser	!	!
wisest	!	!
cheaper	scrap	scrap
cheap	plumbing	plumbing
cheapest	!	!
cheap	captures	captures
cheaper	faster	faster
cheapest	!	!
simpler	symmetrical	symmetrical
simple	hoc	hoc
simplest	!	!
simple	polymers	polymers
simpler	polymers	polymers
simplest	!	!
fresher	larval	larval
fresh	!	!
freshest	!	!
fresh	captures	captures
fresher	faster	faster
freshest	!	!
bolder	whorl	whorl
bold	!	!
boldest	!	!
bold	captures	captures
bolder	faster	faster
boldest	!	!
cleaner	pushes	pushes
clean	boot	boot
cleanest	!	!
clean	captures	captures
cleaner	faster	faster
cleanest	!	!
poorer	filtering	margins
poor	rooted	rooted
poorest	casts	casts
poor	slavs	slavs
poorer	strategically	strategically
poorest	17000	17000
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
narrower	gastropod	gastropod
narrow	protections	twisted
narrowest	margin	270
narrow	!	!
narrower	!	!
narrowest	mekong	mekong
noisier	filtering	filtering
noisy	!	!
noisiest	predator	predator
noisy	!	!
noisier	!	!
noisiest	!	!
riskier	mollusks	mollusks
risky	!	!
riskiest	doubt	decrees
risky	!	!
riskier	!	!
riskiest	!	!
steadier	faster	faster
steady	!	!
steadiest	stud	stud
steady	!	!
steadier	!	!
steadiest	!	!
swifter	facilitate	facilitate
swift	!	!
swiftest	fencer	fencer
swift	!	!
swifter	!	!
swiftest	!	!
tougher	deleted	deleted
tough	!	!
toughest	fencer	fencer
tough	!	!
tougher	!	!
toughest	!	!
meaner	knots	knots
mean	!	!
meanest	decreasing	touchdowns
mean	!	!
meaner	!	!
meanest	!	!
smoother	reduced	reduced
smooth	!	!
smoothest	fuscous	sighting
smooth	!	!
smoother	!	!
smoothest	!	!
milder	!	!
mild	loves	loves
mildest	!	!
mild	loves	loves
milder	!	!
mildest	!	!
earlier	!	!
early	ordinary	ordinary
earliest	!	!
early	victor	ganga
earlier	originated	originated
earliest	mikhail	mikhail
tastier	!	!
tasty	loves	loves
tastiest	!	!
tasty	loves	loves
tastier	!	!
tastiest	!	!
faster	!	!
fastest	safer	safer
fast	!	!
fastest	clothes	clothes
faster	staple	staple
fast	slower	slower
greater	!	!
great	penetration	resisted
greatest	!	!
great	evidently	evidently
greater	eminem	eminem
greatest	divergence	divergence
richer	themes	themes
rich	caves	caves
richest	!	!
rich	fuscous	fuscous
richer	yellowish	yellowish
richest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	fuscous	fuscous
tastier	yellowish	yellowish
tastiest	!	!
thinner	paler	paler
thin	silica	silica
thinnest	!	!
thin	fuscous	fuscous
thinner	yellowish	yellowish
thinnest	!	!
rougher	barren	barren
rough	!	!
roughest	!	!
rough	fuscous	fuscous
rougher	yellowish	yellowish
roughest	!	!
luckier	we	we
lucky	!	!
luckiest	!	!
lucky	fuscous	fuscous
luckier	yellowish	yellowish
luckiest	!	!
tighter	keyboardist	keyboardist
tight	!	!
tightest	!	!
tight	greenish	greenish
tighter	thinner	thinner
tightest	!	!
kinder	obviously	obviously
kind	!	!
kindest	!	!
kind	greenish	greenish
kinder	thinner	thinner
kindest	!	!
swifter	baby	baby
swift	!	!
swiftest	!	!
swift	greenish	greenish
swifter	thinner	thinner
swiftest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	greenish	greenish
messier	thinner	thinner
messiest	!	!
deeper	deeper	deeper
deep	fresh	fresh
deepest	!	!
deep	nocturnal	nocturnal
deeper	deeper	deeper
deepest	!	!
lower	predation	high
low	upper	upper
lowest	!	!
low	averages	averages
lower	average	average
lowest	!	!
costlier	predation	require
costly	!	!
costliest	!	!
costly	cooler	cooler
costlier	humidity	humidity
costliest	!	!
narrower	shape	shape
narrow	planar	planar
narrowest	!	!
narrow	cooler	cooler
narrower	humidity	humidity
narrowest	!	!
leaner	pascal	pascal
lean	!	!
leanest	!	!
lean	cooler	cooler
leaner	humidity	humidity
leanest	!	!
younger	ages	ages
young	husband	husband
youngest	!	!
young	deciduous	deciduous
younger	oceanic	oceanic
youngest	!	!
smaller	!	!
small	withstand	withstand
smallest	!	!
small	nuclei	nuclei
smaller	integer	integer
smallest	larger	larger
gentler	!	!
gentle	yellowish	yellowish
gentlest	!	!
gentle	yellowish	yellowish
gentler	!	!
gentlest	!	!
mightier	!	!
mighty	yellowish	yellowish
mightiest	!	!
mighty	yellowish	yellowish
mightier	!	!
mightiest	!	!
leaner	!	!
lean	yellowish	yellowish
leanest	!	!
lean	yellowish	yellowish
leaner	!	!
leanest	!	!
fancier	!	!
fancy	yellowish	yellowish
fanciest	!	!
fancy	yellowish	yellowish
fancier	!	!
fanciest	!	!
kinder	!	!
kind	gills	gills
kindest	!	!
kind	gills	gills
kinder	!	!
kindest	!	!
wider	!	!
wide	narrower	narrower
widest	!	!
wide	narrow	narrow
wider	whorl	whorl
widest	narrower	narrower
pricier	!	!
pricey	gills	gills
priciest	!	!
pricey	gills	gills
pricier	!	!
priciest	!	!
firmer	!	!
firm	gills	gills
firmest	!	!
firm	gills	gills
firmer	!	!
firmest	!	!
brighter	!	!
bright	plumage	plumage
brightest	!	!
bright	elliptical	curving
brighter	fuscous	fuscous
brightest	plumage	plumage
steadier	lifespan	lifespan
steady	!	!
steadiest	!	!
steady	fuscous	fuscous
steadier	whorls	whorls
steadiest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	fuscous	fuscous
classier	whorls	whorls
classiest	!	!
sadder	novi	novi
sad	!	!
saddest	!	!
sad	fuscous	fuscous
sadder	whorls	whorls
saddest	!	!
meaner	computed	computed
mean	!	!
meanest	!	!
mean	fuscous	fuscous
meaner	whorls	whorls
meanest	!	!
faster	skate	skate
fastest	slower	pressures
fast	!	!
fastest	broad	broad
faster	differential	differential
fast	!	!
louder	!	!
loud	forgiveness	forgiveness
loudest	!	!
loud	forgiveness	forgiveness
louder	!	!
loudest	!	!
newer	!	!
new	platforms	platforms
newest	!	!
new	looks	looks
newer	cypress	cypress
newest	thicker	thicker
bloodier	!	!
bloody	forgiveness	forgiveness
bloodiest	!	!
bloody	forgiveness	forgiveness
bloodier	!	!
bloodiest	!	!
younger	!	!
young	older	older
youngest	!	!
young	looks	looks
younger	born	born
youngest	older	older
closer	!	!
close	looks	scarcely
closest	!	!
close	looks	volcanic
closer	close	close
closest	zodiac	zodiac
clearer	!	!
clear	unrestricted	unrestricted
clearest	!	!
clear	unrestricted	unrestricted
clearer	!	!
clearest	!	!
richer	!	!
rich	economies	economies
richest	!	!
rich	economies	fee
richer	wealthiest	wealthiest
richest	economies	woreda
meaner	!	!
mean	unrestricted	unrestricted
meanest	!	!
mean	unrestricted	unrestricted
meaner	!	!
meanest	!	!
older	!	!
old	44	low-income
oldest	!	!
old	lutheran	lutheran
older	miocene	miocene
oldest	younger	younger
deeper	!	!
deep	unrestricted	unrestricted
deepest	!	!
