rougher	terrain	terrain
greatest	tremendous	tremendous
great	among	among
greater	larger	several
greatest	within	east-central
wilder	domesticated	domesticated
wild	billy	larry
wildest	!	!
wild	difficult	difficult
wilder	difficult	difficult
wildest	!	!
smoother	whorls	whorls
smooth	!	!
smoothest	!	!
smooth	difficult	difficult
smoother	difficult	difficult
smoothest	!	!
mightier	anaheim	jolly
mighty	!	!
mightiest	!	!
mighty	difficult	difficult
mightier	difficult	difficult
mightiest	!	!
leaner	tended	tended
lean	!	!
leanest	!	!
lean	difficult	difficult
leaner	difficult	difficult
leanest	!	!
cleaner	cleaning	cleaning
clean	cleaning	toilet
cleanest	!	!
clean	difficult	difficult
cleaner	difficult	difficult
cleanest	!	!
narrower	broad	broad
narrow	mid	mid
narrowest	broad	broad
narrow	!	!
narrower	!	!
narrowest	wider	width
colder	winters	winters
cold	!	!
coldest	winters	winters
cold	!	!
colder	!	!
coldest	!	!
noisier	very	more
noisy	!	!
noisiest	reference	reference
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	deeper	deeper
deep	mid	depths
deepest	deepest	deepest
deep	late	deep
deeper	deep	deep
deepest	depths	deepest
taller	centimeters	centimeters
tall	height	height
tallest	centimeters	centimeters
tall	late	1960s
taller	skyscraper	tower
tallest	height	height
quicker	elder	elder
quick	faster	faster
quickest	daughters	fast
quick	!	!
quicker	!	!
quickest	faster	faster
narrower	broad	broad
narrow	slightly	slightly
narrowest	broad	apex
narrow	!	!
narrower	!	!
narrowest	shorter	shorter
deeper	deepest	deepest
deep	depths	progressively
deepest	shallow	shallow
deep	lust	lust
deeper	deep	deep
deepest	depths	depths
closer	brother	brother
close	progressively	progressively
closest	friendship	friendship
close	man	relationships
closer	elder	cousin
closest	closest	closest
taller	centimeters	inches
tall	tall	tall
tallest	tallest	tallest
tall	tall	tall
taller	skyscraper	skyscraper
tallest	tallest	tallest
kinder	any	any
kind	!	!
kindest	...	think
kind	!	!
kinder	!	!
kindest	!	!
heavier	heavier	heavier
heavy	weighs	weighs
heaviest	losses	losses
heavy	weighs	weighs
heavier	heavier	heavier
heaviest	lift	lift
mightier	anaheim	anaheim
mighty	!	!
mightiest	streak	streak
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	than	fewer
lean	!	!
leanest	streak	streak
lean	!	!
leaner	!	!
leanest	!	!
smarter	tablet	tablet
smart	!	!
smartest	streak	streak
smart	!	!
smarter	!	!
smartest	!	!
milder	climates	climates
mild	!	!
mildest	winters	rainy
mild	!	!
milder	!	!
mildest	!	!
weaker	weaker	weaker
weak	weak	weak
weakest	typhoon	typhoon
weak	!	!
weaker	!	!
weakest	weak	weak
friendlier	u21	u21
friendly	!	!
friendliest	u21	caps
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	witty	humorous
lively	!	!
liveliest	witty	imaginative
lively	!	!
livelier	!	!
liveliest	!	!
younger	children	children
young	brother	brother
youngest	adult	adult
young	daughter	daughter
younger	sons	daughter
youngest	son	son
clearer	than	than
clear	!	!
clearest	!	!
clear	hundred	hundred
clearer	than	than
clearest	!	!
friendlier	u21	caps
friendly	!	!
friendliest	!	!
friendly	hundred	hundred
friendlier	than	than
friendliest	!	!
cleaner	pollution	pollution
clean	later	later
cleanest	!	!
clean	hundred	hundred
cleaner	than	than
cleanest	!	!
stronger	than	robust
strong	later	strong
strongest	!	!
strong	handful	handful
stronger	than	than
strongest	!	!
freer	fee	fee
free	!	!
freest	!	!
free	hundred	hundred
freer	than	than
freest	!	!
tougher	thinner	thinner
tough	!	!
toughest	faced	faced
tough	!	!
tougher	!	!
toughest	!	!
funnier	isn	isn
funny	!	!
funniest	amusing	intriguing
funny	!	!
funnier	!	!
funniest	!	!
nicer	marseille	stade
nice	!	!
nicest	stade	stade
nice	!	!
nicer	!	!
nicest	!	!
greater	much	much
great	within	within
greatest	greatest	greatest
great	conference	ncaa
greater	much	much
greatest	within	within
bolder	than	brighter
bold	!	!
boldest	fonts	provocative
bold	!	!
bolder	!	!
boldest	!	!
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	despite	better
poorer	than	than
poorest	hurricanes	hispanics
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	centimeters	inches
long	long	long
longest	centimeters	centimeters
long	despite	despite
longer	thinner	thinner
longest	long	long
harder	harder	harder
hard	able	able
hardest	glam	glam
hard	less	less
harder	thinner	thinner
hardest	hurricanes	try
wiser	lighter	astronomical
wise	!	!
wisest	astronomical	astronomical
wise	!	!
wiser	!	!
wisest	!	!
earlier	late	late
early	though	though
earliest	late	late
early	date	settlement
earlier	dated	dated
earliest	period	except
sadder	novi	novi
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
darker	forewings	forewings
dark	paler	brownish
darkest	forewings	forewings
dark	!	!
darker	!	!
darkest	brownish	brownish
quicker	moves	moves
quick	podlaskie	voivodeship
quickest	unexpected	sinks
quick	!	!
quicker	!	!
quickest	stops	stops
brighter	colors	colour
bright	brightest	brightest
brightest	colour	colour
bright	constellation	constellation
brighter	constellation	constellation
brightest	colours	colours
cheaper	cheaper	cheaper
cheap	expensive	expensive
cheapest	!	!
cheap	narrow	narrow
cheaper	wider	wider
cheapest	!	!
higher	school	school
high	low	low
highest	!	!
high	lowest	lowest
higher	lowest	lowest
highest	!	!
fairer	equitable	equitable
fair	!	!
fairest	!	!
fair	vfl	geelong
fairer	vfl	vfl
fairest	!	!
wiser	elders	elders
wise	!	!
wisest	!	!
wise	narrow	narrow
wiser	wider	wider
wisest	!	!
taller	inches	inches
tall	tall	tall
tallest	!	!
tall	skyscraper	spire
taller	height	height
tallest	!	!
poorer	inadequate	inadequate
poor	poor	poor
poorest	inadequate	neighborhoods
poor	poor	poor
poorer	poorer	poorer
poorest	neighborhoods	neighborhoods
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
busier	catching	catching
busy	!	!
busiest	casting	billing
busy	airports	hub
busier	airports	airports
busiest	!	!
taller	taller	taller
tall	height	height
tallest	taller	taller
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	tall	tall
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
higher	!	!
high	low	low
highest	!	!
high	lowest	lowest
higher	lowest	lowest
highest	low	low
slower	!	!
slow	faster	faster
slowest	!	!
slow	faced	faced
slower	!	!
slowest	faster	faster
smarter	!	!
smart	faced	faced
smartest	!	!
smart	faced	faced
smarter	!	!
smartest	!	!
older	!	!
old	age	age
oldest	!	!
old	earliest	earliest
older	earliest	earliest
oldest	65	65
stronger	!	!
strong	weaker	weaker
strongest	!	!
strong	winds	winds
stronger	hurricane	hurricane
strongest	weaker	weaker
cheaper	cheaper	cheaper
cheap	expensive	convenient
cheapest	!	!
cheap	safer	safer
cheaper	cheaper	cheaper
cheapest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	safer	safer
classier	cheaper	cheaper
classiest	!	!
bloodier	violent	violent
bloody	!	!
bloodiest	!	!
bloody	safer	safer
bloodier	cheaper	cheaper
bloodiest	!	!
wilder	animals	domesticated
wild	lock	lock
wildest	!	!
wild	safer	safer
wilder	cheaper	cheaper
wildest	!	!
easier	easier	easier
easy	easy	easy
easiest	!	!
easy	safer	safer
easier	cheaper	cheaper
easiest	!	!
rougher	finer	finer
rough	!	!
roughest	topography	topography
rough	!	!
rougher	!	!
roughest	!	!
fresher	shrimp	shrimp
fresh	!	!
freshest	dried	dried
fresh	!	!
fresher	!	!
freshest	!	!
harsher	punishments	punishments
harsh	!	!
harshest	punishments	punishments
harsh	!	!
harsher	!	!
harshest	!	!
luckier	loser	loser
lucky	!	!
luckiest	luciano	luciano
lucky	!	!
luckier	!	!
luckiest	!	!
taller	height	taller
tall	tall	tall
tallest	height	height
tall	skyscraper	tall
taller	skyscraper	skyscraper
tallest	height	height
fatter	cholesterol	cholesterol
fat	!	!
fattest	cholesterol	cholesterol
fat	!	!
fatter	!	!
fattest	!	!
smoother	convex	convex
smooth	!	!
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	!	!
fresher	dried	dried
fresh	!	!
freshest	dried	salt
fresh	!	!
fresher	!	!
freshest	!	!
shorter	tail	tail
short	long	long
shortest	novel	novel
short	long	long
shorter	shorter	shorter
shortest	long	long
cleaner	washing	cleaning
clean	cleaning	amplifiers
cleanest	sewage	sewage
clean	!	!
cleaner	!	!
cleanest	1km	1km
fuller	than	than
full	inspectors	inspectors
fullest	!	!
full	inexpensive	inexpensive
fuller	expensive	expensive
fullest	!	!
firmer	firms	firms
firm	!	!
firmest	!	!
firm	inexpensive	inexpensive
firmer	expensive	expensive
firmest	!	!
better	much	much
good	good	good
best	!	!
good	awards	bafta
better	nominated	nominated
best	!	!
mightier	slower	slower
mighty	!	!
mightiest	!	!
mighty	inexpensive	inexpensive
mightier	expensive	expensive
mightiest	!	!
longer	centimeters	shorter
long	long	long
longest	!	!
long	shortest	shortest
longer	shortest	shortest
longest	!	!
greener	color	color
green	!	!
greenest	color	color
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	ligue	ligue
nice	!	!
nicest	ligue	ligue
nice	!	!
nicer	!	!
nicest	!	!
slicker	than	much
slick	!	!
slickest	slow	upbeat
slick	!	!
slicker	!	!
slickest	!	!
noisier	less	less
noisy	!	!
noisiest	loud	loud
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	novi	novi
sad	!	!
saddest	!	!
sad	pace	pace
sadder	faster	faster
saddest	!	!
swifter	bigger	bigger
swift	!	!
swiftest	!	!
swift	pace	pace
swifter	faster	faster
swiftest	!	!
nicer	toulouse	toulouse
nice	!	!
nicest	!	!
nice	pace	pace
nicer	faster	faster
nicest	!	!
softer	softer	softer
soft	soft	soft
softest	!	!
soft	pace	pace
softer	faster	faster
softest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	pace	pace
trickier	faster	faster
trickiest	!	!
greener	yellow	purple
green	!	!
greenest	purple	purple
green	!	!
greener	!	!
greenest	!	!
clearer	upgraded	upgraded
clear	!	!
clearest	revealed	revealed
clear	!	!
clearer	!	!
clearest	!	!
healthier	diet	diet
healthy	!	!
healthiest	meals	meals
healthy	!	!
healthier	!	!
healthiest	!	!
faster	lap	schumacher
fastest	york	york
fast	heats	heats
fastest	york	york
faster	slow	slow
fast	efficient	efficient
freer	available	available
free	!	!
freest	download	download
free	!	!
freer	!	!
freest	!	!
meaner	varies	varies
mean	!	!
meanest	measured	deviation
mean	!	!
meaner	!	!
meanest	!	!
firmer	firms	merrill
firm	!	!
firmest	equity	equity
firm	!	!
firmer	!	!
firmest	!	!
bigger	freshman	freshman
big	movie	movie
biggest	conference	nit
big	fiction	fiction
bigger	thinner	thinner
biggest	node	leyland
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	!	!
trickier	!	!
trickiest	!	!
deeper	deeper	deeper
deep	deep	deep
deepest	deepest	depth
deep	expressing	expressing
deeper	deeper	deeper
deepest	depths	depths
gentler	heavier	softer
gentle	!	!
gentlest	!	!
gentle	uv	uv
gentler	heavier	heavier
gentlest	!	!
costlier	heavier	more
costly	!	!
costliest	!	!
costly	uv	uv
costlier	heavier	heavier
costliest	!	!
lower	higher	higher
low	uv	uv
lowest	!	!
low	ultraviolet	ultraviolet
lower	heavier	heavier
lowest	!	!
fancier	heavier	softer
fancy	!	!
fanciest	!	!
fancy	uv	uv
fancier	heavier	heavier
fanciest	!	!
cleaner	heavier	slower
clean	ultraviolet	stove
cleanest	!	!
clean	uv	uv
cleaner	heavier	heavier
cleanest	!	!
steadier	slower	slower
steady	!	!
steadiest	!	!
steady	weakened	weakened
steadier	stronger	stronger
steadiest	!	!
poorer	poorer	poorer
poor	poor	poor
poorest	!	!
poor	weaker	weaker
poorer	stronger	stronger
poorest	!	!
faster	slower	slower
fastest	slow	slow
fast	!	!
fastest	slow	slow
faster	slow	slow
fast	!	!
cleaner	sewage	cleaner
clean	cleaning	cleaning
cleanest	!	!
clean	weakened	weakened
cleaner	stronger	stronger
cleanest	!	!
softer	texture	texture
soft	soft	articulation
softest	!	!
soft	weakened	weakened
softer	stronger	stronger
softest	!	!
richer	richest	richest
rich	contamination	contamination
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	simpler
richest	!	!
lighter	fluorescent	fluorescent
light	heavier	heavier
lightest	!	!
light	washing	washing
lighter	cleaning	cleaning
lightest	!	!
simpler	simpler	simpler
simple	drinking	drinking
simplest	!	!
simple	washing	washing
simpler	simpler	simpler
simplest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	washing	washing
messier	cleaning	cleaning
messiest	!	!
friendlier	u21	u21
friendly	!	!
friendliest	!	!
friendly	washing	washing
friendlier	cleaning	cleaning
friendliest	!	!
higher	!	!
high	standards	standards
highest	!	!
high	lowest	lowest
higher	lowest	lowest
highest	low	low
stickier	!	!
sticky	regulations	regulations
stickiest	!	!
sticky	regulations	regulations
stickier	!	!
stickiest	!	!
pricier	!	!
pricey	regulations	regulations
priciest	!	!
pricey	regulations	regulations
pricier	!	!
priciest	!	!
greater	!	!
great	within	within
greatest	!	!
great	comply	comply
greater	one	one
greatest	within	within
busier	!	!
busy	regulations	regulations
busiest	!	!
busy	airports	airports
busier	airports	airports
busiest	!	!
tougher	!	!
tough	punishments	punishments
toughest	!	!
tough	punishments	punishments
tougher	!	!
toughest	!	!
stricter	!	!
strict	punishments	punishments
strictest	!	!
strict	punishments	punishments
stricter	!	!
strictest	!	!
stiffer	!	!
stiff	punishments	punishments
stiffest	!	!
stiff	punishments	punishments
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	punishments	punishments
riskiest	!	!
risky	punishments	punishments
riskier	!	!
riskiest	!	!
stronger	!	!
strong	weaker	weaker
strongest	!	!
strong	winds	winds
stronger	hurricane	hurricane
strongest	weaker	weaker
classier	!	!
classy	quarterback	quarterback
classiest	!	!
classy	quarterback	quarterback
classier	!	!
classiest	!	!
gentler	!	!
gentle	quarterback	quarterback
gentlest	!	!
gentle	quarterback	quarterback
gentler	!	!
gentlest	!	!
leaner	!	!
lean	quarterback	quarterback
leanest	!	!
lean	quarterback	quarterback
leaner	!	!
leanest	!	!
bigger	!	!
big	receiver	receiver
biggest	!	!
big	fullback	fullback
bigger	largest	largest
biggest	much	much
luckier	!	!
lucky	quarterback	quarterback
luckiest	!	!
lucky	quarterback	quarterback
luckier	!	!
luckiest	!	!
warmer	cooler	cooler
warm	climate	climate
warmest	cold	cold
warm	!	!
warmer	!	!
warmest	cold	cold
slimmer	safer	safer
slim	!	!
slimmest	grassy	grassy
slim	!	!
slimmer	!	!
slimmest	!	!
rougher	rugged	rugged
rough	!	!
roughest	hilly	hilly
rough	!	!
rougher	!	!
roughest	!	!
harder	harder	harder
hard	hard	hard
hardest	drives	drives
hard	repetitive	repetitive
harder	quicker	harder
hardest	pyramids	pyramids
closer	weaker	weaker
close	close	close
closest	within	south-eastern
close	unlike	unlike
closer	relatives	than
closest	shortest	aligned
greener	yellow	yellow
green	!	!
greenest	yellow	greenish
green	!	!
greener	!	!
greenest	!	!
kinder	think	think
kind	!	!
kindest	think	want
kind	!	!
kinder	!	!
kindest	!	!
sadder	novi	novi
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
quicker	moves	moves
quick	slow	slow
quickest	tricks	shots
quick	!	!
quicker	!	!
quickest	safer	safer
stiffer	fibres	fibres
stiff	!	!
stiffest	tails	tails
stiff	!	!
stiffer	!	!
stiffest	!	!
weaker	!	!
weak	stronger	than
weakest	!	!
weak	rather	rather
weaker	!	!
weakest	stronger	stronger
slicker	!	!
slick	rather	rather
slickest	!	!
slick	rather	rather
slicker	!	!
slickest	!	!
closer	!	!
close	close	close
closest	!	!
close	closer	closer
closer	relatives	relatives
closest	than	than
older	!	!
old	age	age
oldest	!	!
old	earliest	earliest
older	earliest	earliest
oldest	65	65
wiser	!	!
wise	rather	rather
wisest	!	!
wise	rather	rather
wiser	!	!
wisest	!	!
cheaper	cheaper	cheaper
cheap	cheap	cheap
cheapest	!	!
cheap	slow	slow
cheaper	faster	faster
cheapest	!	!
simpler	simpler	simpler
simple	simple	simple
simplest	!	!
simple	involves	shortest
simpler	simpler	simpler
simplest	!	!
fresher	dried	dried
fresh	!	!
freshest	!	!
fresh	slow	slow
fresher	faster	faster
freshest	!	!
bolder	than	juveniles
bold	!	!
boldest	!	!
bold	slow	slow
bolder	faster	faster
boldest	!	!
cleaner	sewage	sewage
clean	exhaust	exhaust
cleanest	!	!
clean	slow	slow
cleaner	faster	faster
cleanest	!	!
poorer	poorer	poorer
poor	poor	poor
poorest	poorer	poorer
poor	armoured	armoured
poorer	than	than
poorest	neighborhoods	neighborhoods
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
narrower	slightly	wider
narrow	broad	broad
narrowest	margins	margins
narrow	!	!
narrower	!	!
narrowest	width	width
noisier	lighter	than
noisy	!	!
noisiest	kilograms	kilograms
noisy	!	!
noisier	!	!
noisiest	!	!
riskier	than	than
risky	!	!
riskiest	kilograms	kilograms
risky	!	!
riskier	!	!
riskiest	!	!
steadier	boost	boost
steady	!	!
steadiest	gdp	gdp
steady	!	!
steadier	!	!
steadiest	!	!
swifter	mcgraw	mcgraw
swift	!	!
swiftest	forbes	forbes
swift	!	!
swifter	!	!
swiftest	!	!
tougher	chicks	contentious
tough	!	!
toughest	stiff	stiff
tough	!	!
tougher	!	!
toughest	!	!
meaner	variance	variance
mean	!	!
meanest	variance	calculate
mean	!	!
meaner	!	!
meanest	!	!
smoother	convex	convex
smooth	!	!
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	!	!
milder	!	!
mild	're	're
mildest	!	!
mild	're	're
milder	!	!
mildest	!	!
earlier	late	late
early	though	though
earliest	late	late
early	dated	mentions
earlier	dated	dated
earliest	later	later
tastier	!	!
tasty	're	're
tastiest	!	!
tasty	're	're
tastier	!	!
tastiest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	slow	slow
faster	slow	slow
fast	slower	slower
greater	!	!
great	within	within
greatest	!	!
great	finest	finest
greater	one	one
greatest	within	within
richer	varied	varied
rich	rich	rich
richest	!	!
rich	hindwings	blackish
richer	paler	paler
richest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	forewings	forewings
tastier	paler	paler
tastiest	!	!
thinner	thicker	thicker
thin	thick	thick
thinnest	!	!
thin	forewings	forewings
thinner	paler	paler
thinnest	!	!
rougher	considerably	considerably
rough	!	!
roughest	!	!
rough	forewings	forewings
rougher	paler	paler
roughest	!	!
luckier	brighter	loser
lucky	!	!
luckiest	!	!
lucky	forewings	forewings
luckier	paler	paler
luckiest	!	!
tighter	halfback	halfback
tight	!	!
tightest	!	!
tight	texture	texture
tighter	lighter	lighter
tightest	!	!
kinder	...	...
kind	!	!
kindest	!	you
kind	texture	texture
kinder	lighter	lighter
kindest	!	!
swifter	lighter	lighter
swift	!	!
swiftest	!	!
swift	texture	texture
swifter	lighter	lighter
swiftest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	texture	texture
messier	lighter	lighter
messiest	!	!
deeper	deeper	deeper
deep	deep	deep
deepest	!	!
deep	deep	deep
deeper	deeper	deeper
deepest	!	!
lower	higher	higher
low	upper	upper
lowest	!	!
low	winters	temperatures
lower	cooler	cooler
lowest	!	!
costlier	expensive	expensive
costly	!	!
costliest	!	!
costly	winters	winters
costlier	winters	winters
costliest	!	!
narrower	wide	densely
narrow	width	width
narrowest	!	!
narrow	winters	winters
narrower	winters	winters
narrowest	!	!
leaner	agile	agile
lean	!	!
leanest	!	!
lean	winters	winters
leaner	winters	winters
leanest	!	!
younger	adults	adults
young	brother	brother
youngest	!	!
young	kppen	kppen
younger	climates	climates
youngest	!	!
smaller	!	!
small	larger	larger
smallest	!	!
small	uncomfortable	uncomfortable
smaller	wingspan	wingspan
smallest	larger	larger
gentler	!	!
gentle	fibres	fibres
gentlest	!	!
gentle	fibres	fibres
gentler	!	!
gentlest	!	!
mightier	!	!
mighty	fibres	fibres
mightiest	!	!
mighty	fibres	fibres
mightier	!	!
mightiest	!	!
leaner	!	!
lean	fibres	fibres
leanest	!	!
lean	fibres	fibres
leaner	!	!
leanest	!	!
fancier	!	!
fancy	fibres	fibres
fanciest	!	!
fancy	fibres	fibres
fancier	!	!
fanciest	!	!
kinder	!	you
kind	rounded	rounded
kindest	!	you
kind	rounded	rounded
kinder	!	!
kindest	!	!
wider	!	!
wide	rounded	rounded
widest	!	!
wide	curved	curve
wider	1km	1km
widest	narrower	narrower
pricier	!	!
pricey	rounded	rounded
priciest	!	!
pricey	rounded	rounded
pricier	!	!
priciest	!	!
firmer	!	!
firm	rounded	rounded
firmest	!	!
firm	rounded	rounded
firmer	!	!
firmest	!	!
brighter	!	!
bright	brightest	faint
brightest	!	!
bright	constellation	constellation
brighter	constellation	constellation
brightest	brightest	brightest
steadier	slowed	slowed
steady	!	!
steadiest	!	!
steady	broad	broad
steadier	wider	wider
steadiest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	broad	broad
classier	wider	wider
classiest	!	!
sadder	novi	novi
sad	!	!
saddest	!	!
sad	broad	broad
sadder	wider	wider
saddest	!	!
meaner	measured	measured
mean	!	!
meanest	!	!
mean	broad	broad
meaner	wider	wider
meanest	!	!
faster	heats	slower
fastest	slow	rapid
fast	!	!
fastest	relatively	relatively
faster	faster	faster
fast	!	!
louder	!	!
loud	caring	caring
loudest	!	!
loud	caring	caring
louder	!	!
loudest	!	!
newer	!	!
new	temperament	temperament
newest	!	!
new	gently	gently
newer	ipad	ipad
newest	compatible	compatible
bloodier	!	!
bloody	caring	caring
bloodiest	!	!
bloody	caring	caring
bloodier	!	!
bloodiest	!	!
younger	!	!
young	elder	elder
youngest	!	!
young	siblings	siblings
younger	daughters	daughters
youngest	brother	brother
closer	!	!
close	caring	intimate
closest	!	!
close	gently	gently
closer	relatives	relatives
closest	than	than
clearer	!	!
clear	available	available
clearest	!	!
clear	available	available
clearer	!	!
clearest	!	!
richer	!	!
rich	available	non-commercial
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	poorer	poorer
meaner	!	!
mean	available	available
meanest	!	!
mean	available	available
meaner	!	!
meanest	!	!
older	!	!
old	age	age
oldest	!	!
old	available	available
older	earliest	earliest
oldest	65	65
deeper	!	!
deep	deep	deep
deepest	!	!
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
weaker	weaker	weaker
weak	branching	branching
weakest	weakened	weakened
weak	!	!
weaker	!	!
weakest	skyscraper	weak
sadder	novi	novi
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
better	better	better
good	good	good
best	...	...
good	awards	award
better	awards	bafta
best	good	good
stronger	stronger	stronger
strong	shrub	strong
strongest	winds	winds
strong	herb	herb
stronger	storm	storm
strongest	skyscraper	skyscraper
lighter	uv	uv
light	darker	darker
lightest	!	!
light	warm	warm
lighter	warmer	warmer
lightest	!	!
wilder	animals	animals
wild	thornton	scary
wildest	!	!
wild	warm	warm
wilder	warmer	warmer
wildest	!	!
prettier	scenery	scenery
pretty	!	!
prettiest	!	!
pretty	warm	warm
prettier	warmer	warmer
prettiest	!	!
heavier	heavier	heavier
heavy	lighter	heavy
heaviest	!	!
heavy	winters	winters
heavier	precipitation	precipitation
heaviest	!	!
deeper	deeper	deeper
deep	deep	deep
deepest	!	!
deep	warm	warm
deeper	warm	warm
deepest	!	!
newer	york	york
new	sheets	sheets
newest	!	!
new	thick	thick
newer	thicker	thicker
newest	!	!
bloodier	ensued	ensued
bloody	!	!
bloodiest	!	!
bloody	thick	thick
bloodier	thicker	thicker
bloodiest	!	!
prettier	'm	'm
pretty	!	!
prettiest	!	!
pretty	thick	thick
